source_row,raw_unit,canonical_label,raw_occurrences,distinct_nonblank_corrections,mapping_status,canonical_unit_uri,external_mapping_status,recommended_disposition
36,% (v/v 15 bars),% (v/v 15 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
37,% (v/v 5 bars),% (v/v 5 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
38,% (v/v),% (v/v),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
39,% (w/w 0 MPa),% (w/w 0 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
40,% (w/w 0.003 MPa),% (w/w 0.003 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
41,% (w/w 0.01 MPa),% (w/w 0.01 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
42,% (w/w 0.05 MPa),% (w/w 0.05 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
43,% (w/w 0.1 MPa),% (w/w 0.1 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
44,% (w/w 0.5 MPa),% (w/w 0.5 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
45,% (w/w 1.5 MPa),% (w/w 1.5 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
46,% (w/w),% (w/w),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
47,% annual,% annual,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
48,% area covered fusarium spp.,% area covered fusarium spp.,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
49,% Aspergiilus candidus fungi,% Aspergillus candidus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
50,% Aspergillus clavatus fungi,% Aspergillus clavatus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
51,% Aspergillus flavus fungi,% Aspergillus flavus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
52,% Aspergillus glaucus fungi,% Aspergillus glaucus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
53,% Aspergillus niger fungi,% Aspergillus niger,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
54,% Aspergillus ochraceus fungi,% Aspergillus ochraceus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
55,% aspergillus spp.,% Aspergillus spp.,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
56,% Aspergillus terreus fungi,% Aspergillus terreus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
57,% Blosyrus damaged,% damage (Blosyrus),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
58,% broken grains,% broken grains,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
59,% Callosobruchus maculatus survival,% Callosobruchus maculatus survival,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
60,% change,% change,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
61,% Cylas damaged,% damage (Cylas),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
62,% damage by  Acanthoscelides obtectus,% damage (Acanthoscelides obtectus),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
63,% damage by  Callosobruchus maculatus,% damage (Callosobruchus maculatus),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
64,% damage by Callosobruchus maculatus,% damage (Callosobruchus maculatus),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
65,% decay,% decay,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
66,% dry weight loss,% dry weight loss,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
67,% from mold,% from mold,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
68,% fruit decay,% fruit rot,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
69,% Fruit rot,% fruit rot,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
70,% fusarium spp,% Fusarium spp,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
71,% grain damage by Penicillium,% grain damage (Penicillium),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
72,% grain damage of grains,% grain damage,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
73,% grain damaged,% grain damage,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
74,% grain perforation,% grain damage,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
75,% hen-day production,% hen-d production,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
76,% insect,% insect,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
77,% live birth rate,% live birth rate,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
78,% loss,% loss,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
79,% mean weight loss,% mean weight loss,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
80,% millepede damaged,% damage (millepede),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
81,% monthly,% monthly,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
82,% nematode damaged,% damage (nematode),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
83,% of Aspergillus,% Aspergillus,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
84,% of Fusarium,% Fusarium,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
85,% of seeds,% seed,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
86,% of total bacteria,% total bacteria,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
87,% penicillium spp.,% penicillium spp.,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
88,% production,% production,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
89,% rainfall,% rainfall,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
90,% rot severity,% rot severity,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
91,% Seed damage,% seed damage,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
92,% weight damaged,% weight damaged,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
93,% weight gain/day,% weight gain/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
94,% weight loss,% weight loss,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
95,% WFPS,% WFPS,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
96,"%, w/w",% (w/w),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
97,%/1000kg,%/t,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
98,%/animal,%/animal,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
99,%/d/individual,%/d/individual,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
100,%/day,%/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
101,%/day/individual,%/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
102,%/individual/day,%/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
103,%v/v,% (v/v),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
104,(d),d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
105,(g/g),g/g,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
106,(g/kg)/individual,g/kg/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
107,(H’),Shannon-Weaver Index (H'),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
108,(J’),Pielou Evenness Index (J’),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
109,(kg grain/mm rainfall)/ha,kg/mm/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
110,(kg/ha)/mm,kg/ha/mm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
111,(kg/kg)/year,kg/kg/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
112,(ml/cm3)/hour,ml/cm3/h,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
113,(S),Species Richness (S),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
114,/individual/day,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
115,`kg/ha,kg/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
116,€/ha,EUR/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
117,µg /m3 (black carbon),µg black carbon/m3,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
118,µg /m3 (Particulate matter 2.5),µg PM2.5/m3,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
119,µg 15 N/m2/d,µg 15 N/m2/d,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
120,µg CO2/g soil microbes,µg CO2/g soil microbes,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
121,µg CO2-C/g,µg CO2-C/g,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
122,µg CO2-C/g/h,µg CO2-C/g/h,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
123,µg CO2-C/g/hr,µg CO2-C/g/hr,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
124,µg N2O-N/g/hr,µg N2O-N/g/hr,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
125,µg/g,µg/g,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
126,µg/g(mineral),µg/g(mineral),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
127,µg/g(NH4),µg/g(NH4),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
128,µg/g(NO3),µg/g(NO3),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
129,µg/kg,µg/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
130,µg/kg(mineral),µg/kg(mineral),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
131,µg/kg(NH4),µg/kg(NH4),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
132,µg/kg(NO3),µg/kg(NO3),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
133,µm/s,µm/s,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
134,100/g,100/g,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
135,1000 grain mass g,1000 seed weight g,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
136,1000 XOF,1000 XOF,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
137,100cm2/individual/day,100cm2/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
138,3k/NGN/individual,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
139,6hour day,6h/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
140,Abacetus spp log(x+1.5),Abacetus spp log(x+1.5),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
141,Abundance (no m−2),n/m2,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
142,Actinomycetes CFU/g soil,Actinomycetes CFU/g soil,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
143,AEP,AEP,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
144,Anchophthalmus oncotipes log(x+1.5),Anchophthalmus oncotipes log(x+1.5),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
145,animals,individuals,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
146,Bacteria CFU/g soil,cacteria CFU/g soil,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
147,bacteria cfu/ml at 08.00hrs,bacteria CFU/ml,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
148,bacteria cfu/ml at 18.00hrs,bacteria CFU/ml,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
149,bags,bags,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
150,bags/ha,bags/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
151,baskets/ha,baskets/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
152,BIF/ha,BIF/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
153,BIF/ha (Discount rate= 20%),BIF/ha (discount rate= 20%),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
154,Biomass Carbon,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
155,Birr/year,ETB/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
156,body,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
157,born/doe,offspring/female,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
158,born/does,offspring/female,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
159,BRL/ha,BRL/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
160,bunch/ha,bunch/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
161,bundles/month,bundles/month,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
162,BW,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
163,BWP/ha,BWP/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
164,c molc/kg soil,cmolc/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
165,Calving,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
166,carbonecous particles,carbonecous particles,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
167,Carcass %,% carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
168,CCO2 kg/ha/year,CO2-C kg/ha/year,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
169,CFU,CFU,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
170,CH4 g C/ha,g CH4-C/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
171,CH4 microg C/(m2 h),CH4 microganism C/m2/h,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
172,clean,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
173,cm,cm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
174,cm/10 min,cm/10 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
175,cm/150 min,cm/150 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
176,cm/15cm,cm/15 cm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
177,cm/160 min,cm/160 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
178,cm/180 min,cm/180 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
179,cm/3 hr,cm/3 hr,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
180,cm/5 min,cm/5 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
181,cm/50 min,cm/50 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
182,cm/90 min,cm/90 min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
183,cm/cm,cm/cm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
184,cm/day,cm/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
185,cm/h,cm/h,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
186,cm/hour,cm/h,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
187,cm/hr,cm/h,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
188,cm/m,cm/m,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
189,cm/min,cm/min,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
190,cm/s,cm/s,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
191,cm/yr,cm/yr,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
192,cm²/individual/day,cm2/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
193,cm3/cm2,cm3/cm2,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
194,cm3/cm3,cm3/cm3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
195,cm3/cm3 (available),cm3/cm3 (available),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
196,cmol,cmol,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
197,cmol (p+) /kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
198,cmol / kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
199,cmol /kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
200,cmol c/kg,cmolc/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
201,cmol(+)/kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
202,cmol(p)/kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
203,cmol(P+)/kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
204,cmol/ kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
205,cmol/100g,cmol/100 g,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
206,cmol/dm3,cmol/dm3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
207,cmol/ka,cmol/ka,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
208,cmol/kg,cmol/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
209,cmol+/ kg,cmol/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
210,cmolc dm-3,cmolc/dm3,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
211,cmolc kg-1,cmolc/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
212,cmolc/ kg,cmolc/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
213,cmolc/dm3,cmolc/dm3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
214,cmolc/kg,cmolc/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
215,cmole/kg,cmolc/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
216,CO (ppm),CO (ppm),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
217,CO2/g soil/hr,CO2/g soil/hr,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
