feed_material_id,feed_material_label,target_property,target_concept_id,target_label,review_axis,recommended_assertion_action,review_status,current_status,current_evidence,current_rationale,reviewer,review_date
AOM_001313,Whole-grain maize,aom:componentRetentionState,AOM_101110,Whole-grain composition,component-retention,retain assertion; apply approved target label or hierarchy changes only,approved,approved,docs/decisions/0018-whole-grain-integrity.md;docs/decisions/0048-chemical-identity-composition-and-component-model.md,Positive component retention is independent of measured chemical composition.,Codex,2026-08-21
AOM_001324,Ground whole-grain maize,aom:componentRetentionState,AOM_101110,Whole-grain composition,component-retention,retain assertion; apply approved target label or hierarchy changes only,approved,approved,docs/decisions/0018-whole-grain-integrity.md;docs/decisions/0048-chemical-identity-composition-and-component-model.md,Positive component retention is independent of measured chemical composition.,Codex,2026-08-21
AOM_000555,Whole Milk,aom:compositionState,AOM_101116,Whole-milk composition,component-retention,migrate target to AOM_101134 and property to aom:componentRetentionState,approved,approved,docs/decisions/0020-ingredient-semantic-closure.md,Whole milk denotes composition rather than physical wholeness.,Codex,2026-08-21
AOM_000611,Soybean Full Fat Cake,aom:compositionState,AOM_101134,Native-fat-retained composition,component-retention,migrate property to aom:componentRetentionState,approved,approved,0141;2191;http://aims.fao.org/aos/agrovoc/c_16043;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462,Explicit descriptor “full fat” mapped through hard-tail decision AOM_000611; assertion 1.,Codex,2026-08-21
AOM_001317,Soybean Full Fat,aom:compositionState,AOM_101134,Native-fat-retained composition,component-retention,migrate property to aom:componentRetentionState,approved,approved,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,Explicit descriptor “full fat” mapped through hard-tail decision AOM_001317; assertion 1.,Codex,2026-08-21
AOM_000536,Blood Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,https://www.feedipedia.org/node/11574;docs/decisions/0042-feed-process-and-material-state-axes.md,Feedipedia Blood meal evidence reports a dried blood product and high dry-matter content; drying route remains unspecified.,Codex,2026-08-21
AOM_000537,Blood Dried Ground Heated,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000551,Black Soldier Fly Larvae Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000564,"Brewers grains, dehydrated",aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000574,Oat Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000587,Wheat Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000612,Soybean Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000633,Beet Pulp Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000687,Desho Grass Hay,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000688,Digitaria Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000692,Grass Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000698,Natural Pasture Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000708,Ficus thonningii Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000714,Prosopis juliflora Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_000725,Vicia Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001094,Chicken Manure Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001101,Fish Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001103,Fish Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001104,Fish Processing Waste Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001109,Poultry Litter Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001117,Blue Lupin Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001158,Khaya senegalensis Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001178,Barley Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001195,Mango Peel Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001203,Alfalfa Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001210,Desmodium Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001229,Sesbania sesban Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001238,Stylosanthes scabra Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001253,Cotton Seed Cake Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001262,Wheat Straw Dried Urea Treated,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001386,Hordeum vulgare Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001396,Bracharia Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001400,Cenchrus ciliaris Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001404,Hyparrhenia Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001419,Saccharomyces cerevisiae Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001454,Urochloa mosambicensis Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001459,Bothriochloa dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001581,Andropogon gayanus Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001590,Acacia angustissima Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001592,Acacia angusitissima Leaves Dried Ensiled,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001594,Acacia nilotica Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001596,Acacia nilotica Pods Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001597,Acacia senegal Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001598,Acacia senegal Pods Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001599,Acacia sieberiana Dried Ensiled Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001602,Acacia tortilis Pods Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001604,Acacia tortilis Fruits Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001605,African Palm Larvae Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001612,Azadirachta indica Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001617,Maize Straw Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001619,Rice Husk Dried Urea Treated,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001621,Tata Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001626,Cassava Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001627,Cassava Peel Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001628,Catha edulis Residue Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001629,Pigeon Pea Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001631,Chamaecytisus palmensis Leaves Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001632,Pigeon Pea Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001633,Chloris gayana Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001634,Chloris gayana Dried Wilted,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001635,Chloris gayana Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001637,Chromolaena odorata Leaves Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001641,Cotton Seed Cake Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001645,Sheanut Cake Boiled Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001646,Cowpea Dried,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
AOM_001647,Cassava Leaves Dried Ground,aom:moistureCondition,AOM_101054,Dried moisture condition,moisture-condition,retain assertion; apply approved target label or hierarchy changes only,approved,approved-generated,data/livestock-staging/approved_generated_feed_material_facets.csv;docs/decisions/0042-feed-process-and-material-state-axes.md,Approved Drying process supports dried moisture condition without implying one presentation form.,Codex,2026-08-21
