edge_id,subject_id,subject_label,subject_type,current_relation,object_id,object_label,object_type,recommended_disposition,proposed_relation,status,evidence_ids,rationale
HIER-0018,era:practice:practice:018,Manure Management,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0019,era:practice:practice:019,Pasture Management,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0020,era:practice:practice:020,Genetic Improvement,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0021,era:practice:practice:021,Irrigation,practice,broader,era:practice:theme:003,Blue Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0022,era:practice:practice:022,Deficit Irrigation,practice,broader,era:practice:theme:003,Blue Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0023,era:practice:practice:023,Supplemental Irrigation,practice,broader,era:practice:theme:003,Blue Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0024,era:practice:practice:024,Improved Rice Management,practice,broader,era:practice:theme:003,Blue Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0025,era:practice:practice:025,Crop Rotation,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0026,era:practice:practice:026,Crop Rotation,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0027,era:practice:practice:027,Double Cropping,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0028,era:practice:practice:028,Intercropping,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0029,era:practice:practice:029,Green Manure,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0030,era:practice:practice:030,Intercropping,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0031,era:practice:practice:031,Intercropping or Rotation,practice,broader,era:practice:theme:004,Crop Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0032,era:practice:practice:032,Biogas,practice,broader,era:practice:theme:005,Energy,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0033,era:practice:practice:033,Biogas,practice,broader,era:practice:theme:005,Energy,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0034,era:practice:practice:034,Cookstove,practice,broader,era:practice:theme:005,Energy,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0035,era:practice:practice:035,Cookstove,practice,broader,era:practice:theme:005,Energy,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0036,era:practice:practice:036,Biogas/cookstove,practice,broader,era:practice:theme:005,Energy,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0037,era:practice:practice:037,Improved Varieties,practice,broader,era:practice:theme:006,Genetic improvement,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0038,era:practice:practice:038,Unimproved Variety,practice,broader,era:practice:theme:006,Genetic improvement,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0039,era:practice:practice:039,Water Harvesting,practice,broader,era:practice:theme:007,Green Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0040,era:practice:practice:040,Non-CSA,practice,broader,era:practice:theme:008,Non-CSA,theme,reject-broader-collapse-identity,none-pending-identity-resolution,held,E-PILOT;E-SKOS,Subject and object have same normalized preferred label; broader assertion manufactures duplicate identity.
HIER-0041,era:practice:practice:041,Agronomy;Agroforestry,practice,broader,era:practice:theme:008,Non-CSA,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0042,era:practice:practice:042,Agronomy,practice,broader,era:practice:theme:008,Non-CSA,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0043,era:practice:practice:043,Inorganic Fertilizer,practice,broader,era:practice:theme:009,Nutrient Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0044,era:practice:practice:044,Inorganic Fertilizer Reduction,practice,broader,era:practice:theme:009,Nutrient Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0045,era:practice:practice:045,Organic Fertilizer,practice,broader,era:practice:theme:009,Nutrient Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0046,era:practice:practice:046,Organic Fertilizer Substitution,practice,broader,era:practice:theme:009,Nutrient Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0047,era:practice:practice:047,Fertilizer Control,practice,broader,era:practice:theme:009,Nutrient Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0048,era:practice:practice:048,Harvest Method,practice,broader,era:practice:theme:010,Postharvest,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0049,era:practice:practice:049,Storage,practice,broader,era:practice:theme:010,Postharvest,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0050,era:practice:practice:050,Harvest Method,practice,broader,era:practice:theme:010,Postharvest,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0051,era:practice:practice:051,Storage,practice,broader,era:practice:theme:010,Postharvest,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0052,era:practice:practice:052,Reduced Tillage,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0053,era:practice:practice:053,Mulch,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0054,era:practice:practice:054,Green Manure,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0055,era:practice:practice:055,Biochar,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0056,era:practice:practice:056,pH Control,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0057,era:practice:practice:057,Crop Residue,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0058,era:practice:practice:058,Crop Residue Incorporation,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0059,era:practice:practice:059,Improved Fallow,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0060,era:practice:practice:060,Improved Fallow,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0061,era:practice:practice:061,Conventional Tillage,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0062,era:practice:practice:062,Crop Residue,practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0063,era:practice:practice:063,No-Till (Off-season),practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0064,era:practice:practice:064,Reduced Tillage (Off-season),practice,broader,era:practice:theme:011,Soil Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0065,era:practice:practice:065,Irrigation,practice,broader,era:practice:theme:012,Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0066,era:practice:practice:066,Planting,practice,broader,era:practice:theme:012,Water Management,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0067,era:practice:a1,Farmer Managed Natural Regeneration,leaf_practice,broader,era:practice:practice:001,FMNR,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0068,era:practice:a3,Alleycropping (N fixing),leaf_practice,broader,era:practice:practice:002,Alleycropping,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0069,era:practice:a4,Alleycropping (Non N fixing),leaf_practice,broader,era:practice:practice:002,Alleycropping,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0070,era:practice:a4.1,Alleycropping (Mixed),leaf_practice,broader,era:practice:practice:002,Alleycropping,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0071,era:practice:a14,Alleycropping (Unspecified),leaf_practice,broader,era:practice:practice:002,Alleycropping,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0072,era:practice:a8,Parklands,leaf_practice,broader,era:practice:practice:003,Parklands,practice,reject-broader-collapse-identity,none-pending-identity-resolution,held,E-PILOT;E-SKOS,Subject and object have same normalized preferred label; broader assertion manufactures duplicate identity.
HIER-0073,era:practice:a8.1,Scattered Trees,leaf_practice,broader,era:practice:practice:003,Parklands,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0074,era:practice:a9,Tree Windbreak,leaf_practice,broader,era:practice:practice:004,Boundary Planting,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0075,era:practice:a10,Living Fences or Hedgerows,leaf_practice,broader,era:practice:practice:004,Boundary Planting,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0076,era:practice:a11,Silvopasture,leaf_practice,broader,era:practice:practice:005,Silvopasture,practice,reject-broader-collapse-identity,none-pending-identity-resolution,held,E-PILOT;E-SKOS,Subject and object have same normalized preferred label; broader assertion manufactures duplicate identity.
HIER-0077,era:practice:a22,Agrosilvopastoral System,leaf_practice,broader,era:practice:practice:005,Silvopasture,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0078,era:practice:a12,Multistrata Agroforestry,leaf_practice,broader,era:practice:practice:006,Multistrata Agroforestry,practice,reject-broader-collapse-identity,none-pending-identity-resolution,held,E-PILOT;E-SKOS,Subject and object have same normalized preferred label; broader assertion manufactures duplicate identity.
HIER-0079,era:practice:a15,Tree Prunings Applied (Unspecified),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0080,era:practice:a15.1,Tree Prunings Mulched (Unspecified),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0081,era:practice:a15.2,Tree Prunings Incorporated (Unspecified),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0082,era:practice:a16,Tree Prunings Applied (N fixing),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0083,era:practice:a16.1,Tree Prunings Mulched (N fixing),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0084,era:practice:a16.2,Tree Prunings Incorporated (N fixing),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0085,era:practice:a17,Tree Prunings Applied (Non N fixing),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0086,era:practice:a17.1,Tree Prunings Mulched (Non N fixing),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0087,era:practice:a17.2,Tree Prunings Incorporated (Non N fixing),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0088,era:practice:a18,Tree Pruning (Fate Unknown),leaf_practice,broader,era:practice:practice:007,Agroforestry Pruning,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0089,era:practice:a19.1,Agroforestry Fallow (N fixing),leaf_practice,broader,era:practice:practice:008,Agroforestry Fallow,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0090,era:practice:a19.2,Agroforestry Fallow (Non N fixing),leaf_practice,broader,era:practice:practice:008,Agroforestry Fallow,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0091,era:practice:a19.3,Agroforestry Fallow (Unspecified),leaf_practice,broader,era:practice:practice:008,Agroforestry Fallow,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0092,era:practice:a99,Other Agroforestry,leaf_practice,broader,era:practice:practice:009,Other Agroforestry,practice,reject-broader-collapse-identity,none-pending-identity-resolution,held,E-PILOT;E-SKOS,Subject and object have same normalized preferred label; broader assertion manufactures duplicate identity.
HIER-0093,era:practice:d17.1,Crop Fodders (Added),leaf_practice,broader,era:practice:practice:010,Feed Addition,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0094,era:practice:d17.2,Non Crop Fodders (Added),leaf_practice,broader,era:practice:practice:010,Feed Addition,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0095,era:practice:d17.3,Agroforestry Fodders (Added),leaf_practice,broader,era:practice:practice:010,Feed Addition,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0096,era:practice:d17.4,Animal Manures (Added),leaf_practice,broader,era:practice:practice:010,Feed Addition,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0097,era:practice:d17.5,Other Feed (Added),leaf_practice,broader,era:practice:practice:010,Feed Addition,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0098,era:practice:d18.1,Crop Fodders (Substituted),leaf_practice,broader,era:practice:practice:011,Feed Substitution,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0099,era:practice:d18.2,Non Crop Fodders (Substituted),leaf_practice,broader,era:practice:practice:011,Feed Substitution,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0100,era:practice:d18.3,Agroforestry Fodders (Substituted),leaf_practice,broader,era:practice:practice:011,Feed Substitution,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0101,era:practice:d18.4,Animal Manures (Substituted),leaf_practice,broader,era:practice:practice:011,Feed Substitution,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0102,era:practice:d18.5,Other Feed (Substituted),leaf_practice,broader,era:practice:practice:011,Feed Substitution,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0103,era:practice:d22.1,Chemically Processed Feed,leaf_practice,broader,era:practice:practice:012,Feed Processing,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0104,era:practice:d22.2,Mechanically Processed Feed,leaf_practice,broader,era:practice:practice:012,Feed Processing,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0105,era:practice:d22.3,Concentrated Feed,leaf_practice,broader,era:practice:practice:012,Feed Processing,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0106,era:practice:d9,Improved Breeds,leaf_practice,broader,era:practice:practice:013,Genetic Improvement,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0107,era:practice:d10,Hybridization or Cross Breeding,leaf_practice,broader,era:practice:practice:013,Genetic Improvement,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0108,era:practice:d13,Manure Collection,leaf_practice,broader,era:practice:practice:014,Manure Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0109,era:practice:d14,Manure Storage,leaf_practice,broader,era:practice:practice:014,Manure Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0110,era:practice:d15,Manure Treatment,leaf_practice,broader,era:practice:practice:014,Manure Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0111,era:practice:d16,Rotational Grazing,leaf_practice,broader,era:practice:practice:015,Pasture Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0112,era:practice:d11,Improved Pasture (N fixing),leaf_practice,broader,era:practice:practice:015,Pasture Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0113,era:practice:d12,Improved Pasture (Non N fixing),leaf_practice,broader,era:practice:practice:015,Pasture Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
HIER-0114,era:practice:d19,Controlled Grazing,leaf_practice,broader,era:practice:practice:015,Pasture Management,practice,hold-specialization-review,skos:broader-candidate,held,E-PILOT;E-SKOS,"Practice-group relation may express specialization, but parent identity and extension require review."
