concept_id,scheme_id,concept_type,preferred_label,source_notation,parent_id,direct_child_count,same_label_child_ids,normalized_pref_label_collision_count,reviewed_role,recommended_representation,recommended_action,status,evidence_ids,rationale
era:practice:practice:009,era:scheme:practice,practice,Other Agroforestry,OA,era:practice:theme:001,1,era:practice:a99,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:010,era:scheme:practice,practice,Feed Addition,FA,era:practice:theme:002,5,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:011,era:scheme:practice,practice,Feed Substitution,FS,era:practice:theme:002,5,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:012,era:scheme:practice,practice,Feed Processing,FP,era:practice:theme:002,3,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:013,era:scheme:practice,practice,Genetic Improvement,GI,era:practice:theme:002,2,,3,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:014,era:scheme:practice,practice,Manure Management,MM,era:practice:theme:002,3,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:015,era:scheme:practice,practice,Pasture Management,PM,era:practice:theme:002,5,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:016,era:scheme:practice,practice,Aquasilviculture,AqS,era:practice:theme:002,1,era:practice:d1,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:017,era:scheme:practice,practice,Feed Addition; Feed Substitution,,era:practice:theme:002,2,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:018,era:scheme:practice,practice,Manure Management,,era:practice:theme:002,1,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:019,era:scheme:practice,practice,Pasture Management,,era:practice:theme:002,1,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:020,era:scheme:practice,practice,Genetic Improvement,,era:practice:theme:002,2,,3,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:021,era:scheme:practice,practice,Irrigation,Ir,era:practice:theme:003,4,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:022,era:scheme:practice,practice,Deficit Irrigation,DIr,era:practice:theme:003,1,era:practice:b37,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:023,era:scheme:practice,practice,Supplemental Irrigation,SIr,era:practice:theme:003,1,era:practice:b54,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:024,era:scheme:practice,practice,Improved Rice Management,IRM,era:practice:theme:003,4,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:025,era:scheme:practice,practice,Crop Rotation,CRo,era:practice:theme:004,3,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:026,era:scheme:practice,practice,Crop Rotation,,era:practice:theme:004,2,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:027,era:scheme:practice,practice,Double Cropping,,era:practice:theme:004,4,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:028,era:scheme:practice,practice,Intercropping,,era:practice:theme:004,11,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:029,era:scheme:practice,practice,Green Manure,,era:practice:theme:004,3,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:030,era:scheme:practice,practice,Intercropping,In,era:practice:theme:004,4,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:031,era:scheme:practice,practice,Intercropping or Rotation,In/CRo,era:practice:theme:004,1,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:032,era:scheme:practice,practice,Biogas,BG,era:practice:theme:005,2,era:practice:c1,3,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:033,era:scheme:practice,practice,Biogas,,era:practice:theme:005,2,,3,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:034,era:scheme:practice,practice,Cookstove,CS,era:practice:theme:005,2,,3,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:035,era:scheme:practice,practice,Cookstove,,era:practice:theme:005,2,,3,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:036,era:scheme:practice,practice,Biogas/cookstove,,era:practice:theme:005,1,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:037,era:scheme:practice,practice,Improved Varieties,IV,era:practice:theme:006,4,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:038,era:scheme:practice,practice,Unimproved Variety,,era:practice:theme:006,1,era:practice:h55,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:039,era:scheme:practice,practice,Water Harvesting,WH,era:practice:theme:007,13,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:040,era:scheme:practice,practice,Non-CSA,,era:practice:theme:008,1,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:041,era:scheme:practice,practice,Agronomy;Agroforestry,,era:practice:theme:008,5,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:042,era:scheme:practice,practice,Agronomy,,era:practice:theme:008,2,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:043,era:scheme:practice,practice,Inorganic Fertilizer,IF,era:practice:theme:009,5,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:044,era:scheme:practice,practice,Inorganic Fertilizer Reduction,IF-R,era:practice:theme:009,3,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:045,era:scheme:practice,practice,Organic Fertilizer,OF,era:practice:theme:009,6,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:046,era:scheme:practice,practice,Organic Fertilizer Substitution,OF-S,era:practice:theme:009,5,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:047,era:scheme:practice,practice,Fertilizer Control,,era:practice:theme:009,3,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:048,era:scheme:practice,practice,Harvest Method,HM,era:practice:theme:010,2,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:049,era:scheme:practice,practice,Storage,St,era:practice:theme:010,3,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:050,era:scheme:practice,practice,Harvest Method,,era:practice:theme:010,1,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:051,era:scheme:practice,practice,Storage,,era:practice:theme:010,3,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:052,era:scheme:practice,practice,Reduced Tillage,RT,era:practice:theme:011,2,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:053,era:scheme:practice,practice,Mulch,Mu,era:practice:theme:011,6,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:054,era:scheme:practice,practice,Green Manure,GM,era:practice:theme:011,5,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:055,era:scheme:practice,practice,Biochar,Bi,era:practice:theme:011,1,era:practice:b28,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:056,era:scheme:practice,practice,pH Control,pH,era:practice:theme:011,1,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:057,era:scheme:practice,practice,Crop Residue,CR,era:practice:theme:011,3,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:058,era:scheme:practice,practice,Crop Residue Incorporation,CRI,era:practice:theme:011,3,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:059,era:scheme:practice,practice,Improved Fallow,IFa,era:practice:theme:011,4,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:060,era:scheme:practice,practice,Improved Fallow,,era:practice:theme:011,1,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:061,era:scheme:practice,practice,Conventional Tillage,,era:practice:theme:011,1,era:practice:h6,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:062,era:scheme:practice,practice,Crop Residue,,era:practice:theme:011,4,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:063,era:scheme:practice,practice,No-Till (Off-season),,era:practice:theme:011,1,era:practice:h6.1,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:064,era:scheme:practice,practice,Reduced Tillage (Off-season),,era:practice:theme:011,1,era:practice:h6.2,2,duplicate-group-and-leaf,collapse-or-reuse-leaf-after-identity-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Generated parent repeats a child label and creates parallel identity without evidence.
era:practice:practice:065,era:scheme:practice,practice,Irrigation,,era:practice:theme:012,2,,2,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:practice:066,era:scheme:practice,practice,Planting,,era:practice:theme:012,1,,1,candidate-practice-group,skos:Concept-or-Collection-after-extensional-review,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Practice grouping may be a true broader practice or only an editorial grouping; source structure alone cannot decide.
era:practice:theme:001,era:scheme:practice,theme,Agroforestry,Agroforestry,,9,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:002,era:scheme:practice,theme,Animals,Animals,,11,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
