collision_group_id,collision_scope,normalized_label,source_or_pilot_id,source_label_types,source_concept_type,other_concept_id,other_label_types,definition_match,code_mapping_match,recommended_disposition,status,rationale
PILOT-009,pilot-internal,costs,era:outcome:indicator:005,pref,indicator,era:outcome:indicator:017,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-009,pilot-internal,costs,era:outcome:indicator:017,pref,indicator,era:outcome:indicator:005,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-010,pilot-internal,crop residue,era:practice:practice:057,pref,practice,era:practice:practice:062,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-010,pilot-internal,crop residue,era:practice:practice:062,pref,practice,era:practice:practice:057,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-011,pilot-internal,crop rotation,era:practice:practice:025,pref,practice,era:practice:practice:026,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-011,pilot-internal,crop rotation,era:practice:practice:026,pref,practice,era:practice:practice:025,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-012,pilot-internal,deficit irrigation,era:practice:b37,pref,leaf_practice,era:practice:practice:022,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-012,pilot-internal,deficit irrigation,era:practice:practice:022,pref,practice,era:practice:b37,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-013,pilot-internal,diet control,era:practice:h60,alt,leaf_practice,era:practice:h61,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-013,pilot-internal,diet control,era:practice:h61,alt,leaf_practice,era:practice:h60,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-014,pilot-internal,efficiency,era:outcome:indicator:012,pref,indicator,era:outcome:subpillar:005,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-014,pilot-internal,efficiency,era:outcome:subpillar:005,pref,subpillar,era:outcome:indicator:012,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-015,pilot-internal,emissions,era:outcome:indicator:015,pref,indicator,era:outcome:subpillar:007,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-015,pilot-internal,emissions,era:outcome:subpillar:007,pref,subpillar,era:outcome:indicator:015,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-016,pilot-internal,feed intake,era:outcome:400.0,pref,leaf_outcome,era:outcome:indicator:002,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-016,pilot-internal,feed intake,era:outcome:indicator:002,pref,indicator,era:outcome:400.0,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-017,pilot-internal,fmnr,era:practice:a1,alt,leaf_practice,era:practice:practice:001,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-017,pilot-internal,fmnr,era:practice:practice:001,pref,practice,era:practice:a1,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-018,pilot-internal,genetic improvement,era:practice:practice:013,pref,practice,era:practice:practice:020;era:practice:theme:006,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-018,pilot-internal,genetic improvement,era:practice:practice:020,pref,practice,era:practice:practice:013;era:practice:theme:006,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-018,pilot-internal,genetic improvement,era:practice:theme:006,pref,theme,era:practice:practice:013;era:practice:practice:020,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-019,pilot-internal,green manure,era:practice:practice:029,pref,practice,era:practice:practice:054,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-019,pilot-internal,green manure,era:practice:practice:054,pref,practice,era:practice:practice:029,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-020,pilot-internal,harvest method,era:practice:practice:048,pref,practice,era:practice:practice:050,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-020,pilot-internal,harvest method,era:practice:practice:050,pref,practice,era:practice:practice:048,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-021,pilot-internal,improved fallow,era:practice:practice:059,pref,practice,era:practice:practice:060,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-021,pilot-internal,improved fallow,era:practice:practice:060,pref,practice,era:practice:practice:059,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-022,pilot-internal,intercropping,era:practice:practice:028,pref,practice,era:practice:practice:030,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-022,pilot-internal,intercropping,era:practice:practice:030,pref,practice,era:practice:practice:028,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-023,pilot-internal,irrigation,era:practice:practice:021,pref,practice,era:practice:practice:065,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-023,pilot-internal,irrigation,era:practice:practice:065,pref,practice,era:practice:practice:021,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-024,pilot-internal,manure management,era:practice:practice:014,pref,practice,era:practice:practice:018,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-024,pilot-internal,manure management,era:practice:practice:018,pref,practice,era:practice:practice:014,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-025,pilot-internal,multistrata agroforestry,era:practice:a12,pref,leaf_practice,era:practice:practice:006,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-025,pilot-internal,multistrata agroforestry,era:practice:practice:006,pref,practice,era:practice:a12,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-026,pilot-internal,no-till (off-season),era:practice:h6.1,pref,leaf_practice,era:practice:practice:063,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-026,pilot-internal,no-till (off-season),era:practice:practice:063,pref,practice,era:practice:h6.1,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-027,pilot-internal,non-csa,era:practice:practice:040,pref,practice,era:practice:theme:008,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-027,pilot-internal,non-csa,era:practice:theme:008,pref,theme,era:practice:practice:040,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-028,pilot-internal,other agroforestry,era:practice:a99,pref,leaf_practice,era:practice:practice:009,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-028,pilot-internal,other agroforestry,era:practice:practice:009,pref,practice,era:practice:a99,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-029,pilot-internal,parklands,era:practice:a8,pref,leaf_practice,era:practice:practice:003,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-029,pilot-internal,parklands,era:practice:practice:003,pref,practice,era:practice:a8,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-030,pilot-internal,pasture management,era:practice:practice:015,pref,practice,era:practice:practice:019,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-030,pilot-internal,pasture management,era:practice:practice:019,pref,practice,era:practice:practice:015,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-031,pilot-internal,reduced tillage (off-season),era:practice:h6.2,pref,leaf_practice,era:practice:practice:064,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-031,pilot-internal,reduced tillage (off-season),era:practice:practice:064,pref,practice,era:practice:h6.2,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-032,pilot-internal,silvopasture,era:practice:a11,pref,leaf_practice,era:practice:practice:005,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-032,pilot-internal,silvopasture,era:practice:practice:005,pref,practice,era:practice:a11,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-033,pilot-internal,storage,era:practice:practice:049,pref,practice,era:practice:practice:051,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-033,pilot-internal,storage,era:practice:practice:051,pref,practice,era:practice:practice:049,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-034,pilot-internal,supplemental irrigation,era:practice:b54,pref,leaf_practice,era:practice:practice:023,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-034,pilot-internal,supplemental irrigation,era:practice:practice:023,pref,practice,era:practice:b54,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-035,pilot-internal,unimproved variety,era:practice:h55,pref,leaf_practice,era:practice:practice:038,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-035,pilot-internal,unimproved variety,era:practice:practice:038,pref,practice,era:practice:h55,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-036,pilot-internal,yield stability,era:outcome:270.0,pref,leaf_outcome,era:outcome:indicator:010,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-036,pilot-internal,yield stability,era:outcome:indicator:010,pref,indicator,era:outcome:270.0,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
AOM-001,source-to-aom,concentrated feed,prac:d22.3,preferred-source-label,prac,AOM_003021,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-002,source-to-aom,improved breeds,prac:d9,preferred-source-label,prac,AOM_000154,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-003,source-to-aom,hybridization or cross breeding,prac:d10,preferred-source-label,prac,AOM_000155,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-004,source-to-aom,manure collection,prac:d13,preferred-source-label,prac,AOM_000159,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-005,source-to-aom,manure storage,prac:d14,preferred-source-label,prac,AOM_000160,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-006,source-to-aom,manure treatment,prac:d15,preferred-source-label,prac,AOM_000161,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-007,source-to-aom,rotational grazing,prac:d16,preferred-source-label,prac,AOM_000163,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-008,source-to-aom,controlled grazing,prac:d19,preferred-source-label,prac,AOM_000168,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-009,source-to-aom,aquasilviculture,prac:d1,preferred-source-label,prac,AOM_000170,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-010,source-to-aom,basal or conventional diet,prac:h60,preferred-source-label,prac,AOM_003012,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-011,source-to-aom,conventional supplement use,prac:h61,preferred-source-label,prac,AOM_003013,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-012,source-to-aom,conventional manure handling,prac:h10.3,preferred-source-label,prac,AOM_000158,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-013,source-to-aom,conventional pasture management,prac:h11,preferred-source-label,prac,AOM_000162,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-014,source-to-aom,unspecified,prac:h55.2,preferred-source-label,prac,AOM_001507,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-015,source-to-aom,unspecified,prac:h55.2,preferred-source-label,prac,AOM_003050,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-016,source-to-aom,unspecified,prac:h55.2,preferred-source-label,prac,AOM_003051,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-017,source-to-aom,unspecified,prac:h55.2,preferred-source-label,prac,AOM_003052,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-018,source-to-aom,unimproved breed,prac:h55.1,preferred-source-label,prac,AOM_000153,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-019,source-to-aom,heat tolerance,prac:b5,preferred-source-label,prac,AOM_000156,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-020,source-to-aom,urea,prac:b23,preferred-source-label,prac,AOM_001749,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-021,source-to-aom,ash,prac:b74,preferred-source-label,prac,AOM_000226,pref,not-exact-or-missing,no,retain-distinct-context-pending-scope-definition,held,"Same label names a different feed, animal, generic, or field-application entity; do not merge by label."
AOM-022,source-to-aom,biomass yield,out:101.1,preferred-source-label,out,AOM_000364,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-023,source-to-aom,land equivalent ratio,out:103,preferred-source-label,out,AOM_000365,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-024,source-to-aom,meat yield,out:119.1,preferred-source-label,out,AOM_000369,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-025,source-to-aom,milk yield,out:119.2,preferred-source-label,out,AOM_000380,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-026,source-to-aom,egg yield,out:119.3,preferred-source-label,out,AOM_000383,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-027,source-to-aom,other animal product yield,out:119.4,preferred-source-label,out,AOM_000385,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-028,source-to-aom,reproductive yield,out:119.5,preferred-source-label,out,AOM_000386,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-029,source-to-aom,feed intake,out:400,preferred-source-label,out,AOM_000359,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-030,source-to-aom,gross return,out:120,preferred-source-label,out,AOM_000399,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-031,source-to-aom,net return,out:124,preferred-source-label,out,AOM_000400,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-032,source-to-aom,gross margin,out:124.1,preferred-source-label,out,AOM_000401,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-033,source-to-aom,total cost,out:150,preferred-source-label,out,AOM_000404,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-034,source-to-aom,total cost per asset,out:150.2,preferred-source-label,out,AOM_101006,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-035,source-to-aom,fixed cost,out:151,preferred-source-label,out,AOM_000408,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-036,source-to-aom,variable cost,out:152,preferred-source-label,out,AOM_003110,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-037,source-to-aom,benefit cost ratio (grtc),out:125,preferred-source-label,out,AOM_000465,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-038,source-to-aom,benefit cost ratio (grvc),out:125.1,preferred-source-label,out,AOM_000466,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-039,source-to-aom,benefit cost ratio (gmvc),out:125.2,preferred-source-label,out,AOM_003101,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-040,source-to-aom,benefit cost ratio (unspecified),out:125.4,preferred-source-label,out,AOM_000467,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-041,source-to-aom,cost benefit ratio (tcgr),out:126,preferred-source-label,out,AOM_000468,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-042,source-to-aom,cost benefit ratio (vcgr),out:126.1,preferred-source-label,out,AOM_000469,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-043,source-to-aom,net present value,out:130,preferred-source-label,out,AOM_000470,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-044,source-to-aom,payback period,out:131,preferred-source-label,out,AOM_000471,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-045,source-to-aom,return on investment,out:134,preferred-source-label,out,AOM_000472,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-046,source-to-aom,internal rate of return,out:137,preferred-source-label,out,AOM_000473,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-047,source-to-aom,marginal rate of return,out:137.1,preferred-source-label,out,AOM_000474,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-048,source-to-aom,biodiversity,out:203,preferred-source-label,out,AOM_000477,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-049,source-to-aom,erosion,out:217,preferred-source-label,out,AOM_000481,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-050,source-to-aom,runoff,out:218,preferred-source-label,out,AOM_000482,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-051,source-to-aom,soil organic matter,out:223,preferred-source-label,out,AOM_000483,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-052,source-to-aom,soil organic carbon,out:224,preferred-source-label,out,AOM_000484,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-053,source-to-aom,soil organic carbon (change),out:224.1,preferred-source-label,out,AOM_000485,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-054,source-to-aom,soil nitrogen,out:226,preferred-source-label,out,AOM_000486,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-055,source-to-aom,soil total nitrogen,out:226.1,preferred-source-label,out,AOM_000487,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-056,source-to-aom,soil available nitrogen,out:226.2,preferred-source-label,out,AOM_000488,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
