source_sheet,source_row,source_id,source_code_lexical,proposed_governed_code,source_label,source_status,domain,current_pilot_id,current_pilot_path,current_model_issue,recommended_resource,recommended_model,recommended_action,decision_status,legacy_code_mapping_candidates,same_label_aom_candidates,exact_definition_aom_candidates,authority_label_candidates,evidence_ids,reviewer,review_date,rationale
prac,16,prac:a15.2,a15.2,a15.2,Tree Prunings Incorporated (Unspecified),FALSE,crop,era:practice:a15.2,Agroforestry / Agroforestry Pruning / Tree Prunings Incorporated (Unspecified),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,17,prac:a16,a16,a16,Tree Prunings Applied (N fixing),FALSE,crop,era:practice:a16,Agroforestry / Agroforestry Pruning / Tree Prunings Applied (N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000017,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,18,prac:a16.1,a16.1,a16.1,Tree Prunings Mulched (N fixing),FALSE,crop,era:practice:a16.1,Agroforestry / Agroforestry Pruning / Tree Prunings Mulched (N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,19,prac:a16.2,a16.2,a16.2,Tree Prunings Incorporated (N fixing),FALSE,crop,era:practice:a16.2,Agroforestry / Agroforestry Pruning / Tree Prunings Incorporated (N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,20,prac:a17,a17,a17,Tree Prunings Applied (Non N fixing),FALSE,crop,era:practice:a17,Agroforestry / Agroforestry Pruning / Tree Prunings Applied (Non N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,21,prac:a17.1,a17.1,a17.1,Tree Prunings Mulched (Non N fixing),FALSE,crop,era:practice:a17.1,Agroforestry / Agroforestry Pruning / Tree Prunings Mulched (Non N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,22,prac:a17.2,a17.2,a17.2,Tree Prunings Incorporated (Non N fixing),FALSE,crop,era:practice:a17.2,Agroforestry / Agroforestry Pruning / Tree Prunings Incorporated (Non N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,23,prac:a18,a18,a18,Tree Pruning (Fate Unknown),FALSE,crop,era:practice:a18,Agroforestry / Agroforestry Pruning / Tree Pruning (Fate Unknown),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_000007;AOM_000018,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,24,prac:a19.1,a19.1,a19.1,Agroforestry Fallow (N fixing),FALSE,crop,era:practice:a19.1,Agroforestry / Agroforestry Fallow / Agroforestry Fallow (N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,25,prac:a19.2,a19.2,a19.2,Agroforestry Fallow (Non N fixing),FALSE,crop,era:practice:a19.2,Agroforestry / Agroforestry Fallow / Agroforestry Fallow (Non N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,26,prac:a19.3,a19.3,a19.3,Agroforestry Fallow (Unspecified),FALSE,crop,era:practice:a19.3,Agroforestry / Agroforestry Fallow / Agroforestry Fallow (Unspecified),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,27,prac:a99,a99,a99,Other Agroforestry,FALSE,crop,era:practice:a99,Agroforestry / Other Agroforestry / Other Agroforestry,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,28,prac:d17.1,d17.1,d17.1,Crop Fodders (Added),FALSE,livestock,era:practice:d17.1,Animals / Feed Addition / Crop Fodders (Added),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,29,prac:d17.2,d17.2,d17.2,Non Crop Fodders (Added),FALSE,livestock,era:practice:d17.2,Animals / Feed Addition / Non Crop Fodders (Added),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003005,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,30,prac:d17.3,d17.3,d17.3,Agroforestry Fodders (Added),FALSE,livestock,era:practice:d17.3,Animals / Feed Addition / Agroforestry Fodders (Added),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003006,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,31,prac:d17.4,d17.4,d17.4,Animal Manures (Added),FALSE,livestock,era:practice:d17.4,Animals / Feed Addition / Animal Manures (Added),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003007,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,32,prac:d17.5,d17.5,d17.5,Other Feed (Added),FALSE,livestock,era:practice:d17.5,Animals / Feed Addition / Other Feed (Added),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,33,prac:d18.1,d18.1,d18.1,Crop Fodders (Substituted),FALSE,livestock,era:practice:d18.1,Animals / Feed Substitution / Crop Fodders (Substituted),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_003011;AOM_003014,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,34,prac:d18.2,d18.2,d18.2,Non Crop Fodders (Substituted),FALSE,livestock,era:practice:d18.2,Animals / Feed Substitution / Non Crop Fodders (Substituted),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003015,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,35,prac:d18.3,d18.3,d18.3,Agroforestry Fodders (Substituted),FALSE,livestock,era:practice:d18.3,Animals / Feed Substitution / Agroforestry Fodders (Substituted),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003016,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,36,prac:d18.4,d18.4,d18.4,Animal Manures (Substituted),FALSE,livestock,era:practice:d18.4,Animals / Feed Substitution / Animal Manures (Substituted),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003017,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,37,prac:d18.5,d18.5,d18.5,Other Feed (Substituted),FALSE,livestock,era:practice:d18.5,Animals / Feed Substitution / Other Feed (Substituted),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,38,prac:d22.1,d22.1,d22.1,Chemically Processed Feed,FALSE,livestock,era:practice:d22.1,Animals / Feed Processing / Chemically Processed Feed,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000149,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,39,prac:d22.2,d22.2,d22.2,Mechanically Processed Feed,FALSE,livestock,era:practice:d22.2,Animals / Feed Processing / Mechanically Processed Feed,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000150,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,40,prac:d22.3,d22.3,d22.3,Concentrated Feed,FALSE,livestock,era:practice:d22.3,Animals / Feed Processing / Concentrated Feed,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_003021,AOM_003021,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,41,prac:d9,d9,d9,Improved Breeds,FALSE,livestock,era:practice:d9,Animals / Genetic Improvement / Improved Breeds,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,reuse-existing-aom-id-candidate,proposed,AOM_000154,AOM_000154,AOM_000154,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,42,prac:d10,d10,d10,Hybridization or Cross Breeding,FALSE,livestock,era:practice:d10,Animals / Genetic Improvement / Hybridization or Cross Breeding,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000155,AOM_000155,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,43,prac:d13,d13,d13,Manure Collection,FALSE,livestock,era:practice:d13,Animals / Manure Management / Manure Collection,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000159,AOM_000159,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,44,prac:d14,d14,d14,Manure Storage,FALSE,livestock,era:practice:d14,Animals / Manure Management / Manure Storage,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000160,AOM_000160,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,45,prac:d15,d15,d15,Manure Treatment,FALSE,livestock,era:practice:d15,Animals / Manure Management / Manure Treatment,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,reuse-existing-aom-id-candidate,proposed,AOM_000161,AOM_000161,AOM_000161,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,46,prac:d16,d16,d16,Rotational Grazing,FALSE,livestock,era:practice:d16,Animals / Pasture Management / Rotational Grazing,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,reuse-existing-aom-id-candidate,proposed,AOM_000163,AOM_000163,AOM_000163,AGRO_00000430,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,47,prac:d11,d11,d11,Improved Pasture (N fixing),FALSE,livestock,era:practice:d11,Animals / Pasture Management / Improved Pasture (N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000165,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,48,prac:d12,d12,d12,Improved Pasture (Non N fixing),FALSE,livestock,era:practice:d12,Animals / Pasture Management / Improved Pasture (Non N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000166,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,49,prac:d19,d19,d19,Controlled Grazing,FALSE,livestock,era:practice:d19,Animals / Pasture Management / Controlled Grazing,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,reuse-existing-aom-id-candidate,proposed,AOM_000168,AOM_000168,AOM_000168,AGRO_00000434,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,50,prac:d20,d20,d20,Cut & Carry,FALSE,livestock,era:practice:d20,Animals / Pasture Management / Cut & Carry,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000169,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,51,prac:d1,d1,d1,Aquasilviculture,FALSE,livestock,era:practice:d1,Animals / Aquasilviculture / Aquasilviculture,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,agricultural-practice-concept,reuse-existing-aom-id-candidate,proposed,AOM_000170,AOM_000170,AOM_000170,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,52,prac:h60,h60,h60,Basal or Conventional Diet,FALSE,livestock,era:practice:h60,Animals / Feed Addition; Feed Substitution / Basal or Conventional Diet,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,practice-or-condition-plus-experimental-role,reuse-existing-aom-id-candidate,proposed,AOM_003012,AOM_003012,AOM_003012,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,53,prac:h61,h61,h61,Conventional Supplement Use,FALSE,livestock,era:practice:h61,Animals / Feed Addition; Feed Substitution / Conventional Supplement Use,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,practice-or-condition-plus-experimental-role,reuse-existing-aom-id-candidate,proposed,AOM_003013,AOM_003013,AOM_003013,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,54,prac:h10.3,h10.3,h10.3,Conventional Manure Handling,FALSE,livestock,era:practice:h10.3,Animals / Manure Management / Conventional Manure Handling,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,practice-or-condition-plus-experimental-role,hold-existing-aom-code-mapping-review,held,AOM_000158,AOM_000158,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,55,prac:h11,h11,h11,Conventional Pasture Management,FALSE,livestock,era:practice:h11,Animals / Pasture Management / Conventional Pasture Management,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,practice-or-condition-plus-experimental-role,hold-existing-aom-code-mapping-review,held,AOM_000162,AOM_000162,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,56,prac:h55.2,h55.2,h55.2,Unspecified,FALSE,livestock,era:practice:h55.2,Animals / Genetic Improvement / Unspecified,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,practice-or-condition-plus-experimental-role,retain-distinct-context-pending-identity-review,held,,AOM_001507;AOM_003050;AOM_003051;AOM_003052,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,"Same label exists in AOM with different feed, animal, or generic scope; label equality cannot merge identities."
prac,57,prac:h55.1,h55.1,h55.1,Unimproved Breed,FALSE,livestock,era:practice:h55.1,Animals / Genetic Improvement / Unimproved Breed,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-livestock,practice-or-condition-plus-experimental-role,reuse-existing-aom-id-candidate,proposed,AOM_000153,AOM_000153,AOM_000153,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Normalized label and definition match one existing AOM concept; module placement still needs approval.
prac,58,prac:b34,b34,b34,Drip Irrigation,FALSE,crop,era:practice:b34,Blue Water Management / Irrigation / Drip Irrigation,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,59,prac:b37,b37,b37,Deficit Irrigation,FALSE,crop,era:practice:b37,Blue Water Management / Deficit Irrigation / Deficit Irrigation,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,60,prac:b72,b72,b72,Sprinkler Irrigation,FALSE,crop,era:practice:b72,Blue Water Management / Irrigation / Sprinkler Irrigation,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,61,prac:b36,b36,b36,Alternate Partial Rootzone Irrigation,FALSE,crop,era:practice:b36,Blue Water Management / Irrigation / Alternate Partial Rootzone Irrigation,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,62,prac:b54,b54,b54,Supplemental Irrigation,FALSE,crop,era:practice:b54,Blue Water Management / Supplemental Irrigation / Supplemental Irrigation,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,AGRO_00000588,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,63,prac:b53,b53,b53,Irrigation (Other),FALSE,crop,era:practice:b53,Blue Water Management / Irrigation / Irrigation (Other),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,64,prac:b13,b13,b13,Alternate Wetting & Drying (AWD),FALSE,crop,era:practice:b13,Blue Water Management / Improved Rice Management / Alternate Wetting & Drying (AWD),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
