concept_id,preferred_label,review_status,implementation_status,review_role,mechanisms,technical_objectives,possible_benefits,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_000821,Cellulase Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Cellulose transformation is direct objective; improved animal response is not universal.
AOM_000822,Hemicellulase Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Hemicellulose transformation is direct objective; improved animal response is not universal.
AOM_000823,Protease Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Protein hydrolysis is direct transformation; digestibility effect requires evidence.
AOM_000825,Phytase Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Nutrient availability improvement;Antinutritional-factor reduction,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Phytate transformation can release bound nutrients but measured availability depends on application context.
AOM_006824,Fibrolytic Treatment,approved,implemented,process-operation,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Current definition describes fibrolytic enzymes rather than process of treating feed with them.
AOM_000830,Fermentation,approved,implemented,process-operation,Biological,Constituent transformation;Preservation or stabilisation,Digestibility improvement;Nutrient availability improvement;Preservation or storage-stability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES,FoodOn places fermentation under both preservation and microbial or enzymatic modification supporting multi-objective modelling.
AOM_000831,Ensiling,approved,implemented,process-operation,Biological,Preservation or stabilisation;Constituent transformation,Preservation or storage-stability improvement;Palatability or intake improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,Ensiling combines anaerobic storage conditions with fermentation; outcome quality remains contextual.
AOM_004500,Inoculation,held,hold,process-operation,Unspecified at generic level,Component addition or application,Fermentation support;Preservation or storage-stability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Current definition conflates microorganisms and enzymes and overstates subsequent transformation as part of inoculation itself.
AOM_003098,Sprouting,approved,implemented,process-operation,Biological,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,Sprouting initiates biological transformation but nutritional direction and magnitude vary.
AOM_000834,Chopping,approved,implemented,process-operation,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,Cutting material into pieces directly satisfies particle-size reduction.
AOM_101090,Cracking,approved,implemented,process-operation,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,Cracking applies mechanical force to open or reduce particles.
AOM_000835,Crushing,approved,implemented,process-operation,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,Crushing directly reduces particle size by pressure or impact.
AOM_000836,Grinding,approved,implemented,process-operation,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,Grinding defines particle reduction but not exact size moisture condition or nutritional response.
AOM_000839,Hammer milling,approved,implemented,process-operation,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,Hammer milling is equipment-specific grinding operation.
AOM_000838,Flour milling,approved,implemented,process-operation,Mechanical,Particle-size reduction;Component separation or fraction recovery,Handling or mixing improvement;Process-output recovery,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,Flour milling combines reduction with separation of flour bran and intermediate fractions.
AOM_003097,Decortication,approved,implemented,process-operation,Mechanical,Component separation or fraction recovery,Composition tailoring;Handling improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES,Removing hull husk shell or cortex is mechanical component separation.
AOM_101073,Threshing,approved,implemented,process-operation,Mechanical,Component separation or fraction recovery,Process-output recovery;Handling improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,Threshing separates grain or seed from plant material by mechanical action.
AOM_101070,Pressing,approved,implemented,process-operation,Mechanical,Component separation or fraction recovery,Process-output recovery;Composition tailoring,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,Current uses express liquid or oil expelling; generic pressing can have other purposes so outputs remain evidence-specific.
AOM_000840,Pelleting,approved,implemented,process-operation,Mechanical,Shaping or agglomeration,Handling or mixing improvement;Palatability or intake improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Compression through die directly produces shaped agglomerates.
AOM_000833,Extrusion,approved,implemented,process-operation,Mechanical;Thermal,Shaping or agglomeration,Digestibility improvement;Handling or mixing improvement;Palatability or intake improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0042,Shaping is defining objective while heat pressure residence time and formulation determine transformation and benefit.
AOM_000841,Extrusion,approved,implemented,deprecated-duplicate,,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;ADR-0042,Published duplicate identity remains deprecated and must never be reused.
AOM_000827,Boiling,approved,implemented,process-operation,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Boiling applies heat in liquid or steam; nutritional and safety effects vary by material and conditions.
AOM_000828,Direct Boiling,approved,implemented,process-operation,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Direct contact describes heat-transfer arrangement rather than guaranteed benefit.
AOM_000829,Indirect Boiling,approved,implemented,process-operation,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;FOODON-PROCESS-TABLE,Indirect arrangement describes heat-transfer route rather than guaranteed benefit.
AOM_101096,Heating,approved,implemented,process-operation,Thermal,Context-dependent,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,Heating may cook dry sterilise condition or support another process; generic label cannot determine purpose.
AOM_101088,Autoclaving,approved,implemented,process-operation,Thermal,Constituent transformation,Antinutritional-factor reduction;Safety improvement;Digestibility improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,Autoclaving is pressurised heat treatment but actual objective and effect depend on protocol.
AOM_000832,Roasting,approved,implemented,process-operation,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement;Palatability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Heat-driven physicochemical change is direct process feature while nutrition can improve or deteriorate.
AOM_101124,Distillation,approved,implemented,process-operation,Thermal,Component separation or fraction recovery,Process-output recovery,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Distillation fractionates liquids through boiling and condensation.
AOM_101128,Rendering,approved,implemented,process-operation,Thermal,Component separation or fraction recovery;Preservation or stabilisation,Safety improvement;Preservation or storage-stability improvement;Process-output recovery,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;FEEDIPEDIA-POULTRY-MEAL,Rendering is multi-stage transformation of animal tissues; exact route and outputs require material-specific evidence.
AOM_000843,Drying,approved,implemented,process-operation,Unspecified at generic level,Moisture reduction,Preservation or storage-stability improvement;Handling improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE;ADR-0042,Natural artificial thermal pressure and osmotic routes prevent one universal mechanism classification.
AOM_000844,Wilting,approved,implemented,process-operation,Unspecified at generic level,Moisture reduction,Preservation or storage-stability improvement;Ensiling preparation,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,Wilting is partial moisture reduction and often preparatory to ensiling.
AOM_101069,Defatting,held,hold,technical-objective-value,,Fat removal,Composition tailoring,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,Defatting names achieved objective or state; extraction pressing centrifugation or another operation may implement it.
AOM_101072,Extraction,approved,implemented,process-operation,Unspecified at generic level,Component separation or fraction recovery,Composition tailoring;Process-output recovery,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Generic extraction spans different mechanisms and cannot be reduced to chemical thermal or mechanical alone.
AOM_101083,Hydrolysis,approved,implemented,process-operation,Unspecified at generic level,Constituent transformation,Digestibility improvement;Nutrient availability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Hydrolysis can use water with enzymes acid alkali heat or pressure and therefore has no single generic mechanism.
AOM_101099,Soaking,approved,implemented,process-operation,Unspecified at generic level,Moisture addition or conditioning,Softening;Antinutritional-factor reduction;Process preparation,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,Immersion directly conditions or hydrates material but other outcomes depend on liquid temperature duration and composition.
AOM_101123,Stacking,held,hold,process-operation,Unresolved,Unresolved,Safety improvement;Preservation or storage-stability improvement,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FEEDIPEDIA-POULTRY-LITTER,Only one poultry-litter use exists and Feedipedia reports material-specific aflatoxin reduction without defining one general mechanism.
AOM_101084,Sugar processing,approved,implemented-production-provenance,production-workflow,,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-TRANSFORMATION;ADR-0044,Sugar processing is upstream multi-step production workflow that generates molasses rather than one treatment intentionally applied to finished feed material.
AOM_101068,Brewhouse processing,approved,implemented,retired-provenance-precedent,,,,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md,docs/methods/feed-process-axis-governance.md,Pete Steward,2026-08-18,LOCAL-GOVERNANCE;FOODON-TRANSFORMATION;ADR-0044,Brewhouse processing was correctly removed because brewing by-products are outputs of brewing stages rather than feed treatments.
