source_name,accepted_name,rank,legacy_ncbi_taxon_id,proposed_ncbi_taxon_id,decision_action,status,reviewer,review_date,evidence,rationale
Annona senegalensis,Annona senegalensis,species,NCBITaxon_306945,NCBITaxon_306945,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=306945,Exact live NCBI name match.
Anthyllis tetraphylla,,,NCBITaxon_118890,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Aristida spp,,,NCBITaxon_121766,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Arthrospir platensis,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Artocarpus incisus,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Asteriscus maritimus,,,NCBITaxon_56521,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Atractylis cancellata,Atractylis cancellata,species,NCBITaxon_143173,NCBITaxon_143173,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=143173,Exact live NCBI name match.
Atriplex halimus,Atriplex halimus,species,NCBITaxon_240028,NCBITaxon_240028,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=240028,Exact live NCBI name match.
Azadirachta indica,Azadirachta indica,species,NCBITaxon_124943,NCBITaxon_124943,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=124943,Exact live NCBI name match.
Berchemia discolor,,,NCBITaxon_3103836,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Beta vulgaris,Beta vulgaris,species,NCBITaxon_161934,NCBITaxon_161934,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=161934,Exact live NCBI name match.
Bracharia,,,NCBITaxon_240448,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Bracharia decumbens,,,NCBITaxon_240448,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Brachiaria serrata,,,NCBITaxon_240448,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Brassica oleracea,Brassica oleracea,species,NCBITaxon_4710,NCBITaxon_3712,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3712,Live exact name match conflicts with inherited legacy target; replacement requires review.
Brassica oleracea sp.,,,NCBITaxon_3712,,hold_contextual,proposed-for-review,,,,Context or rank syntax prevents safe taxon identity.
Calycotome villosa,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Canavalia gladiata,Canavalia gladiata,species,NCBITaxon_3824,NCBITaxon_3824,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3824,Exact live NCBI name match.
Carissa edulis,Carissa edulis,species,NCBITaxon_992661,NCBITaxon_992661,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=992661,Exact live NCBI name match.
Centrosema molle,Centrosema molle,species,NCBITaxon_1300970,NCBITaxon_1300970,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1300970,Exact live NCBI name match.
Chamaecytisus palmensis,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Chloris spp.,Chloris,genus,NCBITaxon_66011,NCBITaxon_66011,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=66011,Source explicitly denotes unspecified species; preserve genus rank.
Cicer arietinum,Cicer arietinum,species,NCBITaxon_3917,NCBITaxon_3827,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3827,Live exact name match conflicts with inherited legacy target; replacement requires review.
Citrullus lanatus,Citrullus lanatus,species,NCBITaxon_3654,NCBITaxon_3654,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3654,Exact live NCBI name match.
Citrus sinensis,Citrus sinensis,species,NCBITaxon_2711,NCBITaxon_2711,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2711,Exact live NCBI name match.
Colocasia esculenta,Colocasia esculenta,species,NCBITaxon_4460,NCBITaxon_4460,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4460,Exact live NCBI name match.
Combretum aculeatum,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Combretum apiculatum,Combretum apiculatum,species,NCBITaxon_493957,NCBITaxon_493957,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=493957,Exact live NCBI name match.
Creeping bluegrass,,,NCBITaxon_79826,,hold_contextual,proposed-for-review,,,,Context or rank syntax prevents safe taxon identity.
Crossopterix febrifuga,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Cynadon plectostachyus,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Cynodon nlemfuensis,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Cynodon spp,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Cyperus elegantulus,Cyperus elegantulus,species,NCBITaxon_1234201,NCBITaxon_1234201,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1234201,Exact live NCBI name match.
Cyperus rotundus,Cyperus rotundus,species,NCBITaxon_512623,NCBITaxon_512623,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=512623,Exact live NCBI name match.
Daniellia oliveri,Daniellia oliveri,species,NCBITaxon_162735,NCBITaxon_162735,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=162735,Exact live NCBI name match.
Delonix elata,Delonix elata,species,NCBITaxon_162737,NCBITaxon_162737,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=162737,Exact live NCBI name match.
Desmodium distortum,Desmodium distortum,species,NCBITaxon_1125888,NCBITaxon_1125888,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1125888,Exact live NCBI name match.
Desmodium spp,Desmodium,genus,NCBITaxon_53866,NCBITaxon_53866,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=53866,Source explicitly denotes unspecified species; preserve genus rank.
Digitaria abyssinica,,,NCBITaxon_66017,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Digitaria decumbens,,,NCBITaxon_66017,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Digitaria nodosa,,,NCBITaxon_66017,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Digitaria smutsii,,,NCBITaxon_66017,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Digitaria ternota,,,NCBITaxon_66017,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Diheteropogon amplectens,Diheteropogon amplectens,species,NCBITaxon_8233,NCBITaxon_796866,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=796866,Live exact name match conflicts with inherited legacy target; replacement requires review.
Dioscorea,Dioscorea,genus,NCBITaxon_4672,NCBITaxon_4672,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4672,Exact live NCBI name match.
Eleusine floccifolia,Eleusine floccifolia,species,NCBITaxon_268724,NCBITaxon_268724,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=268724,Exact live NCBI name match.
Elionurus muticus,Elionurus muticus,species,NCBITaxon_91514,NCBITaxon_91514,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=91514,Exact live NCBI name match.
Eragotris tremula,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Eragrostis capensis,Eragrostis capensis,species,NCBITaxon_42051,NCBITaxon_42051,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42051,Exact live NCBI name match.
Eragrostis papposa,Eragrostis papposa,species,NCBITaxon_208284,NCBITaxon_208284,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=208284,Exact live NCBI name match.
Eragrostis rigidior,Eragrostis rigidior,species,NCBITaxon_208287,NCBITaxon_208287,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=208287,Exact live NCBI name match.
Eragrostis tef,Eragrostis tef,species,NCBITaxon_110835,NCBITaxon_110835,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=110835,Exact live NCBI name match.
Erythrina brucei,Erythrina brucei,species,NCBITaxon_1232591,NCBITaxon_1232591,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1232591,Exact live NCBI name match.
Eucalyptus alba,Eucalyptus alba,species,NCBITaxon_183808,NCBITaxon_183808,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=183808,Exact live NCBI name match.
Euclea schimperi,,,NCBITaxon_570501,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Fabaceae spp,,,,,hold_contextual,proposed-for-review,,,,Context or rank syntax prevents safe taxon identity.
Fabaceae spp.,,,NCBITaxon_3803,,hold_contextual,proposed-for-review,,,,Context or rank syntax prevents safe taxon identity.
Ficus polita,Ficus polita,species,NCBITaxon_378027,NCBITaxon_378027,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=378027,Exact live NCBI name match.
Ficus spp,Ficus,genus,NCBITaxon_319808,NCBITaxon_319808,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=319808,Source explicitly denotes unspecified species; preserve genus rank.
Ficus sur,Ficus sur,species,NCBITaxon_100575,NCBITaxon_100575,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=100575,Exact live NCBI name match.
Grewia similis,Grewia similis,species,NCBITaxon_1670854,NCBITaxon_1670854,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1670854,Exact live NCBI name match.
Grewia spp.,Grewia,genus,NCBITaxon_82407,NCBITaxon_82407,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=82407,Source explicitly denotes unspecified species; preserve genus rank.
Harissonia abyssinica,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Harpachne schimperi,,,NCBITaxon_4513,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Hyparrhenia filipendula,Hyparrhenia filipendula,species,NCBITaxon_106890,NCBITaxon_106890,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=106890,Exact live NCBI name match.
Hyperthelia dissoluta,Hyperthelia dissoluta,species,NCBITaxon_330566,NCBITaxon_330566,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=330566,Exact live NCBI name match.
Indigofera indica,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Jardinea congoensis,Jardinea congoensis,species,NCBITaxon_2837565,NCBITaxon_2837565,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2837565,Exact live NCBI name match.
Khaya senegalensis,Khaya senegalensis,species,NCBITaxon_587579,NCBITaxon_587579,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=587579,Exact live NCBI name match.
Lactobacillus plantarium,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Lates niloticus,Lates niloticus,species,NCBITaxon_29147,NCBITaxon_29147,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29147,Exact live NCBI name match.
Lemna minor,Lemna minor,species,NCBITaxon_4472,NCBITaxon_4472,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4472,Exact live NCBI name match.
Leucaena sp,Leucaena,genus,NCBITaxon_3865,NCBITaxon_3865,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3865,Source explicitly denotes unspecified species; preserve genus rank.
Lippia javanica,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Lolium multiflorum,Lolium multiflorum,species,NCBITaxon_4521,NCBITaxon_4521,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4521,Exact live NCBI name match.
Loudetia simplex,Loudetia simplex,species,NCBITaxon_318917,NCBITaxon_318917,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=318917,Exact live NCBI name match.
Loudetia togoensis,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Lupinus albus,Lupinus albus,species,NCBITaxon_3870,NCBITaxon_3870,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3870,Exact live NCBI name match.
Lupinus angustifolius,Lupinus angustifolius,species,NCBITaxon_3847;NCBITaxon_3870,NCBITaxon_3871,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3871,Live exact name match conflicts with inherited legacy target; replacement requires review.
Macrotermes bellicosus,Macrotermes bellicosus,species,NCBITaxon_201577,NCBITaxon_201577,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=201577,Exact live NCBI name match.
Macrotyloma axillare,Macrotyloma axillare,species,NCBITaxon_3876,NCBITaxon_3876,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3876,Exact live NCBI name match.
Medicago arborea,Medicago arborea,species,,NCBITaxon_66807,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=66807,Exact live NCBI name match.
Melinis repens,Melinis repens,species,NCBITaxon_29709,NCBITaxon_29709,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29709,Exact live NCBI name match.
Microchloa caffra,Microchloa caffra,species,NCBITaxon_121779,NCBITaxon_121779,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=121779,Exact live NCBI name match.
Musa paradisiaca,,,NCBITaxon_89151,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Oncorhynchus mykiss,Oncorhynchus mykiss,species,NCBITaxon_8022,NCBITaxon_8022,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8022,Exact live NCBI name match.
Pennisetum glaucum,Cenchrus americanus,species,NCBITaxon_4543,NCBITaxon_4543,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4543,Preserve source name and use current NCBI accepted name.
Pennisetum mezianum,,,NCBITaxon_281128,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Pennisetum petiolar,,,NCBITaxon_4541,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Phalaris aquatica,Phalaris aquatica,species,NCBITaxon_28479,NCBITaxon_28479,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28479,Exact live NCBI name match.
Piliostigma thonningii,Piliostigma thonningii,species,NCBITaxon_653098,NCBITaxon_653098,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=653098,Exact live NCBI name match.
Pisum sativum,Lathyrus oleraceus,species,NCBITaxon_3888,NCBITaxon_3888,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3888,Preserve source name and use current NCBI accepted name.
Plantago albicans,Plantago albicans,species,NCBITaxon_197790,NCBITaxon_197790,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=197790,Exact live NCBI name match.
Poaceae,Poaceae,family,NCBITaxon_4479,NCBITaxon_4479,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4479,Exact live NCBI name match.
Pogonarthria squarrosa,Pogonarthria squarrosa,species,NCBITaxon_269603,NCBITaxon_269603,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=269603,Exact live NCBI name match.
Prosopis,Prosopis,genus,NCBITaxon_35715,NCBITaxon_35715,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=35715,Exact live NCBI name match.
Psophocarpus scandens,,,NCBITaxon_47247,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Pterocarpus lucens,Pterocarpus lucens,species,NCBITaxon_1071184,NCBITaxon_1071184,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1071184,Exact live NCBI name match.
Pueraria phaseoloides,Neustanthus phaseoloides,species,NCBITaxon_109224,NCBITaxon_109224,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=109224,Preserve source name and use current NCBI accepted name.
Rhynchophorus phoenicisis,,,NCBITaxon_50557,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Rottboellia cochinchinensis,Rottboellia cochinchinensis,species,NCBITaxon_300125,NCBITaxon_300125,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=300125,Exact live NCBI name match.
Saccharum officinarum,Saccharum officinarum,species,NCBITaxon_4547,NCBITaxon_4547,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4547,Exact live NCBI name match.
Sardina pilchardus,Sardina pilchardus,species,NCBITaxon_27697,NCBITaxon_27697,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=27697,Exact live NCBI name match.
Schizachyrium exile,Schizachyrium exile,species,NCBITaxon_1564046,NCBITaxon_1564046,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1564046,Exact live NCBI name match.
Schizachyrium jeffreysii,Schizachyrium jeffreysii,species,NCBITaxon_2851936,NCBITaxon_2851936,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2851936,Exact live NCBI name match.
Secale cereale,Secale cereale,species,NCBITaxon_4550,NCBITaxon_4550,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4550,Exact live NCBI name match.
Sesbania goetzei,Sesbania goetzei,species,NCBITaxon_1332686,NCBITaxon_1332686,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1332686,Exact live NCBI name match.
Sesbania sp,,,NCBITaxon_2684522,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Solanum lycopersicum,Solanum lycopersicum,species,NCBITaxon_4081,NCBITaxon_4081,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4081,Exact live NCBI name match.
Sorghum sudanense,Sorghum x drummondii,species,NCBITaxon_171959,NCBITaxon_171959,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=171959,Preserve source name and use current NCBI accepted name.
Spermacoce stachydea,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Sporobolus natalensis,Sporobolus natalensis,species,NCBITaxon_523336,NCBITaxon_523336,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=523336,Exact live NCBI name match.
Sporobolus panicoides,Sporobolus panicoides,species,NCBITaxon_1629783,NCBITaxon_1629783,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1629783,Exact live NCBI name match.
Stereochlaena cameronii,Stereochlaena cameronii,species,NCBITaxon_1133591,NCBITaxon_1133591,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1133591,Exact live NCBI name match.
Stereospermum kunthianum,Stereospermum kunthianum,species,NCBITaxon_1237820,NCBITaxon_1237820,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1237820,Exact live NCBI name match.
Stipa parviflora,,,NCBITaxon_52162,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Stipa tenacissima,Macrochloa tenacissima,species,NCBITaxon_666013,NCBITaxon_666013,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=666013,Preserve source name and use current NCBI accepted name.
Stylosanthes hamata,Stylosanthes hamata,species,NCBITaxon_37660,NCBITaxon_37660,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=37660,Exact live NCBI name match.
Talinium triangulare,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Tephrosia bracteolata,Tephrosia bracteolata,species,NCBITaxon_1628388,NCBITaxon_1628388,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1628388,Exact live NCBI name match.
Terminalia brownii,,,NCBITaxon_684020,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Terminalia sericea,Terminalia sericea,species,NCBITaxon_459862,NCBITaxon_459862,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=459862,Exact live NCBI name match.
Themeda triandra,Themeda triandra,species,NCBITaxon_106636,NCBITaxon_106636,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=106636,Exact live NCBI name match.
Tribulus terrestris,Tribulus terrestris,species,NCBITaxon_210369,NCBITaxon_210369,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=210369,Exact live NCBI name match.
Trifolium repens,Trifolium repens,species,NCBITaxon_3899,NCBITaxon_3899,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3899,Exact live NCBI name match.
Tripsacum spp.,Tripsacum,genus,NCBITaxon_4562,NCBITaxon_4562,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4562,Source explicitly denotes unspecified species; preserve genus rank.
Trypsacum laxum,,,NCBITaxon_2851936,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
Urochloa mosambicensis,Urochloa mosambicensis,species,NCBITaxon_240432,NCBITaxon_240432,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=240432,Exact live NCBI name match.
Vallisneria aethiopica,,,,,hold_unresolved,proposed-for-review,,,,No unique exact live NCBI name-status match; source review required.
