concept_id,preferred_label,review_status,implementation_status,review_axis,recommended_disposition,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_000190,Measurement Method,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.
AOM_000197,Acid Detergent Fibre (ADF),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000198,Acid Detergent Lignin (ADL),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000199,Amino Acids,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.
AOM_000225,Ammonia,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000226,Ash,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000228,Carbohydrate,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000229,Carbon,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000230,Carbon:Nitrogen (C/N) Ratio,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000231,Celluose,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000232,Chlore,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000233,Choline,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000235,Condensed Tannins,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000237,Crude Fat,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000238,Crude Fibre,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000239,Crude Protein,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000240,Dry Matter,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000244,Energy Content,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.
AOM_000245,Ether Extract (EE),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000246,Fatty Acids (FA),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000247,Feed Lactate,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000248,Hemicellulose,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000249,Insoluble Fibre,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000252,Lignin,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000255,Microbial Nitrogen,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000256,Moisture,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000257,Neutral Detergent Fibre (NDF),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000258,Neutral Detergent Solubles (NDS),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000259,Nitrogen,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000260,Nitrogen Free Extracts (NFE),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000261,Organic Matter,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000262,Pectin,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000263,Phospholipid,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000267,Soluable Fibre,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000268,Tannins,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000269,Total Lipid,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000270,Total Phenols,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000271,Triglyceride,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000283,Vitamins,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.
AOM_002211,Oxalate,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_002212,Saponin,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_002214,Phytate,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_002555,Non-Fibrous Carbohydrates (NFC),approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_100849,Mineral content,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.
AOM_101115,Native-component retention states,approved,implemented,composition,move-out-of-composition,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;FOODON-LANGUAL,Whole-component retention is not one chemical concentration characteristic and current children mix integrity with composition state.
AOM_000187,Dry Matter,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000188,Estimated,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000189,Measured,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000200,alanine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000201,arginine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000202,asparagine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000203,aspartate,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000204,cysteine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000205,essential amino acid,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000206,free amino acid,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000207,glutamate,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000208,glycine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000209,histidine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000210,isoleucine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
AOM_000211,leucine,approved,retained-for-cohort-e,composition,retain-boundary-for-cohort-e,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.
