concept_id,preferred_label,disposition,semantic_class,target_parent_id,status,reviewer,review_date,evidence,rationale
AOM_001494,Finisher Diet,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001495,Growers Diet,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001496,Starter Diet,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001498,Sheep Meal,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001501,AquaNutro Abalone Grower,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001502,Swine Mix,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_002097,Fish Mix,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_002098,Poultry Feed,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_002109,Layer's Meal,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_002110,Chick Mash,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_003495,Growers Premix,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_003870,Rabbit Pellet,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_003991,Ruminant Premix,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_003995,Lamb and Ewe Pellet,feed_formulation,aom:FeedFormulation,AOM_001491,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook identity denotes a diet, ration, compound feed, premix, concentrate, mash, mix, meal, or feed product rather than one feed material."
AOM_001497,Megalac,feed_material,aom:FeedMaterial,AOM_006334,approved,Pete Steward,2026-08-11,https://www.megalac.com/products/2-megalac,"Manufacturer identifies Megalac as rumen-protected fat supplement, not a complete diet."
AOM_001579,Elancoban,feed_additive,aom:FeedAdditive,AOM_004433,approved,Pete Steward,2026-08-11,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2026.10123,EFSA identifies Elancoban G200 as feed additive containing monensin sodium.
AOM_001870,Prime Gluten 60,feed_material,aom:FeedMaterial,AOM_001571,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;docs/decisions/0043-feed-formulation-and-descriptor-model.md,Named protein feed product remains a material; formulation composition is not established.
AOM_006154,Prime Gluten 60 Ground,feed_material,aom:FeedMaterial,AOM_001870,approved,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;docs/decisions/0043-feed-formulation-and-descriptor-model.md,Ground presentation narrows material identity and does not create a formulated feed.
AOM_001500,ACTIPAL HP 1,hold_product_class,,AOM_000781,hold,Pete Steward,2026-08-11,era_master_sheet.xlsx#AOM;docs/decisions/0043-feed-formulation-and-descriptor-model.md,"Workbook preserves product identity but does not establish feed-material, additive, or formulation class."
