rule_id,dimension,source_pattern,normalized_value,default_confidence,approval_state,safety_constraint
PROCESS-SOAKED,process,soaked,Soaking,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-SPROUTED,process,sprouted,Sprouting,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-UREA_TREATED,process,urea treated,Urea treatment,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
PROCESS-WILTED,process,wilted,Wilting,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-BLOOD,component,blood,Blood,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-BRAN,component,bran,Bran,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-COB,component,cob,Cob,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-EAR,component,ear,Ear,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-GRAIN,component,grain,Grain,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-HEAD,component,head,Head,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-HUSK,component,husk,Husk,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-KERNEL,component,kernel,Kernel,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-LEAF,component,leaf,Leaf,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-PEEL,component,peel,Peel,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-POD,component,pod,Pod,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-ROOT,component,root,Root,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-SEED,component,seed,Seed,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-SHELL,component,shell,Shell,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-STEM,component,stem,Stem,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-STOVER,component,stover,Stover,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-STRAW,component,straw,Straw,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-TUBER,component,tuber,Tuber,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
COMPONENT-VINE,component,vine,Vine,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-BLOCK,form,block,Block,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-CAKE,form,cake,Cake,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-FLAKE,form,flake,Flake,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-FLOUR,form,flour,Flour,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-HAY,form,hay,Hay,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-LIQUID,form,liquid,Liquid,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-MEAL,form,meal,Meal,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-OIL,form,oil,Oil,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-PASTE,form,paste,Paste,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-PELLET,form,pellet,Pellet,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-POWDER,form,powder,Powder,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
FORM-PULP,form,pulp,Pulp,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-BROWN,quality,brown,Brown,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-GREEN,quality,green,Green,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-LOW_QUALITY,quality,low quality,Low quality,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-RED,quality,red,Red,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-RIPE,quality,ripe,Ripe,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-UNRIPE,quality,unripe,Unripe,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-WHITE,quality,white,White,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
QUALITY-YELLOW,quality,yellow,Yellow,high,proposed,proposal only; preserve legacy ID; require family review before merge or deprecation
AMBIGUOUS-WHOLE,ambiguous,whole,,low,held,"whole may mean whole crop, whole grain, whole organism, or physical presentation"
AMBIGUOUS-MEAL,ambiguous,meal,,low,held,"meal may identify product, physical form, or grinding result"
AMBIGUOUS-HAY,ambiguous,hay,,low,held,hay may identify conserved material or physical/product form
AMBIGUOUS-PULP,ambiguous,pulp,,low,held,"pulp may identify anatomical residue, by-product, or physical form"
AMBIGUOUS-GREEN,ambiguous,green,,low,held,"green may identify colour, maturity, or fresh state"
