concept_id,preferred_label,feedipedia_url,page_heading,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_001479,Megathyrsus maximus,https://www.feedipedia.org/node/11521,"Guinea grass, aerial part, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11521,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001482,Sugar Beet Molasses,https://www.feedipedia.org/node/12340,"Molasses, beet",approve_word_order_alias,approved,sugar beet,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12340,Beet molasses and sugar beet molasses identify same material.
AOM_001523,Tripsacum laxum,https://www.feedipedia.org/node/12169,"Guatemala grass (Tripsacum andersonii), aerial part, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12169,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001524,Piliostigma thonningii,https://www.feedipedia.org/node/11645,"Bauhinia thonningii, pods",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11645,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001563,Ulva rigida,https://www.feedipedia.org/node/19253,"Sea lettuce (Ulva spp.), dried",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/19253,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001618,Oat Fodder,https://www.feedipedia.org/node/12390,"Oat forage, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12390,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001785,Elionurus muticus,https://www.feedipedia.org/node/11772,"Antelope grass (Elionurus argenteus), aerial part, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11772,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001811,Rumen Contents,https://www.feedipedia.org/node/12538,"Rumen content, dehydrated",approve_datasheet_identity,approved,ruminant digestive contents,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12538,"Feedipedia datasheet identifies rumen contents independently of fresh, dried, or ensiled variants."
AOM_001845,Malt Sprout,https://www.feedipedia.org/node/11829,"Barley rootlets, dehydrated",approve_industry_alias,approved,barley malt,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11829,Feedipedia identifies malt culms as barley sprouts and rootlets.
AOM_001892,Sorghum Threshed Top,https://www.feedipedia.org/node/12624,"Soybean, aerial part, fresh",hold_contradictory_mapping_removed,held,,contradictory_mapping_removed,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12624,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.
AOM_001967,Grewia spp.,https://www.feedipedia.org/node/12149,"Grewia (Grewia kakothamnos), aerial part, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12149,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_002132,Rottboellia cochinchinensis,https://www.feedipedia.org/node/11528,"Itchgrass, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11528,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_002166,Sugarcane Bagasse,https://www.feedipedia.org/node/11673,"Bagasse, dehydrated",approve_source_material_identity,approved,sugarcane,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11673,Feedipedia identifies bagasse as sugarcane processing residue; table dehydration is narrower than retained source material.
AOM_002218,Mung Bean Haulm,https://www.feedipedia.org/node/12351,"Mung bean (Vigna radiata), aerial part, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12351,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_003072,Groundnut,https://www.feedipedia.org/node/12165,"Peanuts, without shells",approve_common_name_identity,approved,groundnut,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12165,Peanut and groundnut are common names for same governed crop source; table identifies unshelled seed material.
AOM_003075,Balanites aegyptiaca,https://www.feedipedia.org/node/11591,"Desert date, leaves, dry",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11591,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_003206,Poultry byproduct,https://www.feedipedia.org/node/12911,"Poultry by-product meal, high protein",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12911,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_003482,Sugar Beet,https://www.feedipedia.org/node/11843,"Beet root, sugar type, fresh",approve_source_material_identity,approved,sugar beet,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11843,Feedipedia identifies fresh sugar-beet root; governed concept retains source plus root component.
AOM_003893,Bambusa balcooa,https://www.feedipedia.org/node/11799,"Bamboo (Chusquea baculifera), leaves, dried",hold_contradictory_mapping_removed,held,,contradictory_mapping_removed,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11799,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.
AOM_003911,Cassava Sieviate,https://www.feedipedia.org/node/14530,"Cassava sievate, dehydrated",approve_spelling_variant_identity,approved,cassava,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/14530,Feedipedia spelling “sievate” and workbook “sieviate” identify same cassava processing residue.
AOM_004002,Maize Yellow,https://www.feedipedia.org/node/11628,"African yam bean (Sphenostylis stenocarpa), foliage, fresh",hold_contradictory_mapping_removed,held,,contradictory_mapping_removed,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11628,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.
AOM_006008,Chicken Manure,https://www.feedipedia.org/node/12473,"Poultry manure, dehydrated",approve_narrower_source_identity,approved,chicken,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12473,Chicken is governed poultry source; Feedipedia datasheet establishes poultry manure independently of dehydration variant.
AOM_006160,Brewers By-Product,https://www.feedipedia.org/node/11893,"Brewers grains, dehydrated",hold_broad_category_or_duplicate,held,,category_or_duplicate_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11893,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.
