concept_id,preferred_label,ingredient_family,has_approved_grinding,has_approved_drying,meal_lexeme_present,form_disposition,form_target,moisture_disposition,moisture_target,role_disposition,role_target,evidence,rationale
AOM_000542,Crustacean,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000543,Fish Ground,Animal,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort."
AOM_000544,Fish Oil,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000545,Fish Processing Waste,Animal Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Processing-waste role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000547,Nile Perch Fish Oil,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000549,Fish,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000550,African Palm Larvae Ground,Animal,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort."
AOM_000551,Black Soldier Fly Larvae Dried Ground,Animal,true,true,false,approved_comminuted_form,Comminuted particle form,approved_dried_from_process,Dried moisture condition,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. Approved Drying process supports dried moisture condition without implying one presentation form. No reviewed product-role evidence in this structural cohort."
AOM_000552,Grasshopper Ground,Animal,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort."
AOM_000553,Winged Termite Ground,Animal,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort."
AOM_000554,Insect,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000555,Whole Milk,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000556,Milk,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000557,Oyster Shells,Animal Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000558,Shell,Animal Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000559,Feeds of animal origin,Animal,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000561,Animal Manures,Animal Manures,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000563,Unspecified Bran,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000564,"Brewers grains, dehydrated",Crop Byproduct,false,true,false,not_in_form_cohort,,approved_dried_from_process,Dried moisture condition,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. Approved Drying process supports dried moisture condition without implying one presentation form. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000565,Brewers Spent Grain,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000567,Hominy Ground,Crop Byproduct,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained."
AOM_000569,Maize Cob,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000570,Maize Extruded,Crop Product,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort.
AOM_000571,Maize Offal,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Offal role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000572,Maize Straw,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000574,Oat Leaves Dried,Crop Byproduct,false,true,false,not_in_form_cohort,,approved_dried_from_process,Dried moisture condition,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. Approved Drying process supports dried moisture condition without implying one presentation form. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000575,Rice Bran,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000576,Rice Husk,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000577,Rice Offal,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Offal role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000578,Rice Polish,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000579,Rice Straw,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000580,Rye Bran,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000581,Sorghum Straw,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000582,Unspecified Straw,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000584,Barley Straw,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000585,Wheat Bran,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000586,Wheat Bran Remoulage,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000587,Wheat Dried,Crop Byproduct,false,true,false,not_in_form_cohort,,approved_dried_from_process,Dried moisture condition,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. Approved Drying process supports dried moisture condition without implying one presentation form. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000589,Wheat Offal,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Offal role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000591,Wheat Shorts,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Milling-shorts role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000594,Cereal ByProducts,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000595,Banana Leaves,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000596,Date Seed Ground,Crop Byproduct,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained."
AOM_000600,Watermelon Seed Ground,Crop Byproduct,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained."
AOM_000601,Cowpea Haulm,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Crop-residue role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000602,Cowpea Husk,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000603,Fava Bean Haulm,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Crop-residue role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000604,Groundnut Haulm,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Crop-residue role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000605,Groundnut Hull,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000606,Groundnut Husk Ground,Crop Byproduct,true,false,false,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained."
AOM_000607,Groundnut Ground,Crop Product,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort."
AOM_000608,Pea Seed Hull,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000609,Pigeon Pea Leaves,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000610,Soybean Cake,Crop Byproduct,false,false,false,approved_existing_specific_form,Cake form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,Existing reviewed presentation-form assertion remains authoritative. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000611,Soybean Full Fat Cake,Crop Byproduct,false,false,false,approved_existing_specific_form,Cake form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,Existing reviewed presentation-form assertion remains authoritative. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000612,Soybean Dried,Crop Byproduct,false,true,false,not_in_form_cohort,,approved_dried_from_process,Dried moisture condition,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. Approved Drying process supports dried moisture condition without implying one presentation form. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000613,Soybean Ground,Crop Product,true,false,true,approved_comminuted_form,Comminuted particle form,not_in_moisture_cohort,,not_in_role_cohort,,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,"Approved Grinding process supports broad comminuted-particle presentation; bulk consistency, moisture, particle size, and meal/powder subtype remain unspecified. No reviewed drying process or material-specific moisture evidence. No reviewed product-role evidence in this structural cohort."
AOM_000614,Soybean Residue,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_existing_role,Residue role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Existing reviewed product-role assertion remains authoritative.
AOM_000615,Legume ByProducts,Crop Byproduct,false,false,false,not_in_form_cohort,,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,No reviewed grinding result or governed presentation-form assertion. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
AOM_000616,Canola Cake,Crop Byproduct,false,false,false,approved_existing_specific_form,Cake form,not_in_moisture_cohort,,approved_branch_to_role_translation,By-product role,docs/decisions/0041-feed-material-structural-model.md;docs/decisions/0042-feed-process-and-material-state-axes.md,Existing reviewed presentation-form assertion remains authoritative. No reviewed drying process or material-specific moisture evidence. Canonical legacy by-product branch classification translated to explicit productRole; compatibility hierarchy retained.
