concept_id,preferred_label,review_scope,current_parent_ids,current_parent_labels,current_top_group_ids,current_top_group_labels,current_descendant_count,current_governed_types,current_definition,problem_category,recommended_action,recommended_axis,recommended_target,evidence_state,rationale
AOM_000744,Cement,other_ingredients_descendant,AOM_000745,Binder,AOM_000745,Binder,0,,"A feed ingredient with governed workbook identity “Cement”, classified within “Binder”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",material or additive hidden beneath Binder role category,reparent-and-link-role,feed material or feed additive,independent identity plus Binder role,requires-item-evidence,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_000745,Binder,other_ingredients_descendant,AOM_000781,Other Ingredients,AOM_000745,Binder,14,,An AOM controlled category for “Binder” within “Other Ingredients”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,role category used as material superclass,split,material plus functional role,independent materials linked to Binder role,model-supported,Binder already has a governed product-role value; substances require independent material/additive classification.
AOM_000746,Chromium Oxide,other_ingredients_descendant,AOM_000747,Digestibility Marker,AOM_000747,Digestibility Marker,1,,"A feed ingredient with governed workbook identity “Chromium Oxide”, classified within “Digestibility Marker”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",marker substance hidden beneath experimental role,reparent-and-link-role,chemical substance,Chromium oxide plus Digestibility-marker role,model-supported,Ground form remains separate presentation/process evidence; marker function is a role.
AOM_000747,Digestibility Marker,other_ingredients_descendant,AOM_000781,Other Ingredients,AOM_000747,Digestibility Marker,2,,An AOM controlled category for “Digestibility Marker” within “Other Ingredients”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,experimental role used as material superclass,split,material plus experimental role,marker substances linked to Digestibility-marker role,model-supported,"Digestibility marker is a study role, while chromium oxide is a substance."
AOM_000748,Asperozym (Fibrolytic Enzymes),supplement_descendant,AOM_000751,Enzyme,AOM_000751,Enzyme,0,,"An AOM feed material with governed operational source identity “Asperozym (Fibrolytic Enzymes)”. Component, whole-material integrity, processing method, presentation form, bulk consistency, moisture condition, product role, composition, constituent, and nutritional properties are unspecified unless separately asserted.",additive category under material catch-all,move,feed additive,zootechnical additives / digestibility enhancers,authority-supported,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000749,Axtra Phy Broiler,supplement_descendant,AOM_000751,Enzyme,AOM_000751,Enzyme,0,,"An AOM feed material with governed operational source identity “Axtra Phy Broiler”. Component, whole-material integrity, processing method, presentation form, bulk consistency, moisture condition, product role, composition, constituent, and nutritional properties are unspecified unless separately asserted.",additive category under material catch-all,move,feed additive,zootechnical additives / digestibility enhancers,authority-supported,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000750,Phytase,supplement_descendant,AOM_000751,Enzyme,AOM_000751,Enzyme,1,,Myo-inositol hexakisphosphate phosphohydrolase,additive category under material catch-all,move,feed additive,zootechnical additives / digestibility enhancers,authority-supported,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000751,Enzyme,supplement_descendant,AOM_000736,Supplement,AOM_000751,Enzyme,7,,Enzyme supplements that are activated in the digestive system of an animal after ingestion. Enzymes that are involved in the pre-treatment of raw feed materials (which aims to enhance nutrient availability and digestibility before consumption by animals) should not be classified as supplements as they are a form of biological feed processing.,additive category under material catch-all,move,feed additive,zootechnical additives / digestibility enhancers,authority-supported,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000753,Bicarbonate of Soda,other_ingredients_descendant,AOM_000781,Other Ingredients,AOM_000753,Bicarbonate of Soda,0,,"A feed ingredient with governed workbook identity “Bicarbonate of Soda”, classified within “Other Ingredients”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material hidden under residual category,move,feed material,mineral feed materials,catalogue-supported,Sodium bicarbonate identity should be classified with mineral feed materials.
AOM_000754,Calcium,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Calcium”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000755,Chalk,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Chalk”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000756,Copper,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,1,,"A feed-supplement ingredient with governed workbook identity “Copper”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000757,Dicalcium Phosphate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,2,,"A feed-supplement ingredient with governed workbook identity “Dicalcium Phosphate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000758,Iodated Salt,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Iodated Salt”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000759,Iodine,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Iodine”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000760,Lime,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,1,,"A feed-supplement ingredient with governed workbook identity “Lime”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000763,Manganese,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Manganese”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000764,Mineral Block,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,1,,A feed material with governed source identity “mineral” and characteristics: presentation form — Block form.,formulation under mineral material catch-all,move,feed formulation,mineral complementary feeds,model-supported,"Blocks, licks, and mixes are multi-component formulations."
AOM_000765,Maclik,supplement_descendant,AOM_000764,Mineral Block,AOM_000779,Mineral,0,,"An AOM feed material with governed operational source identity “Maclik”. Component, whole-material integrity, processing method, presentation form, bulk consistency, moisture condition, product role, composition, constituent, and nutritional properties are unspecified unless separately asserted.",formulation under mineral material catch-all,move,feed formulation,mineral complementary feeds,model-supported,"Blocks, licks, and mixes are multi-component formulations."
AOM_000766,Mineral Lick,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Mineral Lick”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",formulation under mineral material catch-all,move,feed formulation,mineral complementary feeds,model-supported,"Blocks, licks, and mixes are multi-component formulations."
AOM_000768,Monocalcium Phosphate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Monocalcium Phosphate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000770,Phosphorus,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Phosphorus”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000772,Salt,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,2,,"A feed ingredient with governed workbook identity “Salt”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000774,Selenium,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Selenium”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000776,Sulphur,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Sulphur”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000777,Tricalcium Phosphate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Tricalcium Phosphate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000778,Zinc,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Zinc”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000779,Mineral,supplement_descendant,AOM_000736,Supplement,AOM_000779,Mineral,44,,An AOM controlled category for “Mineral” within “Supplement”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,"branch mixes substances, materials, additives, and formulations",split,multiple feed axes,mineral feed materials; trace-element additives; mineral complementary feeds; chemical constituents,authority-supported,"Mineral identity alone does not determine material, additive, formulation, or constituent role."
AOM_000780,Lecithin,other_ingredients_descendant,AOM_000781,Other Ingredients,AOM_000780,Lecithin,0,,"A feed ingredient with governed workbook identity “Lecithin”, classified within “Other Ingredients”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",substance classified without intended function,move-or-hold,feed additive or feed material,emulsifier additive when intended; material otherwise,requires-use-evidence,Lecithin status depends on product identity and intended technological function.
AOM_000781,Other Ingredients,feed_material_direct_child,AOM_100850,Feed materials,,,54,,An AOM controlled category for “Other Ingredients” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,meaningless residual material superclass,retire-after-disposition,none,independent evidence-backed branches,model-supported,Other Ingredients provides no reusable semantics and hides unresolved identity decisions.
AOM_000782,Antitoxins,other_ingredients_descendant,AOM_000781,Other Ingredients,AOM_000782,Antitoxins,0,,An AOM controlled category for “Antitoxins” within “Other Ingredients”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,functional class used as material,move,feed additive function,toxin-binding or decontamination functions,requires-product-evidence,Antitoxin does not identify one substance or product.
AOM_000783,Molasses & Urea Block,other_ingredients_descendant,AOM_000781,Other Ingredients,AOM_000783,Molasses & Urea Block,0,,A feed material with governed source identity “molasses urea” and characteristics: presentation form — Block form.,multi-component product under residual material category,move,feed formulation,complementary feeds / blocks,model-supported,Molasses and urea block is a formulation.
AOM_000787,Choline Cloride,supplement_descendant,AOM_000793,Vitamin,AOM_000793,Vitamin,0,,"2-hydroxy-N,N,N-trimethylethanaminium",vitamin substance under supplement catch-all,move-or-hold,feed additive,nutritional additives / vitamins and provitamins,requires-substance-evidence,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000788,Vitamin B12,supplement_descendant,AOM_000793,Vitamin,AOM_000793,Vitamin,0,,"A feed-supplement ingredient with governed workbook identity “Vitamin B12”, classified within “Vitamin”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",vitamin substance under supplement catch-all,move-or-hold,feed additive,nutritional additives / vitamins and provitamins,requires-substance-evidence,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000789,Vitamin C,supplement_descendant,AOM_000793,Vitamin,AOM_000793,Vitamin,0,,"A feed-supplement ingredient with governed workbook identity “Vitamin C”, classified within “Vitamin”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",vitamin substance under supplement catch-all,move-or-hold,feed additive,nutritional additives / vitamins and provitamins,requires-substance-evidence,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000790,Vitamin E,supplement_descendant,AOM_000793,Vitamin,AOM_000793,Vitamin,0,,"A feed-supplement ingredient with governed workbook identity “Vitamin E”, classified within “Vitamin”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",vitamin substance under supplement catch-all,move-or-hold,feed additive,nutritional additives / vitamins and provitamins,requires-substance-evidence,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000791,Vitamin Mix,supplement_descendant,AOM_000793,Vitamin,AOM_000793,Vitamin,0,,An AOM controlled category for “Vitamin Mix” within “Vitamin”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,vitamin mixture under additive substance branch,move,feed formulation,premixtures or complementary feeds,model-supported,"Vitamin mixtures are multi-component preparations, not single material substances."
AOM_000793,Vitamin,supplement_descendant,AOM_000736,Supplement,AOM_000793,Vitamin,10,,An AOM controlled category for “Vitamin” within “Supplement”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,additive category under material catch-all,split,feed additive and formulation,nutritional additives; vitamin premixtures,authority-supported,Vitamin substances are nutritional additives; vitamin mixes are premixtures or formulations.
AOM_000794,Minerals and Vitamins Mix,supplement_descendant,AOM_000795,Mixture,AOM_000795,Mixture,0,,An AOM controlled category for “Minerals and Vitamins Mix” within “Mixture”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,generic mixture used as feed material,move,feed formulation,mineral or vitamin complementary feeds,authority-supported,"Mixtures are formulations, not single feed materials."
AOM_000795,Mixture,supplement_descendant,AOM_000736,Supplement,AOM_000795,Mixture,3,,An AOM controlled category for “Mixture” within “Supplement”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,generic mixture used as feed material,move,feed formulation,mineral or vitamin complementary feeds,authority-supported,"Mixtures are formulations, not single feed materials."
AOM_000807,Prebiotic,feed_material_direct_child,AOM_100850,Feed materials,,,1,,An AOM controlled category for “Prebiotic” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,functional use class asserted as feed material,move,feed additive function,zootechnical additives / gut-flora function,authority-supported,Prebiotic describes intended physiological function and may apply to different substances.
AOM_000808,Fumaric Acid,organic_acid_descendant,AOM_006389,Organic Acid,,,0,,"A organic-acid feed ingredient with governed workbook identity “Fumaric Acid”, classified within “Organic Acid”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",chemical substance classified as feed material by superclass,move-or-hold,chemical substance or feed additive,Fumaric acid; acidity-regulator function separately,requires-use-evidence,Fumaric acid is an organic acid and may be used as an additive; use does not alter chemical identity.
AOM_000809,Essential Fatty Acid,feed_material_direct_child,AOM_100850,Feed materials,,,0,,An AOM controlled category for “Essential Fatty Acid” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,chemical class used as feed-material category,move,chemical constituent,Primary chemical constituents,authority-supported,"Essential fatty acid denotes chemical composition, not one feed material."
AOM_000811,Herb or Extract,feed_material_direct_child,AOM_100850,Feed materials,,,9,,An AOM controlled category for “Herb or Extract” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,compound category mixes source material and extraction state,split,feed material plus process,herb feed materials; extracts linked to Extraction,requires-concept-review,Herbs and extracts require separate material identity and processing assertions.
AOM_000838,Flour milling,component_composition_process_structure,AOM_000837;AOM_101129;AOM_101130,Mechanical feed processes;Feed particle-size reduction processes;Feed separation processes,,,0,aom:ProcessingMethod,A mechanical process combining particle-size reduction with separation into flour bran and intermediate fractions.,process grouped by broad separation objective,retain-with-reviewed-parent,process objective,Feed component separation processes,process-definition-supported,Retain separation parent only when process definition removes or recovers a component or fraction.
AOM_001066,Cobalt,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Cobalt”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",element identity used as feed material,move-or-hold,chemical constituent or feed additive,chemical elements; authorized trace-element compounds separately,requires-compound-and-use-evidence,Element label alone does not identify a feed material or authorized additive preparation.
AOM_001067,Copper Sulfate Anhydrous,supplement_descendant,AOM_000756,Copper,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Copper Sulfate Anhydrous”, classified within “Copper”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",trace-element compound under supplement catch-all,move-or-hold,feed additive,nutritional additives / trace-element compounds,requires-authorization-evidence,Trace-element compound use requires product and authorization evidence.
AOM_001068,Pseudovitamin,supplement_descendant,AOM_000736,Supplement,AOM_001068,Pseudovitamin,1,,"A feed-supplement ingredient with governed workbook identity “Pseudovitamin”, classified within “Supplement”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",chemical class under material catch-all,move,chemical substance or feed additive,chemical substances; intended additive use separately,requires-substance-evidence,Pseudovitamin is not a material product class.
AOM_001069,Inositol,supplement_descendant,AOM_001068,Pseudovitamin,AOM_001068,Pseudovitamin,0,,"A natural sugar found in cell membrane phospholipids, plasma lipoproteins, and (as the phosphate form) in the nucleus with potential chemopreventive properties. As one of a number of intracellular phosphate compounds, inositol is involved in cell signaling and may stimulate tumor cell differentiation. (NCI04).Cyclohexane-1,2,3,4,5,6-hexol",substance under ambiguous pseudovitamin material branch,move-or-hold,chemical substance or feed additive,Inositol with explicit feed role,requires-use-evidence,Inositol identity does not by itself establish material or additive use.
AOM_001091,Anti-mycotoxin,supplement_descendant,AOM_000736,Supplement,AOM_001091,Anti-mycotoxin,0,,"A feed-supplement ingredient with governed workbook identity “Anti-mycotoxin”, classified within “Supplement”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",functional category under material catch-all,move,feed additive function,technological additives / mycotoxin reduction,authority-supported,EU feed-additive functional groups explicitly represent substances reducing mycotoxin contamination.
AOM_001367,Ammonium Chloride,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Ammonium Chloride”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001368,Ammonium Sulphate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Ammonium Sulphate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001369,Calcium Bicarbonate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Calcium Bicarbonate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001370,Calcium Carbonate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,1,,"A feed-supplement ingredient with governed workbook identity “Calcium Carbonate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001371,Calcium Oxide,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Calcium Oxide”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001372,Calcium Phosphate,supplement_descendant,AOM_000779,Mineral,AOM_000779,Mineral,0,,"A feed-supplement ingredient with governed workbook identity “Calcium Phosphate”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",mineral material under supplement catch-all,move,feed material,mineral feed materials,catalogue-supported,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
