concept_id,preferred_label,prior_blocker,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_000749,Axtra Phy Broiler,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_000765,Maclik,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001151,Gmelina arborea,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/616,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_001193,Groundnut Oil,public_authority_mismatch,approve_authority_source_with_facets,approved,groundnut,,Pete Steward,2026-08-06,2162;http://aims.fao.org/aos/agrovoc/c_35679;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378,Public source mappings establish groundnut; explicit oil descriptor supplies bounded constituent.
AOM_001254,Groundnut Cake,public_authority_mismatch,approve_authority_source_with_facets,approved,groundnut,,Pete Steward,2026-08-06,0142;2191;http://aims.fao.org/aos/agrovoc/c_35679;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378,Public source mappings establish groundnut; explicit cake descriptor supplies bounded material form.
AOM_001297,Maize Sheath,public_authority_mismatch,approve_authority_source_with_facets,approved,maize,,Pete Steward,2026-08-06,0112;http://aims.fao.org/aos/agrovoc/c_a40b4471;http://purl.obolibrary.org/obo/NCBITaxon_4577;wfo-0000907754,Public source mappings establish maize; explicit sheath descriptor supplies bounded anatomical part.
AOM_001308,Canola Oil,public_authority_mismatch,approve_authority_source_with_facets,approved,canola,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-0000571271,Public source mappings establish canola; explicit oil descriptor supplies bounded constituent.
AOM_001309,Canola,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-0000571271,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001333,Oil,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_36344;http://purl.obolibrary.org/obo/NCBITaxon_4710,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001382,Andropogon abyssinica,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_2003509,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001439,Beetroot Discards,public_authority_mismatch,approve_authority_source_with_facets,approved,beetroot,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_27459;http://purl.obolibrary.org/obo/NCBITaxon_161934;wfo-0000564998,Public source mappings establish beetroot; explicit discard descriptor supplies bounded product role.
AOM_001465,Cynodon nlemfuensis,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/602,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_001475,Lolium,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/625,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_001497,Megalac,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001500,ACTIPAL HP 1,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001501,AquaNutro Abalone Grower,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001526,Lotus corniculatus,retrieval_failure,hold_unreliable_source,held,,retrieval_failure,Pete Steward,2026-08-06,https://www.feedipedia.org/node/219966,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_001536,Chromolaena odorata,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/611,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_001561,Ulva lactuca,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,0493;http://purl.obolibrary.org/obo/NCBITaxon_63410,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001562,Ulva armoricana,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,0493;http://purl.obolibrary.org/obo/NCBITaxon_216035,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001579,Elancoban,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001603,Acacia tortilis Fruits,public_authority_mismatch,approve_authority_source_with_facets,approved,Acacia tortilis,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_50;http://purl.obolibrary.org/obo/NCBITaxon_138046;wfo-0001428832,Public taxon mappings establish Acacia tortilis; explicit fruit descriptor supplies bounded anatomical part.
AOM_001675,Baby Corn Stalk,public_authority_mismatch,approve_authority_source_with_facets,approved,maize,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_d859f064;http://purl.obolibrary.org/obo/NCBITaxon_4577;wfo-0000907754,Public source mappings establish maize; explicit baby-corn stalk descriptor supplies bounded stem part.
AOM_001760,Acacia etbaica,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,01919.9;http://aims.fao.org/aos/agrovoc/c_1323858907498;http://purl.obolibrary.org/obo/NCBITaxon_546664;wfo-0000195087,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001761,Acacia etbaica Fruits,public_authority_mismatch,approve_authority_source_with_facets,approved,Acacia etbaica,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_1323858907498;http://purl.obolibrary.org/obo/NCBITaxon_546664;wfo-0000195087,Public taxon mapping establishes Acacia etbaica; explicit fruit descriptor supplies bounded anatomical part.
AOM_001766,Acacia polyacantha,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,01919.9;http://aims.fao.org/aos/agrovoc/c_1323858907498;http://purl.obolibrary.org/obo/NCBITaxon_546664;wfo-0000209605,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001771,Leucaena pallida,public_authority_mismatch,hold_evidence_boundary,held,,public_authority_mismatch,Pete Steward,2026-08-06,01919.9;http://aims.fao.org/aos/agrovoc/c_15843;http://purl.obolibrary.org/obo/NCBITaxon_190754;wfo-0000192527,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001805,African Palm Larvae,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_50557,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_001817,Legume Residue,public_authority_mismatch,approve_authority_source_with_facets,approved,legume,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_13356;http://purl.obolibrary.org/obo/NCBITaxon_3821,Public classification establishes legume source; explicit residue descriptor supplies bounded product role.
AOM_001821,Terminalia brownii,retrieval_failure,hold_unreliable_source,held,,retrieval_failure,Pete Steward,2026-08-06,https://www.feedipedia.org/node/812699,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_001842,Cabbage Discards,public_authority_mismatch,approve_authority_source_with_facets,approved,cabbage,,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-0000571350,Public source mappings establish cabbage; explicit discard descriptor supplies bounded product role.
AOM_001846,Pollard,unmodelled_derived_material_descriptor,approve_industry_material_with_facets,approved,cereal milling,,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4498,Pollard is retained as named cereal-milling by-product; no cereal species is inferred.
AOM_001868,Toxynil,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001870,Prime Gluten 60,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_001871,Urtica dioica,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3501;wfo-0000416616,Available authority does not establish complete public material identity; retain explicit hold.
AOM_001903,Asteraceae,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4210;wfo-7000000146,Available authority does not establish complete public material identity; retain explicit hold.
AOM_002200,Chlorella vulgaris,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3077,Available authority does not establish complete public material identity; retain explicit hold.
AOM_003064,Aspilia africana,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/579,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_003172,Food Waste,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/614,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_003359,Onion Veins,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4679;wfo-0000755919,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_003747,Axtra XAP,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_003749,Natuzyme,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_003858,Groundnut Veins,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,0142;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_003899,Spondias mombin,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://feedipedia.org/node/653,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_003910,Legume Mixtures Weeds,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,01919.9;ttp://purl.obolibrary.org/obo/NCBITaxon_556517;wfo-0000185059,Available authority does not establish complete public material identity; retain explicit hold.
AOM_003929,Lima Bean Vein,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3884;wfo-0000183263,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_003930,Soybean Cheese Waste,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,0141;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462,Available authority does not establish complete public material identity; retain explicit hold.
AOM_003977,Tridax procumbens,source_warning,hold_unreliable_source,held,,source_warning,Pete Steward,2026-08-06,https://www.feedipedia.org/node/659,Warned or unreachable source cannot support definition and no independent material-grade authority is available.
AOM_003996,Sweet Basil,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_39350;wfo-0000253230,Available authority does not establish complete public material identity; retain explicit hold.
AOM_006003,Molasses,unmodelled_derived_material_descriptor,approve_generic_material_with_facets,approved,sugar processing,,Pete Steward,2026-08-06,23540;http://purl.obolibrary.org/obo/NCBITaxon_4547,"Generic molasses identity is represented through liquid, sugar-processing, and by-product facets."
AOM_006169,Groundnut Residue,public_authority_mismatch,approve_authority_source_with_facets,approved,groundnut,,Pete Steward,2026-08-06,0142;01913;http://aims.fao.org/aos/agrovoc/c_35679;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378,Public source mappings establish groundnut; explicit residue descriptor supplies bounded product role.
AOM_006331,Agrivate,external_product_evidence,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Branded product needs stable manufacturer, formulation, and product evidence before public definition."
AOM_006410,Occicum gatissimum,unmodelled_derived_material_descriptor,hold_evidence_boundary,held,,unmodelled_derived_material_descriptor,Pete Steward,2026-08-06,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_204144,Available authority does not establish complete public material identity; retain explicit hold.
