concept_id,preferred_label,review_axis,depth_from_axis_root,current_parent_ids,current_parent_labels,direct_child_count,descendant_count,semantic_type,ingredient_part_assertions,material_component_assertions,primary_constituent_assertions,composition_state_assertions,distinct_material_count,review_role,review_status,current_definition
AOM_000226,Ash,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Ash remaining after incineration, a rough approximation of mineral matter. Source: Feedipedia"
AOM_000228,Carbohydrate,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable or observable characteristics related to the concentration of carbohydrate (CHEBI:16646) in feed
AOM_000229,Carbon,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable or observable characteristics related to the concentration of carbon in feed
AOM_000230,Carbon:Nitrogen (C/N) Ratio,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,Any measurable or observable characteristic related to ratio between the content of carbon and the content of nitrogen of the soil. Source: EOL
AOM_000231,Celluose,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Any measurable or observable characteristics related to the concentration of cellulose (NCIT:C68491) in feed. Cellulose is a complex carbohydrate and the primary structural component of plant cell walls. In animal feeds, cellulose serves as a source of dietary fiber and is particularly important for ruminants, as it is broken down by microbial fermentation in the rumen, providing energy to the animal. (HV GPT4)"
AOM_000232,Chlore,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of chlore (CHEBI:23116) in feed
AOM_000233,Choline,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristics related to the concentration of choline (CHEBI:15354) in feed
AOM_000235,Condensed Tannins,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Condensed tannins, also known as proanthocyanidins (CHEBI:26267), are a group of naturally occurring polyphenolic compounds found in various plant-based feed ingredients. They can form complexes with proteins, carbohydrates, and other dietary components, influencing the palatability, digestibility, and overall nutritional value of animal feeds. While moderate levels of condensed tannins may have beneficial effects, such as reducing gastrointestinal parasites or improving protein utilization, excessive amounts can negatively impact feed intake, nutrient absorption, and animal performance. (HV GPT4)"
AOM_000237,Crude Fat,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Crude fat is a measure of the total extractable lipids (CHEBI:18059) present in feed materials, including triglycerides, phospholipids, sterols, and other fatty substances. It is an essential component of livestock diets, as it serves as a concentrated source of energy and provides essential fatty acids for growth, reproduction, and overall health. The crude fat content is determined by solvent extraction methods, which help estimate the energy value of feedstuffs and guide the formulation of nutritionally balanced animal diets.

Crude fat and crude lipid are often used interchangeably to refer to the same measure of extractable lipids in feed materials. However, the term ""lipid"" is broader in scope, encompassing a wider variety of fat-soluble compounds, whereas ""fat"" typically refers to triglycerides and closely related substances. Despite this distinction, both terms are commonly used to describe the total lipid content of animal feeds. (HV GPT4)"
AOM_000238,Crude Fibre,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"A measurement of fibre content. Also known as Weende cellulose, crude fibre is the insoluble residue of an acid hydrolysis followed by an alkaline one. This residue contains true cellulose and insoluble lignin. It is also used to assess hair, hoof or feather residues in animal by-products. Even though the more accurate Van Soest analysis has superseded it since the 1970s, the analysis of crude fibre remains common in feed laboratories. Source: Feedipedia"
AOM_000239,Crude Protein,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"A measurement of protein content. In animal feeds, crude protein is calculated as mineral nitrogen x 6.25 (the assumption is that proteins of typical animal feeds contain 16% nitrogen in average). The mineral nitrogen value is obtained by the Kjeldahl method, or by a method giving similar results after correction, such as the Dumas method. Source: Feedipedia"
AOM_000240,Dry Matter,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Dry matter is calculated as the difference between the total weight and the moisture content. It is usually obtained by oven-drying, but there are methods specific to products such as silages, fats and molasses. Usually abbreviated as DM. Source: Feedipedia"
AOM_000244,Energy Content,composition,1,AOM_000196,Feed Chemical Composition,3,3,,0,0,0,0,0,composition-grouping,proposed,A livestock-management concept concerning Energy Content within Feed Chemical Composition.
AOM_000245,Ether Extract (EE),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Crude fat, extracted by diethyl ether or petroleum ether, usually without prior hydrolysis. Source: Feedipedia"
AOM_000246,Fatty Acids (FA),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of fatty acid (CHEBI:35366) in feed. It could be declared by the manufacturer
AOM_000247,Feed Lactate,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristics related to the concentration of lactate (CHEBI:24996) in feed
AOM_000248,Hemicellulose,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Any measurable or observable characteristics related to the concentration of hemicellulose (CHEBI:61266) in feed. Hemicellulose is a heterogeneous group of polysaccharides found in plant cell walls. In animal feeds, hemicellulose contributes to dietary fiber and is more easily broken down than cellulose, making it a source of fermentable carbohydrates for ruminants and other animals with specialized digestive systems. (HV GPT4)"
AOM_000249,Insoluble Fibre,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristics related to food fibre insoluble in water
AOM_000252,Lignin,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Any measurable or observable characteristics related to the concentration of lignin (CHEBI:6457) in feed. Lignin is a complex organic polymer and a major structural component of plant cell walls. It provides rigidity and strength to plants, but in animal feeds, it is considered an anti-nutritional factor due to its indigestibility, reducing overall feed quality and nutrient availability. (HV GPT4)"
AOM_000255,Microbial Nitrogen,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of nitrogen (CHEBI:29351)originating from microbs in feed. It could be declared by the manufacturer
AOM_000256,Moisture,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of water (CHEBI:15377) in feed
AOM_000257,Neutral Detergent Fibre (NDF),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Any measurable characteristic related to the concentration of cellulosic, hemicellulosic and lignin fractions of vegetal cell wall components in food. It could be declared by the manufacturer. Source: EOL"
AOM_000258,Neutral Detergent Solubles (NDS),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"NDS refers to the soluble components of animal feeds that are extracted using a neutral detergent solution. These solubles include proteins, sugars, starches, and lipids, representing the more readily digestible and available nutrients in the feed.  (HV GPT4)"
AOM_000259,Nitrogen,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,Any measurable characteristic related to the concentration of nitrogen in feed. It could be declared by the manufacturer. Source: EOL
AOM_000260,Nitrogen Free Extracts (NFE),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Nitrogen Free Extracts (NFE) is an estimate of the readily available carbohydrate content of animal feeds, calculated by subtracting the percentages of crude protein, crude fat, crude fiber, and ash from 100. NFE primarily includes sugars and starches, which provide energy for animal metabolism. (HV GPT4)"
AOM_000261,Organic Matter,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of dry matter minus ash in food. It could be declared by the manufacture
AOM_000262,Pectin,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of pectin (CHEBI:17309) in food
AOM_000263,Phospholipid,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of phospholipid (CHEBI:16247) in feed. It could be declared by the manufacturer
AOM_000267,Soluable Fibre,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristics related to food fibre soluble in water
AOM_000268,Tannins,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Any measurable characteristics related to tannins (CHEBI:26848) in feed. Tannins are a diverse group of water-soluble polyphenolic compounds found in various plant-based feed materials. They can bind to proteins, carbohydrates, and other dietary components, impacting feed palatability, digestibility, and nutrient availability. While moderate levels of tannins can have beneficial effects, excessive amounts can negatively affect animal health and performance. (HV GPT4)"
AOM_000269,Total Lipid,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"any measurable characteristic related to the concentration of total lipid (CHEBI:18059) in feed: cholesterol, fatty acids, phospholipids, triglycerides. It could be declared by the manufacturer"
AOM_000270,Total Phenols,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Any measurable characteristic related to the sum of phenols (CHEBI:15882) in feed. Total phenols represent the collective amount of phenolic compounds, including tannins, present in animal feeds. Phenolic compounds are secondary metabolites in plants and may possess antioxidant properties. The total phenol content can influence the nutritional quality, palatability, and digestibility of feedstuffs, as well as potentially exerting various physiological effects on the animals consuming th"
AOM_000271,Triglyceride,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of tryglyceride (CHEBI:17855) in feed. It could be declared by the manufacturer
AOM_000283,Vitamins,composition,1,AOM_000196,Feed Chemical Composition,12,12,,0,0,0,0,0,composition-grouping,proposed,any measurable characteristic related to the concentration of vitamin (CHEBI:33229) in feed
AOM_002211,Oxalate,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Oxalate within Feed Chemical Composition.
AOM_002212,Saponin,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Saponin within Feed Chemical Composition.
AOM_002214,Phytate,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Phytate within Feed Chemical Composition.
AOM_002555,Non-Fibrous Carbohydrates (NFC),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Non-Fibrous Carbohydrates (NFC) within Feed Chemical Composition.
AOM_100849,Mineral content,composition,1,AOM_000196,Feed Chemical Composition,13,13,,0,0,0,0,0,composition-grouping,proposed,Measured mineral-element content of feed material.
AOM_101115,Native-component retention states,composition,1,AOM_000196,Feed Chemical Composition,4,4,,0,0,0,0,0,mixed-component-retention-root,proposed,Composition states defined by positive retention of native material components or chemical constituents.
AOM_000187,Dry Matter,composition,2,AOM_000190,Measurement Method,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Dry Matter within Measurement Method.
AOM_000188,Estimated,composition,2,AOM_000190,Measurement Method,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Estimated within Measurement Method.
AOM_000189,Measured,composition,2,AOM_000190,Measurement Method,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Measured within Measurement Method.
AOM_000200,alanine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of alanine (CHEBI:16449) in food. It could be declared by the manufacturer
AOM_000201,arginine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of arginine (CHEBI:29016) in feed. It could be declared by the manufacturer
AOM_000202,asparagine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of asparagine (CHEBI:22653) in feed. It could be declared by the manufacturer
AOM_000203,aspartate,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of aspartic acid (CHEBI:22660) in feed. It could be declared by the manufacturer
AOM_000204,cysteine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of cysteine (CHEBI:15356) in feed. It could be declared by the manufacturer
AOM_000205,essential amino acid,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration the sum of amino acids that cannot be synthetised by the animal
AOM_000206,free amino acid,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,the sum of the concentration of amino acids that are not linked together or to proteins in feed
AOM_000207,glutamate,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of glutamic acid (CHEBI:18237) in feed. It could be declared by the manufacturer
AOM_000208,glycine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of glycine (CHEBI:15428) in feed
AOM_000209,histidine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of histidine (CHEBI:27570) in feed. It could be declared by the manufacturer
AOM_000210,isoleucine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of isoleucine (CHEBI:24898) in feed. It could be declared by the manufacturer
AOM_000211,leucine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of leucine (CHEBI:25017) in feed. It could be declared by the manufacturer
AOM_000212,lysine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of lysine (CHEBI:25094) in feed. It could be declared by the manufacturer
AOM_000213,methionine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of methionine (CHEBI:16811) in feed. It could be declared by the manufacturer
AOM_000214,non essential amino acid,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration in feed of amino acids that can be synthetised by the animal
AOM_000215,phenylalanine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of phenylalanine (CHEBI:28044) in feed. It could be declared by the manufacturer
AOM_000216,proline,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of proline (CHEBI:26271) in feed. It could be declared by the manufacturer
AOM_000217,protein bound amino acid,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,the concentration of amino acids that are linked to proteins in feed
AOM_000218,serine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of serine (CHEBI:17822) in feed. It could be declared by the manufacturer
AOM_000219,threonine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of threonine (CHEBI:26986) in feed. It could be declared by the manufacturer
AOM_000220,total amino acids,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the sum of the concentrations of amino acid (CHEBI: 33709) in feed. It could be declared by the manufacturer
AOM_000221,tryptophan,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of tryptophan (CHEBI:27897) in feed. It could be declared by the manufacturer
AOM_000222,tyrosine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of tyrosine (CHEBI:18186) in feed. It could be declared by the manufacturer
AOM_000223,valine,composition,2,AOM_000199,Amino Acids,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of valine (CHEBI:27266) in feed. It could be declared by the manufacturer
AOM_000227,Calcium,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,Any measurable characteristic related to the concentration of calcium in feed. Source: EOL
AOM_000234,Cobalt,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of cobalt (CHEBI:27638) in feed
AOM_000236,Copper,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of copper (CHEBI:28694) in food
AOM_000241,Gross Energy (GE),composition,2,AOM_000244,Energy Content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the amount of heat produced after complete combustion of feed
AOM_000242,Metabolizable Energy (ME),composition,2,AOM_000244,Energy Content,0,0,,0,0,0,0,0,composition-characteristic,proposed,"Metabolizable energy. Difference between the gross energy in the feed and the gross energy in the faeces, urines and gasses, not corrected for N retention. Source: Feedipedia"
AOM_000243,Net Energy (NE),composition,2,AOM_000244,Energy Content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable or observable characteristics related to feed net energy content
AOM_000250,Iodine,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of iodine (CHEBI:24859) in fee
AOM_000251,Iron,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of iron (CHEBI:18248) in feed
AOM_000253,Magnesium,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of magnesium (CHEBI:33974) in feeds
AOM_000254,Manganese,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of manganese (CHEBI:18291) in feed
AOM_000264,Phosphorus,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,Any measurable characteristic related to the concentration of phosphorus in feed. Source: EOL
AOM_000265,Potassium,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of potassium (CHEBI:26216) in feed
AOM_000266,Selenium,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of selenium (CHEBI:27568) in feed
AOM_000272,Vitamin A,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of retinol (CHEBI:50211) in food
AOM_000273,Vitamin B1,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of thiamine (CHEBI:26948) in food
AOM_000274,Vitamin B12,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of cobalamin (CHEBI:30411) in food
AOM_000275,Vitamin B2,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of riboflavin (CHEBI:17015) in food
AOM_000276,Vitamin B6,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of B6 vitamin (CHEBI:27306) in food
AOM_000277,Vitamin B8,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of biotin (CHEBI:15956 ) in food
AOM_000278,Vitamin B9,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,"any measurable characteristic related to the concentration of the folic acid (CHEBI:27470, C19H19N7O6 (isomeres)) in food"
AOM_000279,Vitamin C,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of the C vitamin (CHEBI:21241) in food
AOM_000280,Vitamin D,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of D vitamin (CHEBI:27300) in food
AOM_000281,Vitamin E,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of tocopherols (CHEBI:27013) and tocotrienols (CHEBI:33235) in food
AOM_000282,Vitamin PP,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,"any measurable characteristic related to the concentration of niacine (nicotinic acid, CHEBI:15940) and its amide (nicotinamide, CHEBI:17154) in feed"
AOM_000284,Zinc,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of zinc (CHEBI:27363) in feed
AOM_002210,Lead,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Lead within Minerals.
AOM_002213,Vitamin B3,composition,2,AOM_000283,Vitamins,0,0,,0,0,0,0,0,composition-characteristic,proposed,A livestock-management concept concerning Vitamin B3 within Vitamins.
AOM_002299,Sodium,composition,2,AOM_100849,Mineral content,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of sodium  in feed
