concept_id,preferred_label,review_axis,review_role,current_parent_ids,recommended_disposition,proposed_label,proposed_parent_or_axis,recommended_semantic_action,mapping_candidate,evidence_ids,status,blocking_question,rationale,reviewer,review_date
AOM_101065,Starch constituent,chemical-identity,role-suffixed-constituent-category,AOM_101023,hold-exact-identity-and-label,,Feed-related chemical entities or Feed materials after concept-level review,"Retain stable ID temporarily; decide chemical entity, mixture, processed material, or feed-material identity before removing Constituent suffix.",,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,held,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.,Codex,2026-08-19
AOM_101066,Fat constituent,chemical-identity,role-suffixed-constituent-category,AOM_101023,hold-exact-identity-and-label,,Feed-related chemical entities or Feed materials after concept-level review,"Retain stable ID temporarily; decide chemical entity, mixture, processed material, or feed-material identity before removing Constituent suffix.",,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,held,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.,Codex,2026-08-19
AOM_101067,Essential-oil constituent,chemical-identity,role-suffixed-constituent-category,AOM_101023,hold-exact-identity-and-label,,Feed-related chemical entities or Feed materials after concept-level review,"Retain stable ID temporarily; decide chemical entity, mixture, processed material, or feed-material identity before removing Constituent suffix.",,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,held,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.,Codex,2026-08-19
AOM_101080,Ash constituent,chemical-identity,role-suffixed-constituent-category,AOM_101023,hold-exact-identity-and-label,,Feed-related chemical entities or Feed materials after concept-level review,"Retain stable ID temporarily; decide chemical entity, mixture, processed material, or feed-material identity before removing Constituent suffix.",,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,held,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.,Codex,2026-08-19
AOM_101081,Oil constituent,chemical-identity,role-suffixed-constituent-category,AOM_101023,hold-exact-identity-and-label,,Feed-related chemical entities or Feed materials after concept-level review,"Retain stable ID temporarily; decide chemical entity, mixture, processed material, or feed-material identity before removing Constituent suffix.",,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,held,"Which external entity or material identity exactly matches this category, and do current material assertions remain non-tautological?",Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.,Codex,2026-08-19
AOM_101120,Protein constituent,chemical-identity,duplicate-constituent-category,AOM_101023,deprecate-after-migration,,replace with AOM_001571,"Migrate one primaryConstituent assertion to AOM_001571 Protein, correct retained definition, then publish replacement crosswalk.",AOM_001571,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Existing Protein identity was retained and semantically typed as chemical constituent; property context does not justify duplicate identity.,Codex,2026-08-19
AOM_000808,Fumaric Acid,chemical-identity,chemical-substance-or-group,AOM_006389,retain-identity,,AOM_101147 Chemical substances,Keep in chemical-identity axis; represent feed-material or additive use separately.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,proposed,,Current concept identifies chemical substance or substance group independently of product use.,Codex,2026-08-19
AOM_001578,Dextrin,chemical-identity,chemical-entity-category,AOM_001577,retain-reclassify-identity,,Feed-related chemical entities,Keep stable identity under Feed-related chemical entities; correct legacy feed-ingredient definition and review exact ChEBI mapping.,,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,proposed,,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.,Codex,2026-08-19
AOM_000196,Feed Chemical Composition,composition,measured-composition-root,,retain-and-rename,Feed composition characteristics,AOM_000328 Feed Characteristic,Keep separate from chemical identity; scope descendants to measurable or observable composition characteristics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Current definition already describes measurable proportions but label obscures characteristic-level semantics.,Codex,2026-08-19
AOM_000190,Measurement Method,composition,composition-grouping,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep inside measured-composition closure for complete Cohort E hierarchy and label review; do not merge with chemical identity.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.,Codex,2026-08-19
AOM_000197,Acid Detergent Fibre (ADF),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000198,Acid Detergent Lignin (ADL),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000199,Amino Acids,composition,composition-grouping,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep inside measured-composition closure for complete Cohort E hierarchy and label review; do not merge with chemical identity.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.,Codex,2026-08-19
AOM_000225,Ammonia,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000226,Ash,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000228,Carbohydrate,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000229,Carbon,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000230,Carbon:Nitrogen (C/N) Ratio,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000231,Celluose,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000232,Chlore,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000233,Choline,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000235,Condensed Tannins,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000237,Crude Fat,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000238,Crude Fibre,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000239,Crude Protein,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000240,Dry Matter,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000244,Energy Content,composition,composition-grouping,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep inside measured-composition closure for complete Cohort E hierarchy and label review; do not merge with chemical identity.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.,Codex,2026-08-19
AOM_000245,Ether Extract (EE),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000246,Fatty Acids (FA),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000247,Feed Lactate,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000248,Hemicellulose,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000249,Insoluble Fibre,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000252,Lignin,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000255,Microbial Nitrogen,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000256,Moisture,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000257,Neutral Detergent Fibre (NDF),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000258,Neutral Detergent Solubles (NDS),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000259,Nitrogen,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000260,Nitrogen Free Extracts (NFE),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000261,Organic Matter,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000262,Pectin,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000263,Phospholipid,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000267,Soluable Fibre,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000268,Tannins,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000269,Total Lipid,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000270,Total Phenols,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000271,Triglyceride,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000283,Vitamins,composition,composition-grouping,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep inside measured-composition closure for complete Cohort E hierarchy and label review; do not merge with chemical identity.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.,Codex,2026-08-19
AOM_002211,Oxalate,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_002212,Saponin,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_002214,Phytate,composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_002555,Non-Fibrous Carbohydrates (NFC),composition,composition-characteristic,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_100849,Mineral content,composition,composition-grouping,AOM_000196,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep inside measured-composition closure for complete Cohort E hierarchy and label review; do not merge with chemical identity.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Grouping organizes measured characteristics; exact internal hierarchy is deferred without weakening identity boundary.,Codex,2026-08-19
AOM_101115,Native-component retention states,composition,mixed-component-retention-root,AOM_000196,move-out-of-composition,,component-integrity axis; Cohort E split,Move component-retention meanings toward component integrity; split composition states during Cohort E.,,LOCAL-GRAPH;AOM-SCHEMA;FOODON-LANGUAL,proposed,,Whole-component retention is not one chemical concentration characteristic and current children mix integrity with composition state.,Codex,2026-08-19
AOM_000187,Dry Matter,composition,composition-characteristic,AOM_000190,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000188,Estimated,composition,composition-characteristic,AOM_000190,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000189,Measured,composition,composition-characteristic,AOM_000190,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000200,alanine,composition,composition-characteristic,AOM_000199,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000201,arginine,composition,composition-characteristic,AOM_000199,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000202,asparagine,composition,composition-characteristic,AOM_000199,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000203,aspartate,composition,composition-characteristic,AOM_000199,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
AOM_000204,cysteine,composition,composition-characteristic,AOM_000199,retain-boundary-for-cohort-e,,Feed composition characteristics,Keep as measurable or observable composition characteristic; Cohort E should disambiguate content labels and measurement semantics.,,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,proposed,,Measured concentration or proportion is not identical to chemical entity carrying same lexical label.,Codex,2026-08-19
