feed_material_id,feed_material_label,target_property,target_concept_id,target_label,review_axis,recommended_disposition,status,reviewer,review_date,evidence,rationale,rule_id
AOM_001184,Cocoa Pods Husk Ground,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_001299,Maize Husk,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_001619,Rice Husk Dried Urea Treated,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_001942,Maize Husk Dried Ground,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_002012,Cocoa Pods Husk Boiled Dried Ground,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_002019,Cowpea Husk Ground,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_002233,Melon Seed Husk,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_002339,Sorghum Husk,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006067,Cocoa Pods Husk Ensiled Dried Urea Treated,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006079,Cowpea Husk Crushed,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006130,Melon Seed Husk Ground,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006187,Rice Husk Ensiled,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006188,Rice Husk Fermented,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006299,Rice Husk Enzyme Treated,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_006312,Sorghum Husk Urea Treated,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_000625,Palm Kernel Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001154,Jatropha curcas Kernel,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001155,Jatropha curcas Kernel Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001625,Mango Seed Kernel,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001638,Palm Kernel Cake,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001694,Mango Seed Kernel Dried Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001695,Mango Seed Kernel Crushed Dried,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001708,Palm Kernel Dried Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001888,Mango Seed Kernel Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_001969,Jatropha curcas Kernel Dried Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_002104,Palm Kernel Cake Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_002105,Palm Kernel Cake Dried Fermented Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_006151,Palm Kernel Cake Dried Ground,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_006346,Marula Kernel Cake,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_006411,Palm Kernel Cake Dried,aom:ingredientPart,AOM_101032,Kernel,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL
AOM_000574,Oat Leaves Dried,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000595,Banana Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000601,Cowpea Haulm,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,https://www.feedipedia.org/node/17446,Explicit descriptor “haulm” mapped through hard-tail decision AOM_000601; assertion 2.,
AOM_000603,Fava Bean Haulm,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,Explicit descriptor “haulm” mapped through hard-tail decision AOM_000603; assertion 2.,
AOM_000604,Groundnut Haulm,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,0142;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378,Explicit descriptor “haulm” mapped through hard-tail decision AOM_000604; assertion 2.,
AOM_000609,Pigeon Pea Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000635,Cassava Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000708,Ficus thonningii Leaves Dried,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000709,Gmelina arborea Leaves Ground,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000711,Moringa oleifera Leaves Ground,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000730,Olive Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_000733,Siam Weed Leaves Ground,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001120,Acacia saligna Leaves and Soft Twig,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001123,Acacia senegal Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001125,Acacia tortilis Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001127,Afzelia africana Leaves Wilted,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001129,Annona senegalensis Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001132,Azadirachta indica Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001134,Calliandra calothyrsus Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001140,Daniellia oliveri Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001143,Erythrina brucei Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001148,Ficus thonningii Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001150,Gliricidia sepium Leaves and Soft Twig,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001170,Pithecellobium dulce Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001181,Chickpea Haulm,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,01249;http://purl.obolibrary.org/obo/NCBITaxon_3917;wfo-0000196617,Explicit descriptor “haulm” mapped through hard-tail decision AOM_001181; assertion 2.,
AOM_001186,Coffee Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001215,Lablab purpureus Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001230,Sesbania sesban Leaves and Twigs,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001232,Pueraria phaseoloides Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001235,Stylosanthes guianensis Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001256,Fluted Pumpkin Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001257,Fluted Pumpkin Leaves Ground,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001258,Common Bean Haulm,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,01701;http://purl.obolibrary.org/obo/NCBITaxon_3885;wfo-0000207144,Explicit descriptor “haulm” mapped through hard-tail decision AOM_001258; assertion 2.,
AOM_001263,Cowpea Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001266,Taro Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001270,Fluted Pumpkin Leaves Extract,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
AOM_001286,Papaya Leaves,aom:ingredientPart,AOM_101033,Leaf,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF
