feed_material_id,preferred_label,disposition,status,evidence,rationale
AOM_000625,Palm Kernel Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000656,Ground whole-grain rice,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000660,Ground whole-grain wheat,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000668,Soybean Ground Roasted,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000675,Sunflower Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000692,Grass Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000709,Gmelina arborea Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000711,Moringa oleifera Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000714,Prosopis juliflora Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000733,Siam Weed Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001096,Chicken Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001098,Fish Boiled Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001099,Feather Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001100,Fish Ground Roasted,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001101,Fish Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001107,Meat and Bone Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001108,Oryctes rhinoceros Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001111,Termite Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001112,Shrimp Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001113,Giant Snail Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001116,Tuna Waste Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001155,Jatropha curcas Kernel Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001157,Jatropha curcas Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001168,Opuntia ficus indica Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001184,Cocoa Pods Husk Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001191,Noug Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001200,Breadfruit Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001253,Cotton Seed Cake Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001257,Fluted Pumpkin Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001261,Wheat Ground Remoulage,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001276,Sorghum Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001279,Sesame Seed Cake Ground Roasted,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001293,Maize Gluten Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001295,Maize Germ Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001300,Arugula Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001301,Linseed Cake Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001304,Noug Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001306,Coconut Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001307,Canola Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001321,Safflower Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001322,Cassava Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001323,Coffee Ground Roasted,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001324,Ground whole-grain maize,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001332,Oat Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001335,Sesame Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001336,Sesame Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001337,Sunflower Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001346,Wheat Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001347,Winged Bean Autoclaved Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001348,Winged Bean Ground Roasted,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001358,Black Cumin Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001366,Guar Gum Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001375,Choline Cloride Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001411,Pennisetum clandestinum Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001534,Amaranthus cruentus Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001564,Ulva rigida Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001583,Soybean Autoclaved Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001599,Acacia sieberiana Dried Ensiled Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001601,Acacia tortilis Pods Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001605,African Palm Larvae Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001610,Oyster Shells Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001613,Barley Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001615,Maize Sheath Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001617,Maize Straw Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001622,Wheat Bran Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001623,Wheat Offal Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001635,Chloris gayana Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001637,Chromolaena odorata Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001642,Cotton Seed Decorticated Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001643,Cotton Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001644,Cotton Seed Cake Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001647,Cassava Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001656,Maize Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001657,Ficus thonningii Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001658,Fish Dried Ground Heated,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001660,Groundnut Cake Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001664,Ulva rigida Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001669,Leucaena leucocephala Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001674,Maize Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001679,Maize Grain Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001681,Pennisetum purpureum Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001682,Maize Straw Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001684,Maize Straw Dried Ensiled Ground Urea Treated,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001688,Maize Straw Ground Urea Treated,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001693,Mango Seed Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001694,Mango Seed Kernel Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001700,Noug Cake Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001701,Calliandra calothyrsus Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001702,Oat Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001708,Palm Kernel Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001714,Pennisetum clandestinum Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001718,Pennisetum pedicellatum Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001720,Pennisetum purpureum Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001730,Prosopis juliflora Pods Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001734,Macroptilium atropurpureum Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001736,Stylosanthes guianensis Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001737,Stylosanthes hamata Cake Ground Roasted,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001746,Dicalcium Phosphate Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001750,Wheat Straw Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001752,Winged Bean Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001765,Acacia karroo Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001768,Acacia polyacantha Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001774,Alfalfa Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001779,Soybean Pulp Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001782,Lippia javanica Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001799,Gliciridia sepium Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001803,Cassava Peel Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001804,Acacia nilotica Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001816,Date Cull Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001829,Biscuit Waste Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001830,Biscuit Waste Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001841,Trifolium Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001844,Maize Bran Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001849,Ficus sur Fruits Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001852,Water Hyacinth Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001863,Chromolaena odorata Leaves Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001878,Clupeid Fish Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001881,Herring Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001883,Unspecified Bran Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001888,Mango Seed Kernel Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001894,Sunflower Seed Cake Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001909,Black Cumin Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001910,Unspecified Grass Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001913,Moringa oleifera Leaves Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001924,Shrimp Heads Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001925,Fish Boiled Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001926,Menhaden Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_001929,Sardine Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
