node_id,label,node_type,module,status
AOM_003031,outdoor rearing structure,aom-concept,aom-livestock,staging
AOM_003032,terrestrial cage,aom-concept,aom-livestock,staging
AOM_003051,Unspecified,aom-concept,aom-livestock,staging
AOM_003026,production unit structure,aom-concept,aom-livestock,staging
AOM_000901,free-range system,aom-concept,aom-livestock,staging
AOM_000902,indoor rearing system,aom-concept,aom-livestock,staging
AOM_000903,battery cage system,aom-concept,aom-livestock,staging
AOM_000904,enriched cage system,aom-concept,aom-livestock,staging
AOM_003024,digestibility crate system,aom-concept,aom-livestock,staging
AOM_003023,crate system,aom-concept,aom-livestock,staging
AOM_000909,larger space,aom-concept,aom-livestock,staging
AOM_000910,aviary system,aom-concept,aom-livestock,staging
AOM_000911,barn rearing system,aom-concept,aom-livestock,staging
AOM_000913,pen rearing system,aom-concept,aom-livestock,staging
AOM_003025,non-cage housing system,aom-concept,aom-livestock,staging
AOM_000915,migratory herding system,aom-concept,aom-livestock,staging
AOM_000917,pastoral nomadism system,aom-concept,aom-livestock,staging
AOM_000916,pastoralism system,aom-concept,aom-livestock,staging
AOM_000918,mixed indoor-outdoor,aom-concept,aom-livestock,staging
AOM_003085,semi-roofed yard,aom-concept,aom-livestock,staging
AOM_000919,open-front housing system,aom-concept,aom-livestock,staging
AOM_000920,outdoor rearing system,aom-concept,aom-livestock,staging
AOM_000921,feedlot system,aom-concept,aom-livestock,staging
AOM_003050,Unspecified,aom-concept,aom-livestock,staging
AOM_003022,rearing or housing system,aom-concept,aom-livestock,staging
AOM_000850,production orientation,aom-concept,aom-livestock,staging
AOM_000851,egg production rearing system,aom-concept,aom-livestock,staging
AOM_000852,meat production rearing system,aom-concept,aom-livestock,staging
AOM_000853,milk production rearing system,aom-concept,aom-livestock,staging
AOM_000854,domesticated reproducers production rearing system,aom-concept,aom-livestock,staging
AOM_000874,rearing stage,aom-concept,aom-livestock,staging
AOM_000875,gestating,aom-concept,aom-livestock,staging
AOM_000876,growing,aom-concept,aom-livestock,staging
AOM_000877,grower-finisher,aom-concept,aom-livestock,staging
AOM_000878,juvenile,aom-concept,aom-livestock,staging
AOM_000879,domesticated juvenile,aom-concept,aom-livestock,staging
AOM_000880,wild caught juvenile,aom-concept,aom-livestock,staging
AOM_000881,lactating,aom-concept,aom-livestock,staging
AOM_000882,laying hens,aom-concept,aom-livestock,staging
AOM_000883,newborn,aom-concept,aom-livestock,staging
AOM_000884,pre-growout,aom-concept,aom-livestock,staging
AOM_000922,species associations,aom-concept,aom-livestock,staging
AOM_000923,mono-species,aom-concept,aom-livestock,staging
AOM_000924,group-housing,aom-concept,aom-livestock,staging
AOM_000925,individual housing,aom-concept,aom-livestock,staging
AOM_000926,multi-species,aom-concept,aom-livestock,staging
AOM_000927,integrated system,aom-concept,aom-livestock,staging
AOM_000106,Management,aom-concept,aom-livestock,staging
AOM_000107,Livestock Management,aom-concept,aom-livestock,staging
AOM_000356,Animal Growth Promotant,aom-concept,aom-livestock,staging
AOM_000170,Aquasilviculture,aom-concept,aom-livestock,staging
AOM_000328,Feed Characteristic,aom-concept,aom-livestock,staging
AOM_000196,Feed Chemical Composition,aom-concept,aom-livestock,staging
AOM_000197,Acid Detergent Fibre (ADF),aom-concept,aom-livestock,staging
AOM_000198,Acid Detergent Lignin (ADL),aom-concept,aom-livestock,staging
AOM_000199,Amino Acids,aom-concept,aom-livestock,staging
AOM_000200,alanine,aom-concept,aom-livestock,staging
AOM_000201,arginine,aom-concept,aom-livestock,staging
AOM_000202,asparagine,aom-concept,aom-livestock,staging
AOM_000203,aspartate,aom-concept,aom-livestock,staging
AOM_000204,cysteine,aom-concept,aom-livestock,staging
AOM_000205,essential amino acid,aom-concept,aom-livestock,staging
AOM_000206,free amino acid,aom-concept,aom-livestock,staging
AOM_000207,glutamate,aom-concept,aom-livestock,staging
AOM_000208,glycine,aom-concept,aom-livestock,staging
AOM_000209,histidine,aom-concept,aom-livestock,staging
AOM_000210,isoleucine,aom-concept,aom-livestock,staging
AOM_000211,leucine,aom-concept,aom-livestock,staging
AOM_000212,lysine,aom-concept,aom-livestock,staging
AOM_000213,methionine,aom-concept,aom-livestock,staging
AOM_000214,non essential amino acid,aom-concept,aom-livestock,staging
AOM_000215,phenylalanine,aom-concept,aom-livestock,staging
AOM_000216,proline,aom-concept,aom-livestock,staging
AOM_000217,protein bound amino acid,aom-concept,aom-livestock,staging
AOM_000218,serine,aom-concept,aom-livestock,staging
AOM_000219,threonine,aom-concept,aom-livestock,staging
AOM_000220,total amino acids,aom-concept,aom-livestock,staging
AOM_000221,tryptophan,aom-concept,aom-livestock,staging
AOM_000222,tyrosine,aom-concept,aom-livestock,staging
AOM_000223,valine,aom-concept,aom-livestock,staging
AOM_000225,Ammonia,aom-concept,aom-livestock,staging
AOM_000226,Ash,aom-concept,aom-livestock,staging
AOM_000228,Carbohydrate,aom-concept,aom-livestock,staging
AOM_000229,Carbon,aom-concept,aom-livestock,staging
AOM_000230,Carbon:Nitrogen (C/N) Ratio,aom-concept,aom-livestock,staging
AOM_000231,Celluose,aom-concept,aom-livestock,staging
AOM_000232,Chlore,aom-concept,aom-livestock,staging
AOM_000233,Choline,aom-concept,aom-livestock,staging
AOM_000235,Condensed Tannins,aom-concept,aom-livestock,staging
AOM_000237,Crude Fat,aom-concept,aom-livestock,staging
AOM_000238,Crude Fibre,aom-concept,aom-livestock,staging
AOM_000239,Crude Protein,aom-concept,aom-livestock,staging
AOM_000240,Dry Matter,aom-concept,aom-livestock,staging
AOM_000244,Energy Content,aom-concept,aom-livestock,staging
AOM_000241,Gross Energy (GE),aom-concept,aom-livestock,staging
AOM_000242,Metabolizable Energy (ME),aom-concept,aom-livestock,staging
AOM_000243,Net Energy (NE),aom-concept,aom-livestock,staging
AOM_000245,Ether Extract (EE),aom-concept,aom-livestock,staging
AOM_000246,Fatty Acids (FA),aom-concept,aom-livestock,staging
AOM_000247,Feed Lactate,aom-concept,aom-livestock,staging
AOM_000248,Hemicellulose,aom-concept,aom-livestock,staging
AOM_000249,Insoluble Fibre,aom-concept,aom-livestock,staging
AOM_000252,Lignin,aom-concept,aom-livestock,staging
AOM_000190,Measurement Method,aom-concept,aom-livestock,staging
AOM_000187,Dry Matter,aom-concept,aom-livestock,staging
AOM_000188,Estimated,aom-concept,aom-livestock,staging
AOM_000189,Measured,aom-concept,aom-livestock,staging
AOM_000255,Microbial Nitrogen,aom-concept,aom-livestock,staging
AOM_000227,Calcium,aom-concept,aom-livestock,staging
AOM_000234,Cobalt,aom-concept,aom-livestock,staging
AOM_000236,Copper,aom-concept,aom-livestock,staging
AOM_000250,Iodine,aom-concept,aom-livestock,staging
AOM_000251,Iron,aom-concept,aom-livestock,staging
AOM_002210,Lead,aom-concept,aom-livestock,staging
AOM_000253,Magnesium,aom-concept,aom-livestock,staging
AOM_000254,Manganese,aom-concept,aom-livestock,staging
AOM_000264,Phosphorus,aom-concept,aom-livestock,staging
AOM_000265,Potassium,aom-concept,aom-livestock,staging
AOM_000266,Selenium,aom-concept,aom-livestock,staging
AOM_002299,Sodium,aom-concept,aom-livestock,staging
AOM_000284,Zinc,aom-concept,aom-livestock,staging
AOM_000256,Moisture,aom-concept,aom-livestock,staging
AOM_000257,Neutral Detergent Fibre (NDF),aom-concept,aom-livestock,staging
AOM_000258,Neutral Detergent Solubles (NDS),aom-concept,aom-livestock,staging
AOM_000259,Nitrogen,aom-concept,aom-livestock,staging
AOM_000260,Nitrogen Free Extracts (NFE),aom-concept,aom-livestock,staging
AOM_002555,Non-Fibrous Carbohydrates (NFC),aom-concept,aom-livestock,staging
AOM_000261,Organic Matter,aom-concept,aom-livestock,staging
AOM_002211,Oxalate,aom-concept,aom-livestock,staging
AOM_000262,Pectin,aom-concept,aom-livestock,staging
AOM_000263,Phospholipid,aom-concept,aom-livestock,staging
AOM_002214,Phytate,aom-concept,aom-livestock,staging
AOM_002212,Saponin,aom-concept,aom-livestock,staging
AOM_000267,Soluable Fibre,aom-concept,aom-livestock,staging
AOM_000268,Tannins,aom-concept,aom-livestock,staging
AOM_000269,Total Lipid,aom-concept,aom-livestock,staging
AOM_000270,Total Phenols,aom-concept,aom-livestock,staging
AOM_000271,Triglyceride,aom-concept,aom-livestock,staging
AOM_000283,Vitamins,aom-concept,aom-livestock,staging
AOM_000272,Vitamin A,aom-concept,aom-livestock,staging
AOM_000273,Vitamin B1,aom-concept,aom-livestock,staging
AOM_000274,Vitamin B12,aom-concept,aom-livestock,staging
AOM_000275,Vitamin B2,aom-concept,aom-livestock,staging
AOM_002213,Vitamin B3,aom-concept,aom-livestock,staging
AOM_000276,Vitamin B6,aom-concept,aom-livestock,staging
AOM_000277,Vitamin B8,aom-concept,aom-livestock,staging
AOM_000278,Vitamin B9,aom-concept,aom-livestock,staging
AOM_000279,Vitamin C,aom-concept,aom-livestock,staging
AOM_000280,Vitamin D,aom-concept,aom-livestock,staging
AOM_000281,Vitamin E,aom-concept,aom-livestock,staging
AOM_000282,Vitamin PP,aom-concept,aom-livestock,staging
AOM_000559,Animal,aom-concept,aom-livestock,staging
AOM_001616,Blood,aom-concept,aom-livestock,staging
AOM_000537,Blood Dried Ground Heated,aom-concept,aom-livestock,staging
AOM_000536,Blood Ground,aom-concept,aom-livestock,staging
AOM_000542,Crustacean,aom-concept,aom-livestock,staging
AOM_001112,Shrimp Ground,aom-concept,aom-livestock,staging
AOM_001924,Shrimp Heads Ground,aom-concept,aom-livestock,staging
AOM_001923,Shrimp Heads,aom-concept,aom-livestock,staging
AOM_000549,Fish,aom-concept,aom-livestock,staging
AOM_002240,Brown Fish Ground,aom-concept,aom-livestock,staging
AOM_001878,Clupeid Fish Ground,aom-concept,aom-livestock,staging
AOM_001877,Clupeid Fish,aom-concept,aom-livestock,staging
AOM_001880,Cod Liver Oil,aom-concept,aom-livestock,staging
AOM_001879,Cod,aom-concept,aom-livestock,staging
AOM_002005,Danish Fish Ground,aom-concept,aom-livestock,staging
AOM_001925,Fish Boiled Dried Ground,aom-concept,aom-livestock,staging
AOM_001098,Fish Boiled Ground,aom-concept,aom-livestock,staging
AOM_001103,Fish Dried,aom-concept,aom-livestock,staging
AOM_001101,Fish Dried Ground,aom-concept,aom-livestock,staging
AOM_001658,Fish Dried Ground Heated,aom-concept,aom-livestock,staging
AOM_002006,Fish Ensiled,aom-concept,aom-livestock,staging
AOM_000543,Fish Ground,aom-concept,aom-livestock,staging
AOM_001100,Fish Ground Roasted,aom-concept,aom-livestock,staging
AOM_000544,Fish Oil,aom-concept,aom-livestock,staging
AOM_002008,Fish Oil Dried Ground Heated,aom-concept,aom-livestock,staging
AOM_002007,Fish Oil Heated,aom-concept,aom-livestock,staging
AOM_001881,Herring Ground,aom-concept,aom-livestock,staging
AOM_001882,Herring,aom-concept,aom-livestock,staging
AOM_001926,Menhaden Ground,aom-concept,aom-livestock,staging
AOM_000547,Nile Perch Fish Oil,aom-concept,aom-livestock,staging
AOM_002242,Rainbow Trout Oil Ensiled,aom-concept,aom-livestock,staging
AOM_002241,Rainbow Trout Oil,aom-concept,aom-livestock,staging
AOM_001928,Rainbow Trout Viscera De-oiled Ensiled,aom-concept,aom-livestock,staging
AOM_001927,Rainbow Trout,aom-concept,aom-livestock,staging
AOM_001110,Rastrineobola argentea,aom-concept,aom-livestock,staging
AOM_001929,Sardine Ground,aom-concept,aom-livestock,staging
AOM_002243,Sardine,aom-concept,aom-livestock,staging
AOM_001115,Trout,aom-concept,aom-livestock,staging
AOM_002244,Trout Ensiled,aom-concept,aom-livestock,staging
AOM_002245,Trout Oil Ensiled,aom-concept,aom-livestock,staging
AOM_001930,Trout Oil,aom-concept,aom-livestock,staging
AOM_001931,Tuna Ground,aom-concept,aom-livestock,staging
AOM_001116,Tuna Waste Ground,aom-concept,aom-livestock,staging
AOM_002246,Tuna,aom-concept,aom-livestock,staging
AOM_000554,Insect,aom-concept,aom-livestock,staging
AOM_001805,African Palm Larvae,aom-concept,aom-livestock,staging
AOM_001605,African Palm Larvae Dried Ground,aom-concept,aom-livestock,staging
AOM_000550,African Palm Larvae Ground,aom-concept,aom-livestock,staging
AOM_006043,Black Soldier Fly Larvae,aom-concept,aom-livestock,staging
AOM_000551,Black Soldier Fly Larvae Dried Ground,aom-concept,aom-livestock,staging
AOM_000552,Grasshopper Ground,aom-concept,aom-livestock,staging
AOM_002247,Grasshopper,aom-concept,aom-livestock,staging
AOM_001932,Housefly Maggot Dried Ground,aom-concept,aom-livestock,staging
AOM_001108,Oryctes rhinoceros Ground,aom-concept,aom-livestock,staging
AOM_001933,Termite Dried Ground,aom-concept,aom-livestock,staging
AOM_001111,Termite Ground,aom-concept,aom-livestock,staging
AOM_001934,Winged Termite Dried Ground,aom-concept,aom-livestock,staging
AOM_000553,Winged Termite Ground,aom-concept,aom-livestock,staging
AOM_002248,Termite,aom-concept,aom-livestock,staging
AOM_000556,Milk,aom-concept,aom-livestock,staging
AOM_003980,Colostrum,aom-concept,aom-livestock,staging
AOM_002077,Skimmed Milk Powder,aom-concept,aom-livestock,staging
AOM_001935,Suckled milk,aom-concept,aom-livestock,staging
AOM_000555,Whole Milk,aom-concept,aom-livestock,staging
AOM_001937,Giant Snail Boiled Dried Ground,aom-concept,aom-livestock,staging
AOM_001113,Giant Snail Ground,aom-concept,aom-livestock,staging
AOM_001936,Giant Snail,aom-concept,aom-livestock,staging
AOM_001114,Mollusk,aom-concept,aom-livestock,staging
AOM_001938,Chicken Offal Dried Ground,aom-concept,aom-livestock,staging
AOM_001096,Chicken Ground,aom-concept,aom-livestock,staging
AOM_000540,Bone,aom-concept,aom-livestock,staging
AOM_000538,Bone Ash,aom-concept,aom-livestock,staging
AOM_006363,Bone Crushed,aom-concept,aom-livestock,staging
AOM_000539,Bone Ground,aom-concept,aom-livestock,staging
AOM_001939,Rumen Contents Dried Ground,aom-concept,aom-livestock,staging
AOM_001811,Rumen Contents,aom-concept,aom-livestock,staging
AOM_002079,Egg Boiled Dried Ground,aom-concept,aom-livestock,staging
AOM_002078,Egg,aom-concept,aom-livestock,staging
AOM_002080,Lard,aom-concept,aom-livestock,staging
AOM_002009,Feather Boiled Dried Ground,aom-concept,aom-livestock,staging
AOM_001099,Feather Ground,aom-concept,aom-livestock,staging
AOM_006100,Fish Offal Ground,aom-concept,aom-livestock,staging
AOM_002192,Fish Offal,aom-concept,aom-livestock,staging
AOM_000545,Fish Processing Waste,aom-concept,aom-livestock,staging
AOM_001104,Fish Processing Waste Dried,aom-concept,aom-livestock,staging
AOM_006167,Fish Processing Waste Ground,aom-concept,aom-livestock,staging
AOM_002081,Mixed Marine Hydrolysate,aom-concept,aom-livestock,staging
AOM_002082,Shrimp Hydrolysate,aom-concept,aom-livestock,staging
AOM_001107,Meat and Bone Ground,aom-concept,aom-livestock,staging
AOM_001106,Meat and Bone,aom-concept,aom-livestock,staging
AOM_003206,Poultry byproduct,aom-concept,aom-livestock,staging
AOM_000558,Shell,aom-concept,aom-livestock,staging
AOM_001105,Lake Shells,aom-concept,aom-livestock,staging
AOM_000557,Oyster Shells,aom-concept,aom-livestock,staging
AOM_001610,Oyster Shells Ground,aom-concept,aom-livestock,staging
AOM_006194,Shell Ground,aom-concept,aom-livestock,staging
AOM_000561,Animal Manures,aom-concept,aom-livestock,staging
AOM_001095,Cattle Manure,aom-concept,aom-livestock,staging
AOM_001094,Chicken Manure Dried,aom-concept,aom-livestock,staging
AOM_001940,Chicken Manure Dried Ground,aom-concept,aom-livestock,staging
AOM_006008,Chicken Manure,aom-concept,aom-livestock,staging
AOM_001097,Pig Manure,aom-concept,aom-livestock,staging
AOM_002120,Poultry Litter Deep Stacked,aom-concept,aom-livestock,staging
AOM_002123,Poultry Litter Deep Stacked Dried,aom-concept,aom-livestock,staging
AOM_001109,Poultry Litter Dried,aom-concept,aom-livestock,staging
AOM_001941,Poultry Litter Dried Ground,aom-concept,aom-livestock,staging
AOM_003690,Poultry Litter Ground,aom-concept,aom-livestock,staging
AOM_001146,Poultry Litter,aom-concept,aom-livestock,staging
AOM_003894,Carob Ground,aom-concept,aom-livestock,staging
AOM_002011,Cocoa Bean Shell Dried Ground,aom-concept,aom-livestock,staging
AOM_000617,Cocoa Bean Shell,aom-concept,aom-livestock,staging
AOM_002012,Cocoa Pods Husk Boiled Dried Ground,aom-concept,aom-livestock,staging
AOM_006067,Cocoa Pods Husk Ensiled Dried Urea Treated,aom-concept,aom-livestock,staging
AOM_001184,Cocoa Pods Husk Ground,aom-concept,aom-livestock,staging
AOM_001183,Cocoa Pods Husk,aom-concept,aom-livestock,staging
AOM_006068,Coffee Leaves Dried,aom-concept,aom-livestock,staging
AOM_001186,Coffee Leaves,aom-concept,aom-livestock,staging
AOM_003546,Coffee Pulp,aom-concept,aom-livestock,staging
AOM_006201,Khat Leftover Crushed Dried,aom-concept,aom-livestock,staging
AOM_003646,Khat Leftover,aom-concept,aom-livestock,staging
AOM_000594,Cereal ByProducts,aom-concept,aom-livestock,staging
AOM_006023,Atella Dried,aom-concept,aom-livestock,staging
AOM_001611,Atella Fermented,aom-concept,aom-livestock,staging
AOM_001876,Atella,aom-concept,aom-livestock,staging
AOM_001843,Baby Corn Stalk Dried Wilted,aom-concept,aom-livestock,staging
AOM_006361,Baby Corn Stalk Ensiled,aom-concept,aom-livestock,staging
AOM_001675,Baby Corn Stalk,aom-concept,aom-livestock,staging
AOM_001806,Barley Bran,aom-concept,aom-livestock,staging
AOM_001178,Barley Dried,aom-concept,aom-livestock,staging
AOM_002013,Barley Dried Ground,aom-concept,aom-livestock,staging
AOM_006040,Barley Straw Dried,aom-concept,aom-livestock,staging
AOM_006035,Barley Straw Fermented,aom-concept,aom-livestock,staging
AOM_000584,Barley Straw,aom-concept,aom-livestock,staging
AOM_006161,Brewers By-Product Dried Ground,aom-concept,aom-livestock,staging
AOM_006160,Brewers By-Product,aom-concept,aom-livestock,staging
AOM_000564,"Brewers grains, dehydrated",aom-concept,aom-livestock,staging
AOM_001884,Brewers Grain,aom-concept,aom-livestock,deprecated
AOM_000565,Brewers Spent Grain,aom-concept,aom-livestock,staging
AOM_006064,Cereal Spent Grain Ground,aom-concept,aom-livestock,staging
AOM_003565,Cereal Spent Grain,aom-concept,aom-livestock,staging
AOM_003567,Cheka Residue,aom-concept,aom-livestock,staging
AOM_006220,Distillers Grain Dried,aom-concept,aom-livestock,staging
AOM_006374,Finger Millet Straw Ensiled Urea Treated,aom-concept,aom-livestock,staging
AOM_004005,Finger Millet Straw,aom-concept,aom-livestock,staging
AOM_000567,Hominy Ground,aom-concept,aom-livestock,staging
AOM_001434,Hominy,aom-concept,aom-livestock,staging
AOM_006226,Maize Bran Alkali Treated Ground,aom-concept,aom-livestock,staging
AOM_006126,Maize Bran Dried,aom-concept,aom-livestock,staging
AOM_002016,Maize Bran Dried Ground,aom-concept,aom-livestock,staging
AOM_001844,Maize Bran Ground,aom-concept,aom-livestock,staging
AOM_001614,Maize Bran,aom-concept,aom-livestock,staging
AOM_001943,Maize Cob Ensiled,aom-concept,aom-livestock,staging
AOM_002083,Maize Cob Ensiled Urea Treated,aom-concept,aom-livestock,staging
AOM_006218,Maize Cob Enzyme Treated Ground,aom-concept,aom-livestock,staging
AOM_006071,Maize Cob Ground,aom-concept,aom-livestock,staging
AOM_000569,Maize Cob,aom-concept,aom-livestock,staging
AOM_001295,Maize Germ Ground,aom-concept,aom-livestock,staging
AOM_001294,Maize Germ,aom-concept,aom-livestock,staging
AOM_001293,Maize Gluten Ground,aom-concept,aom-livestock,staging
AOM_001292,Maize Gluten,aom-concept,aom-livestock,staging
AOM_001942,Maize Husk Dried Ground,aom-concept,aom-livestock,staging
AOM_001299,Maize Husk,aom-concept,aom-livestock,staging
AOM_001944,Maize Leaves Dried,aom-concept,aom-livestock,staging
AOM_001298,Maize Leaves,aom-concept,aom-livestock,staging
AOM_006127,Maize Offal Dried,aom-concept,aom-livestock,staging
AOM_006129,Maize Offal Dried Ground,aom-concept,aom-livestock,staging
AOM_006128,Maize Offal Ground,aom-concept,aom-livestock,staging
AOM_000571,Maize Offal,aom-concept,aom-livestock,staging
AOM_001615,Maize Sheath Ground,aom-concept,aom-livestock,staging
AOM_001297,Maize Sheath,aom-concept,aom-livestock,staging
AOM_003297,Maize Steep Liquor,aom-concept,aom-livestock,staging
AOM_006076,Maize Stover Ensiled,aom-concept,aom-livestock,staging
AOM_006002,Maize Stover Urea Treated,aom-concept,aom-livestock,staging
AOM_006001,Maize Stover,aom-concept,aom-livestock,staging
AOM_001686,Maize Straw Dried,aom-concept,aom-livestock,staging
AOM_001684,Maize Straw Dried Ensiled Ground Urea Treated,aom-concept,aom-livestock,staging
AOM_001617,Maize Straw Dried Ground,aom-concept,aom-livestock,staging
AOM_006175,Maize Straw Ensiled Fermented,aom-concept,aom-livestock,staging
AOM_001885,Maize Straw Ensiled Urea Treated,aom-concept,aom-livestock,staging
AOM_006165,Maize Straw Ensiled Urea Treated Wilted,aom-concept,aom-livestock,staging
AOM_001682,Maize Straw Ground,aom-concept,aom-livestock,staging
AOM_001688,Maize Straw Ground Urea Treated,aom-concept,aom-livestock,staging
AOM_006397,Maize Straw Molasses Treated Urea Treated,aom-concept,aom-livestock,staging
AOM_001687,Maize Straw Urea Treated,aom-concept,aom-livestock,staging
AOM_000572,Maize Straw,aom-concept,aom-livestock,staging
AOM_001845,Malt Sprout,aom-concept,aom-livestock,staging
AOM_001290,Millet Bran,aom-concept,aom-livestock,staging
AOM_006133,Millet Straw Ensiled Urea Treated,aom-concept,aom-livestock,staging
AOM_001291,Millet Straw,aom-concept,aom-livestock,staging
AOM_006143,Oat Dried,aom-concept,aom-livestock,staging
AOM_001618,Oat Fodder,aom-concept,aom-livestock,staging
AOM_000574,Oat Leaves Dried,aom-concept,aom-livestock,staging
AOM_001702,Oat Leaves Dried Ground,aom-concept,aom-livestock,staging
AOM_006142,Oat Straw Dried,aom-concept,aom-livestock,staging
AOM_001835,Oat Straw,aom-concept,aom-livestock,staging
AOM_001846,Pollard,aom-concept,aom-livestock,staging
AOM_002114,Rice Bran Solvent,aom-concept,aom-livestock,staging
AOM_000575,Rice Bran,aom-concept,aom-livestock,staging
AOM_001280,Rice Hull,aom-concept,aom-livestock,staging
AOM_001619,Rice Husk Dried Urea Treated,aom-concept,aom-livestock,staging
AOM_006187,Rice Husk Ensiled,aom-concept,aom-livestock,staging
AOM_006299,Rice Husk Enzyme Treated,aom-concept,aom-livestock,staging
AOM_006188,Rice Husk Fermented,aom-concept,aom-livestock,staging
AOM_000576,Rice Husk,aom-concept,aom-livestock,staging
AOM_003854,Rice Milling Waste,aom-concept,aom-livestock,staging
AOM_006335,Rice Offal Dried,aom-concept,aom-livestock,staging
AOM_006300,Rice Offal Ground,aom-concept,aom-livestock,staging
AOM_000577,Rice Offal,aom-concept,aom-livestock,staging
AOM_000578,Rice Polish,aom-concept,aom-livestock,staging
AOM_006191,Rice Straw Dried,aom-concept,aom-livestock,staging
AOM_006192,Rice Straw Dried Ensiled Urea Treated,aom-concept,aom-livestock,staging
AOM_006337,Rice Straw Dried Fermented Ground,aom-concept,aom-livestock,staging
AOM_006336,Rice Straw Dried Ground,aom-concept,aom-livestock,staging
AOM_006303,Rice Straw Dried Urea Treated,aom-concept,aom-livestock,staging
AOM_006413,Rice Straw Ensiled,aom-concept,aom-livestock,staging
AOM_006301,Rice Straw Ensiled Urea Treated,aom-concept,aom-livestock,staging
AOM_006304,Rice Straw Fermented Ground,aom-concept,aom-livestock,staging
AOM_006190,Rice Straw Ground,aom-concept,aom-livestock,staging
AOM_003692,Rice Straw Molasses Treated,aom-concept,aom-livestock,staging
AOM_006302,Rice Straw Urea Treated,aom-concept,aom-livestock,staging
AOM_002084,Spent Rice Straw,aom-concept,aom-livestock,staging
AOM_000579,Rice Straw,aom-concept,aom-livestock,staging
AOM_000580,Rye Bran,aom-concept,aom-livestock,staging
AOM_001772,Sorghum Bran,aom-concept,aom-livestock,staging
AOM_001814,Sorghum Brewers Grain Dried,aom-concept,aom-livestock,staging
AOM_001945,Sorghum Brewers Grain Dried Refermented,aom-concept,aom-livestock,staging
AOM_006005,Sorghum Brewers Grain Refermented,aom-concept,aom-livestock,staging
AOM_001813,Sorghum Brewers Grain,aom-concept,aom-livestock,staging
AOM_006316,Sorghum Dried,aom-concept,aom-livestock,staging
AOM_001276,Sorghum Ground,aom-concept,aom-livestock,staging
