concept_id,preferred_label,cohort_scope,feed_material_direct_branch_ids,feed_material_direct_branch_labels,depth_from_feed_materials,depth_from_feed_additives,depth_from_feed_chemical_substances,current_parent_ids,current_parent_labels,direct_child_count,descendant_count,review_requirement
AOM_000594,Cereal ByProducts,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,2,,,AOM_001916,Crop Byproduct,26,159,affected-descendant-inventory;source-navigation-impact-review
AOM_000595,Banana Leaves,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_100879,Banana by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000596,Date Seed Ground,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_100881,Date by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000600,Watermelon Seed Ground,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_100890,Watermelon by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000601,Cowpea Haulm,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100867,Cowpea by-products,3,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000602,Cowpea Husk,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100867,Cowpea by-products,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000603,Fava Bean Haulm,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100868,Fava bean by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000604,Groundnut Haulm,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100869,Groundnut by-products,3,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000605,Groundnut Hull,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100869,Groundnut by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000606,Groundnut Husk Ground,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100869,Groundnut by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000607,Groundnut Ground,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_003072,Groundnut,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000608,Pea Seed Hull,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100873,Pea by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000609,Pigeon Pea Leaves,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100874,Pigeon pea by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000610,Soybean Cake,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100852,Soybean by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000611,Soybean Full Fat Cake,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100852,Soybean by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000612,Soybean Dried,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100852,Soybean by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000613,Soybean Ground,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_001582,Soybean,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000614,Soybean Residue,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100852,Soybean by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000615,Legume ByProducts,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,2,,,AOM_001916,Crop Byproduct,15,84,affected-descendant-inventory;source-navigation-impact-review
AOM_000616,Canola Cake,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100892,Canola by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000617,Cocoa Bean Shell,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_100876,Cocoa by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000620,Cotton Seed Cake,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,5,,,AOM_003973,Cotton Seed,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000625,Palm Kernel Ground,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100901,Palm kernel by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000628,Oil Plant ByProducts,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,2,,,AOM_001916,Crop Byproduct,17,82,affected-descendant-inventory;source-navigation-impact-review
AOM_000632,Hops,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_100906,Other plant by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000633,Beet Pulp Dried,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,5,,,AOM_001836,Beet Pulp,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000634,Cassava Bran,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100910,Cassava by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000635,Cassava Leaves,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100910,Cassava by-products,3,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000638,Cassava Shaft,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100910,Cassava by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000639,Concentrate Cassava Bran Fish Waste,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_000641,Roots and Tuber ByProducts,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000640,Yam Peels,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100914,Yam by-products,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000641,Roots and Tuber ByProducts,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,2,,,AOM_001916,Crop Byproduct,8,62,affected-descendant-inventory;source-navigation-impact-review
AOM_000642,Sugarcane Molasses,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100916,Sugarcane by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000644,Sugar Processing ByProducts,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,2,,,AOM_001916,Crop Byproduct,3,19,affected-descendant-inventory;source-navigation-impact-review
AOM_000647,Barley Grain Crushed,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,5,,,AOM_006033,Barley Grain,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000648,Maize,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,3,,,AOM_000662,Cereal Products,10,15,affected-descendant-inventory;source-navigation-impact-review
AOM_000649,Maize Grain,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_000648,Maize,4,4,affected-descendant-inventory;source-navigation-impact-review
AOM_000651,Maize Oil,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_000648,Maize,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000654,Millet,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,3,,,AOM_000662,Cereal Products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000655,Rice Grain,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_100927,Rice products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000656,Ground whole-grain rice,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_100927,Rice products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000657,Sorghum Grain,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_001316,Sorghum,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000660,Ground whole-grain wheat,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_001319,Wheat,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000662,Cereal Products,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,2,,,AOM_100921,Crop product,9,44,affected-descendant-inventory;source-navigation-impact-review
AOM_000663,Jackfruit,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,3,,,AOM_000665,Fruit Product,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000664,Ripe Avocado,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_001201,Avocado,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000665,Fruit Product,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,2,,,AOM_100921,Crop product,8,16,affected-descendant-inventory;source-navigation-impact-review
AOM_000667,Legume Products,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,2,,,AOM_100921,Crop product,11,41,affected-descendant-inventory;source-navigation-impact-review
AOM_000668,Soybean Ground Roasted,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_001582,Soybean,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000670,Soybean Roasted,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_001582,Soybean,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000671,Palm Oil,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_100934,Palm products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000672,Palm Oil Crude,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_100934,Palm products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000673,Sunflower,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,3,,,AOM_000677,Oil Plant Products,2,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000674,Sunflower Oil,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_000673,Sunflower,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000675,Sunflower Seed Ground,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,5,,,AOM_002208,Sunflower Seed,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000676,Vegetable Oil,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,3,,,AOM_000677,Oil Plant Products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000677,Oil Plant Products,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,2,,,AOM_100921,Crop product,10,21,affected-descendant-inventory;source-navigation-impact-review
AOM_000678,Cassava Starch,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_100936,Cassava products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000679,Cassava Tuber,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_100936,Cassava products,3,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000680,Sweet Potato,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,3,,,AOM_000681,Roots and Tuber Products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000681,Roots and Tuber Products,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,2,,,AOM_100921,Crop product,5,15,affected-descendant-inventory;source-navigation-impact-review
AOM_000682,Water Hyacinth,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000683,Aquatic Plants,5,5,affected-descendant-inventory;source-navigation-impact-review
AOM_000683,Aquatic Plants,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,2,,,AOM_000735,Forage Plants,9,23,affected-descendant-inventory;source-navigation-impact-review
AOM_000686,Cenchrus ciliaris,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000701,Cereal and Grass Forages,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000687,Desho Grass Hay,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000701,Cereal and Grass Forages,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000688,Digitaria Dried,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_003916,Digitaria,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000689,Pennisetum purpureum,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000701,Cereal and Grass Forages,5,5,affected-descendant-inventory;source-navigation-impact-review
AOM_000692,Grass Dried Ground,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_001809,Grass Dried,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000693,Grass Local,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000701,Cereal and Grass Forages,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000695,Luscious Pasture,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000701,Cereal and Grass Forages,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000697,Natural Pasture,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_001789,Pasture,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000698,Natural Pasture Dried,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,5,,,AOM_000697,Natural Pasture,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000700,Unspecified Grazing,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000701,Cereal and Grass Forages,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000701,Cereal and Grass Forages,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,2,,,AOM_000735,Forage Plants,103,177,affected-descendant-inventory;source-navigation-impact-review
AOM_000703,Acacia angustissima,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,2,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000704,Acacia nilotica,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,2,5,affected-descendant-inventory;source-navigation-impact-review
AOM_000705,Acacia sieberiana,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,2,4,affected-descendant-inventory;source-navigation-impact-review
AOM_000706,Acacia tortilis,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,3,8,affected-descendant-inventory;source-navigation-impact-review
AOM_000708,Ficus thonningii Leaves Dried,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,5,,,AOM_001148,Ficus thonningii Leaves,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000709,Gmelina arborea Leaves Ground,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,5,,,AOM_003083,Gmelina arborea Leaves,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000710,Leucaena leucocephala,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,4,9,affected-descendant-inventory;source-navigation-impact-review
AOM_000711,Moringa oleifera Leaves Ground,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,5,,,AOM_003903,Moringa oleifera Leaves,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000712,Prosopis juliflora,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,3,6,affected-descendant-inventory;source-navigation-impact-review
AOM_000713,Prosopis juliflora Pods,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_000712,Prosopis juliflora,3,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000714,Prosopis juliflora Dried Ground,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_000712,Prosopis juliflora,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000716,Tithonia diversifolia,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000718,Forage Trees,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000718,Forage Trees,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,2,,,AOM_000735,Forage Plants,112,389,affected-descendant-inventory;source-navigation-impact-review
AOM_000719,Alfalfa,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000726,Legume Forages,4,5,affected-descendant-inventory;source-navigation-impact-review
AOM_000725,Vicia Dried,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_001242,Vicia,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000726,Legume Forages,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,2,,,AOM_000735,Forage Plants,36,100,affected-descendant-inventory;source-navigation-impact-review
AOM_000730,Olive Leaves,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,4,,,AOM_100962,Olive forage materials,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000733,Siam Weed Leaves Ground,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,3,,,AOM_000734,Other Forage Plants,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000734,Other Forage Plants,feed-material-descendant;crop-forage-navigation,AOM_000735,Forage Plants,2,,,AOM_000735,Forage Plants,43,74,affected-descendant-inventory;source-navigation-impact-review
AOM_000735,Forage Plants,feed-material-descendant;direct-feed-material-child;crop-forage-navigation;reported-concept,AOM_000735,Forage Plants,1,,,AOM_100850,Feed materials,5,768,affected-descendant-inventory;row-level-disposition;source-navigation-impact-review
AOM_000737,Amino Acid,feed-additive-branch,,,,2,,AOM_101136,Nutritional feed additives,6,6,authority-boundary-comparison
AOM_000738,Threonine,feed-additive-branch,,,,3,,AOM_000737,Amino Acid,0,0,authority-boundary-comparison
AOM_000739,Lysine,feed-additive-branch,,,,3,,AOM_000737,Amino Acid,0,0,authority-boundary-comparison
AOM_000740,Lysine - HCl,feed-additive-branch,,,,3,,AOM_000737,Amino Acid,0,0,authority-boundary-comparison
AOM_000746,Chromium Oxide,chemical-identity-branch,,,,,1,AOM_101147,Feed chemical substances,1,1,identity-product-boundary-review
AOM_000748,Asperozym (Fibrolytic Enzymes),feed-additive-branch,,,,3,,AOM_000751,Enzyme,0,0,authority-boundary-comparison
AOM_000749,Axtra Phy Broiler,feed-additive-branch,,,,3,,AOM_000751,Enzyme,0,0,authority-boundary-comparison
AOM_000750,Phytase,feed-additive-branch,,,,3,,AOM_000751,Enzyme,1,1,authority-boundary-comparison
AOM_000751,Enzyme,feed-additive-branch,,,,2,,AOM_101137,Zootechnical feed additives,6,7,authority-boundary-comparison
AOM_000753,Bicarbonate of Soda,feed-material-descendant,AOM_101139,Mineral feed materials,2,,,AOM_101139,Mineral feed materials,0,0,affected-descendant-inventory
AOM_000755,Chalk,feed-material-descendant,AOM_101139,Mineral feed materials,2,,,AOM_101139,Mineral feed materials,0,0,affected-descendant-inventory
