concept_id,preferred_label,current_scope,preliminary_disposition,recommended_product_kind,recommended_navigation_target,recommended_relations,evidence_ids,status,blocking_question,rationale,reviewer,review_date
AOM_000533,Ingredient species,direct-feed-material-child,out-of-scope-cohort-b,none,None,aom:sourceTaxon,LOCAL-GRAPH,held,Does any active browse concept remain necessary after property migration?,This is a schema-property issue assigned to #53 and must not be treated as a feed material.,Pete Steward,2026-08-13
AOM_100989,Microalgal feed materials,direct-feed-material-child,retain-and-group,aom:FeedMaterial,Other biological feed materials,aom:sourceTaxon,EU-767-2009;LOCAL-GRAPH,approved,,Retain material status and move under explicit biological-source navigation rather than leaving an isolated direct child.,Pete Steward,2026-08-13
AOM_101139,Mineral feed materials,direct-feed-material-child,retain,aom:FeedMaterial,Other feeds / Minerals,proposed aom:materialOrigin,EU-767-2009;FEEDIPEDIA-CATEGORIES,approved,,Mineral materials are valid feed materials and low inclusion rate does not make them additives.,Pete Steward,2026-08-13
AOM_006349,Pleurotus ostreatus,direct-feed-material-child,temporary-unclassified-if-material-confirmed,hold,Unclassified feed materials only after FeedMaterial confirmation,aom:sourceTaxon,FEEDIPEDIA-CATEGORIES;SOURCE-WORKBOOK,held,Does this denote fruiting-body material mushroom powder mycelial biomass or substrate treated by the fungus?,Source context establishes an ingredient-list occurrence but species label alone cannot justify FeedMaterial status a durable fungal-material class or exact feed identity.,Pete Steward,2026-08-13
AOM_100987,Processed food by-products,direct-feed-material-child,retain-materials-externalize-role,aom:FeedMaterial,Plant or animal source navigation;a former-foodstuff collection,aom:productRole,EU-767-2009;FEEDIPEDIA-CATEGORIES,approved,,Processing origin may support a collection but by-product or waste status must remain explicit per material.,Pete Steward,2026-08-13
AOM_006334,Rumen-protected fat feed materials,direct-feed-material-child,retain-and-group,aom:FeedMaterial,Source-appropriate feed materials,aom:processingMethod;aom:compositionState,EU-767-2009;LOCAL-GRAPH,approved,,Rumen protection describes processing or state and should not create an isolated top-level product kind.,Pete Steward,2026-08-13
AOM_001832,Starch feed material,direct-feed-material-child,retain-and-group,aom:FeedMaterial,Plant products/by-products,proposed aom:chemicalIdentity,EU-767-2009;EU-2011-25,approved,,A starch product may be a feed material while starch chemical identity and constituent use remain separate.,Pete Steward,2026-08-13
AOM_006241,Unspecified Yeast,direct-feed-material-child,retain-temporarily-unclassified,aom:FeedMaterial,Other biological feed materials,aom:sourceTaxon,EU-767-2009;LOCAL-GRAPH,approved,Can source organism or yeast-product scope be recovered?,Retain broad material status but group microbial materials and preserve unresolved taxon as an explicit limitation.,Pete Steward,2026-08-13
AOM_001922,Water,direct-feed-material-child,hold-product-kind,hold,Feed or diet input outside EU FeedMaterial class,none,EU-767-2009;LOCAL-GRAPH,held,Should AOM use a broader global domain class for drinking or incorporated water?,Regulation 767/2009 excludes water from its scope; current FeedMaterial typing needs explicit domain rationale rather than inheritance.,Pete Steward,2026-08-13
AOM_000746,Chromium Oxide,chemical-substance-descendant,retain-chemical-identity,none,Chemical substances,aom:experimentalRole;proposed aom:chemicalIdentity,EU-2011-25;LOCAL-GRAPH,approved,Is any represented chromium-oxide product an authorized additive or only an experimental marker?,Chemical identity and marker role do not establish feed-material or additive product status.,Pete Steward,2026-08-13
AOM_002072,Chromium Oxide Ground,chemical-substance-descendant,move-out-of-chemical-hierarchy,hold,Product or material-state review,proposed aom:chemicalIdentity;aom:processingMethod;aom:presentationForm,EU-2011-25;LOCAL-GRAPH,held,Does this identify a prepared marker product or only legacy process text?,Ground is a product/process/form assertion and should not be a narrower chemical substance; Composition/Form review must resolve representation.,Pete Steward,2026-08-13
AOM_000809,Essential Fatty Acid,chemical-substance-descendant,retain-chemical-category,none,Chemical constituents,aom:primaryConstituent,EU-2011-25;LOCAL-GRAPH,approved,,This is a chemical/nutritional category rather than one feed-material or additive product.,Pete Steward,2026-08-13
AOM_001865,Free Gossypol,chemical-substance-descendant,retain-chemical-constituent,none,Chemical constituents,aom:primaryConstituent,EU-2011-25;LOCAL-GRAPH,approved,,This denotes a constituent or measurement target rather than one feed product.,Pete Steward,2026-08-13
AOM_006389,Organic Acid,chemical-substance-descendant,retain-chemical-category,none,Chemical substances,proposed aom:chemicalIdentity;aom:functionalRole,EU-2011-25;EU-2021-758,approved,,Organic acid is a chemical class; exact products may be materials or additives only after case-specific evidence.,Pete Steward,2026-08-13
AOM_000808,Fumaric Acid,chemical-substance-descendant,retain-chemical-identity,none,Chemical substances,proposed aom:chemicalIdentity;aom:functionalRole,EU-2011-25;EU-2021-758,approved,What exact product purity intended use and authorization context is represented?,Chemical identity alone cannot decide feed-material versus additive product status.,Pete Steward,2026-08-13
AOM_001068,Pseudovitamin,chemical-substance-descendant,hold-identity-scope,none,Chemical identity review,proposed aom:chemicalIdentity,EU-2011-25;LOCAL-GRAPH,held,Is this a chemical class functional label or legacy supplement category?,Placement under chemical substances is plausible but definition and member scope need evidence.,Pete Steward,2026-08-13
AOM_001069,Inositol,chemical-substance-descendant,retain-chemical-identity,none,Chemical substances,proposed aom:chemicalIdentity;aom:functionalRole,EU-2011-25;EU-2021-758,approved,What exact product and intended use is represented?,Retain chemical identity independently; classify any material or additive product case by case.,Pete Steward,2026-08-13
