case_id,priority,top_branch,review_batch,candidate_parent_label,candidate_parent_path,candidate_depth,affected_child_count,affected_child_ids,sample_child_labels,nearest_explicit_ancestor_id,nearest_explicit_ancestor_path,same_label_existing_ids,review_question,decision,approved_parent_id,reviewer,review_date,evidence,rationale
PARENT-046,normal,Management,Management / Livestock Management,Wheat,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal Products/Wheat,8,1,AOM_001318,Wheat Grain,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_001319,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-047,medium,Management,Management / Livestock Management,Banana,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Banana,8,3,AOM_000595;AOM_001176;AOM_001177,Banana Leaves; Banana Peel; Banana Pseudo-stem,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-048,normal,Management,Management / Livestock Management,Citrus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Citrus,8,1,AOM_003885,Citrus Pulp,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-049,medium,Management,Management / Livestock Management,Date,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Date,8,4,AOM_000596;AOM_001815;AOM_002348;AOM_006086,Date Seed Ground; Date Cull; Date Leaves; Date Discards,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_001311,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-050,normal,Management,Management / Livestock Management,Date Discarded,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Date/Date Discarded,9,1,AOM_003815,Date Discarded Ground,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-051,normal,Management,Management / Livestock Management,Date Palm Fronds,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Date/Date Palm Fronds,9,1,AOM_006080,Date Palm Fronds Ground,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-052,normal,Management,Management / Livestock Management,Grape,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Grape,8,1,AOM_003596,Grape Seeds,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-053,normal,Management,Management / Livestock Management,Jackfruit,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Jackfruit,8,2,AOM_006171;AOM_006172,Jackfruit Seed Dried Ground; Jackfruit Seed Dried Fermented Ground,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_000663,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-054,normal,Management,Management / Livestock Management,Mango,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Mango,8,2,AOM_001195;AOM_001196,Mango Peel Dried; Mango Seed,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_001435,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-055,normal,Management,Management / Livestock Management,Mango Seed Kernel,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Mango/Mango Seed Kernel,9,2,AOM_001694;AOM_001695,Mango Seed Kernel Dried Ground; Mango Seed Kernel Crushed Dried,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_001625,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-056,normal,Management,Management / Livestock Management,Marula Kernel,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Marula/Marula Kernel,9,1,AOM_006346,Marula Kernel Cake,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-057,normal,Management,Management / Livestock Management,Marula Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Marula/Marula Seed,9,1,AOM_006347,Marula Seed Cake Ground,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-058,normal,Management,Management / Livestock Management,Melon,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Melon,8,1,AOM_002233,Melon Seed Husk,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-059,medium,Management,Management / Livestock Management,Orange,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Orange,8,3,AOM_001745;AOM_001889;AOM_003891,Orange Dried; Orange Peels; Orange Pulp,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-060,normal,Management,Management / Livestock Management,Orange Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Orange/Orange Waste,9,1,AOM_006348,Orange Waste Ensiled,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-061,normal,Management,Management / Livestock Management,Papaya,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Papaya,8,1,AOM_001286,Papaya Leaves,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-062,normal,Management,Management / Livestock Management,Plantain,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Plantain,8,1,AOM_001283,Plantain Peel,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-063,normal,Management,Management / Livestock Management,Watermelon,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Watermelon,8,2,AOM_000600;AOM_003933,Watermelon Seed Ground; Watermelon Vine,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-064,normal,Management,Management / Livestock Management,Fruit Product,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit Product,7,1,AOM_001311,Date,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_000665,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-065,normal,Management,Management / Livestock Management,Chickpea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Chickpea,8,1,AOM_001181,Chickpea Haulm,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-066,medium,Management,Management / Livestock Management,Common Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Common Bean,8,3,AOM_001179;AOM_001180;AOM_001258,Common Bean Straw; Common Bean Tops; Common Bean Haulm,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-067,medium,Management,Management / Livestock Management,Cowpea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea,8,6,AOM_000601;AOM_000602;AOM_001189;AOM_001263;AOM_001646;AOM_003927,Cowpea Haulm; Cowpea Husk; Cowpea Vine; Cowpea Leaves; Cowpea Dried,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-068,normal,Management,Management / Livestock Management,Fava Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Fava Bean,8,1,AOM_000603,Fava Bean Haulm,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,AOM_002228,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-069,normal,Management,Management / Livestock Management,Green Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Green Bean,8,1,AOM_003960,Green Bean Vine,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-070,medium,Management,Management / Livestock Management,Groundnut,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut,8,7,AOM_000604;AOM_000605;AOM_001254;AOM_001890;AOM_002249;AOM_003858;AOM_006169,Groundnut Haulm; Groundnut Hull; Groundnut Cake; Groundnut Straw; Groundnut Shell,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,AOM_003072,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-071,normal,Management,Management / Livestock Management,Groundnut Husk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Husk,9,1,AOM_000606,Groundnut Husk Ground,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-072,normal,Management,Management / Livestock Management,Guar Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Guar Bean,8,1,AOM_001366,Guar Gum Ground,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-073,normal,Management,Management / Livestock Management,Haricot Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Haricot Bean,8,1,AOM_004000,Haricot Bean Vine,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-074,normal,Management,Management / Livestock Management,Lentil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Lentil,8,1,AOM_004111,Lentil Screening,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-075,normal,Management,Management / Livestock Management,Lima Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Lima Bean,8,1,AOM_003929,Lima Bean Vein,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-076,normal,Management,Management / Livestock Management,Pea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Pea,8,2,AOM_000608;AOM_001285,Pea Seed Hull; Pea Straw,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,AOM_002226,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-077,normal,Management,Management / Livestock Management,Pigeon Pea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Pigeon Pea,8,1,AOM_000609,Pigeon Pea Leaves,AOM_000615,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts,AOM_001314,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-079,normal,Management,Management / Livestock Management,Legume Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products,7,2,AOM_001314;AOM_001817,Pigeon Pea; Legume Residue,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,AOM_000667,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-080,normal,Management,Management / Livestock Management,Argan,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Argan,8,1,AOM_003892,Argan Pulp,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-081,normal,Management,Management / Livestock Management,Argan Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Argan/Argan Seed,9,1,AOM_003890,Argan Seed Cake,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-082,normal,Management,Management / Livestock Management,Canola,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Canola,8,2,AOM_000616;AOM_001307,Canola Cake; Canola Ground,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,AOM_001309,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-083,normal,Management,Management / Livestock Management,Cashew,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Cashew,8,1,AOM_002225,Cashew Shell,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
