concept_id,current_label,target_layer,target_type,disposition,migration_phase,backward_compatibility,status,reviewer,review_date,source_case,rationale
AOM_001646,Cowpea Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-067,May represent processed whole cowpea rather than by-product.
AOM_001366,Guar Gum Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-072,May represent processed guar product rather than by-product.
AOM_001307,Canola Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-082,Processed whole canola may not be a production by-product.
AOM_003973,Cotton Seed,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-085,Cotton seed may be a primary co-product rather than a by-product.
AOM_001893,Hibiscus Seed,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-086,Hibiscus seed may be a primary product rather than a by-product.
AOM_001335,Sesame Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-092,Ground sesame may represent processed whole seed.
AOM_001440,Sesame Seed,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-092,Sesame seed may be a primary product rather than a by-product.
AOM_001337,Sunflower Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-094,Ground sunflower may represent processed whole seed.
AOM_001745,Orange Dried,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-059,Dried orange may represent processed whole fruit.
AOM_003918,African Yam Bean Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-099,Ground African yam bean may represent processed whole grain legume.
AOM_006320,African Yam Bean Dried Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-099,Dried ground African yam bean may represent processed whole grain legume.
AOM_003482,Sugar Beet,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-109,Sugar beet may be a primary crop/product rather than a processing by-product.
AOM_001300,Arugula Seed Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-111,Ground arugula seed may represent processed whole seed.
AOM_001817,Legume Residue,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-079,Legume residue is a by-product despite legacy placement under Legume Products.
AOM_002106,Cocoa Bean Cake,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-117,Cocoa bean cake may be a processing by-product rather than a primary product.
AOM_002137,Tomato Pulp,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-123,Tomato pulp may be a processing by-product rather than a primary fruit product.
AOM_001700,Noug Cake Ground,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-128,Noug cake ground is likely an oil-processing by-product.
AOM_001837,Palm Oil Sludge,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-129,"Palm oil sludge is a processing by-product, unlike palm oil products grouped with it."
AOM_003887,Rosemary Residues,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-138,"Rosemary residues are by-products, unlike oil and leaves grouped with them."
AOM_003359,Onion Veins,domain_data_and_vocabulary,aom:FeedMaterial+sourceTaxon+ingredientPart+processingMethod+productRole,retain_concept_add_facets_pending_reclassification,3,retain_concept_uri_and_legacy_broader_until_reviewed_reparenting,design-approved,Pete Steward,2026-08-04,PARENT-142,Onion veins may be residue/by-product material rather than a primary vegetable product.
AOM_002501,Primiparous,controlled_vocabulary,aom:ParityStatus,migrate_to_parity_scheme,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
AOM_002502,Multiparous,controlled_vocabulary,aom:ParityStatus,migrate_to_parity_scheme,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
AOM_002503,Mixed,controlled_vocabulary,evidence_required,hold_ambiguous_reproductive_status,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
AOM_002504,First trimester,controlled_vocabulary,aom:GestationalStage,migrate_to_gestational_stage_scheme,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
AOM_002505,Second trimester,controlled_vocabulary,aom:GestationalStage,migrate_to_gestational_stage_scheme,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
AOM_002506,Third trimester,controlled_vocabulary,aom:GestationalStage,migrate_to_gestational_stage_scheme,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
AOM_002507,Forth trimester,controlled_vocabulary,evidence_required,hold_nonstandard_fourth_trimester,3,retain_concept_uri; change hierarchy only through governed migration,design-approved,Pete Steward,2026-08-04,PARENT-206,Legacy Parity branch mixes parity class with pregnancy trimester; several descriptions appear shifted and require source-level correction.
