source_value,normalized_value,primary_facet,secondary_facets,disposition,confidence,status,reviewer,review_date,evidence,rationale
Root Bark,root bark,composite_descriptor,anatomical_part,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines nested anatomical structures.
Seed,seed,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Seed Cake,seed cake,composite_descriptor,anatomical_part;physical_form;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines seed anatomy with processed cake form.
Seed Hull,seed hull,composite_descriptor,anatomical_part,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines nested anatomical structures.
Seed Kernel,seed kernel,composite_descriptor,anatomical_part,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines nested or partly synonymous seed structures.
Seeds,seeds,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names plant anatomical structures.
Shaft,shaft,unresolved_descriptor,,hold,low,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Meaning may be typo or domain-specific usage; source evidence required.
Sheath,sheath,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Shell,shell,anatomical_part,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names outer biological covering; plant or animal context must be retained.
Shells,shells,anatomical_part,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names outer biological coverings; plant or animal context must be retained.
Shorts,shorts,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names milling by-product material.
Sludge,sludge,product_role,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Usually denotes processing residue or waste role.
Sprout,sprout,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a developing plant structure.
Stalk,stalk,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Stalks,stalks,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names plant anatomical structures.
Starch,starch,chemical_constituent,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a carbohydrate constituent.
Stover,stover,composite_descriptor,anatomical_part;product_role,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Collective above-ground crop parts used as residue or by-product.
Straw,straw,composite_descriptor,anatomical_part;processing_method;product_role,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names dried cereal stems with residue role rather than one simple part.
Threshed Top,threshed top,composite_descriptor,anatomical_part;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines plant top with threshing process.
Tops,tops,anatomical_part,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Collective above-ground plant structures; scope review needed.
Tuber,tuber,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Vine,vine,anatomical_part,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names trailing stem or collective plant structure.
Viscera,viscera,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names internal animal organs collectively.
Waste,waste,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Explicitly identifies waste role.
Weeds,weeds,unresolved_descriptor,,hold,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names source material class rather than part form process role or constituent.
Whole,whole,physical_form,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes unseparated material form rather than anatomy.
