case_id,child_ids,target_parent_id,reviewer,review_date,evidence,rationale
PARENT-057,AOM_006347,AOM_100885,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Flatten redundant Marula Seed path; attach material directly to normalized source by-products grouping.
PARENT-060,AOM_006348,AOM_100887,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Flatten redundant Orange Waste path; attach material directly to normalized source by-products grouping.
PARENT-081,AOM_003890,AOM_100891,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Flatten redundant Argan Seed path; attach material directly to normalized source by-products grouping.
PARENT-095,AOM_001338;AOM_001894,AOM_100904,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Flatten redundant Sunflower Seed path; attach material directly to normalized source by-products grouping.
PARENT-101,AOM_006221,AOM_100908,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Flatten redundant Beet Fodder path; attach material directly to normalized source by-products grouping.
PARENT-104,AOM_006059,AOM_100910,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Flatten redundant Cassava Tuber path; attach material directly to normalized source by-products grouping.
PARENT-046,AOM_001318,AOM_001319,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-064,AOM_001311,AOM_100921,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-079,AOM_001314;AOM_001817,AOM_000667,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-097,AOM_001312,AOM_000677,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-120,AOM_002353,AOM_001311,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-121,AOM_000663;AOM_001265;AOM_001435;AOM_001847,AOM_000665,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-128,AOM_001700,AOM_001190,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Uses existing reviewed product category or source context; avoids duplicate hierarchy concept.
PARENT-134,AOM_001818,AOM_100937,Pete Steward,2026-08-03,review/livestock-v2/CROP_PRODUCT_RECOMMENDATIONS.md,Corrects Ensete ventricosum corm misfiled beneath a Sweet potato Feedipedia label.
PARENT-145,AOM_003908,AOM_000718,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-148,AOM_006360,AOM_001128,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-149,AOM_002347;AOM_006024,AOM_001535,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-154,AOM_006373,AOM_000718,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Taxon identity conflict prevents minting a source group; attach material to reviewed forage-tree category pending identity review.
PARENT-162,AOM_001978,AOM_001152,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-163,AOM_001977,AOM_001152,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-164,AOM_001980;AOM_006137,AOM_001791,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-169,AOM_006293,AOM_002239,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-171,AOM_001723,AOM_001531,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-172,AOM_001992,AOM_001802,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-174,AOM_001739,AOM_001174,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-175,AOM_001985,AOM_003079,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-178,AOM_006223,AOM_002204,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-179,AOM_001990,AOM_001221,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-181,AOM_002231,AOM_006180,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-183,AOM_001534,AOM_001533,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Attach processed or plant-part material to existing reviewed source/category concept; avoid single-purpose intermediate.
PARENT-012,AOM_001928,AOM_001927,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-016,AOM_001938,AOM_100983,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-018,AOM_001811,AOM_100976,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-019,AOM_002080,AOM_100976,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-023,AOM_001095,AOM_000561,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-024,AOM_006008,AOM_000561,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-025,AOM_001097,AOM_000561,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-026,AOM_001146,AOM_000561,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-189,AOM_003172,AOM_000781,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-190,AOM_002191,AOM_000781,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-191,AOM_000772,AOM_000779,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-194,AOM_001871;AOM_001903;AOM_003996;AOM_003997,AOM_000811,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-195,AOM_000752,AOM_000811,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_FEED_RECOMMENDATIONS.md,Attach material to existing or newly approved functional grouping; avoid single-purpose source/part intermediate.
PARENT-001,AOM_000864,AOM_000862,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-003,AOM_000912,AOM_000911,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-005,AOM_000170,AOM_000107,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-204,AOM_000178,AOM_000108,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-212,AOM_003003;AOM_003011;AOM_003021,AOM_000108,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-213,AOM_003004,AOM_003014,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-214,AOM_000509,AOM_000502,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-221,AOM_000432,AOM_003110,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-225,AOM_001087,AOM_003110,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-226,AOM_001084;AOM_001085;AOM_001086,AOM_101008,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
PARENT-230,AOM_000496,AOM_000361,Pete Steward,2026-08-03,review/livestock-v2/FINAL_HIERARCHY_RECOMMENDATIONS.md,Reuse existing reviewed concept or approved normalized grouping; avoid duplicate or self-identical intermediate.
