case_id,concept_id,semantic_class,status,reviewer,review_date,evidence,rationale
FEED-TAXONOMY-TYPE-AOM_001749,AOM_001749,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_002072,AOM_002072,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_003878,AOM_003878,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_006389,AOM_006389,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_101023,AOM_101023,aom:ChemicalConstituent,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_101146,AOM_101146,aom:FeedChemicalEntity,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-TAXONOMY-TYPE-AOM_101147,AOM_101147,aom:ChemicalSubstance,approved,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md;docs/methods/feed-taxonomy-governance.md,Chemical identity is represented independently of feed product kind and additive function.
FEED-PRODUCT-KIND-TYPE-AOM_000809,AOM_000809,aom:ChemicalConstituent,approved,Pete Steward,2026-08-16,docs/decisions/0045-feed-product-kind-and-source-navigation.md,Accepted Cohort A disposition treats constituent identity independently of feed-product kind.
FEED-PRODUCT-KIND-TYPE-AOM_001865,AOM_001865,aom:ChemicalConstituent,approved,Pete Steward,2026-08-16,docs/decisions/0045-feed-product-kind-and-source-navigation.md,Accepted Cohort A disposition treats constituent identity independently of feed-product kind.
PROCESS-AXIS-TYPE-AOM_100990,AOM_100990,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_100991,AOM_100991,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_000837,AOM_000837,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_000826,AOM_000826,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101129,AOM_101129,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101130,AOM_101130,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101131,AOM_101131,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_000842,AOM_000842,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101069,AOM_101069,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101084,AOM_101084,aom:ProductionProcess,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101163,AOM_101163,aom:ProcessMechanism,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101164,AOM_101164,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101165,AOM_101165,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101166,AOM_101166,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101167,AOM_101167,aom:ProcessTechnicalObjective,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101168,AOM_101168,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101169,AOM_101169,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101170,AOM_101170,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101171,AOM_101171,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101172,AOM_101172,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101173,AOM_101173,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101174,AOM_101174,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101175,AOM_101175,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101176,AOM_101176,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101177,AOM_101177,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101178,AOM_101178,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
PROCESS-AXIS-TYPE-AOM_101179,AOM_101179,aom:FeedBenefit,approved,Pete Steward,2026-08-18,docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md;docs/methods/feed-process-axis-governance.md,Accepted process-axis class separates this concept from direct processing-method values.
COMPONENT-CHEMICAL-TYPE-AOM_001578,AOM_001578,aom:ChemicalConstituent,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Accepted semantic class supports independent identity or anatomy navigation.
COMPONENT-CHEMICAL-TYPE-AOM_101180,AOM_101180,aom:FeedMaterialPartCategory,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Accepted semantic class supports independent identity or anatomy navigation.
COMPONENT-CHEMICAL-TYPE-AOM_101181,AOM_101181,aom:FeedMaterialPartCategory,approved,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Accepted semantic class supports independent identity or anatomy navigation.
