case_id,subject_id,relation_type,object_id,reviewer,review_date,evidence,rationale
PARENT-106,AOM_100912,related,AOM_000680,Pete Steward,2026-08-03,review/livestock-v2/REMAINING_CROP_BYPRODUCT_RECOMMENDATIONS.md,Links derived feed-material grouping to existing crop/product concept without asserting identity or hierarchy.
PARENT-182,AOM_100969,related,AOM_000102,Pete Steward,2026-08-03,review/livestock-v2/FORAGE_PLANT_RECOMMENDATIONS.md,Links forage-material grouping to existing plant-taxon concept without placing feed material beneath Species hierarchy.
COLLISION-ENZYME-TREATMENT,AOM_000820,broader,AOM_000145,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Preserves biological-feed-processing placement after replacing duplicate AOM_000146.
COLLISION-FERMENTATION,AOM_000830,broader,AOM_000145,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Preserves biological-feed-processing placement after replacing duplicate AOM_000147.
COLLISION-REARING-STAGE,AOM_000865,broader,AOM_000848,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Allows one rearing-stage identity to serve terrestrial and aquatic livestock-system branches.
COLLISION-SPECIES-ASSOCIATIONS,AOM_000893,broader,AOM_000848,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Allows one species-associations identity to serve terrestrial and aquatic livestock-system branches.
COLLISION-LIVING-ENVIRONMENT,AOM_000885,broader,AOM_000848,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Allows one living-environment identity to serve terrestrial and aquatic livestock-system branches.
COLLISION-PRODUCTION-ORIENTATION,AOM_000850,broader,AOM_000849,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Allows one production-orientation identity to serve terrestrial and aquatic livestock-system branches.
FEED-STRUCT-CHICKEN-SOURCE,AOM_100983,related,AOM_000025,Pete Steward,2026-08-11,docs/decisions/0041-feed-material-structural-model.md,Links chicken-derived feed grouping to biological Chicken concept without asserting identity or placing feed material under Species hierarchy.
FEED-STRUCT-POULTRY-SOURCE,AOM_003206,related,AOM_000024,Pete Steward,2026-08-11,docs/decisions/0041-feed-material-structural-model.md,Links generic poultry by-products to biological Poultry or Game Bird concept without asserting identity.
FEED-STRUCT-POULTRY-MEAL-SOURCE,AOM_101127,related,AOM_000024,Pete Steward,2026-08-11,docs/decisions/0041-feed-material-structural-model.md,Links poultry by-product meal to biological poultry grouping while process and form remain separate facets.
