rule_id,dimension,source_pattern,normalized_value,approval_scope,required_guard,status,reviewer,review_date,evidence,rationale
COMPONENT-BRAN,component,bran,Bran,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-COB,component,cob,Cob,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-GRAIN,component,grain,Grain,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-HUSK,component,husk,Husk,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-KERNEL,component,kernel,Kernel,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-LEAF,component,leaf,Leaf,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-PEEL,component,peel,Peel,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-POD,component,pod,Pod,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-ROOT,component,root,Root,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-SEED,component,seed,Seed,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-SHELL,component,shell,Shell,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-STEM,component,stem,Stem,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-STOVER,component,stover,Stover,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-STRAW,component,straw,Straw,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-TUBER,component,tuber,Tuber,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
COMPONENT-VINE,component,vine,Vine,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
FORM-BLOCK,form,block,Block,approve-with-guard,Apply only as presentation/form when source context confirms; preserve original material identity.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Term can describe physical presentation but requires a retained source identity.
FORM-PELLET,form,pellet,Pellet,approve-with-guard,Apply only as presentation/form when source context confirms; preserve original material identity.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Term can describe physical presentation but requires a retained source identity.
FORM-POWDER,form,powder,Powder,approve-with-guard,Apply only as presentation/form when source context confirms; preserve original material identity.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Term can describe physical presentation but requires a retained source identity.
