source_value,assertion_order,facet,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale
Molasses,3,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Pods Husk,1,anatomical_part,AOM_101035,Pod,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Pods Husk,2,anatomical_part,AOM_101031,Husk,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Pulp,1,physical_form,AOM_101078,Pulp form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Pulp,2,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Kernel,1,anatomical_part,AOM_101038,Seed,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Kernel,2,anatomical_part,AOM_101032,Kernel,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Straw,1,anatomical_part,AOM_101047,Stem,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Straw,2,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Straw,3,physical_form,AOM_101054,Dried form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Straw,4,product_role,AOM_101063,Crop-residue role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Hash,1,physical_form,AOM_101075,Mixture form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Hash,2,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
