child_id,child_path,missing_parent_path,reason,disposition
AOM_001932,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/Housefly Maggot/Housefly Maggot Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/Housefly Maggot,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001108,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/Oryctes rhinoceros/Oryctes rhinoceros Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/Oryctes rhinoceros,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001938,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Poultry/Chicken/Chicken Offal/Chicken Offal Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Poultry/Chicken/Chicken Offal,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001096,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Poultry/Chicken/Chicken Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Poultry/Chicken,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000540,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Bone,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001811,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Digestive ByProduct/Rumen Contents,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Digestive ByProduct,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002078,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Egg,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002080,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fat/Lard,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fat,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002009,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Feather/Feather Boiled Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Feather,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001099,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Feather/Feather Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Feather,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002192,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fish/Fish Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fish,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000545,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fish/Fish Processing Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fish,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002081,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate/Mixed Marine Hydrolysate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002082,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate/Shrimp Hydrolysate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001106,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Meat and Bone,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003206,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Poultry byproduct,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000558,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001095,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Cattle/Cattle Manure,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Cattle,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_006008,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Chicken/Chicken Manure,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Chicken,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001097,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Pig/Pig Manure,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Pig,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001146,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Poultry/Poultry Litter,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Poultry,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001318,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal Products/Wheat/Wheat Grain,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal Products/Wheat,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001311,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit Product/Date,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit Product,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001817,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products/Legume Residue,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001314,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products/Pigeon Pea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001312,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant Products/Cotton/Cotton Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant Products/Cotton,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002107,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa/Cocoa Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002106,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa/Cocoa Bean Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001323,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Coffee/Coffee Ground Roasted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Coffee,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003323,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Sugar,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000662,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000655,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Rice/Rice Grain,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Rice,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000656,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Rice/Whole Rice Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Rice,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000665,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002353,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product/Date/Date Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product/Date,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001847,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Ficus sur,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000663,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Jackfruit,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001259,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Lemon/Lemon Peel Essential Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Lemon,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001435,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Mango,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002137,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Tomato/Tomato Pulp,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Tomato,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001265,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Ziziphus mauritiania,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000667,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001351,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin/Blue Lupin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001117,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin/Blue Lupin Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001896,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin/Blue Lupin Grain,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001320,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Common Bean/Common Bean Crushed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Common Bean,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001752,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Winged Bean/Winged Bean Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Winged Bean,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000677,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003700,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Coconut/Coconut Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Coconut,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001700,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Noug/Noug Cake Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Noug,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000671,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm/Palm Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000672,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm/Palm Oil Crude,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001837,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm/Palm Oil Sludge,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001321,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Safflower/Safflower Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Safflower,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002209,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Safflower/Safflower Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Safflower,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000681,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001322,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava/Cassava Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000678,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava/Cassava Starch,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_000679,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava/Cassava Tuber,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001819,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Ensete ventricosum/Ensete ventricosum Leaves,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Ensete ventricosum,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001820,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Potato/Potato Starch,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Potato,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001818,"Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Sweet potato tubers, fresh | Feedipedia/Ensete ventricosum Corm","Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Sweet potato tubers, fresh | Feedipedia",parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_002215,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices ByProducts/Black Cumin/Black Cumin Seed/Black Cumin Seed Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices ByProducts/Black Cumin/Black Cumin Seed,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_006158,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices ByProducts/Black Cumin/Black Cumin Seed/Black Cumin Seed Cake Crushed Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices ByProducts/Black Cumin/Black Cumin Seed,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001358,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Black Cumin/Black Cumin Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Black Cumin,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001357,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Black Cumin/Black Cumin Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Black Cumin,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001780,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Lippia javanica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001345,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary/Rosemary Leaves,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001344,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary/Rosemary Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003887,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary/Rosemary Residues,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001354,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Turmeric,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003066,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Alternanthera sessilis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Brassica oleracea,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001256,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Fluted Pumpkin/Fluted Pumpkin Leaves,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Fluted Pumpkin,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_006200,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Garlic/Garlic Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Garlic,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001359,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Onion/Onion Bulb,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Onion,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003359,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Onion/Onion Veins,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Onion,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001360,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Scarlet Eggplant,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_003070,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Talinum fruticosum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001898,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Bothriocloa/Bothriocloa Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Bothriocloa,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_001386,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Hordeum vulgare/Hordeum vulgare Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Hordeum vulgare,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
AOM_006275,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum antidotale/Panicum antidotale Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum antidotale,parent_path_has_no_explicit_concept,review_and_mint_or_map_parent
