concept_id,language,definition,source_column
AOM_000895,en,system of farming where animals are housed in a mono-species group,Description
AOM_000896,en,system of farming where the animal is housed alone,Description
AOM_000897,en,"system of farming which uses multiple species in the same rearing structure occupying different ecological niches of the medium to optimize production, with or without trophic interrelationship",Description
AOM_000898,en,"system of farming which provides the by-products (including waste) from one animal species (aquatic or terrestrial) as inputs for another species (animal, plant or aquatic) in the same production unit",Description
AOM_000899,en,production system that combines a traditional aquaculture with hydroponics (use the water of aquaculture system to cultivate plants) in the same production unit,Description
AOM_000928,en,any characteristic related to the general description of experimental farming system,Description
AOM_000929,en,"any technological device positioned on the animal (external, internal) to collect biology data (temperature, blood pressure, ph, physical activity ...), geographical location (outdoor, indoor) or identification information",Description
AOM_000930,en,"any device positioned on the animal (external, internal) allowing its identification visually or automatically",Description
AOM_000931,en,an external or internal electronic device to record biological data or geographical localisation of an animal,Description
AOM_000932,en,outdoor housing systems designed to help match the nutritional demands through pasture of the livestock with eventual supply of complementary forage.,Description
AOM_000933,en,field pasture system,Description
AOM_000934,en,continuous grazing system with a fixed number of animals,Description
AOM_000935,en,rationed pasture system,Description
AOM_003029,en,"a farm building used for housing livestock, storing machinery or crops etc",Description
AOM_000912,en,building divided into rows of individual stalls or cubicles in which animals lay when at rest but are not restrained.,Description
AOM_003028,en,"small enclosure for livestock, within a house",Description
AOM_000905,en,closed housing system where the crates has a standard size and the rear end can be equipped with concrete slats over a deep pit in which slurry and cleaning waters are stored. Feeding systems and drinkers are placed at the front end. A housing design in which animal have restricted freedom of movement except when the animal are released to walk to a milking parlour or to be fed. Often most of the feed is served in front of the stalls.,Description
AOM_000908,en,an experimental crate system where urine and feces can be collected and quantified separately,Description
AOM_000906,en,housing design in which animal have restricted freedom of movement except when the animal are released to walk to a milking parlour or to be fed. Often most of the feed is served in front of the stalls,Description
AOM_000907,en,housing design in which livestock are permanently restrained in a stall whilst they are kept in the house and so have restricted freedom of movement.,Description
AOM_003027,en,"structure on concrete, wood, etc... with natural light or windowless with a light system, thermally insulated and ventilated or constructed with open sidewalls (windows with jalousie-type curtains)",Description
AOM_003030,en,"area where animals are resting, with or without partitions (stalls), mattress or straw bedding",Description
AOM_000914,en,"housing structure with partial or total access to outdoors, an area with natural light (courtyard, pasture)",Description
AOM_003031,en,"rearing structure where animals are free of its movements outdoors, providing great space but physically delimited (electric or virtual fence) and subject to climatic conditions, providing potentially shelters and plenty of grass",Description
AOM_003032,en,a rearing structure made with wire mesh adapted to the animal size,Description
AOM_000901,en,"Free range denotes a method of farming husbandry where the animals, for at least part of the day, can roam freely outdoors, rather than being confined in an enclosure for 24 hours each day. On many farms, the outdoors ranging area is fenced, thereby technically making this an enclosure, however, free range systems usually offer the opportunity for the extensive locomotion and sunlight that is otherwise prevented by indoor housing systems. Free range may apply to meat, eggs or dairy farming. [https://en.wikipedia.org/wiki/Free_range]",Description
AOM_000902,en,"closed housing system, in thermally insulated buildings with or without forced ventilation",Description
AOM_000903,en,"closed housing system including building construction and cage design and placement. The cages can be assembled together. Structure on concrete, wood, etc... with natural light or windowless with a light system, thermally insulated and ventilated or constructed with open sidewalls (windows with jalousie-type curtains)",Description
AOM_000904,en,"housing system where each cage is equipped with perches, laying nest and a sand bath (or equivalent) with litter material.",Description
AOM_003024,en,an experimental crate system where urine and feces can be collected and quantified separately,Description
AOM_003023,en,closed housing system where the crates has a standard size and the rear end can be equipped with concrete slats over a deep pit in which slurry and cleaning waters are stored. Feeding systems and drinkers are placed at the front end.,Description
AOM_000909,en,"housing systems where animals have more space (than a cage, stall or crate) or can move around more freely within the building.",Description
AOM_000910,en,"housing space is subdivided into different functional areas: feeding and drinking, sleeping and resting, scratch area, egg laying area. The birds can use several house levels.",Description
AOM_000911,en,"A large closed housing system without partitions and in which animal are allowed to move freely. A farm building used for housing livestock, storing machinery or crops etc.",Description
AOM_000913,en,"housing system resulting of subdivisions by partitions or barriers in a building. The pens in this system could have various sizes and contain various number of animals. A small enclosure for livestock, within a house.",Description
AOM_003025,en,housing systems where animals have more space or can move around more freely within the building.,Description
AOM_000915,en,seasonal movement of herds using different remote ecosystem supports (e.g. pasture ground for cattle),Description
AOM_000917,en,system where livestock are herded in order to find fresh pastures on which to graze following an irregular pattern of movement,Description
AOM_000916,en,system where herds are moving in search of fresh pasture and water,Description
AOM_000918,en,daily or seasonal alternation imposed to the animal between the indoor system and the outdoor system,Description
AOM_000919,en,housing system using shed with wind barrier used for insulation and protection against the wind and rain,Description
AOM_000920,en,"outside rearing system in fields. Animals are possibly provided with food, water and shelter and have a generous minimum space allowances. Animals are free to move outdoors, there is space but it is physically limited (electric or virtual fence) and subject to climatic conditions.",Description
AOM_000921,en,housing system composed by a confined yard area with watering and feeding facilities where cattle are fed for the purpose of production. They may contain thousands of animals in an array of pens. The soil of this system consists only of land.,Description
AOM_000851,en,rearing system mainly dedicated to the egg production which may be composed of one or several rearing stage unit,Description
AOM_000852,en,rearing system mainly dedicated to the meat or flesh production which may be composed of one or several rearing stage unit,Description
AOM_000853,en,rearing system mainly dedicated to the milk production which may be composed of one or several rearing stage unit,Description
AOM_000854,en,system of production dedicated to the production of sexually mature animal using juvenile that come from a farm. This system may be composed of one or several rearing stage unit,Description
AOM_000875,en,unit of production dedicated to animal in gestating phase which come from the natural environment or produced in a farm,Description
AOM_000876,en,unit dedicated to the production of animal in growing phase coming from juvenile stage or pregrowing stage. The animal comes from the natural environment or produced in a farm,Description
AOM_000877,en,unit dedicated to the production of animal in growing-finishing phase until the slaughtering which come from the natural environment or produced in a farm.,Description
AOM_000878,en,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal comes from the natural environment or produced in a farm,Description
AOM_000879,en,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal is initially produced on a farm,Description
AOM_000880,en,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal is originating from the natural environment,Description
AOM_000881,en,unit of production dedicated to milk production,Description
AOM_000882,en,unit of production dedicated to hens which produced eggs,Description
AOM_000883,en,"unit dedicated to the production of newborn animal before weaning (mammal) or until hatching (fish, chicken)",Description
AOM_000884,en,pre-growout rearing unit,Description
AOM_000922,en,"housing structure with partially or totally access to outdoors, an area with natural light (courtyard, pasture)",Description
AOM_000923,en,system of farming which rears only one type of animal species in the same production unit,Description
AOM_000924,en,system of farming where animals are housed in a mono-species group,Description
AOM_000925,en,system of farming where the animal is housed alone,Description
AOM_000926,en,"system of farming which uses multiple species in the same rearing structure occupying different ecological niches of the medium to optimize production, with or without trophic interrelationship",Description
AOM_000927,en,"system of farming which provides the by-products (including waste) from one animal species (aquatic or terrestrial) as inputs for another species (animal, plant or aquatic) in the same production unit",Description
AOM_000107,en,"Livestock management refers to the comprehensive set of practices and procedures employed in the care, breeding, feeding, and overall well-being of domesticated animals raised for agricultural purposes. (HV GPT4)",Description
AOM_000356,en,"Substances that are administered to farmed animals to improve productivity by promoting weight gain, increasing muscle mass, limiting fat deposition, reducing feed consumption, and reducing waste production.",Description
AOM_000170,en,"An aquaculture practice in combination with a sylviculture practice in close spatial proximity. The classic example of this practice is fish or crustacean farming in mangroves, to conserve or restore mangrove trees and produce food.",Description
AOM_000328,en,"any measurable, observable or declared characteristic related to elements or set of elements, with nutritional purposes",Description
AOM_000196,en,Any measurable characteristics related to the proportion of chemical components in feed.,Description
AOM_000197,en,Any measurable characteristic related to the concentration of lignocellulosic fraction of vegetal cell wall components in food (EOL).,Description
AOM_000198,en,Any measurable characteristic related to the concentration of food lignin of vegetal cell wall components. Source: EOL,Description
AOM_000199,en,any measurable characteristic related to the concentration of amino acids (CHEBI:33709) in food.,Description
AOM_000200,en,any measurable characteristic related to the concentration of alanine (CHEBI:16449) in food. It could be declared by the manufacturer,Description
AOM_000201,en,any measurable characteristic related to the concentration of arginine (CHEBI:29016) in feed. It could be declared by the manufacturer,Description
AOM_000202,en,any measurable characteristic related to the concentration of asparagine (CHEBI:22653) in feed. It could be declared by the manufacturer,Description
AOM_000203,en,any measurable characteristic related to the concentration of aspartic acid (CHEBI:22660) in feed. It could be declared by the manufacturer,Description
AOM_000204,en,any measurable characteristic related to the concentration of cysteine (CHEBI:15356) in feed. It could be declared by the manufacturer,Description
AOM_000205,en,any measurable characteristic related to the concentration the sum of amino acids that cannot be synthetised by the animal,Description
AOM_000206,en,the sum of the concentration of amino acids that are not linked together or to proteins in feed,Description
AOM_000207,en,any measurable characteristic related to the concentration of glutamic acid (CHEBI:18237) in feed. It could be declared by the manufacturer,Description
AOM_000208,en,any measurable characteristic related to the concentration of glycine (CHEBI:15428) in feed,Description
AOM_000209,en,any measurable characteristic related to the concentration of histidine (CHEBI:27570) in feed. It could be declared by the manufacturer,Description
AOM_000210,en,any measurable characteristic related to the concentration of isoleucine (CHEBI:24898) in feed. It could be declared by the manufacturer,Description
AOM_000211,en,any measurable characteristic related to the concentration of leucine (CHEBI:25017) in feed. It could be declared by the manufacturer,Description
AOM_000212,en,any measurable characteristic related to the concentration of lysine (CHEBI:25094) in feed. It could be declared by the manufacturer,Description
AOM_000213,en,any measurable characteristic related to the concentration of methionine (CHEBI:16811) in feed. It could be declared by the manufacturer,Description
AOM_000214,en,any measurable characteristic related to the concentration in feed of amino acids that can be synthetised by the animal,Description
AOM_000215,en,any measurable characteristic related to the concentration of phenylalanine (CHEBI:28044) in feed. It could be declared by the manufacturer,Description
AOM_000216,en,any measurable characteristic related to the concentration of proline (CHEBI:26271) in feed. It could be declared by the manufacturer,Description
AOM_000217,en,the concentration of amino acids that are linked to proteins in feed,Description
AOM_000218,en,any measurable characteristic related to the concentration of serine (CHEBI:17822) in feed. It could be declared by the manufacturer,Description
AOM_000219,en,any measurable characteristic related to the concentration of threonine (CHEBI:26986) in feed. It could be declared by the manufacturer,Description
AOM_000220,en,any measurable characteristic related to the sum of the concentrations of amino acid (CHEBI: 33709) in feed. It could be declared by the manufacturer,Description
AOM_000221,en,any measurable characteristic related to the concentration of tryptophan (CHEBI:27897) in feed. It could be declared by the manufacturer,Description
AOM_000222,en,any measurable characteristic related to the concentration of tyrosine (CHEBI:18186) in feed. It could be declared by the manufacturer,Description
AOM_000223,en,any measurable characteristic related to the concentration of valine (CHEBI:27266) in feed. It could be declared by the manufacturer,Description
AOM_000225,en,any measurable characteristic related to the concentration of ammonia (CHEBI:16134) in feed,Description
AOM_000226,en,"Ash remaining after incineration, a rough approximation of mineral matter. Source: Feedipedia",Description
AOM_000228,en,any measurable or observable characteristics related to the concentration of carbohydrate (CHEBI:16646) in feed,Description
AOM_000229,en,any measurable or observable characteristics related to the concentration of carbon in feed,Description
AOM_000230,en,Any measurable or observable characteristic related to ratio between the content of carbon and the content of nitrogen of the soil. Source: EOL,Description
AOM_000231,en,"Any measurable or observable characteristics related to the concentration of cellulose (NCIT:C68491) in feed. Cellulose is a complex carbohydrate and the primary structural component of plant cell walls. In animal feeds, cellulose serves as a source of dietary fiber and is particularly important for ruminants, as it is broken down by microbial fermentation in the rumen, providing energy to the animal. (HV GPT4)",Description
AOM_000232,en,any measurable characteristic related to the concentration of chlore (CHEBI:23116) in feed,Description
AOM_000233,en,any measurable characteristics related to the concentration of choline (CHEBI:15354) in feed,Description
AOM_000235,en,"Condensed tannins, also known as proanthocyanidins (CHEBI:26267), are a group of naturally occurring polyphenolic compounds found in various plant-based feed ingredients. They can form complexes with proteins, carbohydrates, and other dietary components, influencing the palatability, digestibility, and overall nutritional value of animal feeds. While moderate levels of condensed tannins may have beneficial effects, such as reducing gastrointestinal parasites or improving protein utilization, excessive amounts can negatively impact feed intake, nutrient absorption, and animal performance. (HV GPT4)",Description
AOM_000237,en,"Crude fat is a measure of the total extractable lipids (CHEBI:18059) present in feed materials, including triglycerides, phospholipids, sterols, and other fatty substances. It is an essential component of livestock diets, as it serves as a concentrated source of energy and provides essential fatty acids for growth, reproduction, and overall health. The crude fat content is determined by solvent extraction methods, which help estimate the energy value of feedstuffs and guide the formulation of nutritionally balanced animal diets.

Crude fat and crude lipid are often used interchangeably to refer to the same measure of extractable lipids in feed materials. However, the term ""lipid"" is broader in scope, encompassing a wider variety of fat-soluble compounds, whereas ""fat"" typically refers to triglycerides and closely related substances. Despite this distinction, both terms are commonly used to describe the total lipid content of animal feeds. (HV GPT4)",Description
AOM_000238,en,"A measurement of fibre content. Also known as Weende cellulose, crude fibre is the insoluble residue of an acid hydrolysis followed by an alkaline one. This residue contains true cellulose and insoluble lignin. It is also used to assess hair, hoof or feather residues in animal by-products. Even though the more accurate Van Soest analysis has superseded it since the 1970s, the analysis of crude fibre remains common in feed laboratories. Source: Feedipedia",Description
AOM_000239,en,"A measurement of protein content. In animal feeds, crude protein is calculated as mineral nitrogen x 6.25 (the assumption is that proteins of typical animal feeds contain 16% nitrogen in average). The mineral nitrogen value is obtained by the Kjeldahl method, or by a method giving similar results after correction, such as the Dumas method. Source: Feedipedia",Description
AOM_000240,en,"Dry matter is calculated as the difference between the total weight and the moisture content. It is usually obtained by oven-drying, but there are methods specific to products such as silages, fats and molasses. Usually abbreviated as DM. Source: Feedipedia",Description
AOM_000241,en,any measurable characteristic related to the amount of heat produced after complete combustion of feed,Description
AOM_000242,en,"Metabolizable energy. Difference between the gross energy in the feed and the gross energy in the faeces, urines and gasses, not corrected for N retention. Source: Feedipedia",Description
AOM_000243,en,any measurable or observable characteristics related to feed net energy content,Description
AOM_000245,en,"Crude fat, extracted by diethyl ether or petroleum ether, usually without prior hydrolysis. Source: Feedipedia",Description
AOM_000246,en,any measurable characteristic related to the concentration of fatty acid (CHEBI:35366) in feed. It could be declared by the manufacturer,Description
AOM_000247,en,any measurable characteristics related to the concentration of lactate (CHEBI:24996) in feed,Description
AOM_000248,en,"Any measurable or observable characteristics related to the concentration of hemicellulose (CHEBI:61266) in feed. Hemicellulose is a heterogeneous group of polysaccharides found in plant cell walls. In animal feeds, hemicellulose contributes to dietary fiber and is more easily broken down than cellulose, making it a source of fermentable carbohydrates for ruminants and other animals with specialized digestive systems. (HV GPT4)",Description
AOM_000249,en,any measurable characteristics related to food fibre insoluble in water,Description
AOM_000252,en,"Any measurable or observable characteristics related to the concentration of lignin (CHEBI:6457) in feed. Lignin is a complex organic polymer and a major structural component of plant cell walls. It provides rigidity and strength to plants, but in animal feeds, it is considered an anti-nutritional factor due to its indigestibility, reducing overall feed quality and nutrient availability. (HV GPT4)",Description
AOM_000255,en,any measurable characteristic related to the concentration of nitrogen (CHEBI:29351)originating from microbs in feed. It could be declared by the manufacturer,Description
AOM_000227,en,Any measurable characteristic related to the concentration of calcium in feed. Source: EOL,Description
AOM_000234,en,any measurable characteristic related to the concentration of cobalt (CHEBI:27638) in feed,Description
AOM_000236,en,any measurable characteristic related to the concentration of copper (CHEBI:28694) in food,Description
AOM_000250,en,any measurable characteristic related to the concentration of iodine (CHEBI:24859) in fee,Description
AOM_000251,en,any measurable characteristic related to the concentration of iron (CHEBI:18248) in feed,Description
AOM_000253,en,any measurable characteristic related to the concentration of magnesium (CHEBI:33974) in feeds,Description
AOM_000254,en,any measurable characteristic related to the concentration of manganese (CHEBI:18291) in feed,Description
AOM_000264,en,Any measurable characteristic related to the concentration of phosphorus in feed. Source: EOL,Description
AOM_000265,en,any measurable characteristic related to the concentration of potassium (CHEBI:26216) in feed,Description
AOM_000266,en,any measurable characteristic related to the concentration of selenium (CHEBI:27568) in feed,Description
AOM_002299,en,any measurable characteristic related to the concentration of sodium  in feed,Description
AOM_000284,en,any measurable characteristic related to the concentration of zinc (CHEBI:27363) in feed,Description
AOM_000256,en,any measurable characteristic related to the concentration of water (CHEBI:15377) in feed,Description
AOM_000257,en,"Any measurable characteristic related to the concentration of cellulosic, hemicellulosic and lignin fractions of vegetal cell wall components in food. It could be declared by the manufacturer. Source: EOL",Description
AOM_000258,en,"NDS refers to the soluble components of animal feeds that are extracted using a neutral detergent solution. These solubles include proteins, sugars, starches, and lipids, representing the more readily digestible and available nutrients in the feed.  (HV GPT4)",Description
AOM_000259,en,Any measurable characteristic related to the concentration of nitrogen in feed. It could be declared by the manufacturer. Source: EOL,Description
AOM_000260,en,"Nitrogen Free Extracts (NFE) is an estimate of the readily available carbohydrate content of animal feeds, calculated by subtracting the percentages of crude protein, crude fat, crude fiber, and ash from 100. NFE primarily includes sugars and starches, which provide energy for animal metabolism. (HV GPT4)",Description
AOM_000261,en,any measurable characteristic related to the concentration of dry matter minus ash in food. It could be declared by the manufacture,Description
AOM_000262,en,any measurable characteristic related to the concentration of pectin (CHEBI:17309) in food,Description
AOM_000263,en,any measurable characteristic related to the concentration of phospholipid (CHEBI:16247) in feed. It could be declared by the manufacturer,Description
AOM_000267,en,any measurable characteristics related to food fibre soluble in water,Description
AOM_000268,en,"Any measurable characteristics related to tannins (CHEBI:26848) in feed. Tannins are a diverse group of water-soluble polyphenolic compounds found in various plant-based feed materials. They can bind to proteins, carbohydrates, and other dietary components, impacting feed palatability, digestibility, and nutrient availability. While moderate levels of tannins can have beneficial effects, excessive amounts can negatively affect animal health and performance. (HV GPT4)",Description
AOM_000269,en,"any measurable characteristic related to the concentration of total lipid (CHEBI:18059) in feed: cholesterol, fatty acids, phospholipids, triglycerides. It could be declared by the manufacturer",Description
AOM_000270,en,"Any measurable characteristic related to the sum of phenols (CHEBI:15882) in feed. Total phenols represent the collective amount of phenolic compounds, including tannins, present in animal feeds. Phenolic compounds are secondary metabolites in plants and may possess antioxidant properties. The total phenol content can influence the nutritional quality, palatability, and digestibility of feedstuffs, as well as potentially exerting various physiological effects on the animals consuming th",Description
AOM_000271,en,any measurable characteristic related to the concentration of tryglyceride (CHEBI:17855) in feed. It could be declared by the manufacturer,Description
AOM_000283,en,any measurable characteristic related to the concentration of vitamin (CHEBI:33229) in feed,Description
AOM_000272,en,any measurable characteristic related to the concentration of retinol (CHEBI:50211) in food,Description
AOM_000273,en,any measurable characteristic related to the concentration of thiamine (CHEBI:26948) in food,Description
AOM_000274,en,any measurable characteristic related to the concentration of cobalamin (CHEBI:30411) in food,Description
AOM_000275,en,any measurable characteristic related to the concentration of riboflavin (CHEBI:17015) in food,Description
AOM_000276,en,any measurable characteristic related to the concentration of B6 vitamin (CHEBI:27306) in food,Description
AOM_000277,en,any measurable characteristic related to the concentration of biotin (CHEBI:15956 ) in food,Description
AOM_000278,en,"any measurable characteristic related to the concentration of the folic acid (CHEBI:27470, C19H19N7O6 (isomeres)) in food",Description
AOM_000279,en,any measurable characteristic related to the concentration of the C vitamin (CHEBI:21241) in food,Description
AOM_000280,en,any measurable characteristic related to the concentration of D vitamin (CHEBI:27300) in food,Description
AOM_000281,en,any measurable characteristic related to the concentration of tocopherols (CHEBI:27013) and tocotrienols (CHEBI:33235) in food,Description
AOM_000282,en,"any measurable characteristic related to the concentration of niacine (nicotinic acid, CHEBI:15940) and its amide (nicotinamide, CHEBI:17154) in feed",Description
AOM_006281,en,Phoenix dactylifera,Description
AOM_006284,en,Phoenix dactylifera,Description
AOM_006285,en,Phoenix dactylifera,Description
AOM_006283,en,Phoenix dactylifera,Description
AOM_006282,en,Phoenix dactylifera,Description
AOM_002348,en,Phoenix dactylifera,Description
AOM_001117,en,Lupinus angustifolius,Description
AOM_012120,en,Lupinus albus,Description
AOM_001402,en,"Rhodes grass (Chloris gayana Kunth) is an important tropical grass widespread in tropical and subtropical countries. It is a useful forage for pasture and hay, drought-resistant and very productive, of high quality when young. [Feedipedia]",Description
AOM_001913,en,Moringa oleifera,Description
AOM_000531,en,"any characteristics related to food raw material name- e.g. wheat flour, soybean meal",Description
AOM_000532,en,"any measurable or observable characteristics related to the part of the food raw material entering in the composition of animal diet- e.g. bran, starch, beet…",Description
AOM_000534,en,any measurable or declared characteristics related to the proportion of food raw material in animal diet- e.g. 0.6 corn grain,Description
AOM_000533,en,"any characteristics related to the botanical species of food raw material e.g. maize (Zea mays), peruvian anchoveta (Engraulis ringens), etc",Description
AOM_000739,en,"(S)-2,6-diaminohexanoic acid",Description
AOM_000740,en,"(S)-2,6-diaminohexanoic acid hydrochloride",Description
AOM_001377,en,2-amino-4-(methylthio)butanoic acid,Description
AOM_000738,en,"(2S,3R)-2-Amino-3-hydroxybutanoic acid",Description
AOM_001433,en,2-amino-3-(1H-indol-3-yl)propanoic acid,Description
AOM_000751,en,Enzyme supplements that are activated in the digestive system of an animal after ingestion. Enzymes that are involved in the pre-treatment of raw feed materials (which aims to enhance nutrient availability and digestibility before consumption by animals) should not be classified as supplements as they are a form of biological feed processing.,Description
AOM_000750,en,Myo-inositol hexakisphosphate phosphohydrolase,Description
AOM_006114,en,Myo-inositol hexakisphosphate phosphohydrolase,Description
AOM_001069,en,"A natural sugar found in cell membrane phospholipids, plasma lipoproteins, and (as the phosphate form) in the nucleus with potential chemopreventive properties. As one of a number of intracellular phosphate compounds, inositol is involved in cell signaling and may stimulate tumor cell differentiation. (NCI04).Cyclohexane-1,2,3,4,5,6-hexol",Description
AOM_000787,en,"2-hydroxy-N,N,N-trimethylethanaminium",Description
AOM_001375,en,"2-hydroxy-N,N,N-trimethylethanaminium",Description
AOM_001062,en,"Feed digestibility is a quantitative measure of the proportion of nutrients in a livestock feed that can be effectively broken down and absorbed by an animal's digestive system. It reflects the efficiency of nutrient utilization from the consumed feed, accounting for factors such as feed composition  and processing. (HV GPT4)",Description
AOM_000300,en,"A digestibility measurement method is a systematic, scientifically-based approach used to assess the proportion of nutrients in a livestock feed that can be effectively broken down and absorbed by an animal's digestive system. These methods typically involve the collection and analysis of feed and fecal samples, and may include in vivo techniques, such as direct or indirect digestibility assays, or in vitro techniques, such as enzyme or microbial-based assays. The objective is to evaluate the efficiency of nutrient utilization from the feed, informing decisions on optimizing animal nutrition strategies. (HV GPT4)",Description
AOM_000287,en,"The methodological description only indicates that digestibility is assessed according to the standardized protocols established by the Association of Official Analytical Chemists (AOAC) in 1990. While the AOAC methods encompass a wide range of analytical techniques for determining the composition and quality of feedstuffs, they do not represent a single specific method for measuring animal diet digestibility. Instead, the digestibility of different nutrients in animal feeds can be determined using various in vivo, in vitro, and in situ techniques (HV GPT4). When reporting how dietary digestibility is measured it better to report the specific method used rather than just AOAC protocols were applied.",Description
AOM_000289,en,Digestibility is estimated using secondary data sources. For example the author may reference values from another publucation or a database.,Description
AOM_000290,en,"In sacco is a term used specifically for the nylon or Dacron bag technique, which involves placing a feed sample in a porous bag and incubating it in the animal's rumen. It is a hybrid approach, as the experiment takes place within the live animal (like in vivo) but uses an artificial containment system (like in vitro).  In the context of feed digestibility, in situ is often used interchangeably with in sacco, as both terms describe the nylon or Dacron bag technique. However, in situ can also refer to other experimental approaches, not just the nylon bag technique, that are performed in their natural environment or location. (HV GPT4).",Description
AOM_001063,en,"In vitro refers to experiments performed outside the living organism, usually in a controlled laboratory environment. For feed digestibility, in vitro methods simulate the animal's digestive process using rumen fluid, fecal inoculum, or enzymes in a test tube or other container.",Description
AOM_000292,en,"The Dry Matter Disappearance Method is a technique used to evaluate livestock feed digestibility by measuring the decrease in dry matter content of a feed sample after a specific period of exposure to the animal's digestive system or an in vitro simulation. The method quantifies the proportion of the feed's dry matter that is broken down and absorbed by the animal or in vitro system, providing an estimate of feed quality and nutrient availability. (HV GPT4)",Description
AOM_004010,en,"The Goering and Van Soest (1970) method is a technique used to determine the fiber content of plant matter, particularly in ruminant feeds, and to assess the digestibility of that fiber. This method utilizes a detergent-based system to separate plant cell components into different fractions, allowing for estimations of neutral detergent fiber (NDF), acid detergent fiber (ADF), and other fiber components.",Description
AOM_000291,en,The methodological description indicates that digestibility is assessed according to the protocols of Tilley & Terry.,Description
AOM_000294,en,"The Gas Production Technique estimates feed digestibility through the measurement of cumulative gas production, resulting from microbial fermentation of feed samples in vitro. This method relies on the correlation between gas production and substrate degradation, enabling the assessment of feed quality and nutrient availability. (HV GPT4)",Description
