source_value,facet,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale
Leaves,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Lick,presentation_form,AOM_101050,Lick form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Market Waste,product_role,AOM_101056,Market-waste role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Offal,product_role,AOM_101057,Offal by-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Peel,anatomical_part,AOM_101034,Peel,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Peels,anatomical_part,AOM_101034,Peel,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Pods,anatomical_part,AOM_101035,Pod,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Powder,presentation_form,AOM_101051,Powder form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Processing Waste,product_role,AOM_101058,Processing-waste role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Pseudo-stem,anatomical_part,AOM_101036,Pseudostem,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Residue,product_role,AOM_101059,Production-residue by-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Root,anatomical_part,AOM_101037,Root,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Seed,anatomical_part,AOM_101038,Seed,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Seeds,anatomical_part,AOM_101038,Seed,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Sheath,anatomical_part,AOM_101039,Sheath,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Shorts,product_role,AOM_101060,Milling by-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Sprout,anatomical_part,AOM_101041,Sprout,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Stalk,anatomical_part,AOM_101042,Stalk,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Stalks,anatomical_part,AOM_101042,Stalk,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Starch,chemical_constituent,AOM_101065,Starch constituent,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Tuber,anatomical_part,AOM_101043,Tuber,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Viscera,anatomical_part,AOM_101044,Viscera,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Waste,product_role,AOM_101061,Waste role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Binder,product_role,AOM_101079,Binder role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Grain,anatomical_part,AOM_101074,Grain,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Manure,product_role,AOM_101061,Waste role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Mix,presentation_form,AOM_101075,Mixed presentation,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Oil,chemical_constituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Full Fat,composition_state,AOM_101134,Native-fat-retained composition,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Shell,anatomical_part,AOM_101040,Shell component,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Shells,anatomical_part,AOM_101040,Shell component,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Sludge,product_role,AOM_101058,Processing-waste role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
Tops,anatomical_part,AOM_101048,Plant top,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence atomic descriptor mapped to dedicated facet value concept.
