subject_id,preferred_label,target_scheme,target_id,target_uri,original_value,mapping_relation,decision,publish,status,definition_evidence_grade,reviewer,review_date,evidence,rationale
AOM_000571,Maize Offal,ncbi-taxonomy,NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4577,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000571,Maize Offal,world-flora-online,wfo-0000907754,,wfo-0000907754,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000907754,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000577,Rice Offal,cpc-product,0113,,0113,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0113,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000577,Rice Offal,feedipedia,11637,https://www.feedipedia.org/node/11637,https://www.feedipedia.org/node/11637,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11637,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000577,Rice Offal,ncbi-taxonomy,NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4530,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000577,Rice Offal,world-flora-online,wfo-0000882438,,wfo-0000882438,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000882438,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000578,Rice Polish,agrovoc,c_32539,http://aims.fao.org/aos/agrovoc/c_32539,http://aims.fao.org/aos/agrovoc/c_32539,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_32539,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000578,Rice Polish,cpc-product,0113,,0113,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0113,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000578,Rice Polish,feedipedia,12526,https://www.feedipedia.org/node/12526,https://www.feedipedia.org/node/12526,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12526,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000578,Rice Polish,ncbi-taxonomy,NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4530,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000578,Rice Polish,world-flora-online,wfo-0000882438,,wfo-0000882438,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000882438,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000589,Wheat Offal,cpc-product,0111,,0111,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0111,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000589,Wheat Offal,feedipedia,12751,https://www.feedipedia.org/node/12751,https://www.feedipedia.org/node/12751,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12751,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000589,Wheat Offal,ncbi-taxonomy,NCBITaxon_4565,http://purl.obolibrary.org/obo/NCBITaxon_4565,http://purl.obolibrary.org/obo/NCBITaxon_4565,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4565,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000589,Wheat Offal,world-flora-online,wfo-0000905667,,wfo-0000905667,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000905667,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000601,Cowpea Haulm,feedipedia,17446,https://www.feedipedia.org/node/17446,https://www.feedipedia.org/node/17446,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/17446,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000601,Cowpea Haulm,ncbi-taxonomy,NCBITaxon_3917,http://purl.obolibrary.org/obo/NCBITaxon_3917,http://purl.obolibrary.org/obo/NCBITaxon_3917,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3917,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000601,Cowpea Haulm,world-flora-online,wfo-0000189386,,wfo-0000189386,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000189386,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000603,Fava Bean Haulm,feedipedia,19702,https://www.feedipedia.org/node/19702,https://www.feedipedia.org/node/19702,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/19702,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000603,Fava Bean Haulm,ncbi-taxonomy,NCBITaxon_3906,http://purl.obolibrary.org/obo/NCBITaxon_3906,http://purl.obolibrary.org/obo/NCBITaxon_3906,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3906,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000603,Fava Bean Haulm,world-flora-online,wfo-0000212739,,wfo-0000212739,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000212739,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000610,Soybean Cake,agrovoc,c_16043,http://aims.fao.org/aos/agrovoc/c_16043,http://aims.fao.org/aos/agrovoc/c_16043,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_16043,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000610,Soybean Cake,cpc-component,2191,,2191,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,2191,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000610,Soybean Cake,cpc-product,0141,,0141,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0141,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000610,Soybean Cake,ncbi-taxonomy,NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3847,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000610,Soybean Cake,world-flora-online,wfo-0000181462,,wfo-0000181462,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000181462,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000611,Soybean Full Fat Cake,agrovoc,c_16043,http://aims.fao.org/aos/agrovoc/c_16043,http://aims.fao.org/aos/agrovoc/c_16043,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_16043,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000611,Soybean Full Fat Cake,cpc-component,2191,,2191,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,2191,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000611,Soybean Full Fat Cake,cpc-product,0141,,0141,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0141,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000611,Soybean Full Fat Cake,ncbi-taxonomy,NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3847,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000611,Soybean Full Fat Cake,world-flora-online,wfo-0000181462,,wfo-0000181462,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000181462,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000615,Legume ByProducts,feedipedia,13596,https://www.feedipedia.org/node/13596,https://www.feedipedia.org/node/13596,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/13596,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000615,Legume ByProducts,ncbi-taxonomy,NCBITaxon_3803,http://purl.obolibrary.org/obo/NCBITaxon_3803,http://purl.obolibrary.org/obo/NCBITaxon_3803,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3803,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000616,Canola Cake,agrovoc,c_16027,http://aims.fao.org/aos/agrovoc/c_16027,http://aims.fao.org/aos/agrovoc/c_16027,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_16027,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000616,Canola Cake,cpc-component,2191,,2191,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,2191,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000616,Canola Cake,ncbi-taxonomy,NCBITaxon_3708,http://purl.obolibrary.org/obo/NCBITaxon_3708,http://purl.obolibrary.org/obo/NCBITaxon_3708,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3708,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000616,Canola Cake,world-flora-online,wfo-0000571271,,wfo-0000571271,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000571271,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000654,Millet,agrovoc,c_4838,http://aims.fao.org/aos/agrovoc/c_4838,http://aims.fao.org/aos/agrovoc/c_4838,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_4838,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000654,Millet,cpc-product,0118,,0118,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0118,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000654,Millet,feedipedia,11688,https://www.feedipedia.org/node/11688,https://www.feedipedia.org/node/11688,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11688,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000654,Millet,ncbi-taxonomy,NCBITaxon_4543,http://purl.obolibrary.org/obo/NCBITaxon_4543,http://purl.obolibrary.org/obo/NCBITaxon_4543,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4543,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000664,Ripe Avocado,agrovoc,c_4656,http://aims.fao.org/aos/agrovoc/c_4656,http://aims.fao.org/aos/agrovoc/c_4656,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_4656,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000664,Ripe Avocado,agrovoc,c_9022,http://aims.fao.org/aos/agrovoc/c_9022,http://aims.fao.org/aos/agrovoc/c_9022,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_9022,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000664,Ripe Avocado,cpc-product,01311,,01311,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,01311,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000664,Ripe Avocado,ncbi-taxonomy,NCBITaxon_3435,http://purl.obolibrary.org/obo/NCBITaxon_3435,http://purl.obolibrary.org/obo/NCBITaxon_3435,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_3435,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000664,Ripe Avocado,world-flora-online,wfo-0000465160,,wfo-0000465160,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000465160,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000671,Palm Oil,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_5514,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000671,Palm Oil,cpc-product,2165,,2165,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,2165,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000671,Palm Oil,feedipedia,15497,https://www.feedipedia.org/node/15497,https://www.feedipedia.org/node/15497,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/15497,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000671,Palm Oil,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4710,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000671,Palm Oil,world-flora-online,wfo-7000000046,,wfo-7000000046,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-7000000046,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000672,Palm Oil Crude,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_5514,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000672,Palm Oil Crude,cpc-product,21651,,21651,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,21651,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000672,Palm Oil Crude,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_4710,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000672,Palm Oil Crude,world-flora-online,wfo-7000000046,,wfo-7000000046,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-7000000046,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000676,Vegetable Oil,agrovoc,c_8170,http://aims.fao.org/aos/agrovoc/c_8170,http://aims.fao.org/aos/agrovoc/c_8170,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_8170,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000706,Acacia tortilis,agrovoc,c_50,http://aims.fao.org/aos/agrovoc/c_50,http://aims.fao.org/aos/agrovoc/c_50,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_50,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000706,Acacia tortilis,cpc-component,01919.9,,01919.9,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,01919.9,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000706,Acacia tortilis,feedipedia,12810,https://www.feedipedia.org/node/12810,https://www.feedipedia.org/node/12810,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12810,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000706,Acacia tortilis,ncbi-taxonomy,NCBITaxon_138046,http://purl.obolibrary.org/obo/NCBITaxon_138046,http://purl.obolibrary.org/obo/NCBITaxon_138046,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_138046,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000706,Acacia tortilis,world-flora-online,wfo-0001428832,,wfo-0001428832,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0001428832,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001145,Faidherbia albida,cpc-component,01919.9,,01919.9,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,01919.9,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001145,Faidherbia albida,feedipedia,11539,https://www.feedipedia.org/node/11539,https://www.feedipedia.org/node/11539,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11539,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001145,Faidherbia albida,ncbi-taxonomy,NCBITaxon_138055,http://purl.obolibrary.org/obo/NCBITaxon_138055,http://purl.obolibrary.org/obo/NCBITaxon_138055,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_138055,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001145,Faidherbia albida,world-flora-online,wfo-0000186081,,wfo-0000186081,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000186081,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001149,Gliricidia sepium,cpc-component,01919.9,,01919.9,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,01919.9,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001149,Gliricidia sepium,feedipedia,11617,https://www.feedipedia.org/node/11617,https://www.feedipedia.org/node/11617,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11617,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001149,Gliricidia sepium,ncbi-taxonomy,NCBITaxon_167663,http://purl.obolibrary.org/obo/NCBITaxon_167663,http://purl.obolibrary.org/obo/NCBITaxon_167663,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_167663,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001149,Gliricidia sepium,world-flora-online,wfo-0000178022,,wfo-0000178022,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0000178022,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001151,Gmelina arborea,cpc-component,01919.9,,01919.9,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,01919.9,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001151,Gmelina arborea,feedipedia,616,https://www.feedipedia.org/node/616,https://www.feedipedia.org/node/616,relatedMatch,retain_related_evidence_hold,true,review-held,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/616,Target may remain discoverable as related evidence but cannot support identity or definition while warned or unreachable.
AOM_001151,Gmelina arborea,ncbi-taxonomy,NCBITaxon_201509,http://purl.obolibrary.org/obo/NCBITaxon_201509,http://purl.obolibrary.org/obo/NCBITaxon_201509,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_201509,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001151,Gmelina arborea,world-flora-online,wfo-0001144396,,wfo-0001144396,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,wfo-0001144396,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001166,Opuntia ficus indica,cpc-component,01919.9,,01919.9,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,01919.9,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_001166,Opuntia ficus indica,feedipedia,11595,https://www.feedipedia.org/node/11595,https://www.feedipedia.org/node/11595,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11595,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
