concept_id,preferred_label,node_status,depth_from_process_root,current_parent_ids,current_parent_labels,current_parent_review_roles,root_direct_branch_ids,root_direct_branch_labels,direct_child_count,descendant_count,processing_method_assertion_count,processing_method_material_count,review_role,review_status,current_definition
AOM_000827,Boiling,staging,2,AOM_000826,Thermal feed processes,mechanism-grouping,AOM_000826,Thermal feed processes,2,2,18,18,process-operation,proposed,"Feed boiling refers to the process of heating animal feed in water or steam for a specific period of time to improve its digestibility and nutritional value by reducing anti-nutritional factors, such as toxins and enzyme inhibitors, and by increasing the availability of nutrients to the animal. (Human validated chatGPT)."
AOM_000828,Direct Boiling,staging,3,AOM_000827,Boiling,process-operation,AOM_000826,Thermal feed processes,0,0,0,0,process-operation,proposed,"Direct boiling involves placing the feed directly in boiling water for a certain period of time to improve its digestibility and reduce anti-nutritional factors. This process is typically used for small-scale feed processing, such as for backyard poultry or pigs. (Human validated chatGPT)."
AOM_000829,Indirect Boiling,staging,3,AOM_000827,Boiling,process-operation,AOM_000826,Thermal feed processes,0,0,0,0,process-operation,proposed,"Indirect boiling involves using steam to indirectly heat the feed, either in a steam chamber or through the use of a steam jacketed kettle or cooker. Indirect boiling is typically used for larger-scale feed processing, such as in commercial feed mills. The steam provides gentle heating to the feed, improving its digestibility and reducing the risk of overcooking or damaging the feed. (Human validated chatGPT)"
AOM_000830,Fermentation,staging,2,AOM_100990,Biological feed processes,mechanism-grouping,AOM_100990,Biological feed processes,1,1,31,31,process-operation,proposed,"Feed fermentation is a process of preserving animal feeds, such as grains or forage, by allowing them to undergo controlled microbial breakdown. This process can occur naturally, or it can be initiated by adding specific microbial cultures. During fermentation, the microorganisms convert some of the feed's carbohydrates and sugars into organic acids, such as lactic acid, which lower the pH and inhibit the growth of harmful bacteria. The resulting fermented feed has a higher concentration of beneficial nutrients, such as vitamins and amino acids, and is more easily digestible by livestock. (human validated chatGPT)."
AOM_000831,Ensiling,staging,3,AOM_000830,Fermentation,process-operation,AOM_100990,Biological feed processes,0,0,69,69,process-operation,proposed,Ensilation is a specific form of fermentation to preserve forage by packing it tightly into a silo or other airtight container and allowing it to ferment. This fermentation process creates an anaerobic environment that preserves the feed and enhances its nutritional quality by increasing the concentration of organic acids and decreasing the pH. The resulting ensiled feed can be stored for extended periods of time and used as a source of nutrition for livestock. (human validated chatGPT)
AOM_000832,Roasting,staging,2,AOM_000826,Thermal feed processes,mechanism-grouping,AOM_000826,Thermal feed processes,0,0,13,13,process-operation,proposed,"Roasting refers to the process of heating animal feed to high temperatures, typically in a dry heat environment. The heat causes chemical reactions that break down complex carbohydrates and proteins, making them more easily digestible by the animal. Roasting may also reduce the presence of anti-nutritional factors and harmful microorganisms in the feed. (human validated chatGPT)"
AOM_000833,Extrusion,staging,2,AOM_000826;AOM_000837;AOM_101131,Thermal feed processes;Mechanical feed processes;Feed shaping and agglomeration processes,mechanism-grouping;mechanism-grouping;technical-objective-grouping,AOM_000826;AOM_000837;AOM_101131,Thermal feed processes;Mechanical feed processes;Feed shaping and agglomeration processes,0,0,3,3,process-operation,proposed,A thermo-mechanical shaping process in which material is forced through a die under pressure and heat.
AOM_000834,Chopping,staging,2,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,0,0,0,0,process-operation,proposed,A particle-size reduction process that cuts feed material into pieces.
AOM_000835,Crushing,staging,2,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,0,0,39,39,process-operation,proposed,A particle-size reduction process that ruptures or fragments feed material by pressure or impact.
AOM_000836,Grinding,staging,2,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,1,1,343,343,process-operation,proposed,A particle-size reduction process that reduces solid feed-material particles in a dry or wet process; it does not by itself establish bulk consistency moisture condition or exact particle size.
AOM_000837,Mechanical feed processes,staging,1,AOM_000845,Feed processes,root,AOM_000837,Mechanical feed processes,11,12,0,0,mechanism-grouping,proposed,A feed process whose mechanism primarily applies mechanical force to cut compress shear separate agglomerate or shape material.
AOM_000838,Flour milling,staging,2,AOM_000837;AOM_101129;AOM_101130,Mechanical feed processes;Feed particle-size reduction processes;Feed component separation processes,mechanism-grouping;technical-objective-grouping;technical-objective-grouping,AOM_000837;AOM_101129;AOM_101130,Mechanical feed processes;Feed particle-size reduction processes;Feed component separation processes,0,0,3,3,process-operation,proposed,A mechanical process combining particle-size reduction with separation into flour bran and intermediate fractions.
AOM_000839,Hammer milling,staging,3,AOM_000836,Grinding,process-operation,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,0,0,0,0,process-operation,proposed,A grinding process using swinging or fixed hammers to reduce particle size.
AOM_000840,Pelleting,staging,2,AOM_000837;AOM_101131,Mechanical feed processes;Feed shaping and agglomeration processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101131,Mechanical feed processes;Feed shaping and agglomeration processes,0,0,0,0,process-operation,proposed,A shaping and agglomeration process in which material is compressed through a die to form pellets.
AOM_000841,Extrusion,deprecated,2,AOM_000837,Mechanical feed processes,mechanism-grouping,AOM_000837,Mechanical feed processes,0,0,0,0,deprecated-duplicate,proposed,"Extrusion is a feed processing technique that involves forcing raw feed materials through a shaped die under high pressure and temperature conditions, resulting in a continuous, uniformly shaped product. This process can alter the physical and chemical properties of feed materials, improving digestibility, nutrient availability, and palatability. Extrusion is both a thermal and mechanical process. (HV GPT4)"
AOM_000842,Moisture-removal feed processes,staging,1,AOM_000845,Feed processes,root,AOM_000842,Moisture-removal feed processes,2,2,0,0,technical-objective-grouping,proposed,A feed process whose objective is reducing material moisture by natural or artificial means.
AOM_000843,Drying,staging,2,AOM_000842,Moisture-removal feed processes,technical-objective-grouping,AOM_000842,Moisture-removal feed processes,0,0,399,399,process-operation,proposed,A moisture-removal process that reduces water content by natural or artificial means.
AOM_000844,Wilting,staging,2,AOM_000842,Moisture-removal feed processes,technical-objective-grouping,AOM_000842,Moisture-removal feed processes,0,0,50,50,process-operation,proposed,"Wilting is a feed processing technique that involves partial dehydration of raw feed materials, typically through natural methods like sun or air exposure. The process reduces moisture content, which can improve preservation, handling, and storage properties, particularly for forage or silage production. (HV GPT4)"
AOM_000845,Feed processes,staging,0,,,,,,12,52,0,0,root,proposed,A process applied to feed material to change its dimensions presentation composition moisture preservation state or separated fractions.
AOM_003097,Decortication,staging,2,AOM_000837;AOM_101130,Mechanical feed processes;Feed component separation processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101130,Mechanical feed processes;Feed component separation processes,0,0,0,0,process-operation,proposed,A mechanical separation process that removes an outer hull husk shell or cortex from retained feed material.
AOM_003098,Sprouting,staging,2,AOM_100990,Biological feed processes,mechanism-grouping,AOM_100990,Biological feed processes,0,0,2,2,process-operation,proposed,A process in which grains or seeds are moistened and germinated under controlled conditions to initiate sprouting.
AOM_003202,Molasses Treatment,staging,2,AOM_100991,Chemical feed processes,mechanism-grouping,AOM_100991,Chemical feed processes,0,0,3,3,process-operation,proposed,"Molasses treatment involves applying molasses to fibrous feeds such as straw, stover, or hay to enhance palatability, increase energy content, and reduce dustiness. While it does not chemically alter fiber structure like alkali treatments, molasses provides readily fermentable carbohydrates that improve feed intake and support rumen microbial activity. It is often used as a carrier for urea or minerals in treated feeds and is widely adopted in both smallholder and commercial livestock systems for its ease of use and positive impact on voluntary intake."
AOM_004500,Inoculation,staging,2,AOM_100990,Biological feed processes,mechanism-grouping,AOM_100990,Biological feed processes,0,0,0,0,process-operation,held,"A biological treatment in which specific microorganisms (e.g., lactic acid bacteria, fungi, or enzymes) are intentionally introduced to feed materials to improve fermentation, preservation, or nutrient availability. Commonly used in silage production, composting, or enhancing digestibility of fibrous feeds."
AOM_006824,Fibrolytic Treatment,staging,3,AOM_000820,Enzyme Treatment,process-operation,AOM_100990,Biological feed processes,2,2,0,0,process-operation,proposed,"A broad class of enzymes that catalyze the breakdown of complex fibrous components of plant cell walls, including cellulose, hemicellulose, and pectin. Fibrolytic enzymes include cellulases (which target cellulose), xylanases (which target hemicellulose), and other related hydrolases, and are critical in both natural and applied processes such as rumen digestion, silage treatment, and biomass degradation for biofuels."
AOM_100848,Urea Treatment,staging,3,AOM_000819,Alkali Treatment,process-operation,AOM_100991,Chemical feed processes,0,0,31,31,process-operation,proposed,"Urea treatment is a form of alkali processing in which urea is applied to low-quality fibrous feeds—such as straw or crop residues—to improve digestibility. Through enzymatic hydrolysis by urease, urea is converted into ammonia, which breaks lignocellulosic bonds and increases the nitrogen content of the feed. This method is commonly used in smallholder and mixed crop-livestock systems due to its low cost, ease of application, and dual benefit of improving both physical structure and crude protein value of the treated material."
AOM_100990,Biological feed processes,staging,1,AOM_000845,Feed processes,root,AOM_100990,Biological feed processes,4,11,0,0,mechanism-grouping,proposed,Grouping for biological feed processing; processing state remains represented by narrower feed-material concepts.
AOM_100991,Chemical feed processes,staging,1,AOM_000845,Feed processes,root,AOM_100991,Chemical feed processes,3,5,0,0,mechanism-grouping,proposed,Grouping for chemical feed processing; processing state remains represented by narrower feed-material concepts.
AOM_101069,Defatting,staging,2,AOM_101130,Feed component separation processes,technical-objective-grouping,AOM_101130,Feed component separation processes,0,0,8,8,technical-objective-value,held,Governed processing method value used for ingredient-component semantics.
AOM_101070,Pressing,staging,2,AOM_000837;AOM_101130,Mechanical feed processes;Feed component separation processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101130,Mechanical feed processes;Feed component separation processes,0,0,5,5,process-operation,proposed,Governed processing method value used for ingredient-component semantics.
AOM_101072,Extraction,staging,2,AOM_101130,Feed component separation processes,technical-objective-grouping,AOM_101130,Feed component separation processes,0,0,2,2,process-operation,proposed,Governed processing method value used for ingredient-component semantics.
AOM_101073,Threshing,staging,2,AOM_000837;AOM_101130,Mechanical feed processes;Feed component separation processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101130,Mechanical feed processes;Feed component separation processes,0,0,1,1,process-operation,proposed,Governed processing method value used for ingredient-component semantics.
AOM_101083,Hydrolysis,staging,1,AOM_000845,Feed processes,root,AOM_101083,Hydrolysis,0,0,2,2,process-operation,proposed,Governed processing method value used for ingredient-component semantics.
AOM_101084,Sugar processing,staging,1,AOM_000845,Feed processes,root,AOM_101084,Sugar processing,0,0,3,3,production-workflow,proposed,Governed processing method value used for ingredient-component semantics.
AOM_101088,Autoclaving,staging,3,AOM_101096,Heating,process-operation,AOM_000826,Thermal feed processes,0,0,3,3,process-operation,proposed,Governed processing method value used for feed-material semantics.
AOM_101090,Cracking,staging,2,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,mechanism-grouping;technical-objective-grouping,AOM_000837;AOM_101129,Mechanical feed processes;Feed particle-size reduction processes,0,0,1,1,process-operation,proposed,Governed processing method value used for feed-material semantics.
AOM_101096,Heating,staging,2,AOM_000826,Thermal feed processes,mechanism-grouping,AOM_000826,Thermal feed processes,1,1,10,10,process-operation,proposed,Governed processing method value used for feed-material semantics.
AOM_101099,Soaking,staging,1,AOM_000845,Feed processes,root,AOM_101099,Soaking,0,0,6,6,process-operation,proposed,"Moistening and softening feed materials, also called steeping, to facilitate water uptake, coat removal, cooking, germination, or reduction of some antinutritional factors."
AOM_101123,Stacking,staging,1,AOM_000845,Feed processes,root,AOM_101123,Stacking,0,0,1,1,process-operation,held,Governed processing method value used for feed-material semantics.
AOM_101124,Distillation,staging,2,AOM_000826;AOM_101130,Thermal feed processes;Feed component separation processes,mechanism-grouping;technical-objective-grouping,AOM_000826;AOM_101130,Thermal feed processes;Feed component separation processes,0,0,1,1,process-operation,proposed,Governed processing method value used for feed-material semantics.
AOM_101128,Rendering,staging,2,AOM_000826,Thermal feed processes,mechanism-grouping,AOM_000826,Thermal feed processes,0,0,1,1,process-operation,proposed,Thermal processing of animal by-products to separate or stabilize feed materials.
AOM_101129,Feed particle-size reduction processes,staging,1,AOM_000845,Feed processes,root,AOM_101129,Feed particle-size reduction processes,5,6,0,0,technical-objective-grouping,proposed,Feed processes whose governed objective includes reducing particle dimensions without requiring one machine or dry bulk state.
AOM_101130,Feed component separation processes,staging,1,AOM_000845,Feed processes,root,AOM_101130,Feed component separation processes,7,7,0,0,technical-objective-grouping,proposed,"Feed processes whose objective includes removing, separating, or recovering a material component or fraction."
AOM_101131,Feed shaping and agglomeration processes,staging,1,AOM_000845,Feed processes,root,AOM_101131,Feed shaping and agglomeration processes,2,2,0,0,technical-objective-grouping,proposed,"Feed processes whose governed objective includes shaping or agglomerating material into a presentation such as pellets, flakes, or extrudates."
