concept_id,preferred_label,current_status,review_role,recommended_disposition,recommended_mechanisms,recommended_technical_objectives,possible_intended_feed_benefits,processing_method_material_count,recommended_semantic_action,evidence_ids,status,blocking_question
AOM_000819,Alkali Treatment,staging,process-operation,retain-process,Chemical,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction,10,Replace benefit-heavy definition with operation scope; retain narrower ammonia and urea treatments.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_000817,Ammonia Treatment,staging,process-operation,retain-process,Chemical,Constituent transformation;Component addition or application,Digestibility improvement;Nutrient availability improvement,0,Represent ammonia application separately from claimed nutritional outcome.,LOCAL-GRAPH;EU-FEED-PROCESSES,proposed,
AOM_100848,Urea Treatment,staging,process-operation,retain-process,Chemical;Enzymatic or biochemical,Constituent transformation;Component addition or application,Digestibility improvement;Nutrient availability improvement,31,Allow more than one mechanism; do not encode nutritional improvement as universal process meaning.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,proposed,
AOM_003202,Molasses Treatment,staging,process-operation,reclassify-mechanism,Unspecified at generic level,Component addition or application,Palatability or intake improvement;Dust reduction;Fermentation support,3,Remove Chemical parent; retain operation only when molasses application is explicit.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,proposed,
AOM_000820,Enzyme Treatment,staging,process-operation,reclassify-mechanism,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,7,Move from broad Biological mechanism to explicit enzymatic or biochemical mechanism.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,proposed,
AOM_000824,Amylase Treatment,staging,process-operation,retain-process,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,0,Retain beneath Enzyme Treatment and inherit enzymatic mechanism only.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_000821,Cellulase Treatment,staging,process-operation,retain-process,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,0,Retain beneath Fibrolytic Treatment and inherit enzymatic mechanism only.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_000822,Hemicellulase Treatment,staging,process-operation,retain-process,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,0,Retain beneath Fibrolytic Treatment and inherit enzymatic mechanism only.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_000823,Protease Treatment,staging,process-operation,retain-process,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,0,Retain beneath Enzyme Treatment and inherit enzymatic mechanism only.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_000825,Phytase Treatment,staging,process-operation,retain-process,Enzymatic or biochemical,Constituent transformation,Nutrient availability improvement;Antinutritional-factor reduction,0,Retain beneath Enzyme Treatment and keep benefit assertions modal.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_006824,Fibrolytic Treatment,staging,process-operation,definition-correction,Enzymatic or biochemical,Constituent transformation,Digestibility improvement;Nutrient availability improvement,0,Correct current enzyme-class definition so concept denotes treatment operation.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_000830,Fermentation,staging,process-operation,retain-process,Biological,Constituent transformation;Preservation or stabilisation,Digestibility improvement;Nutrient availability improvement;Preservation or storage-stability improvement,31,Retain biological mechanism; add independent technical objectives without guaranteed benefit.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES,proposed,
AOM_000831,Ensiling,staging,process-operation,retain-process,Biological,Preservation or stabilisation;Constituent transformation,Preservation or storage-stability improvement;Palatability or intake improvement,69,Retain as fermentation subtype and preservation objective.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,proposed,
AOM_004500,Inoculation,staging,process-operation,hold-process-scope,Unspecified at generic level,Component addition or application,Fermentation support;Preservation or storage-stability improvement,0,Narrow to microbial inoculation or separate enzyme addition before mechanism assignment.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,held,Does concept mean addition of living microorganisms only or also enzyme preparations?
AOM_003098,Sprouting,staging,process-operation,retain-process,Biological,Constituent transformation,Digestibility improvement;Nutrient availability improvement,2,Retain controlled germination process; keep benefits modal and evidence-dependent.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,proposed,
AOM_000834,Chopping,staging,process-operation,retain-process,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,0,Retain under mechanical and size-reduction browse projections.,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_101090,Cracking,staging,process-operation,retain-process,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,1,Retain under mechanical and size-reduction browse projections.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000835,Crushing,staging,process-operation,retain-process,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,39,Retain under mechanical and size-reduction browse projections.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000836,Grinding,staging,process-operation,retain-process,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,343,Retain under mechanical and size-reduction browse projections; preserve no dry-state entailment.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000839,Hammer milling,staging,process-operation,retain-process,Mechanical,Particle-size reduction,Digestibility improvement;Handling or mixing improvement,0,Retain as Grinding subtype and inherit mechanism and objective.,LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000838,Flour milling,staging,process-operation,retain-process,Mechanical,Particle-size reduction;Component separation or fraction recovery,Handling or mixing improvement;Process-output recovery,3,Retain poly-axial classification and explicit maize-bran process evidence.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_003097,Decortication,staging,process-operation,retain-process,Mechanical,Component separation or fraction recovery,Composition tailoring;Handling improvement,0,Retain under mechanical and separation browse projections.,LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES,proposed,
AOM_101073,Threshing,staging,process-operation,retain-process,Mechanical,Component separation or fraction recovery,Process-output recovery;Handling improvement,1,Retain under mechanical and separation browse projections.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,proposed,
AOM_101070,Pressing,staging,process-operation,retain-process,Mechanical,Component separation or fraction recovery,Process-output recovery;Composition tailoring,5,Retain separation objective for governed uses; require context before inferring cake form or moisture state.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,proposed,
AOM_000840,Pelleting,staging,process-operation,retain-process,Mechanical,Shaping or agglomeration,Handling or mixing improvement;Palatability or intake improvement,0,Retain under mechanical and shaping browse projections.,LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_000833,Extrusion,staging,process-operation,retain-process,Mechanical;Thermal,Shaping or agglomeration,Digestibility improvement;Handling or mixing improvement;Palatability or intake improvement,3,Retain canonical thermo-mechanical process; treat chemical and nutritional effects as parameter-dependent.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_000841,Extrusion,deprecated,deprecated-duplicate,retain-deprecated-replacement,,,,0,Keep resolvable with replaced-by AOM_000833; remove from active process-axis counts and browse projections.,LOCAL-GRAPH;ADR-0042,proposed,
AOM_000827,Boiling,staging,process-operation,retain-process,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement,18,Retain thermal mechanism; replace universal benefit claims with modal benefit links.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_000828,Direct Boiling,staging,process-operation,retain-process,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement,0,Retain as Boiling subtype; correct definition to distinguish direct liquid contact.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_000829,Indirect Boiling,staging,process-operation,retain-process,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement,0,Retain as Boiling subtype; correct definition to distinguish indirect heating or steam arrangement.,LOCAL-GRAPH;FOODON-PROCESS-TABLE,proposed,
AOM_101096,Heating,staging,process-operation,retain-process,Thermal,Context-dependent,,10,Retain generic thermal operation with no universal technical objective or benefit assertion.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES,proposed,
AOM_101088,Autoclaving,staging,process-operation,retain-process,Thermal,Constituent transformation,Antinutritional-factor reduction;Safety improvement;Digestibility improvement,3,Retain beneath Heating; record pressure and moisture only on specific process applications.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,proposed,
AOM_000832,Roasting,staging,process-operation,retain-process,Thermal,Constituent transformation,Digestibility improvement;Antinutritional-factor reduction;Safety improvement;Palatability improvement,13,Retain thermal mechanism; replace universal improvement wording with modal benefit links.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_101124,Distillation,staging,process-operation,retain-process,Thermal,Component separation or fraction recovery,Process-output recovery,1,Retain thermal and separation classifications.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_101128,Rendering,staging,process-operation,retain-process,Thermal,Component separation or fraction recovery;Preservation or stabilisation,Safety improvement;Preservation or storage-stability improvement;Process-output recovery,1,Retain thermal classification and add objectives as non-exclusive; keep drying and grinding separate when evidenced.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;FEEDIPEDIA-POULTRY-MEAL,proposed,
AOM_000843,Drying,staging,process-operation,retain-process,Unspecified at generic level,Moisture reduction,Preservation or storage-stability improvement;Handling improvement,399,Retain beneath moisture-reduction objective; assert thermal mechanism only for specified drying methods.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE;ADR-0042,proposed,
AOM_000844,Wilting,staging,process-operation,retain-process,Unspecified at generic level,Moisture reduction,Preservation or storage-stability improvement;Ensiling preparation,50,Retain beneath moisture-reduction objective; do not infer complete drying.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042,proposed,
AOM_101069,Defatting,staging,technical-objective-value,reclassify-objective,,Fat removal,Composition tailoring,8,Move from processingMethod vocabulary to narrower technical objective under component separation; review eight material assertions for actual operation or composition state.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE,held,Which operation produced each of eight defatted materials and should defatted also be represented as composition state?
AOM_101072,Extraction,staging,process-operation,retain-process,Unspecified at generic level,Component separation or fraction recovery,Composition tailoring;Process-output recovery,2,Retain separation objective; add mechanism only for solvent aqueous mechanical or other specified subtype.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_101083,Hydrolysis,staging,process-operation,retain-process,Unspecified at generic level,Constituent transformation,Digestibility improvement;Nutrient availability improvement,2,Retain direct process operation; represent acid alkali enzymatic or thermal mechanism only when specified.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_101099,Soaking,staging,process-operation,retain-process,Unspecified at generic level,Moisture addition or conditioning,Softening;Antinutritional-factor reduction;Process preparation,6,Retain direct operation; treat leaching separation heating and germination preparation as context-specific objectives.,LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE,proposed,
AOM_101123,Stacking,staging,process-operation,hold-process-scope,Unresolved,Unresolved,Safety improvement;Preservation or storage-stability improvement,1,Keep review-visible but do not create Other process parent; decide whether this is handling storage treatment or biological and thermal transformation.,LOCAL-GRAPH;LOCAL-BINDINGS;FEEDIPEDIA-POULTRY-LITTER,held,Does deep stacking denote storage arrangement or controlled treatment with microbial and self-heating effects?
AOM_101084,Sugar processing,staging,production-workflow,move-to-production-provenance,,,,3,Remove from material processingMethod vocabulary; migrate three molasses links to productionProcessProvenance or output-of relation.,LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-TRANSFORMATION;ADR-0044,proposed,
AOM_101068,Brewhouse processing,retired-before-publication,retired-provenance-precedent,retain-retired-provenance-precedent,,,,0,Keep retired-before-publication; use as precedent for representing upstream production workflows through input and output provenance rather than processingMethod.,LOCAL-GOVERNANCE;FOODON-TRANSFORMATION;ADR-0044,proposed,
