"concept_id","preferred_label","review_role","recommended_disposition","recommended_mechanisms","recommended_technical_objectives","possible_intended_feed_benefits","recommended_semantic_action","evidence_ids","status","blocking_question","rationale","reviewer","review_date"
"AOM_000825","Phytase Treatment","process-operation","retain-process","Enzymatic or biochemical","Constituent transformation","Nutrient availability improvement;Antinutritional-factor reduction","Retain beneath Enzyme Treatment and keep benefit assertions modal.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Phytate transformation can release bound nutrients but measured availability depends on application context.","Codex","2026-08-18"
"AOM_006824","Fibrolytic Treatment","process-operation","definition-correction","Enzymatic or biochemical","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Correct current enzyme-class definition so concept denotes treatment operation.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Current definition describes fibrolytic enzymes rather than process of treating feed with them.","Codex","2026-08-18"
"AOM_000830","Fermentation","process-operation","retain-process","Biological","Constituent transformation;Preservation or stabilisation","Digestibility improvement;Nutrient availability improvement;Preservation or storage-stability improvement","Retain biological mechanism; add independent technical objectives without guaranteed benefit.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES","proposed","","FoodOn places fermentation under both preservation and microbial or enzymatic modification supporting multi-objective modelling.","Codex","2026-08-18"
"AOM_000831","Ensiling","process-operation","retain-process","Biological","Preservation or stabilisation;Constituent transformation","Preservation or storage-stability improvement;Palatability or intake improvement","Retain as fermentation subtype and preservation objective.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES","proposed","","Ensiling combines anaerobic storage conditions with fermentation; outcome quality remains contextual.","Codex","2026-08-18"
"AOM_004500","Inoculation","process-operation","hold-process-scope","Unspecified at generic level","Component addition or application","Fermentation support;Preservation or storage-stability improvement","Narrow to microbial inoculation or separate enzyme addition before mechanism assignment.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","held","Does concept mean addition of living microorganisms only or also enzyme preparations?","Current definition conflates microorganisms and enzymes and overstates subsequent transformation as part of inoculation itself.","Codex","2026-08-18"
"AOM_003098","Sprouting","process-operation","retain-process","Biological","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Retain controlled germination process; keep benefits modal and evidence-dependent.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE","proposed","","Sprouting initiates biological transformation but nutritional direction and magnitude vary.","Codex","2026-08-18"
"AOM_000834","Chopping","process-operation","retain-process","Mechanical","Particle-size reduction","Digestibility improvement;Handling or mixing improvement","Retain under mechanical and size-reduction browse projections.","LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042","proposed","","Cutting material into pieces directly satisfies particle-size reduction.","Codex","2026-08-18"
"AOM_101090","Cracking","process-operation","retain-process","Mechanical","Particle-size reduction","Digestibility improvement;Handling or mixing improvement","Retain under mechanical and size-reduction browse projections.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042","proposed","","Cracking applies mechanical force to open or reduce particles.","Codex","2026-08-18"
"AOM_000835","Crushing","process-operation","retain-process","Mechanical","Particle-size reduction","Digestibility improvement;Handling or mixing improvement","Retain under mechanical and size-reduction browse projections.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042","proposed","","Crushing directly reduces particle size by pressure or impact.","Codex","2026-08-18"
"AOM_000836","Grinding","process-operation","retain-process","Mechanical","Particle-size reduction","Digestibility improvement;Handling or mixing improvement","Retain under mechanical and size-reduction browse projections; preserve no dry-state entailment.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042","proposed","","Grinding defines particle reduction but not exact size moisture condition or nutritional response.","Codex","2026-08-18"
"AOM_000839","Hammer milling","process-operation","retain-process","Mechanical","Particle-size reduction","Digestibility improvement;Handling or mixing improvement","Retain as Grinding subtype and inherit mechanism and objective.","LOCAL-GRAPH;EU-FEED-PROCESSES;ADR-0042","proposed","","Hammer milling is equipment-specific grinding operation.","Codex","2026-08-18"
"AOM_000838","Flour milling","process-operation","retain-process","Mechanical","Particle-size reduction;Component separation or fraction recovery","Handling or mixing improvement;Process-output recovery","Retain poly-axial classification and explicit maize-bran process evidence.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042","proposed","","Flour milling combines reduction with separation of flour bran and intermediate fractions.","Codex","2026-08-18"
"AOM_003097","Decortication","process-operation","retain-process","Mechanical","Component separation or fraction recovery","Composition tailoring;Handling improvement","Retain under mechanical and separation browse projections.","LOCAL-GRAPH;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES","proposed","","Removing hull husk shell or cortex is mechanical component separation.","Codex","2026-08-18"
"AOM_101073","Threshing","process-operation","retain-process","Mechanical","Component separation or fraction recovery","Process-output recovery;Handling improvement","Retain under mechanical and separation browse projections.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES","proposed","","Threshing separates grain or seed from plant material by mechanical action.","Codex","2026-08-18"
"AOM_101070","Pressing","process-operation","retain-process","Mechanical","Component separation or fraction recovery","Process-output recovery;Composition tailoring","Retain separation objective for governed uses; require context before inferring cake form or moisture state.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES","proposed","","Current uses express liquid or oil expelling; generic pressing can have other purposes so outputs remain evidence-specific.","Codex","2026-08-18"
"AOM_000840","Pelleting","process-operation","retain-process","Mechanical","Shaping or agglomeration","Handling or mixing improvement;Palatability or intake improvement","Retain under mechanical and shaping browse projections.","LOCAL-GRAPH;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Compression through die directly produces shaped agglomerates.","Codex","2026-08-18"
"AOM_000833","Extrusion","process-operation","retain-process","Mechanical;Thermal","Shaping or agglomeration","Digestibility improvement;Handling or mixing improvement;Palatability or intake improvement","Retain canonical thermo-mechanical process; treat chemical and nutritional effects as parameter-dependent.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;EU-FEED-PROCESSES;ADR-0042","proposed","","Shaping is defining objective while heat pressure residence time and formulation determine transformation and benefit.","Codex","2026-08-18"
"AOM_000841","Extrusion","deprecated-duplicate","retain-deprecated-replacement","","","","Keep resolvable with replaced-by AOM_000833; remove from active process-axis counts and browse projections.","LOCAL-GRAPH;ADR-0042","proposed","","Published duplicate identity remains deprecated and must never be reused.","Codex","2026-08-18"
"AOM_000827","Boiling","process-operation","retain-process","Thermal","Constituent transformation","Digestibility improvement;Antinutritional-factor reduction;Safety improvement","Retain thermal mechanism; replace universal benefit claims with modal benefit links.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Boiling applies heat in liquid or steam; nutritional and safety effects vary by material and conditions.","Codex","2026-08-18"
"AOM_000828","Direct Boiling","process-operation","retain-process","Thermal","Constituent transformation","Digestibility improvement;Antinutritional-factor reduction;Safety improvement","Retain as Boiling subtype; correct definition to distinguish direct liquid contact.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Direct contact describes heat-transfer arrangement rather than guaranteed benefit.","Codex","2026-08-18"
"AOM_000829","Indirect Boiling","process-operation","retain-process","Thermal","Constituent transformation","Digestibility improvement;Antinutritional-factor reduction;Safety improvement","Retain as Boiling subtype; correct definition to distinguish indirect heating or steam arrangement.","LOCAL-GRAPH;FOODON-PROCESS-TABLE","proposed","","Indirect arrangement describes heat-transfer route rather than guaranteed benefit.","Codex","2026-08-18"
"AOM_101096","Heating","process-operation","retain-process","Thermal","Context-dependent","","Retain generic thermal operation with no universal technical objective or benefit assertion.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES","proposed","","Heating may cook dry sterilise condition or support another process; generic label cannot determine purpose.","Codex","2026-08-18"
"AOM_101088","Autoclaving","process-operation","retain-process","Thermal","Constituent transformation","Antinutritional-factor reduction;Safety improvement;Digestibility improvement","Retain beneath Heating; record pressure and moisture only on specific process applications.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE","proposed","","Autoclaving is pressurised heat treatment but actual objective and effect depend on protocol.","Codex","2026-08-18"
"AOM_000832","Roasting","process-operation","retain-process","Thermal","Constituent transformation","Digestibility improvement;Antinutritional-factor reduction;Safety improvement;Palatability improvement","Retain thermal mechanism; replace universal improvement wording with modal benefit links.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Heat-driven physicochemical change is direct process feature while nutrition can improve or deteriorate.","Codex","2026-08-18"
"AOM_101124","Distillation","process-operation","retain-process","Thermal","Component separation or fraction recovery","Process-output recovery","Retain thermal and separation classifications.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Distillation fractionates liquids through boiling and condensation.","Codex","2026-08-18"
"AOM_101128","Rendering","process-operation","retain-process","Thermal","Component separation or fraction recovery;Preservation or stabilisation","Safety improvement;Preservation or storage-stability improvement;Process-output recovery","Retain thermal classification and add objectives as non-exclusive; keep drying and grinding separate when evidenced.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE;FEEDIPEDIA-POULTRY-MEAL","proposed","","Rendering is multi-stage transformation of animal tissues; exact route and outputs require material-specific evidence.","Codex","2026-08-18"
"AOM_000843","Drying","process-operation","retain-process","Unspecified at generic level","Moisture reduction","Preservation or storage-stability improvement;Handling improvement","Retain beneath moisture-reduction objective; assert thermal mechanism only for specified drying methods.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE;ADR-0042","proposed","","Natural artificial thermal pressure and osmotic routes prevent one universal mechanism classification.","Codex","2026-08-18"
"AOM_000844","Wilting","process-operation","retain-process","Unspecified at generic level","Moisture reduction","Preservation or storage-stability improvement;Ensiling preparation","Retain beneath moisture-reduction objective; do not infer complete drying.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;ADR-0042","proposed","","Wilting is partial moisture reduction and often preparatory to ensiling.","Codex","2026-08-18"
"AOM_101069","Defatting","technical-objective-value","reclassify-objective","","Fat removal","Composition tailoring","Move from processingMethod vocabulary to narrower technical objective under component separation; review eight material assertions for actual operation or composition state.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-PROCESS-TABLE","held","Which operation produced each of eight defatted materials and should defatted also be represented as composition state?","Defatting names achieved objective or state; extraction pressing centrifugation or another operation may implement it.","Codex","2026-08-18"
"AOM_101072","Extraction","process-operation","retain-process","Unspecified at generic level","Component separation or fraction recovery","Composition tailoring;Process-output recovery","Retain separation objective; add mechanism only for solvent aqueous mechanical or other specified subtype.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Generic extraction spans different mechanisms and cannot be reduced to chemical thermal or mechanical alone.","Codex","2026-08-18"
"AOM_101083","Hydrolysis","process-operation","retain-process","Unspecified at generic level","Constituent transformation","Digestibility improvement;Nutrient availability improvement","Retain direct process operation; represent acid alkali enzymatic or thermal mechanism only when specified.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Hydrolysis can use water with enzymes acid alkali heat or pressure and therefore has no single generic mechanism.","Codex","2026-08-18"
"AOM_101099","Soaking","process-operation","retain-process","Unspecified at generic level","Moisture addition or conditioning","Softening;Antinutritional-factor reduction;Process preparation","Retain direct operation; treat leaching separation heating and germination preparation as context-specific objectives.","LOCAL-GRAPH;LOCAL-BINDINGS;EU-FEED-PROCESSES;FOODON-PROCESS-TABLE","proposed","","Immersion directly conditions or hydrates material but other outcomes depend on liquid temperature duration and composition.","Codex","2026-08-18"
"AOM_101123","Stacking","process-operation","hold-process-scope","Unresolved","Unresolved","Safety improvement;Preservation or storage-stability improvement","Keep review-visible but do not create Other process parent; decide whether this is handling storage treatment or biological and thermal transformation.","LOCAL-GRAPH;LOCAL-BINDINGS;FEEDIPEDIA-POULTRY-LITTER","held","Does deep stacking denote storage arrangement or controlled treatment with microbial and self-heating effects?","Only one poultry-litter use exists and Feedipedia reports material-specific aflatoxin reduction without defining one general mechanism.","Codex","2026-08-18"
"AOM_101084","Sugar processing","production-workflow","move-to-production-provenance","","","","Remove from material processingMethod vocabulary; migrate three molasses links to productionProcessProvenance or output-of relation.","LOCAL-GRAPH;LOCAL-BINDINGS;FOODON-TRANSFORMATION;ADR-0044","proposed","","Sugar processing is upstream multi-step production workflow that generates molasses rather than one treatment intentionally applied to finished feed material.","Codex","2026-08-18"
"AOM_101068","Brewhouse processing","retired-provenance-precedent","retain-retired-provenance-precedent","","","","Keep retired-before-publication; use as precedent for representing upstream production workflows through input and output provenance rather than processingMethod.","LOCAL-GOVERNANCE;FOODON-TRANSFORMATION;ADR-0044","proposed","","Brewhouse processing was correctly removed because brewing by-products are outputs of brewing stages rather than feed treatments.","Codex","2026-08-18"
