concept_id,preferred_label,canonical_path,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_001508,Lactobacillus plantarum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Prebiotic/Lactobacillus plantarum,hold_hierarchy_correction_required,held,,hierarchy_correction_required,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Lactobacillus plantarum is a microbial taxon, not a prebiotic; approve taxon identity and probiotic role before definition."
AOM_001579,Elancoban,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Elancoban,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_001826,ChemBind,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/ChemBind,approve_workbook_binder_role,approved,ChemBind,,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,Canonical workbook classifies named material as binder; composition remains unspecified.
AOM_001831,Vitalite,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Processed Food Byproducts/Vitalite,hold_local_identity_evidence,held,,local_identity_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Local or ambiguous name lacks geographic, biological, or product identity needed for public definition."
AOM_001868,Toxynil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Toxynil,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_001870,Prime Gluten 60,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Prime Gluten 60,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_001921,Vitalyte,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Vitalyte,hold_local_identity_evidence,held,,local_identity_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Local or ambiguous name lacks geographic, biological, or product identity needed for public definition."
AOM_002081,Mixed Marine Hydrolysate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate/Mixed Marine Hydrolysate,approve_workbook_hydrolysate,approved,mixed marine material,,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,Canonical workbook identifies mixed marine hydrolysate under animal by-product hydrolysates.
AOM_003567,Cheka Residue,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Cheka/Cheka Residue,approve_workbook_residue,approved,cheka,,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,Canonical workbook identifies Cheka residue under cereal by-products.
AOM_003747,Axtra XAP,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra XAP,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_003749,Natuzyme,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Natuzyme,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_006006,Tata,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Tata,hold_local_identity_evidence,held,,local_identity_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Local or ambiguous name lacks geographic, biological, or product identity needed for public definition."
AOM_006331,Agrivate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Agrivate,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
