concept_id,preferred_label,v29_action,v29_evidence_state,implementation_status,semantic_class,target_parent_id,decision_record,method_record,reviewer,review_date,rationale
AOM_000738,Threonine,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000739,Lysine,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000740,Lysine - HCl,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000743,Carboxymethyl Cellulose,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_000744,Cement,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_000745,Binder,split,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder already has a governed product-role value; substances require independent material/additive classification.
AOM_000746,Chromium Oxide,reparent-and-link-role,model-supported,implemented-structural,,AOM_101147,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Ground form remains separate presentation/process evidence; marker function is a role.
AOM_000747,Digestibility Marker,split,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Digestibility marker is a study role, while chromium oxide is a substance."
AOM_000748,Asperozym (Fibrolytic Enzymes),move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000749,Axtra Phy Broiler,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000750,Phytase,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000751,Enzyme,move,authority-supported,implemented-structural,,AOM_101137,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Ingested feed enzymes are additive preparations; processing enzymes require a separate process model.
AOM_000753,Bicarbonate of Soda,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Sodium bicarbonate identity should be classified with mineral feed materials.
AOM_000754,Calcium,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000755,Chalk,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000756,Copper,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000757,Dicalcium Phosphate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000758,Iodated Salt,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000759,Iodine,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000760,Lime,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000763,Manganese,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000764,Mineral Block,move,model-supported,implemented,aom:FeedFormulation,AOM_101140,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Blocks, licks, and mixes are multi-component formulations."
AOM_000765,Maclik,move,model-supported,implemented,aom:FeedFormulation,AOM_101140,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Blocks, licks, and mixes are multi-component formulations."
AOM_000766,Mineral Lick,move,model-supported,implemented,aom:FeedFormulation,AOM_101140,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Blocks, licks, and mixes are multi-component formulations."
AOM_000768,Monocalcium Phosphate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000770,Phosphorus,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000772,Salt,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000774,Selenium,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000776,Sulphur,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000777,Tricalcium Phosphate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_000778,Zinc,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_000779,Unresolved mineral classifications,split,authority-supported,implemented-structural,,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Mineral identity alone does not determine material, additive, formulation, or constituent role."
AOM_000780,Lecithin,move-or-hold,requires-use-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Lecithin status depends on product identity and intended technological function.
AOM_000781,Unresolved other-ingredient classifications,retire-after-disposition,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Other Ingredients provides no reusable semantics and hides unresolved identity decisions.
AOM_000782,Antitoxins,move,requires-product-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Antitoxin does not identify one substance or product.
AOM_000783,Molasses & Urea Block,move,model-supported,implemented,aom:FeedFormulation,AOM_001491,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Molasses and urea block is a formulation.
AOM_000787,Choline Cloride,move-or-hold,requires-substance-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000788,Vitamin B12,move-or-hold,requires-substance-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000789,Vitamin C,move-or-hold,requires-substance-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000790,Vitamin E,move-or-hold,requires-substance-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_000791,Vitamin Mix,move,model-supported,implemented,aom:FeedFormulation,AOM_101141,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Vitamin mixtures are multi-component preparations, not single material substances."
AOM_000793,Vitamin,split,authority-supported,implemented-structural,,AOM_101136,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Vitamin substances are nutritional additives; vitamin mixes are premixtures or formulations.
AOM_000794,Minerals and Vitamins Mix,move,authority-supported,implemented,aom:FeedFormulation,AOM_101155,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Mixtures are formulations, not single feed materials."
AOM_000795,Mineral and vitamin feed mixtures,move,authority-supported,implemented,aom:FeedFormulation,AOM_101155,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Mixtures are formulations, not single feed materials."
AOM_000807,Prebiotic,move,authority-supported,implemented-structural,,AOM_101137,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Prebiotic describes intended physiological function and may apply to different substances.
AOM_000808,Fumaric Acid,move-or-hold,requires-use-evidence,hold,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Fumaric acid is an organic acid and may be used as an additive; use does not alter chemical identity.
AOM_000809,Essential Fatty Acid,move,authority-supported,implemented-structural,,AOM_101147,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Essential fatty acid denotes chemical composition, not one feed material."
AOM_000811,Herb or Extract,split,requires-concept-review,hold,,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Herbs and extracts require separate material identity and processing assertions.
AOM_000838,Flour milling,retain-with-reviewed-parent,process-definition-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Retain separation parent only when process definition removes or recovers a component or fraction.
AOM_001066,Cobalt,move-or-hold,requires-compound-and-use-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Element label alone does not identify a feed material or authorized additive preparation.
AOM_001067,Copper Sulfate Anhydrous,move-or-hold,requires-authorization-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Trace-element compound use requires product and authorization evidence.
AOM_001068,Pseudovitamin,move,requires-substance-evidence,hold,aom:Feed,AOM_101147,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Pseudovitamin is not a material product class.
AOM_001069,Inositol,move-or-hold,requires-use-evidence,hold,aom:Feed,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Inositol identity does not by itself establish material or additive use.
AOM_001091,Anti-mycotoxin,move,authority-supported,implemented-structural,,AOM_101138,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,EU feed-additive functional groups explicitly represent substances reducing mycotoxin contamination.
AOM_001367,Ammonium Chloride,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001368,Ammonium Sulphate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001369,Calcium Bicarbonate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001370,Calcium Carbonate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001371,Calcium Oxide,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001372,Calcium Phosphate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001373,Cellulose,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001374,Gelatin,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001375,Choline Cloride Ground,move-or-hold,requires-substance-evidence,hold,aom:Feed,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_001376,Dexapanthenol,move-or-hold,requires-substance-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Specific vitamin identity supports additive review; product formulation must remain explicit.
AOM_001377,Methionine,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_001378,Magnesium Oxide,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001415,Mineral Mix,move,model-supported,implemented,aom:FeedFormulation,AOM_101140,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Blocks, licks, and mixes are multi-component formulations."
AOM_001417,Zinc Manganese,move-or-hold,requires-authorization-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Trace-element compound use requires product and authorization evidence.
AOM_001418,Zinc Oxide,move-or-hold,requires-authorization-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Trace-element compound use requires product and authorization evidence.
AOM_001423,Bentonite,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001427,Potassium Carbonate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001428,Minerals and Salt,move,authority-supported,implemented,aom:FeedFormulation,AOM_101155,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Mixtures are formulations, not single feed materials."
AOM_001431,Minerals and Urea Mix,move,authority-supported,implemented,aom:FeedFormulation,AOM_101155,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Mixtures are formulations, not single feed materials."
AOM_001433,Tryptophan,move,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_001486,Lignobond,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001487,Sodium Sulfate,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001490,Trimethyl Cellulose,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001497,Megalac,retain-product-and-reparent,product-evidence-supported,implemented,aom:FeedMaterial,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Manufacturer identifies Megalac as calcium-salt rumen-protected fat made from PFAD.
AOM_001500,ACTIPAL HP 1,hold-and-research,requires-product-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,ACTIPAL HP 1 remains an explicit product-class hold.
AOM_001503,Polyethylene,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001504,Polyethylene glycol,reparent-and-link-role,requires-item-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Binder function must be an explicit role; bearer classification requires substance/product evidence.
AOM_001505,Polyvitamins,move,model-supported,implemented,aom:FeedFormulation,AOM_101141,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Vitamin mixtures are multi-component preparations, not single material substances."
AOM_001506,Kanwa-Potassium Salt,hold-and-research,requires-product-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Current Mineral parent cannot establish material, additive, formulation, or constituent role."
AOM_001507,Unspecified,retire,model-supported,implemented-structural,,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Unspecified is a data-quality state, not a feed material."
AOM_001509,Potassium Humate,hold-and-research,requires-product-evidence,hold,aom:Feed,AOM_000779,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,"Current Mineral parent cannot establish material, additive, formulation, or constituent role."
AOM_001571,Protein,split,model-supported,implemented-structural,,AOM_101023,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Casein and gluten products are materials; Protein is a constituent class.
AOM_001572,Casein,reparent,requires-product-evidence,hold,aom:Feed,AOM_101142,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Material identity must not be inferred from Protein constituent parent alone.
AOM_001577,Carbohydrate,split,model-supported,implemented-structural,,AOM_101023,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Carbohydrate is a constituent class; dextrin requires a substance/use decision.
AOM_001578,Dextrin,move-or-hold,requires-use-evidence,hold,aom:Feed,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Dextrin needs explicit material/additive use evidence.
AOM_001579,Elancoban,reparent,authority-supported,implemented,aom:FeedAdditive,,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Elancoban is monensin-sodium feed additive used for coccidiosis control.
AOM_001746,Dicalcium Phosphate Dried Ground,move,catalogue-supported,implemented,aom:FeedMaterial,AOM_101139,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,Substance is a candidate mineral feed material; exact composition and synonym identity still require verification.
AOM_001749,Urea,move,authority-supported,implemented,aom:FeedAdditive,AOM_101136,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-12,EU Regulation 1831/2003 places urea and derivatives under nutritional additives.
