concept_id,preferred_label,hierarchy_path,domain,recommended_route
AOM_001359,Onion Bulb,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Onion/Onion Bulb,feed_material,research_taxon_insufficient_for_material
AOM_001373,Cellulose,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Cellulose,feed_material,research_feedipedia
AOM_001380,Andropogon gayanus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Andropogon gayanus,feed_material,research_feedipedia
AOM_001382,Andropogon abyssinica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Andropogon abyssinica,feed_material,research_taxon_insufficient_for_material
AOM_001383,Andropogon guianensis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Andropogon guianensis,feed_material,research_feedipedia
AOM_001389,Digitaria decumbens,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Digitaria decumbens,feed_material,research_feedipedia
AOM_001397,Bracharia decumbens,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Bracharia decumbens,feed_material,research_feedipedia
AOM_001407,Panicum maximum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum,feed_material,research_feedipedia
AOM_001421,Saccharomyces cerevisiae Slurry,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Probiotic/Saccharomyces cerevisiae Slurry,feed_material,research_taxon_insufficient_for_material
AOM_001439,Beetroot Discards,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Beetroot/Beetroot Discards,feed_material,research_public_ontology
AOM_001446,Sorghum sudanense,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Sorghum sudanense,feed_material,research_feedipedia
AOM_001455,Triticum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Triticum,feed_material,research_feedipedia
AOM_001462,Cynadon dactylon,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Cynadon dactylon,feed_material,research_feedipedia
AOM_001465,Cynodon nlemfuensis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Cynodon nlemfuensis,feed_material,research_feedipedia
AOM_001475,Lolium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Lolium,feed_material,research_feedipedia
AOM_001476,Lolium multiflorum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Lolium multiflorum,feed_material,research_feedipedia
AOM_001479,Megathyrsus maximus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Megathyrsus maximus,feed_material,research_feedipedia
AOM_001482,Sugar Beet Molasses,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Sugar Processing ByProducts/Sugar Beet/Sugar Beet Molasses,feed_material,research_feedipedia
AOM_001486,Lignobond,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Lignobond,feed_material,research_source_workbook
AOM_001497,Megalac,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Megalac,feed_material,research_source_workbook
AOM_001500,ACTIPAL HP 1,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/ACTIPAL HP 1,feed_material,research_source_workbook
AOM_001501,AquaNutro Abalone Grower,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/AquaNutro Abalone Grower,feed_material,research_source_workbook
AOM_001508,Lactobacillus plantarum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Prebiotic/Lactobacillus plantarum,feed_material,research_source_workbook
AOM_001523,Tripsacum laxum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Tripsacum laxum,feed_material,research_feedipedia
AOM_001524,Piliostigma thonningii,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Piliostigma thonningii,feed_material,research_feedipedia
AOM_001526,Lotus corniculatus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Lotus corniculatus,feed_material,research_feedipedia
AOM_001527,Centrosema molle,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Centrosema molle,feed_material,research_feedipedia
AOM_001536,Chromolaena odorata,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Other Forage Plants/Chromolaena odorata,feed_material,research_feedipedia
AOM_001561,Ulva lactuca,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Aquatic Plants/Ulva lactuca,feed_material,research_taxon_insufficient_for_material
AOM_001562,Ulva armoricana,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Aquatic Plants/Ulva armoricana,feed_material,research_taxon_insufficient_for_material
AOM_001563,Ulva rigida,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Aquatic Plants/Ulva rigida,feed_material,research_feedipedia
AOM_001574,Catha edulis Residue,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Other Forage Plants/Catha edulis/Catha edulis Residue,feed_material,research_taxon_insufficient_for_material
AOM_001579,Elancoban,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Elancoban,feed_material,research_source_workbook
AOM_001582,Soybean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Soybean,feed_material,research_feedipedia
AOM_001603,Acacia tortilis Fruits,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Acacia tortilis/Acacia tortilis Fruits,feed_material,research_public_ontology
AOM_001618,Oat Fodder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Oat/Oat Fodder,feed_material,research_feedipedia
AOM_001654,Dichrostachys cinerea Fruits,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Dichrostachys cinerea/Dichrostachys cinerea Fruits,feed_material,research_taxon_insufficient_for_material
AOM_001675,Baby Corn Stalk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Baby Corn/Baby Corn Stalk,feed_material,research_public_ontology
AOM_001760,Acacia etbaica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Acacia etbaica,feed_material,research_public_ontology
AOM_001761,Acacia etbaica Fruits,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Acacia etbaica/Acacia etbaica Fruits,feed_material,research_public_ontology
AOM_001766,Acacia polyacantha,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Acacia polyacantha,feed_material,research_public_ontology
AOM_001771,Leucaena pallida,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Leucaena pallida,feed_material,research_public_ontology
AOM_001777,Potato Processing Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Potato/Potato Processing Waste,feed_material,research_taxon_insufficient_for_material
AOM_001783,Scarlet Eggplant Market Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Scarlet Eggplant/Scarlet Eggplant Market Waste,feed_material,research_taxon_insufficient_for_material
AOM_001785,Elionurus muticus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Elionurus muticus,feed_material,research_feedipedia
AOM_001797,Gliciridia sepium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Gliciridia sepium,feed_material,research_feedipedia
AOM_001805,African Palm Larvae,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/African Palm Larvae,feed_material,research_taxon_insufficient_for_material
AOM_001811,Rumen Contents,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Digestive ByProduct/Rumen Contents,feed_material,research_feedipedia
AOM_001815,Date Cull,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Fruit ByProducts/Date/Date Cull,feed_material,research_taxon_insufficient_for_material
AOM_001817,Legume Residue,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume Products/Legume Residue,feed_material,research_public_ontology
AOM_001818,Ensete ventricosum Corm,"Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Sweet potato tubers, fresh | Feedipedia/Ensete ventricosum Corm",feed_material,research_feedipedia
AOM_001820,Potato Starch,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Potato/Potato Starch,feed_material,research_taxon_insufficient_for_material
AOM_001821,Terminalia brownii,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Terminalia brownii,feed_material,research_feedipedia
AOM_001826,ChemBind,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/ChemBind,feed_material,research_source_workbook
AOM_001831,Vitalite,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Processed Food Byproducts/Vitalite,feed_material,research_source_workbook
AOM_001837,Palm Oil Sludge,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm/Palm Oil Sludge,feed_material,research_feedipedia
AOM_001842,Cabbage Discards,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Vegetable ByProducts/Cabbage/Cabbage Discards,feed_material,research_public_ontology
AOM_001845,Malt Sprout,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Malt Sprout,feed_material,research_feedipedia
AOM_001846,Pollard,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Pollard,feed_material,research_taxon_insufficient_for_material
AOM_001848,Ficus sur Fruits,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Ficus sur/Ficus sur Fruits,feed_material,research_taxon_insufficient_for_material
AOM_001868,Toxynil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Toxynil,feed_material,research_source_workbook
AOM_001870,Prime Gluten 60,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Prime Gluten 60,feed_material,research_source_workbook
AOM_001871,Urtica dioica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Herb or Extract/Urtica dioica,feed_material,research_taxon_insufficient_for_material
AOM_001880,Cod Liver Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Cod/Cod Liver Oil,feed_material,research_source_workbook
AOM_001892,Sorghum Threshed Top,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Sorghum/Sorghum Threshed Top,feed_material,research_feedipedia
AOM_001903,Asteraceae,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Herb or Extract/Asteraceae,feed_material,research_taxon_insufficient_for_material
AOM_001914,Opuntia ficus indica Cladode,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Opuntia ficus indica/Opuntia ficus indica Cladode,feed_material,research_feedipedia
AOM_001921,Vitalyte,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Vitalyte,feed_material,research_source_workbook
AOM_001930,Trout Oil,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Trout/Trout Oil,feed_material,research_source_workbook
AOM_001956,Tomato Waste,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Vegetable ByProducts/Tomato/Tomato Waste,feed_material,research_taxon_insufficient_for_material
AOM_001967,Grewia spp.,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Grewia spp.,feed_material,research_feedipedia
AOM_00205,Soybean Haulm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Soybean/Soybean Haulm,feed_material,research_taxon_insufficient_for_material
AOM_002081,Mixed Marine Hydrolysate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate/Mixed Marine Hydrolysate,feed_material,research_source_workbook
AOM_002082,Shrimp Hydrolysate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate/Shrimp Hydrolysate,feed_material,research_taxon_insufficient_for_material
AOM_002091,Cassava Binder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Cassava Binder,feed_material,research_taxon_insufficient_for_material
AOM_002101,Sweet Potato Peels,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Sweet Potato/Sweet Potato Peels,feed_material,research_feedipedia
AOM_002102,Coconut Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Coconut/Coconut Cake,feed_material,research_taxon_insufficient_for_material
AOM_002106,Cocoa Bean Cake,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa/Cocoa Bean Cake,feed_material,research_feedipedia
AOM_002107,Cocoa Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa/Cocoa Bean,feed_material,research_feedipedia
AOM_002111,Opuntia ficus indica Fruits,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Opuntia ficus indica/Opuntia ficus indica Fruits,feed_material,research_taxon_insufficient_for_material
AOM_002120,Poultry Litter Deep Stacked,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Poultry/Poultry Litter/Poultry Litter Deep Stacked,feed_material,research_source_workbook
