feed_material_id,target_property,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale,rule_id,target_uri,target_type
AOM_001289,aom:primaryConstituent,AOM_101065,Starch constituent,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Maize remains source identity while starch is constituent identity.,,,
AOM_003208,aom:productRole,AOM_101062,By-product role,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Offal wording identifies by-product role without asserting a specific anatomical component.,,,
AOM_003596,aom:ingredientPart,AOM_101038,Seed,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Grape identifies source and seeds identify anatomical part.,,,
AOM_000651,aom:primaryConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Exact AGROVOC maize-oil identity supports oil constituent independent of physical form.,,,
AOM_000674,aom:primaryConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Exact AGROVOC sunflower-oil identity supports oil constituent independent of physical form.,,,
AOM_001586,aom:primaryConstituent,AOM_101081,Oil constituent,approved,Pete Steward,2026-08-06,review/livestock-v12/public_authority_source_scope_review.csv,Exact AGROVOC soybean-oil identity supports oil constituent independent of physical form.,,,
AOM_001614,aom:processingMethod,AOM_000838,Flour milling,approved,Pete Steward,2026-08-07,https://www.feedipedia.org/node/12280,Maize bran is separated during maize flour milling; reuse existing process concept.,,,
AOM_001614,aom:productRole,AOM_101062,By-product role,approved,Pete Steward,2026-08-07,https://www.feedipedia.org/node/12280,Maize bran is a co-produced milling fraction used as feed and modeled with by-product role independently of component identity.,,,
AOM_001938,aom:presentationForm,AOM_101126,Meal form,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/12474,Feedipedia poultry offal meal heading plus explicit legacy drying and grinding supports meal presentation for this processed chicken-offal material.,,,
AOM_101127,aom:presentationForm,AOM_101126,Meal form,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia directly defines this processed material as poultry by-product meal.,,,
AOM_101127,aom:moistureCondition,AOM_101054,Dried moisture condition,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia explicitly describes poultry by-product meal production as rendering followed by drying and grinding.,,,
AOM_101127,aom:processingMethod,AOM_000836,Grinding,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia definition identifies ground rendered poultry parts.,,,
AOM_101127,aom:processingMethod,AOM_000843,Drying,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia processing description explicitly states drying to approximately eight percent moisture.,,,
AOM_101127,aom:processingMethod,AOM_101128,Rendering,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia identifies rendering as defining processing for poultry by-product meal.,,,
AOM_101127,aom:productRole,AOM_101062,By-product role,approved,Pete Steward,2026-08-11,https://www.feedipedia.org/node/214,Feedipedia classifies source material as poultry slaughter and processing by-products.,,,
AOM_000536,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000537,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000537,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000537,aom:processingMethod,AOM_101096,Heating,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-HEATED,,
AOM_000539,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000543,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000550,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000551,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000551,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000552,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000553,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000563,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000564,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000564,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000565,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000567,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000569,aom:ingredientPart,AOM_101026,Cob,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-COB,,
AOM_000570,aom:processingMethod,AOM_000833,Extrusion,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-EXTRUDED,,
AOM_000572,aom:materialComponent,AOM_101106,Straw,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-STRAW,,
AOM_000574,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000574,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000575,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000576,aom:ingredientPart,AOM_101031,Husk,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK,,
AOM_000579,aom:materialComponent,AOM_101106,Straw,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-STRAW,,
AOM_000580,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000581,aom:materialComponent,AOM_101106,Straw,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-STRAW,,
AOM_000582,aom:materialComponent,AOM_101106,Straw,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-STRAW,,
AOM_000584,aom:materialComponent,AOM_101106,Straw,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-STRAW,,
AOM_000585,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000586,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000587,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000595,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000596,aom:ingredientPart,AOM_101038,Seed,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-SEED,,
AOM_000596,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000600,aom:ingredientPart,AOM_101038,Seed,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-SEED,,
AOM_000600,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000602,aom:ingredientPart,AOM_101031,Husk,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK,,
AOM_000606,aom:ingredientPart,AOM_101031,Husk,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK,,
AOM_000606,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000607,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000608,aom:ingredientPart,AOM_101038,Seed,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-SEED,,
AOM_000609,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000612,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000613,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000617,aom:ingredientPart,AOM_101040,Shell component,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-SHELL,,
AOM_000620,aom:ingredientPart,AOM_101038,Seed,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-SEED,,
AOM_000625,aom:ingredientPart,AOM_101032,Kernel,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-KERNEL,,
AOM_000625,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000633,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000634,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000635,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000639,aom:materialComponent,AOM_101104,Bran,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-BRAN,,
AOM_000641,aom:ingredientPart,AOM_101043,Tuber,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-TUBER,,
AOM_000647,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000647,aom:processingMethod,AOM_000835,Crushing,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-CRUSHED,,
AOM_000649,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000655,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000656,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000656,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000657,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000660,aom:ingredientPart,AOM_101074,Grain,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-GRAIN,,
AOM_000660,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000668,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000668,aom:processingMethod,AOM_000832,Roasting,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-ROASTED,,
AOM_000670,aom:processingMethod,AOM_000832,Roasting,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-ROASTED,,
AOM_000675,aom:ingredientPart,AOM_101038,Seed,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-SEED,,
AOM_000675,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000679,aom:ingredientPart,AOM_101043,Tuber,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-TUBER,,
AOM_000681,aom:ingredientPart,AOM_101043,Tuber,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-TUBER,,
AOM_000688,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000692,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000692,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000698,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000708,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000708,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
AOM_000709,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000709,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000711,aom:ingredientPart,AOM_101033,Leaf,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-LEAF,,
AOM_000711,aom:processingMethod,AOM_000836,Grinding,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-GROUND,,
AOM_000713,aom:ingredientPart,AOM_101035,Pod,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-POD,,
AOM_000714,aom:processingMethod,AOM_000843,Drying,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,PROCESS-DRIED,,
