case_id,deprecated_id,replacement_id,preferred_label,reviewer,review_date,evidence,rationale
PROCESS-EXTRUSION-DUPLICATE,AOM_000841,AOM_000833,Extrusion,Pete Steward,2026-08-11,docs/decisions/0042-feed-process-and-material-state-axes.md,Legacy mechanical and thermal records carry the same definition for one thermo-mechanical extrusion process; retain lower ID and express mechanism through polyhierarchy.
COLLISION-INTEGRATED-SYSTEM,AOM_000927,AOM_000898,integrated system,Pete Steward,2026-08-10,docs/decisions/0040-global-legacy-identity-cohort.md,Definitions and EOL mapping coincide; retain lower stable ID through the shared multi-species hierarchy.
COMPONENT-CHEMICAL-DEPRECATE-AOM_101103,AOM_101103,AOM_001616,Blood,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Property context does not justify duplicate Blood identity; replacement remains usable as body substance and feed material.
COMPONENT-CHEMICAL-DEPRECATE-AOM_101120,AOM_101120,AOM_001571,Protein,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,Constituent relation supplies role; duplicate Protein constituent identity is unnecessary.
COMPONENT-CHEMICAL-DEPRECATE-AOM_101144,AOM_101144,AOM_101143,Processed material fractions,Pete Steward,2026-08-20,docs/decisions/0048-chemical-identity-composition-and-component-model.md;docs/methods/component-chemical-identity-governance.md,One-child Cereal milling fractions wrapper adds no stable semantic distinction.
COMPOSITION-FORM-DEPRECATE-AOM_000324,AOM_000324,AOM_101182,Feed physical descriptors,Pete Steward,2026-08-21,docs/decisions/0049-composition-form-and-component-retention-model.md;docs/methods/composition-form-and-retention-governance.md,"Legacy physical form conflates presentation, consistency, and moisture axes; replacement is explicit navigation grouping."
COMPOSITION-FORM-DEPRECATE-AOM_101116,AOM_101116,AOM_101134,Native-fat retention,Pete Steward,2026-08-21,docs/decisions/0049-composition-form-and-component-retention-model.md;docs/methods/composition-form-and-retention-governance.md,Product-specific whole-milk state duplicates current retained-fat meaning; Whole Milk identity remains separate.
COMPOSITION-FORM-DEPRECATE-AOM_101080,AOM_101080,AOM_000226,Ash,Pete Steward,2026-08-21,docs/decisions/0049-composition-form-and-component-retention-model.md;docs/methods/composition-form-and-retention-governance.md,"Ash is analytical incineration residue, not one chemical constituent; measured Ash characteristic is appropriate replacement route."
FEED-TAXONOMY-BINDER-ROLE,AOM_000745,AOM_101079,Binder,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy material-like category denotes a role now represented on an independent role axis.
FEED-TAXONOMY-MARKER-ROLE,AOM_000747,AOM_101151,Digestibility Marker,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy material-like category denotes a role now represented on an independent role axis.
FEED-TAXONOMY-FILLER-ROLE,AOM_001917,AOM_101152,Unspecified Filler,Pete Steward,2026-08-12,docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy material-like category denotes a role now represented on an independent role axis.
