route_id,sheet_order,sheet,inventory_resource_type,publication_disposition,disposition_status,nonblank_rows,columns,target_product,owner_repository,recommended_treatment,current_coverage_state,normalized_source_rows,migration_wave,next_action,recommended_decision,decision_rationale,conditions_or_holds,recommendation_status,human_decision,reviewer,review_date,decision_note
RR-11,11,chem,concept_scheme,public,proposed,319,18,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,4-crop-inputs-and-chemicals,"Separate commercial product, active ingredient, chemical identity, use context, and ChEBI mapping.",accept-proposed-route-with-row-review,Route resource to aom-crop;mappings using mixed-concept-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-12,12,countries,code_list,public,proposed,77,6,era-data-code-lists;mappings,era-data,reference-code-list,inventory-only,0,7-reference-context-and-crosswalks,Publish governed ISO mappings and spatial metadata outside domain concept hierarchies.,accept-proposed-route-with-row-review,Route resource to era-data-code-lists;mappings using reference-code-list.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-13,13,trees,concept_scheme,public,proposed,217,13,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,5-biological-identity-and-traits,"Separate taxon identity, variety or subspecies, functional traits, management flags, and WFO or GBIF mappings.",accept-proposed-route-with-row-review,Route resource to aom-crop;mappings using mixed-concept-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-14,14,journals,code_list,public,proposed,528,2,era-data-provenance,era-data,reference-code-list,inventory-only,0,7-reference-context-and-crosswalks,"Treat as source-name normalization, not agricultural ontology concepts.",accept-proposed-route-with-row-review,Route resource to era-data-provenance using reference-code-list.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-15,15,site_list,code_list,review,proposed,808,10,era-data-location-registry,era-data,restricted-review-code-list,publication-review-required,0,7-reference-context-and-crosswalks,Complete sensitivity review before any publication; never move coordinates into AOM concepts.,hold-publication-review,Retain location registry under sensitivity review.,Do not publish coordinates or approve public disposition before explicit privacy review.,proposed,,,,
RR-16,16,residues,crosswalk,public,proposed,73,2,aom-crop;mappings,era-aom,crosswalk,inventory-only,0,3-crop-products-and-components,Preserve original-to-harmonized mappings and resolve identities with crop product and by-product review.,accept-proposed-route-with-row-review,Route resource to aom-crop;mappings using crosswalk.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-17,17,vars,concept_scheme,public,proposed,3693,16,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,5-biological-identity-and-traits,"Decompose crop taxon, cultivar or accession, maturity, traits, and practice context before normalization.",accept-proposed-route-with-row-review,Route resource to aom-crop;mappings using mixed-concept-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-18,18,vars_animals,concept_scheme,public,proposed,445,17,aom-livestock;mappings,era-aom,mixed-concept-source,reconciled-not-normalized,0,6-livestock-non-feed-completion,"Complete animal identity, breed or variety, trait, and practice review; current feed work does not close this sheet.",accept-proposed-route-with-row-review,Route resource to aom-livestock;mappings using mixed-concept-source.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-19,19,var_traits,crosswalk,public,proposed,104,2,mappings,era-aom,crosswalk,inventory-only,0,5-biological-identity-and-traits,Preserve trait normalization as reviewed mappings; do not mint identities from lexical matches alone.,accept-proposed-route-with-row-review,Route resource to mappings using crosswalk.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-20,20,AOM READ.ME,documentation,exclude,proposed,52,9,maintained-documentation,era-aom,documentation-evidence,excluded-documentation,0,0-boundary-governance,"Migrate useful lineage and method notes into maintained documentation, then retain workbook sheet only as provenance.",accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-21,21,AOM,concept_scheme,public,proposed,2503,38,aom-livestock,era-aom,concept-scheme,release-normalized-partially-reviewed,2503,6-livestock-non-feed-completion,Retain public lineage and complete domain-balanced review beyond feed before formal publication.,accept-proposed-route-with-row-review,Route resource to aom-livestock using concept-scheme.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-22,22,ani_diet,concept_scheme,public,proposed,1806,21,aom-livestock;mappings,era-aom,operational-crosswalk-evidence,reconciled-not-normalized,0,6-livestock-non-feed-completion,"Treat as assignment and decomposition evidence, not an independent public concept scheme.",accept-supporting-evidence-route,"Use resource as governed assignment, correction, decomposition, subset, or crosswalk evidence into aom-livestock.",Do not publish as an independent sibling concept scheme.,proposed,,,,
RR-23,23,ani_process,concept_scheme,public,proposed,175,13,aom-livestock;mappings,era-aom,operational-crosswalk-evidence,reconciled-not-normalized,0,6-livestock-non-feed-completion,Treat corrections and process decompositions as governed mappings and evidence.,accept-supporting-evidence-route,"Use resource as governed assignment, correction, decomposition, subset, or crosswalk evidence into aom-livestock.",Do not publish as an independent sibling concept scheme.,proposed,,,,
RR-24,24,ssa_feedsdb,closed,exclude,confirmed,771,32,excluded-restricted,none,closed-evidence,excluded-confirmed,0,hold,Never publish source values; retain only rights-safe reviewed assertions with provenance.,retain-confirmed-restricted-exclusion,Keep restricted source values outside public products.,Only rights-safe reviewed assertions with provenance may leave the controlled source.,proposed,,,,
RR-25,25,AOM_diets,concept_scheme,public,proposed,849,25,aom-livestock;mappings,era-aom,working-subset-crosswalk,reconciled-not-normalized,0,6-livestock-non-feed-completion,"Treat as working subset and crosswalk into AOM identities, not a sibling public scheme.",accept-supporting-evidence-route,"Use resource as governed assignment, correction, decomposition, subset, or crosswalk evidence into aom-livestock.",Do not publish as an independent sibling concept scheme.,proposed,,,,
RR-26,26,unit_harmonization,crosswalk,public,proposed,1105,2,era-data-code-lists;mappings;aom-core-bindings,era-data;era-aom,crosswalk,inventory-only,0,1-data-model-and-core,Preserve raw-to-canonical unit mappings and link canonical units to reviewed external unit identifiers.,accept-proposed-route-with-row-review,Route resource to era-data-code-lists;mappings;aom-core-bindings using crosswalk.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-27,27,dois,operational,exclude,proposed,1854,1,operational-source-management,era-data-pipeline,operational-evidence,excluded-operational,0,hold,Keep source management private; publish governed citation and provenance records only.,accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-28,28,aez,code_list,public,proposed,16,14,era-data-code-lists;aom-core-bindings,era-data;era-aom,reference-code-list,inventory-only,0,7-reference-context-and-crosswalks,Publish versioned agroecological-zone code lists and bind observations without treating zones as crop concepts.,accept-proposed-route-with-row-review,Route resource to era-data-code-lists;aom-core-bindings using reference-code-list.,"Route acceptance does not approve row identity, hierarchy, mapping, or publication; preserve stated next action and wave gates.",proposed,,,,
RR-29,29,dups,scratch,exclude,proposed,95,7,excluded-scratch,none,scratch-evidence,excluded-scratch,0,hold,Retain only as migration evidence until duplicate dispositions are recorded in governed ledgers.,accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-30,30,OLD_diet_process,legacy,exclude,proposed,26,6,excluded-legacy,none,legacy-evidence,excluded-legacy,0,hold,Retain immutable migration provenance; do not publish as active concepts.,accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-31,31,OLD_diet_item,legacy,exclude,proposed,266,28,excluded-legacy,none,legacy-evidence,excluded-legacy,0,hold,Retain immutable migration provenance; do not publish as active concepts.,accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-32,32,OLD_era_fields_v1,legacy,exclude,proposed,1023,11,excluded-legacy,none,legacy-evidence,excluded-legacy,0,hold,Retain immutable migration provenance; do not publish as current schema.,accept-exclusion-with-retained-provenance,Keep resource outside active public products while preserving governed migration provenance.,"Any future promotion requires explicit rights, lifecycle, and semantic review.",proposed,,,,
RR-33,33,scio - Custom Terms,scratch,exclude,proposed,314,6,mappings-review,era-aom,scratch-mapping-evidence,excluded-pending-provenance-review,0,hold,Review provenance and identity before moving any term or mapping into governed sources.,hold-provenance-review,Retain custom terms as mapping evidence pending provenance and identity review.,Do not mint identities or mappings from labels alone.,proposed,,,,
