Table,Field,source_rows,value_rows,distinct_current_values,described_values,old_values,exact_match,candidate_registry_keys,generator_disposition,recommended_disposition,guided_disposition,source_edit_required,decision_basis,recommendation_status,human_decision,reviewer,review_date,decision_note
Plant.Out,P.Prac.Pracs,212;213,2,2,2,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Plant.Out,Plant.Method,220;221;222;223;224;225;230;231;232,9,9,9,7,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Plant.Out,Plant.Relay,233,1,1,1,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Res.Method,Tree.Materials,248;249;250;251;252;253;254,7,7,7,7,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Res.Out,M.Process,255;256;257;258,4,4,1,0,no,Res.Method.M.Process,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-table-key-realignment-review,yes,One same-field candidate exists under another table; source identity and value scope require review.,held,,,,
Site.Out,Site.Seasons,273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320,48,48,48,48,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Site.Out,Soil.Texture,328;329;330;331;332;333;334;335;336;337;338;339,12,12,12,12,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Soil.Out,SOC.Method,340;341;342;343;344;345;346;347;348;349;350,11,11,11,11,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Soil.Out,SOM.Method,439;440;441;442;443;444;445;446;447;448,10,10,10,10,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Soil.Out,Soil.K.Unit,366;367;368;369;370;371;372;373;374;375,10,10,0,10,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Soil.Out,Soil.N.Unit,384;385;386;387;388;389;390;391;392;393;394;395,12,12,11,11,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Soil.Out,Soil.NA.Unit,396;397;398;399;400;401;402,7,7,0,7,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Soil.Out,Soil.P.Unit,408;409;410;411;412;413;414;415;416;417;418,11,11,0,10,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Var.Out,Crop.Trait,474;475;476;477;478;479;480;481;482;483;484,11,11,10,7,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Var.Out,Var.Type,485;486;487;488;489;490,6,6,6,6,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Weed.Out,W.Time.Units,491;492;493;494,4,4,0,4,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Weed.Out,W.Type,495;496;497;498;499;500;501,7,7,7,5,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
