concept_id,preferred_label,remediation_track,prior_blocker,decision,status,governed_source_identity,replacement_id,component_scope,process_scope,reviewer,review_date,evidence,blocker_code,rationale
AOM_001797,Gliciridia sepium,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,synonym_replacement_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_001805,African Palm Larvae,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,African Palm Larvae,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001871,Urtica dioica,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Urtica dioica,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001892,Sorghum Threshed Top,identity_repair,contradictory_mapping_removed,approve_bounded_workbook_material_scope,approved,sorghum,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_001903,Asteraceae,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Asteraceae,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_002200,Chlorella vulgaris,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Chlorella vulgaris,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_002206,Acacia Albida,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,synonym_replacement_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_003359,Onion Veins,semantic_model,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,Shaft or vein cannot be approximated to an existing anatomical facet; retain raw identity until governed model exists.
AOM_003858,Groundnut Veins,semantic_model,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,Shaft or vein cannot be approximated to an existing anatomical facet; retain raw identity until governed model exists.
AOM_003893,Bambusa balcooa,identity_repair,contradictory_mapping_removed,approve_bounded_workbook_material_scope,approved,Bambusa balcooa,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_003910,Legume Mixtures Weeds,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_003929,Lima Bean Vein,semantic_model,unmodelled_derived_material_descriptor,hold_unsafe_descriptor_inference,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,Shaft or vein cannot be approximated to an existing anatomical facet; retain raw identity until governed model exists.
AOM_003930,Soybean Cheese Waste,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_003996,Sweet Basil,semantic_model,unmodelled_derived_material_descriptor,approve_bounded_workbook_material_scope,approved,Sweet Basil,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_004002,Maize Yellow,identity_repair,contradictory_mapping_removed,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,contradictory_mapping_removed,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_006160,Brewers By-Product,identity_consolidation,category_or_duplicate_review,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,category_or_duplicate_review,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
AOM_006350,Bambusa bambos,identity_repair,contradictory_species_mapping,approve_bounded_workbook_material_scope,approved,Bambusa bambos,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,,Canonical AOM identity and hierarchy establish bounded operational material scope; contradictory external mappings remain excluded and no component or process is inferred.
AOM_006410,Occicum gatissimum,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;data/livestock-staging/approved_mapping_reviews.csv,unmodelled_derived_material_descriptor,"Replacement direction, corrected identity, or missing semantic facet requires explicit evidence before changing ontology identity or scope."
