mapping_system,mapping_value,concept_ids,preferred_labels,candidate_count,status,recommended_action
CPC_Code_Product,01241,AOM_003960;AOM_006108,Green Bean Vine;Green Bean Vine Dried,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01253,AOM_001359;AOM_001661,Onion Bulb;Onion Bulb Dried Ethanol Treated Blended,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01311,AOM_000664;AOM_001201,Ripe Avocado;Avocado,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01312,AOM_000595;AOM_001176;AOM_001177;AOM_006032,Banana Leaves;Banana Peel;Banana Pseudo-stem;Banana Leaves Dried,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01313.01,AOM_001283;AOM_001946,Plantain Peel;Plantain Peel Dried Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01314,AOM_000596;AOM_001311;AOM_001815;AOM_001816;AOM_002348;AOM_003815;AOM_006080;AOM_006086;AOM_006281;AOM_006282;AOM_006283;AOM_006284;AOM_006285,Date Seed Ground;Date;Date Cull;Date Cull Dried Ground;Date Leaves;Date Discarded Ground;Date Palm Fronds Ground;Date Discards;Date Leaves Dried;Date Leaves Wilted;Date Leaves Ensiled Wilted;Date Leaves Dried Enzyme Treated;Date Leaves Ensiled Sprouted Wilted,13,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01316.01,AOM_001195;AOM_001196;AOM_001625;AOM_001693;AOM_001694;AOM_001695;AOM_001888;AOM_006176,Mango Peel Dried;Mango Seed;Mango Seed Kernel;Mango Seed Dried Ground;Mango Seed Kernel Dried Ground;Mango Seed Kernel Crushed Dried;Mango Seed Kernel Ground;Mango Seed Crushed Dried,8,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01319,AOM_000663;AOM_001199;AOM_001200;AOM_002032;AOM_002353,Jackfruit;Breadfruit;Breadfruit Ground;Breadfruit Dried Ground;Date Ground,5,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01322,AOM_003885;AOM_006178;AOM_006217,Citrus Pulp;Citrus Pulp Ensiled;Citrus Pulp Alkali Treated Dried Fermented,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01323,AOM_001745;AOM_001889;AOM_001947;AOM_003891;AOM_006148;AOM_006348,Orange Dried;Orange Peels;Orange Peels Dried Fermented Ground;Orange Pulp;Orange Peels Fermented;Orange Waste Ensiled,6,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01359,AOM_002219;AOM_006180,Tamarind Wilted;Tamarind,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0141,AOM_000610;AOM_000611;AOM_000612;AOM_000613;AOM_000614;AOM_000668;AOM_000670;AOM_001271;AOM_001272;AOM_001317;AOM_001361;AOM_001362;AOM_001364;AOM_001582;AOM_001583;AOM_001778;AOM_001779;AOM_001891;AOM_001949;AOM_001960;AOM_002020;AOM_002021;AOM_002033;AOM_00205;AOM_002121;AOM_002122;AOM_002129;AOM_003930;AOM_006317;AOM_006319;AOM_006329;AOM_006345;AOM_006396,Soybean Cake;Soybean Full Fat Cake;Soybean Dried;Soybean Ground;Soybean Residue;Soybean Ground Roasted;Soybean Roasted;Soybean Straw;Soybean Shell;Soybean Full Fat;Soybean Flakes Defatted;Soybean Flakes Defatted Extruded;Soybean Full Fat Roasted;Soybean;Soybean Autoclaved Ground;Soybean Pulp;Soybean Pulp Ground;Soybean Hull;Soybean Flakes Defatted Dried Ground;Soybean Full Fat Heated;Soybean Dried Fermented;Soybean Cake Ground;Soybean Full Fat Ground;Soybean Haulm;Soybean Flakes Defatted Crushed Dehulled Heated;Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground;Soybean Dehulled Ground;Soybean Cheese Waste;Soybean Cheese Waste Crushed Ensiled;Soybean Straw Dried;Soybean Residue Dried;Soybean Straw Dried Urea Treated;Soybean Straw Dried Molasses Treated Urea Treated,33,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0142,AOM_000604;AOM_000605;AOM_000606;AOM_000607;AOM_001254;AOM_001660;AOM_001890;AOM_002249;AOM_003072;AOM_003858;AOM_006110;AOM_006111;AOM_006112;AOM_006113;AOM_006169;AOM_006278,Groundnut Haulm;Groundnut Hull;Groundnut Husk Ground;Groundnut Ground;Groundnut Cake;Groundnut Cake Ground;Groundnut Straw;Groundnut Shell;Groundnut;Groundnut Veins;Groundnut Haulm Crushed;Groundnut Haulm Dried;Groundnut Haulm Ensiled;Groundnut Hull Crushed Dried;Groundnut Residue;Groundnut Veins Dried,16,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01441,AOM_001301;AOM_002136;AOM_006408,Linseed Cake Ground;Linseed Cake;Linseed Ground,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01444,AOM_001277;AOM_001279;AOM_001335;AOM_001336;AOM_001440;AOM_001776;AOM_001951;AOM_002128;AOM_003928;AOM_006307,Sesame Seed Cake;Sesame Seed Cake Ground Roasted;Sesame Ground;Sesame Seed Ground;Sesame Seed;Sesame Fermented;Sesame Seed Cake Autoclaved Dried Ground;Sesame Seed Dried Ground Soaked;Sesame Residue;Sesame Seed Cake Ground,10,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01445,AOM_001337;AOM_001338;AOM_001894;AOM_002208,Sunflower Ground;Sunflower Seed Cake;Sunflower Seed Cake Ground;Sunflower Seed,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0146,AOM_001306;AOM_002102;AOM_002103,Coconut Ground;Coconut Cake;Coconut Cake Ground,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01491.02,AOM_000625;AOM_001638;AOM_001708;AOM_002104;AOM_002105;AOM_006151;AOM_006411,Palm Kernel Ground;Palm Kernel Cake;Palm Kernel Dried Ground;Palm Kernel Cake Ground;Palm Kernel Cake Dried Fermented Ground;Palm Kernel Cake Dried Ground;Palm Kernel Cake Dried,7,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01499.03,AOM_003897;AOM_006380,Jojoba Ground;Jojoba Enzyme Treated Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01510,AOM_001281;AOM_001777;AOM_001820;AOM_001953,Potato Hash;Potato Processing Waste;Potato Starch;Potato Hash Ensiled,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01520,AOM_000634;AOM_000638;AOM_000678;AOM_000679;AOM_001251;AOM_001322;AOM_001627;AOM_001803;AOM_002027;AOM_002029;AOM_002034;AOM_002035;AOM_002112;AOM_003911;AOM_003917;AOM_003978;AOM_006054;AOM_006055;AOM_006056;AOM_006057;AOM_006058;AOM_006059;AOM_006060;AOM_006162;AOM_006163;AOM_006214;AOM_006215;AOM_006216;AOM_006352;AOM_006353;AOM_006402;AOM_006404,Cassava Bran;Cassava Shaft;Cassava Starch;Cassava Tuber;Cassava Waste;Cassava Ground;Cassava Peel Dried;Cassava Peel Dried Ground;Cassava Peel Ground;Cassava Shaft Ground;Cassava Tuber Dried Grated Fermented Peeled;Cassava Tuber Boiled Dried Ground;Cassava Peel;Cassava Sieviate;Cassava Vinasse;Cassava Starch Residue;Cassava Peel Ensiled;Cassava Peel Crushed Dried;Cassava Peel Dried Wilted;Cassava Peel Grated Pressed;Cassava Peel Dried Ensiled Wilted;Cassava Tuber Dried Ground;Cassava Tuber Ground;Cassava Sieviate Dried Fermented Ground;Cassava Starch Residue Dried Fermented Ground;Cassava Peel Grated Pressed Urea Treated;Cassava Peel Enzyme Treated Ground;Cassava Peel Urea Treated;Cassava Peel Crushed;Cassava Peel Crushed Urea Treated;Cassava Waste Dried Fermented;Cassava Sieviate Dried Ground,32,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01530,AOM_000680;AOM_001267;AOM_001268;AOM_001840;AOM_001954;AOM_002101;AOM_003853;AOM_006263;AOM_006403,Sweet Potato;Sweet Potato Vine;Sweet Potato Vine Wilted;Sweet Potato Tuber;Sweet Potato Vine Ensiled;Sweet Potato Peels;Sweet Potato Vine Dried;Sweet Potato Peels Dried;Sweet Potato Vine Ensiled Wilted,9,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01540,AOM_000640;AOM_001651;AOM_002030,Yam Peels;Yam Peels Dried;Yam Peels Dried Ground,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01550,AOM_001266;AOM_001650;AOM_003918;AOM_006320,Taro Leaves;Taro Leaves Boiled Dried;African Yam Bean Ground;African Yam Bean Dried Ground,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01610,AOM_001186;AOM_003546;AOM_006068,Coffee Leaves;Coffee Pulp;Coffee Leaves Dried,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0164,AOM_002106;AOM_002107,Cocoa Bean Cake;Cocoa Bean,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01701,AOM_001179;AOM_001180;AOM_001258;AOM_001948,Common Bean Straw;Common Bean Tops;Common Bean Haulm;Common Bean Haulm Dried,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01705,AOM_000608;AOM_001285,Pea Seed Hull;Pea Straw,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01707,AOM_000609;AOM_001314;AOM_001629;AOM_001632,Pigeon Pea Leaves;Pigeon Pea;Pigeon Pea Leaves Dried;Pigeon Pea Dried,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01708,AOM_003207;AOM_003208;AOM_006027,Bambara Groundnut;Bambara Groundnut Offal;Bambara Groundnut Offal Ground,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01709.02,AOM_001117;AOM_001351;AOM_001896;AOM_001906;AOM_001907;AOM_002115;AOM_002116;AOM_002125;AOM_002126;AOM_012120,Blue Lupin Dried;Blue Lupin;Blue Lupin Grain;Blue Lupin Grain Roasted;Blue Lupin Grain Dried;White Lupin;White Lupin Grain;White Lupin Grain Dehulled Dried Soaked;White Lupin Grain Dried Soaked;White Lupin Grain Roasted,10,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01801,AOM_000633;AOM_001482;AOM_001483;AOM_001836;AOM_003482;AOM_006221;AOM_006270;AOM_006271,Beet Pulp Dried;Sugar Beet Molasses;Sugar Beet Pulp;Beet Pulp;Sugar Beet;Beet Fodder Ensiled;Sugar Beet Crushed;Sugar Beet Pulp Dried,8,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01802,AOM_000642;AOM_002166;AOM_002344;AOM_006264;AOM_006266;AOM_006267;AOM_006268;AOM_006269,Sugarcane Molasses;Sugarcane Bagasse;Sugarcane Peel;Sugarcane Peel Dried Ground;Sugarcane Bagasse Ensiled;Sugarcane Bagasse Enzyme Treated;Sugarcane Bagasse Fermented;Sugarcane Bagasse Ground,8,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01921.01,AOM_000620;AOM_001187;AOM_001253;AOM_001641;AOM_001642;AOM_001643;AOM_001644;AOM_003973;AOM_006073;AOM_006166,Cotton Seed Cake;Cotton Seed Hull;Cotton Seed Cake Dried Ground;Cotton Seed Cake Dried;Cotton Seed Decorticated Ground;Cotton Seed Ground;Cotton Seed Cake Ground;Cotton Seed;Cotton Seed Cake Decorticated;Cotton Seed Decorticated Dried,10,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0493,AOM_001561;AOM_001562;AOM_001563;AOM_001564;AOM_001664,Ulva lactuca;Ulva armoricana;Ulva rigida;Ulva rigida Ground;Ulva rigida Dried Ground,5,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,15200,AOM_000760;AOM_003760,Lime;Lime Slaked,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,21234,AOM_002192;AOM_006100,Fish Offal;Fish Offal Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,21651,AOM_000672;AOM_001837;AOM_001961,Palm Oil Crude;Palm Oil Sludge;Palm Oil Crude Ground,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,2166,AOM_001185;AOM_003700,Linseed;Coconut Oil,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,34220,AOM_000746;AOM_000763;AOM_001371;AOM_001418,Chromium Oxide;Manganese;Calcium Oxide;Zinc Oxide,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,34654,AOM_000561;AOM_001095;AOM_001097;AOM_001146;AOM_006008,Animal Manures;Cattle Manure;Pig Manure;Poultry Litter;Chicken Manure,5,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,391,AOM_003172;AOM_006101,Food Waste;Food Waste Dried,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,39110,AOM_000536;AOM_000537;AOM_000538;AOM_000539;AOM_000540;AOM_001099;AOM_001616;AOM_006363,Blood Ground;Blood Dried Ground Heated;Bone Ash;Bone Ground;Bone;Feather Ground;Blood;Bone Crushed,8,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/content/feeds?category=13602,AOM_000641;AOM_000681,Roots and Tuber ByProducts;Roots and Tuber Products,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11513,AOM_001601;AOM_001602,Acacia tortilis Pods Ground;Acacia tortilis Pods Dried,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11521,AOM_001479;AOM_003912,Megathyrsus maximus;Megathyrsus maximus Leaves,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11522,AOM_001407;AOM_001676;AOM_001709;AOM_003677;AOM_006275;AOM_006276;AOM_006277,Panicum maximum;Megathyrsus maximus Dried;Panicum maximum Wilted;Panicum;Panicum maximum Dried;Panicum maximum Ensiled Wilted;Panicum Dried,7,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11534,AOM_001446;AOM_006315,Sorghum sudanense;Sorghum sudanense Dried,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11539,AOM_001145;AOM_002206;AOM_006371,Faidherbia albida;Acacia Albida;Faidherbia albida Dried,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11540,AOM_002049;AOM_002050,Faidherbia albida Pods;Faidherbia albida Pods Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11544,AOM_001208;AOM_001527,Centrosema pubescens;Centrosema molle,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11559,AOM_003208;AOM_006027,Bambara Groundnut Offal;Bambara Groundnut Offal Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11574,AOM_000536;AOM_001616,Blood Ground;Blood,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11582,AOM_001923;AOM_001924,Shrimp Heads;Shrimp Heads Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11591,AOM_003075;AOM_003275,Balanites aegyptiaca;Balanites aegyptiaca Leaves,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11594,AOM_001186;AOM_006068,Coffee Leaves;Coffee Leaves Dried,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11595,AOM_001166;AOM_001914,Opuntia ficus indica;Opuntia ficus indica Cladode,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11599,AOM_001278;AOM_006311,Sheanut Cake;Sheanut Cake Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11617,AOM_001149;AOM_001797;AOM_001800;AOM_006376,Gliricidia sepium;Gliciridia sepium;Gliciridia sepium Leaves;Gliciridia sepium Leaves Wilted,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11637,AOM_000575;AOM_000577;AOM_006300,Rice Bran;Rice Offal;Rice Offal Ground,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11643,AOM_000576;AOM_001280,Rice Husk;Rice Hull,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
Feedipedia,https://www.feedipedia.org/node/11645,AOM_001524;AOM_002203;AOM_006292,Piliostigma thonningii;Piliostigma thonningii pods;Piliostigma thonningii pods Crushed,3,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
