concept_id,preferred_label,ingredient_family,governed_identity,authority_uri,decision,status,reviewer,review_date,rationale
AOM_001206,Anthyllis tetraphylla,Forage Plants,anthyllis tetraphylla,wfo-0000205978,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001209,Desmodium,Forage Plants,desmodium,wfo-4000011206,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001211,Desmodium distortum,Forage Plants,desmodium distortum,wfo-0000177100,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001222,Macrotyloma axillare,Forage Plants,macrotyloma axillare,wfo-0000181770,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001224,Medicago,Forage Plants,medicago,wfo-4000023435,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001226,Medicago arborea,Forage Plants,medicago arborea,wfo-0000213419,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001237,Stylosanthes scabra,Forage Plants,stylosanthes scabra,wfo-0000174281,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001239,Tephrosia bracteolata,Forage Plants,tephrosia bracteolata,wfo-0000201770,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001243,Vicia dasycarpa,Forage Plants,vicia dasycarpa,wfo-0000214373,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001251,Cassava Waste,Crop Byproduct,cassava waste,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001254,Groundnut Cake,Crop Byproduct,groundnut,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001255,Flaxseed Oil,Crop Byproduct,flaxseed,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001258,Common Bean Haulm,Crop Byproduct,common bean haulm,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001281,Potato Hash,Crop Byproduct,potato hash,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001297,Maize Sheath,Crop Byproduct,maize sheath,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001308,Canola Oil,Crop Product,canola,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001309,Canola,Crop Product,canola,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001314,Pigeon Pea,Crop Byproduct,pigeon pea,http://aims.fao.org/aos/agrovoc/c_13356,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Exact AGROVOC preferred label supports direct source identity; derived facets remain unspecified.
AOM_001333,Oil,Crop Product,oil,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001344,Rosemary Oil,Crop Product,rosemary,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001354,Turmeric,Crop Product,turmeric,wfo-0000365771,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001359,Onion Bulb,Crop Product,onion bulb,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001360,Scarlet Eggplant,Crop Product,scarlet eggplant,wfo-0001025760,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001379,Andropogon,Forage Plants,andropogon,wfo-4000002006,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001382,Andropogon abyssinica,Forage Plants,andropogon abyssinica,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001390,Digitaria nodosa,Forage Plants,digitaria nodosa,wfo-0000864208,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001391,Digitaria smutsii,Forage Plants,digitaria smutsii,wfo-0000864420,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001392,Digitaria ternota,Forage Plants,digitaria ternota,wfo-0000864460,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001395,Bracharia,Forage Plants,bracharia,wfo-4000005174,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001399,Brachiaria serrata,Forage Plants,brachiaria serrata,wfo-0000854245,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001401,Chloris,Forage Plants,chloris,wfo-4000007992,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001412,Pennisetum mezianum,Forage Plants,pennisetum mezianum,wfo-0000888986,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001420,Saccharomyces cerevisiae,Probiotic,saccharomyces cerevisiae,http://purl.obolibrary.org/obo/NCBITaxon_4932,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001421,Saccharomyces cerevisiae Slurry,Probiotic,saccharomyces cerevisiae slurry,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001439,Beetroot Discards,Crop Byproduct,beetroot discards,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001441,Pennisetum petiolar,Forage Plants,pennisetum petiolar,wfo-0000889056,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001443,Pennisetum,Forage Plants,pennisetum,wfo-4000028547,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001444,Pennisetum villosum,Forage Plants,pennisetum villosum,wfo-0000858643,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001448,Sporobolus natalensis,Forage Plants,sporobolus natalensis,wfo-0000901353,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001449,Sporobolus panicoides,Forage Plants,sporobolus panicoides,wfo-0000901376,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001456,Aristida,Forage Plants,aristida,wfo-4000003057,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001461,Cynodon,Forage Plants,cynodon,wfo-4000010411,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001464,Cynadon plectostachyus,Forage Plants,cynadon plectostachyus,wfo-0000861260,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001466,Diheteropogon amplectens,Forage Plants,diheteropogon amplectens,wfo-0000864548,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001467,Eleusine floccifolia,Forage Plants,eleusine floccifolia,wfo-0000865709,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001468,Eragrostis capensis,Forage Plants,eragrostis capensis,wfo-0000867505,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001469,Eragrostis papposa,Forage Plants,eragrostis papposa,wfo-0000868171,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001470,Eragrostis rigidior,Forage Plants,eragrostis rigidior,wfo-0000868361,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001471,Harpachne schimperi,Forage Plants,harpachne schimperi,wfo-0000873744,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001477,Loudetia simplex,Forage Plants,loudetia simplex,wfo-0000878679,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001478,Loudetia togoensis,Forage Plants,loudetia togoensis,wfo-0000878686,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001513,Microchloa caffra,Forage Plants,microchloa caffra,wfo-0000879878,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001514,Pogonarthria squarrosa,Forage Plants,pogonarthria squarrosa,wfo-0000894422,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001516,Schizachyrium exile,Forage Plants,schizachyrium exile,wfo-0000898090,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001517,Schizachyrium jeffreysii,Forage Plants,schizachyrium jeffreysii,wfo-0000898117,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001518,Schoenefeldia gracilis,Forage Plants,schoenefeldia gracilis,wfo-0000898380,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001520,Stipa parviflora,Forage Plants,stipa parviflora,wfo-0000902569,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001521,Stipa tenacissima,Forage Plants,stipa tenacissima,wfo-0000902920,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001522,Tripsacum,Forage Plants,tripsacum,wfo-4000039309,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001529,Trifolium,Forage Plants,trifolium,wfo-4000039133,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001530,Psophocarpus scandens,Forage Plants,psophocarpus scandens,wfo-0000183752,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001532,Spermacoce stachydea,Forage Plants,spermacoce stachydea,wfo-0000312764,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001533,Amaranthus cruentus,Forage Plants,amaranthus cruentus,wfo-0000530168,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001537,Commelina benghalensis,Forage Plants,commelina benghalensis,wfo-0000358148,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001539,Cyperaceae,Forage Plants,cyperaceae,wfo-7000000170,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001540,Cyperus elegantulus,Forage Plants,cyperus elegantulus,wfo-0000372553,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001541,Cyperus rotundus,Forage Plants,cyperus rotundus,wfo-0000381487,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001542,Euphorbia heterophylla,Forage Plants,euphorbia heterophylla,wfo-0000962516,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001543,Fabaceae,Forage Plants,fabaceae,wfo-7000000323,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001551,Tribulus terrestris,Forage Plants,tribulus terrestris,wfo-0000457857,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001556,Lemna,Forage Plants,lemna,wfo-4000043199,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001557,Lemna minor,Forage Plants,lemna minor,wfo-0000224440,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001558,Potamogeton lucens,Forage Plants,potamogeton lucens,wfo-0000769883,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001561,Ulva lactuca,Forage Plants,ulva lactuca,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001562,Ulva armoricana,Forage Plants,ulva armoricana,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001565,Vallisneria aethiopica,Forage Plants,vallisneria aethiopica,wfo-0000770228,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001569,Asteriscus maritimus,Forage Plants,asteriscus maritimus,wfo-0000131556,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001570,Atractylis cancellata,Forage Plants,atractylis cancellata,wfo-0000046461,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001573,Catha edulis,Forage Plants,catha edulis,wfo-0000590815,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001574,Catha edulis Residue,Forage Plants,catha edulis residue,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001575,Crotalaria ochroleuca,Forage Plants,crotalaria ochroleuca,wfo-0000209242,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001586,Soybean Oil,Crop Product,Soybean Oil,http://aims.fao.org/aos/agrovoc/c_16508,approve_structured_oil_material,approved,Pete Steward,2026-08-06,Exact AGROVOC material identity supports source plus oil-constituent decomposition; oil is not physical form.
AOM_001588,Ficus,Forage Plants,ficus,wfo-4000014727,approve_direct_source_scope,approved,Pete Steward,2026-08-06,Canonical feed-material hierarchy plus taxonomic authority support direct source identity; derived facets remain unspecified.
AOM_001603,Acacia tortilis Fruits,Forage Plants,acacia tortilis fruits,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001654,Dichrostachys cinerea Fruits,Forage Plants,dichrostachys cinerea fruits,,hold_derived_material_scope,held,Pete Steward,2026-08-06,Taxon or broad ontology mapping identifies source but does not establish derived material scope.
AOM_001675,Baby Corn Stalk,Crop Byproduct,baby maize stalk,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001760,Acacia etbaica,Forage Plants,acacia etbaica,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001761,Acacia etbaica Fruits,Forage Plants,acacia etbaica fruits,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001766,Acacia polyacantha,Forage Plants,acacia polyacantha,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
AOM_001771,Leucaena pallida,Forage Plants,leucaena pallida,,hold_public_authority_mismatch,held,Pete Steward,2026-08-06,"AGROVOC preferred label is broader, narrower, or conflicts with AOM identity; no automatic definition approved."
