concept_id,preferred_label,ingredient_family,source_identity,feedipedia_url,page_heading,decision,status,reviewer,review_date,rationale
AOM_000735,Forage Plants,Forage Plants,forage plants,https://www.feedipedia.org/content/feeds?category=15965,List of feeds,hold_category_page,held,Pete Steward,2026-08-06,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_001095,Cattle Manure,Animal Manures,cattle manure,https://www.feedipedia.org/node/11953,"Cattle manure, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001106,Meat and Bone,Animal Byproduct,meat and bone,https://www.feedipedia.org/node/12323,"Meat and bone meal, high-fat",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001121,Acacia senegal,Forage Plants,acacia senegal,https://www.feedipedia.org/node/12174,"Gum arabic tree (Acacia senegal), pods, dry",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001131,Azadirachta indica,Forage Plants,azadirachta indica,https://www.feedipedia.org/node/12312,"Neem (Azadirachta indica), leaves, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001133,Calliandra calothyrsus,Forage Plants,calliandra calothyrsus,https://www.feedipedia.org/node/22184,"Calliandra (Calliandra calothyrsus), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001138,Combretum apiculatum,Forage Plants,combretum apiculatum,https://www.feedipedia.org/node/12507,"Red bush willow (Combretum apiculatum), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001141,Dichrostachys cinerea,Forage Plants,dichrostachys cinerea,https://www.feedipedia.org/node/20078,"Sicklebush (Dichrostachys cinerea), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001145,Faidherbia albida,Forage Plants,faidherbia albida,https://www.feedipedia.org/node/11539,"Apple-ring acacia, leaves, dry",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001149,Gliricidia sepium,Forage Plants,gliricidia sepium,https://www.feedipedia.org/node/11617,"Gliricidia, leaves, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001151,Gmelina arborea,Forage Plants,gmelina arborea,https://www.feedipedia.org/node/616,Gmelina (Gmelina arborea),hold_source_warning,held,Pete Steward,2026-08-06,Source carries an under-construction or do-not-quote warning.
AOM_001152,Moringa oleifera,Forage Plants,moringa oleifera,https://www.feedipedia.org/node/12344,"Moringa (Moringa oleifera), leaves, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001166,Opuntia ficus indica,Forage Plants,opuntia ficus indica,https://www.feedipedia.org/node/11595,"Prickly pear, cladodes, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001169,Pithecellobium dulce,Forage Plants,pithecellobium dulce,https://www.feedipedia.org/node/12310,"Manila tamarind (Pithecellobium dulce), leaves, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001190,Noug,Crop Byproduct,noug,https://www.feedipedia.org/node/12373,"Niger (Guizotia abyssinica) oil meal, expeller extraction",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001192,Olive Cake,Crop Byproduct,olive,https://www.feedipedia.org/node/12886,"Olive oil cake, crude, without stones",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001199,Breadfruit,Crop Product,breadfruit,https://www.feedipedia.org/node/11886,"Breadfruit tree (Artocarpus altilis), fruit, whole, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001202,Barley,Crop Product,barley,https://www.feedipedia.org/node/11705,Barley grain,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001207,Canavalia gladiata,Forage Plants,canavalia gladiata,https://www.feedipedia.org/node/12685,"Sword bean (Canavalia gladiata), seeds",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001208,Centrosema pubescens,Forage Plants,centrosema pubescens,https://www.feedipedia.org/node/11544,"Centro, aerial part, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001212,Desmodium intortum,Forage Plants,desmodium intortum,https://www.feedipedia.org/node/19048,"Greenleaf desmodium (Desmodium intortum), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001216,Indigofera indica,Forage Plants,indigofera indica,https://www.feedipedia.org/node/12179,"Hairy indigo (Indigofera hirsuta), aerial part, fresh",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001221,Macroptilium atropurpureum,Forage Plants,macroptilium atropurpureum,https://www.feedipedia.org/node/15457,"Siratro (Macroptilium atropurpureum), aerial part, hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001227,Mucuna pruriens,Forage Plants,mucuna pruriens,https://www.feedipedia.org/node/12716,"Velvet bean (Mucuna pruriens), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001231,Pueraria phaseoloides,Forage Plants,pueraria phaseoloides,https://www.feedipedia.org/node/12709,"Tropical kudzu (Pueraria phaseoloides), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001233,Stylosanthes guianensis,Forage Plants,stylosanthes guianensis,https://www.feedipedia.org/node/12644,"Stylo (Stylosanthes guianensis), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001236,Stylosanthes hamata,Forage Plants,stylosanthes hamata,https://www.feedipedia.org/node/14271,"Caribbean stylo (Stylosanthes hamata), fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001240,Trifolium alexandrinum,Forage Plants,trifolium alexandrinum,https://www.feedipedia.org/node/11852,"Berseem (Trifolium alexandrinum), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001242,Vicia,Forage Plants,vicia,https://www.feedipedia.org/node/12013,"Common vetch (Vicia sativa), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001265,Ziziphus mauritiania,Crop Product,ziziphus mauritiania,https://www.feedipedia.org/node/12199,"Indian jujube (Ziziphus mauritiana), aerial part, fresh",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001278,Sheanut Cake,Crop Byproduct,sheanut,https://www.feedipedia.org/node/11599,"Sheanut cake, oil > 10%",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001280,Rice Hull,Crop Byproduct,rice hull,https://www.feedipedia.org/node/11643,Rice hulls,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001282,Enset,Crop Product,enset,https://www.feedipedia.org/node/22889,"Enset (Ensete ventricosum) corms, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001292,Maize Gluten,Crop Byproduct,maize gluten,https://www.feedipedia.org/node/12288,Maize gluten meal,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001294,Maize Germ,Crop Byproduct,maize germ,https://www.feedipedia.org/node/12286,"Maize germ meal, protein 20-30%, oil > 5%",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001303,Macadamia Cake,Crop Byproduct,macadamia,https://www.feedipedia.org/node/27587,Macadamia (Macadamia integrifolia) oil cake,hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001311,Date,Crop Byproduct,date,https://www.feedipedia.org/node/12049,"Date palm (Phoenix dactylifera), fruits",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001316,Sorghum,Crop Product,sorghum,https://www.feedipedia.org/node/11655,Sorghum grain (all types),approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001317,Soybean Full Fat,Crop Product,soybean full fat,https://www.feedipedia.org/node/12625,Soybeans (all),hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001319,Wheat,Crop Product,wheat,https://www.feedipedia.org/node/12754,Wheat grain,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001334,Pearl Millet,Crop Product,pearl millet,https://www.feedipedia.org/node/11688,"Pearl millet, grain",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001351,Blue Lupin,Crop Product,blue lupin,https://www.feedipedia.org/node/12271,Blue lupin (Lupinus angustifolius) seeds,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001365,Sorghum Sprout,Crop Product,sorghum sprout,https://www.feedipedia.org/node/15784,Malted sorghum sprouts,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001373,Cellulose,Other Ingredients,cellulose,https://www.feedipedia.org/node/12423,Paper,hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001380,Andropogon gayanus,Forage Plants,andropogon gayanus,https://www.feedipedia.org/node/12114,"Gamba grass (Andropogon gayanus), aerial part, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001383,Andropogon guianensis,Forage Plants,andropogon guianensis,https://www.feedipedia.org/node/12114,"Gamba grass (Andropogon gayanus), aerial part, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001385,Brachiaria brizantha,Forage Plants,brachiaria brizantha,https://www.feedipedia.org/node/11884,"Bread grass (Brachiaria brizantha), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001388,Digitaria abyssinica,Forage Plants,digitaria abyssinica,https://www.feedipedia.org/node/11725,"African couch grass (Digitaria abyssinica), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001389,Digitaria decumbens,Forage Plants,digitaria decumbens,https://www.feedipedia.org/node/12597,"Signal grass (Brachiaria decumbens), aerial part, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001393,Eragrostis curvula,Forage Plants,eragrostis curvula,https://www.feedipedia.org/node/12746,"Weeping love grass (Eragrostis curvula), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001397,Bracharia decumbens,Forage Plants,bracharia decumbens,https://www.feedipedia.org/node/12597,"Signal grass (Brachiaria decumbens), aerial part, fresh",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001398,Brachiaria ruziziensis,Forage Plants,brachiaria ruziziensis,https://www.feedipedia.org/node/12015,"Congo grass (Brachiaria ruziziensis), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001405,Hyparrhenia rufa,Forage Plants,hyparrhenia rufa,https://www.feedipedia.org/node/12210,"Jaragua (Hyparrhenia rufa), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001407,Panicum maximum,Forage Plants,panicum maximum,https://www.feedipedia.org/node/11522,"Guinea grass, hay",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_001409,Pennisetum clandestinum,Forage Plants,pennisetum clandestinum,https://www.feedipedia.org/node/12233,"Kikuyu (Pennisetum clandestinum), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001413,Pennisetum pedicellatum,Forage Plants,pennisetum pedicellatum,https://www.feedipedia.org/node/12377,"Nigeria grass (Pennisetum pedicellatum), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001434,Hominy,Crop Byproduct,hominy,https://www.feedipedia.org/node/12290,Hominy feed,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001435,Mango,Crop Product,mango,https://www.feedipedia.org/node/12304,"Mango (Mangifera indica) fruits, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001445,Phalaris aquatica,Forage Plants,phalaris aquatica,https://www.feedipedia.org/node/11901,"Bulbous canary grass (Phalaris aquatica), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001446,Sorghum sudanense,Forage Plants,sorghum sudanense,https://www.feedipedia.org/node/11534,"Sudan grass, fresh",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001450,Themeda triandra,Forage Plants,themeda triandra,https://www.feedipedia.org/node/12881,"Red oat grass (Themeda triandra), hay",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001452,Triticale,Forage Plants,triticale,https://www.feedipedia.org/node/12800,Triticale grain,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001453,Urochloa mosambicensis,Forage Plants,urochloa mosambicensis,https://www.feedipedia.org/node/12544,"Sabi grass (Urochloa mosambicensis), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001455,Triticum,Forage Plants,triticum,https://www.feedipedia.org/node/12761,"Wheat forage, fresh",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_001457,Aristida adscensionis,Forage Plants,aristida adscensionis,https://www.feedipedia.org/node/12011,"Common needle grass (Aristida adscensionis), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_001458,Bothriochloa,Forage Plants,bothriochloa,https://www.feedipedia.org/node/11880,"Bothriochloa (Bothriochloa radicans), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
