sheet_order,sheet,inventory_resource_type,publication_disposition,disposition_status,nonblank_rows,columns,target_product,owner_repository,recommended_treatment,current_coverage_state,normalized_source_rows,migration_wave,next_action
17,vars,concept_scheme,public,proposed,3693,16,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,5-biological-identity-and-traits,"Decompose crop taxon, cultivar or accession, maturity, traits, and practice context before normalization."
18,vars_animals,concept_scheme,public,proposed,445,17,aom-livestock;mappings,era-aom,mixed-concept-source,reconciled-not-normalized,0,6-livestock-non-feed-completion,"Complete animal identity, breed or variety, trait, and practice review; current feed work does not close this sheet."
19,var_traits,crosswalk,public,proposed,104,2,mappings,era-aom,crosswalk,inventory-only,0,5-biological-identity-and-traits,Preserve trait normalization as reviewed mappings; do not mint identities from lexical matches alone.
20,AOM READ.ME,documentation,exclude,proposed,52,9,maintained-documentation,era-aom,documentation-evidence,excluded-documentation,0,0-boundary-governance,"Migrate useful lineage and method notes into maintained documentation, then retain workbook sheet only as provenance."
21,AOM,concept_scheme,public,proposed,2503,38,aom-livestock,era-aom,concept-scheme,release-normalized-partially-reviewed,2503,6-livestock-non-feed-completion,Retain public lineage and complete domain-balanced review beyond feed before formal publication.
22,ani_diet,concept_scheme,public,proposed,1806,21,aom-livestock;mappings,era-aom,operational-crosswalk-evidence,reconciled-not-normalized,0,6-livestock-non-feed-completion,"Treat as assignment and decomposition evidence, not an independent public concept scheme."
23,ani_process,concept_scheme,public,proposed,175,13,aom-livestock;mappings,era-aom,operational-crosswalk-evidence,reconciled-not-normalized,0,6-livestock-non-feed-completion,Treat corrections and process decompositions as governed mappings and evidence.
24,ssa_feedsdb,closed,exclude,confirmed,771,32,excluded-restricted,none,closed-evidence,excluded-confirmed,0,hold,Never publish source values; retain only rights-safe reviewed assertions with provenance.
25,AOM_diets,concept_scheme,public,proposed,849,25,aom-livestock;mappings,era-aom,working-subset-crosswalk,reconciled-not-normalized,0,6-livestock-non-feed-completion,"Treat as working subset and crosswalk into AOM identities, not a sibling public scheme."
26,unit_harmonization,crosswalk,public,proposed,1105,2,era-data-code-lists;mappings;aom-core-bindings,era-data;era-aom,crosswalk,inventory-only,0,1-data-model-and-core,Preserve raw-to-canonical unit mappings and link canonical units to reviewed external unit identifiers.
27,dois,operational,exclude,proposed,1854,1,operational-source-management,era-data-pipeline,operational-evidence,excluded-operational,0,hold,Keep source management private; publish governed citation and provenance records only.
28,aez,code_list,public,proposed,16,14,era-data-code-lists;aom-core-bindings,era-data;era-aom,reference-code-list,inventory-only,0,7-reference-context-and-crosswalks,Publish versioned agroecological-zone code lists and bind observations without treating zones as crop concepts.
29,dups,scratch,exclude,proposed,95,7,excluded-scratch,none,scratch-evidence,excluded-scratch,0,hold,Retain only as migration evidence until duplicate dispositions are recorded in governed ledgers.
30,OLD_diet_process,legacy,exclude,proposed,26,6,excluded-legacy,none,legacy-evidence,excluded-legacy,0,hold,Retain immutable migration provenance; do not publish as active concepts.
31,OLD_diet_item,legacy,exclude,proposed,266,28,excluded-legacy,none,legacy-evidence,excluded-legacy,0,hold,Retain immutable migration provenance; do not publish as active concepts.
32,OLD_era_fields_v1,legacy,exclude,proposed,1023,11,excluded-legacy,none,legacy-evidence,excluded-legacy,0,hold,Retain immutable migration provenance; do not publish as current schema.
33,scio - Custom Terms,scratch,exclude,proposed,314,6,mappings-review,era-aom,scratch-mapping-evidence,excluded-pending-provenance-review,0,hold,Review provenance and identity before moving any term or mapping into governed sources.
