issue_id,source_sheet,source_row,source_id,source_label,issue_type,field,current_value,severity,recommended_action,status,rationale,guided_action_class,guided_action,guided_status,source_edit_required,approval_status
SQ-0011,prac,40,prac:d22.3,Concentrated Feed,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0012,prac,41,prac:d9,Improved Breeds,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0013,prac,42,prac:d10,Hybridization or Cross Breeding,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0014,prac,43,prac:d13,Manure Collection,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0015,prac,44,prac:d14,Manure Storage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0016,prac,45,prac:d15,Manure Treatment,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0017,prac,46,prac:d16,Rotational Grazing,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0018,prac,49,prac:d19,Controlled Grazing,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0019,prac,50,prac:d20,Cut & Carry,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0020,prac,51,prac:d1,Aquasilviculture,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0021,prac,58,prac:b34,Drip Irrigation,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0022,prac,59,prac:b37,Deficit Irrigation,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0023,prac,60,prac:b72,Sprinkler Irrigation,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0024,prac,61,prac:b36,Alternate Partial Rootzone Irrigation,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0025,prac,62,prac:b54,Supplemental Irrigation,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0026,prac,63,prac:b53,Irrigation (Other),literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0027,prac,64,prac:b13,Alternate Wetting & Drying (AWD),literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0028,prac,64,prac:b13,Alternate Wetting & Drying (AWD),literal-na-sentinel,Linked.Tab,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0029,prac,64,prac:b13,Alternate Wetting & Drying (AWD),literal-na-sentinel,Linked.Col,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0030,prac,65,prac:b14.1,Midseason Drainage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0031,prac,65,prac:b14.1,Midseason Drainage,literal-na-sentinel,Linked.Tab,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0032,prac,65,prac:b14.1,Midseason Drainage,literal-na-sentinel,Linked.Col,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0033,prac,66,prac:b14.2,Reduced Water Use in Rice,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0034,prac,66,prac:b14.2,Reduced Water Use in Rice,literal-na-sentinel,Linked.Tab,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0035,prac,66,prac:b14.2,Reduced Water Use in Rice,literal-na-sentinel,Linked.Col,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0036,prac,67,prac:b15,System of Rice Intensification (SRI),deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0037,prac,67,prac:b15,System of Rice Intensification (SRI),literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0038,prac,67,prac:b15,System of Rice Intensification (SRI),literal-na-sentinel,Linked.Tab,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0039,prac,67,prac:b15,System of Rice Intensification (SRI),literal-na-sentinel,Linked.Col,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0040,prac,71,prac:b44,Complex Rotation,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0041,prac,72,prac:b31,Intercrop Rotation,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0042,prac,89,prac:b50.3,Complex Intercrop,unknown-lifecycle-status,Depreciated,,high,resolve-active-or-deprecated,open,Blank lifecycle value is neither active nor deprecated.,source-owner-decision,Resolve lifecycle value before promotion.,held,yes,pending
SQ-0043,prac,91,prac:b55.1,Partial Intercrop (N fixing & Non N fixing),deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0044,prac,92,prac:b55.2,Partial Intercrop (Non N fixing),deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0045,prac,93,prac:b55.3,Partial Intercrop (N fixing),deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0046,prac,94,prac:b57,Complex Intercrop Rotation,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0047,prac,96,prac:c1,Biogas,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0048,prac,97,prac:c4,Biofertilizer,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0049,prac,97,prac:c4,Biofertilizer,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0050,prac,98,prac:c3,Biogas Switching,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0051,prac,99,prac:c2,Improved Cookstoves,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0052,prac,100,prac:c5,Cookstove Switching,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0053,prac,103,prac:h16,Predominant Biodigestor Model,missing-definition,Definition,,high,correct-source-before-promotion,open,Public concept identity lacks a definition.,lifecycle-hold,Retain deprecated source provenance; do not activate or mint an identity from missing definition.,held,no,pending
SQ-0054,prac,103,prac:h16,Predominant Biodigestor Model,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain deprecated source provenance; do not activate or mint an identity from missing definition.,held,no,pending
SQ-0055,prac,105,prac:b4,Drought Tolerance,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0056,prac,106,prac:b5,Heat Tolerance,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0057,prac,107,prac:b6,Salinity Tolerance,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0058,prac,108,prac:b69,Improved Seeds,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0059,prac,110,prac:b35,Cisterns and Tanks,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0060,prac,111,prac:b33,Zai Pits,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0061,prac,112,prac:b45,Stone Rows,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0062,prac,113,prac:b46,Grass Strips,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0063,prac,114,prac:b47,Planting Basins,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0064,prac,115,prac:b68,Dam,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0065,prac,116,prac:b70,Terraces,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0066,prac,117,prac:b71.1,Bunds,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0067,prac,118,prac:b71.2,Ridge & Furrow,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0068,prac,119,prac:b71.3,Tied Ridges,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0069,prac,120,prac:b52,Microcatchments,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0070,prac,121,prac:b56,Fanya Juu or Fanya Chini,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0071,prac,122,prac:b58,Trench,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0072,prac,123,prac:h1,Non CSA,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0073,prac,125,prac:h38,Continuous Cropping,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0074,prac,126,prac:h18,Simple Intercrop,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0075,prac,127,prac:h50,Simple Crop Rotation,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0076,prac,128,prac:h48,Conventional rice management,deprecated-source-record,Depreciated,TRUE,information,record-replacement-or-retirement,open,Deprecated record requires explicit lifecycle treatment.,lifecycle-hold,Retain provenance but exclude from active identity promotion.,held,no,pending
SQ-0077,prac,131,prac:b16,Inorganic K Inputs,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0078,prac,132,prac:b17,Inorganic N Inputs,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0079,prac,132,prac:b17,Inorganic N Inputs,duplicate-subpractice-code,Subpractice.Code,IF+N,high,resolve-code-scope-and-uniqueness,open,One compact code is assigned to multiple source labels.,source-correction,Resolve duplicate lexical code before identifier or mapping allocation.,held,yes,pending
SQ-0080,prac,133,prac:b21,Inorganic P Inputs,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0081,prac,134,prac:b16.1,Inorganic K Reduction,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0082,prac,135,prac:b17.1,Inorganic N Reduction,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0083,prac,135,prac:b17.1,Inorganic N Reduction,duplicate-subpractice-code,Subpractice.Code,IF-N,high,resolve-code-scope-and-uniqueness,open,One compact code is assigned to multiple source labels.,source-correction,Resolve duplicate lexical code before identifier or mapping allocation.,held,yes,pending
SQ-0084,prac,136,prac:b21.1,Inorganic P Reduction,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0085,prac,137,prac:b64,Inorganic Micronutrients Inputs,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0086,prac,138,prac:b23,Urea,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0087,prac,139,prac:b29,Compost,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0088,prac,140,prac:b30,Manure,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0089,prac,141,prac:b75,Kraaling or Parcage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0090,prac,142,prac:b73,Organic (Other),literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0091,prac,143,prac:b74,Ash,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0092,prac,144,prac:b67,Biosolids,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0093,prac,145,prac:b29.1,Compost Substitution,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0094,prac,146,prac:b30.1,Manure Substitution,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0095,prac,147,prac:b75.1,Kraaling or Parcage Substitution,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0096,prac,148,prac:b73.1,Organic (Other) Substitution,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0097,prac,149,prac:b67.1,Biosolids Substitution,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0098,prac,153,prac:f1,Harvest Technique,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0099,prac,154,prac:f2,Harvesting Timing,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0100,prac,155,prac:f3,Improved Drying,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0101,prac,156,prac:f4,Improved Chemical Storage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0102,prac,157,prac:f5,Improved Physical Storage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0103,prac,162,prac:b38,No or Zero Tillage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
SQ-0104,prac,163,prac:b39,Reduced or Minimum Tillage,literal-na-sentinel,Subpractice.Suffix,NA,medium,normalize-to-null-with-raw-provenance,open,"Literal NA is missing-value syntax, not semantic content.",generator-fix,Normalize semantic value to null while retaining raw cell provenance.,proposed,no,pending
