concept_id,scheme_id,concept_type,preferred_label,source_notation,parent_id,direct_child_count,same_label_child_ids,reviewed_role,guided_disposition,proposed_scoped_collection_label,target_leaf_id,recommendation_status,evidence_ids,rationale
era:practice:practice:007,era:scheme:practice,practice,Agroforestry Pruning,AP,era:practice:theme:001,10,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:008,era:scheme:practice,practice,Agroforestry Fallow,AF,era:practice:theme:001,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:009,era:scheme:practice,practice,Other Agroforestry,OA,era:practice:theme:001,1,era:practice:a99,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:a99,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:010,era:scheme:practice,practice,Feed Addition,FA,era:practice:theme:002,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:011,era:scheme:practice,practice,Feed Substitution,FS,era:practice:theme:002,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:012,era:scheme:practice,practice,Feed Processing,FP,era:practice:theme:002,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:013,era:scheme:practice,practice,Genetic Improvement,GI,era:practice:theme:002,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:014,era:scheme:practice,practice,Manure Management,MM,era:practice:theme:002,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:015,era:scheme:practice,practice,Pasture Management,PM,era:practice:theme:002,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:016,era:scheme:practice,practice,Aquasilviculture,AqS,era:practice:theme:002,1,era:practice:d1,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:d1,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:017,era:scheme:practice,practice,Feed Addition; Feed Substitution,,era:practice:theme:002,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:018,era:scheme:practice,practice,Manure Management,,era:practice:theme:002,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:019,era:scheme:practice,practice,Pasture Management,,era:practice:theme:002,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:020,era:scheme:practice,practice,Genetic Improvement,,era:practice:theme:002,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:021,era:scheme:practice,practice,Irrigation,Ir,era:practice:theme:003,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:022,era:scheme:practice,practice,Deficit Irrigation,DIr,era:practice:theme:003,1,era:practice:b37,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:b37,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:023,era:scheme:practice,practice,Supplemental Irrigation,SIr,era:practice:theme:003,1,era:practice:b54,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:b54,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:024,era:scheme:practice,practice,Improved Rice Management,IRM,era:practice:theme:003,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:025,era:scheme:practice,practice,Crop Rotation,CRo,era:practice:theme:004,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:026,era:scheme:practice,practice,Crop Rotation,,era:practice:theme:004,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:027,era:scheme:practice,practice,Double Cropping,,era:practice:theme:004,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:028,era:scheme:practice,practice,Intercropping,,era:practice:theme:004,11,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:029,era:scheme:practice,practice,Green Manure,,era:practice:theme:004,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:030,era:scheme:practice,practice,Intercropping,In,era:practice:theme:004,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:031,era:scheme:practice,practice,Intercropping or Rotation,In/CRo,era:practice:theme:004,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:032,era:scheme:practice,practice,Biogas,BG,era:practice:theme:005,2,era:practice:c1,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:c1,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:033,era:scheme:practice,practice,Biogas,,era:practice:theme:005,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:034,era:scheme:practice,practice,Cookstove,CS,era:practice:theme:005,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:035,era:scheme:practice,practice,Cookstove,,era:practice:theme:005,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:036,era:scheme:practice,practice,Biogas/cookstove,,era:practice:theme:005,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:037,era:scheme:practice,practice,Improved Varieties,IV,era:practice:theme:006,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:038,era:scheme:practice,practice,Unimproved Variety,,era:practice:theme:006,1,era:practice:h55,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:h55,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:039,era:scheme:practice,practice,Water Harvesting,WH,era:practice:theme:007,13,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:040,era:scheme:practice,practice,Non-CSA,,era:practice:theme:008,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:041,era:scheme:practice,practice,Agronomy;Agroforestry,,era:practice:theme:008,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:042,era:scheme:practice,practice,Agronomy,,era:practice:theme:008,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:043,era:scheme:practice,practice,Inorganic Fertilizer,IF,era:practice:theme:009,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:044,era:scheme:practice,practice,Inorganic Fertilizer Reduction,IF-R,era:practice:theme:009,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:045,era:scheme:practice,practice,Organic Fertilizer,OF,era:practice:theme:009,6,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:046,era:scheme:practice,practice,Organic Fertilizer Substitution,OF-S,era:practice:theme:009,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:047,era:scheme:practice,practice,Fertilizer Control,,era:practice:theme:009,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:048,era:scheme:practice,practice,Harvest Method,HM,era:practice:theme:010,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:049,era:scheme:practice,practice,Storage,St,era:practice:theme:010,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:050,era:scheme:practice,practice,Harvest Method,,era:practice:theme:010,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:051,era:scheme:practice,practice,Storage,,era:practice:theme:010,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:052,era:scheme:practice,practice,Reduced Tillage,RT,era:practice:theme:011,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:053,era:scheme:practice,practice,Mulch,Mu,era:practice:theme:011,6,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:054,era:scheme:practice,practice,Green Manure,GM,era:practice:theme:011,5,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:055,era:scheme:practice,practice,Biochar,Bi,era:practice:theme:011,1,era:practice:b28,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:b28,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:056,era:scheme:practice,practice,pH Control,pH,era:practice:theme:011,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:057,era:scheme:practice,practice,Crop Residue,CR,era:practice:theme:011,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:058,era:scheme:practice,practice,Crop Residue Incorporation,CRI,era:practice:theme:011,3,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:059,era:scheme:practice,practice,Improved Fallow,IFa,era:practice:theme:011,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:060,era:scheme:practice,practice,Improved Fallow,,era:practice:theme:011,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:061,era:scheme:practice,practice,Conventional Tillage,,era:practice:theme:011,1,era:practice:h6,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:h6,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:062,era:scheme:practice,practice,Crop Residue,,era:practice:theme:011,4,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:063,era:scheme:practice,practice,No-Till (Off-season),,era:practice:theme:011,1,era:practice:h6.1,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:h6.1,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:064,era:scheme:practice,practice,Reduced Tillage (Off-season),,era:practice:theme:011,1,era:practice:h6.2,duplicate-group-and-leaf,collapse-generated-parent-into-reviewed-leaf,,era:practice:h6.2,proposed,E-PILOT;E-SKOS,Generated parent and source leaf share identity signal; preserve one reviewed concept and reattach approved children.
era:practice:practice:065,era:scheme:practice,practice,Irrigation,,era:practice:theme:012,2,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:practice:066,era:scheme:practice,practice,Planting,,era:practice:theme:012,1,,candidate-practice-group,hold-for-extensional-concept-versus-collection-review,,,held,E-PILOT;E-SKOS,Worksheet grouping alone cannot decide whether members are narrower kinds of one practice.
era:practice:theme:001,era:scheme:practice,theme,Agroforestry,Agroforestry,,9,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:002,era:scheme:practice,theme,Animals,Animals,,11,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:003,era:scheme:practice,theme,Blue Water Management,Blue Water Management,,4,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:004,era:scheme:practice,theme,Crop Management,Crop Management,,7,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:005,era:scheme:practice,theme,Energy,Energy,,5,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:006,era:scheme:practice,theme,Genetic improvement,Genetic improvement,,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:007,era:scheme:practice,theme,Green Water Management,Green Water Management,,1,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:008,era:scheme:practice,theme,Non-CSA,Non-CSA,,3,era:practice:practice:040,editorial-navigation,collection-with-scoped-label,Non-CSA practice group,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:009,era:scheme:practice,theme,Nutrient Management,Nutrient Management,,5,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:010,era:scheme:practice,theme,Postharvest,Postharvest,,4,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:011,era:scheme:practice,theme,Soil Management,Soil Management,,13,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
era:practice:theme:012,era:scheme:practice,theme,Water Management,Water Management,,2,,editorial-navigation,collection,,,proposed,E-PILOT;E-SKOS,Reporting navigation does not establish inherent semantic broader meaning.
