concept_id,preferred_label,review_status,implementation_status,review_axis,recommended_disposition,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_001577,Carbohydrate,approved,implemented,dual-use-constituent,retain-and-map,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL;CHEBI-CARBOHYDRATE,One reusable chemical identity can support constituent relations without becoming a concentration characteristic or feed product.
AOM_101067,Essential-oil constituent,approved,implemented,dual-use-constituent,retain-rename-and-map,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL;CHEBI-ESSENTIAL-OIL,Essential oil is a chemical mixture identity; constituent role comes from relation and product use remains independent.
AOM_101066,Fat constituent,approved,implemented,dual-use-constituent,retain-qualified-label-broad-map,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL;CHEBI-LIPID,Fat and oil are context-sensitive mixtures; bare Oil also collides with existing AOM_001333 feed-material identity.
AOM_101064,Gluten constituent,held,held-no-semantic-change,dual-use-constituent,hold-identity-boundary,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL,Gluten can denote heterogeneous protein fraction or commercial material; current definition does not resolve identity.
AOM_101081,Oil constituent,approved,implemented,dual-use-constituent,retain-qualified-label-broad-map,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL;CHEBI-LIPID,Fat and oil are context-sensitive mixtures; bare Oil also collides with existing AOM_001333 feed-material identity.
AOM_001571,Protein,approved,implemented,dual-use-constituent,retain-and-map,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL;CHEBI-PROTEIN,Existing identity replaces deprecated Protein constituent while relation supplies constituent role.
AOM_101120,Protein constituent,approved,verified-existing-deprecation,dual-use-constituent,retain-deprecation,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;ADR-0048;CHEBI-PROTEIN,ADR 0048 implementation already removed duplicate active identity.
AOM_101065,Starch constituent,approved,implemented,dual-use-constituent,retain-label-and-map,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-CHEMICAL;CHEBI-STARCH,Qualified label distinguishes chemical constituent identity from AOM_001832 Starch feed material while preserving one semantic target.
AOM_101133,Feed moisture conditions,approved,implemented,moisture-condition,retain-and-reparent,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL;FEEDIPEDIA-GLOSSARY,"Moisture condition is independent of solid shape, particle presentation, and bulk flow."
AOM_101054,Dried moisture condition,approved,confirmed-no-change,moisture-condition,retain-moisture-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FEEDIPEDIA-GLOSSARY,Drying changes moisture condition while solids may exist without drying and dried materials may have many presentations.
AOM_001510,Fresh moisture condition,approved,confirmed-no-change,moisture-condition,retain-moisture-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FEEDIPEDIA-GLOSSARY,Drying changes moisture condition while solids may exist without drying and dried materials may have many presentations.
AOM_000326,Feed Physical Characteristic,approved,implemented,physical-characteristic,retain-and-rename,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL;FOODON-STRUCTURE,Current singular label and legacy child blur measured qualities with descriptive states.
AOM_000322,floatability,approved,confirmed-no-change,physical-characteristic,retain-measured-characteristic,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL;FOODON-STRUCTURE,Concept denotes measurable or observable physical quality rather than presentation category.
AOM_000323,particle size,approved,confirmed-no-change,physical-characteristic,retain-measured-characteristic,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL;FOODON-STRUCTURE,Concept denotes measurable or observable physical quality rather than presentation category.
AOM_000324,physical form,approved,deprecated-with-replacement,physical-characteristic,deprecate-and-replace,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-FACETS;FOODON-PHYSICAL,"Definition conflates dry, wet, pellet, and paste across independent moisture, presentation, and consistency axes."
AOM_000325,water retention capacity,approved,confirmed-no-change,physical-characteristic,retain-measured-characteristic,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL;FOODON-STRUCTURE,Concept denotes measurable or observable physical quality rather than presentation category.
AOM_101020,Feed presentation forms,approved,implemented,presentation-form,retain-and-reparent,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-FACETS;FOODON-PHYSICAL,"Presentation answers visible shape or particle presentation, not moisture, bulk flow, or processing method."
AOM_101049,Block form,approved,confirmed-no-change,presentation-form,retain-presentation-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Current value can remain useful when relation scope is explicit and independent.
AOM_101052,Cake form,approved,confirmed-no-change,presentation-form,retain-presentation-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Current value can remain useful when relation scope is explicit and independent.
AOM_101125,Comminuted particle form,approved,confirmed-no-change,presentation-form,retain-grouping,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-STRUCTURE,"Resulting presentation, process applied, and measured particle size answer different questions."
AOM_101053,Flake form,approved,confirmed-no-change,presentation-form,retain-presentation-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Current value can remain useful when relation scope is explicit and independent.
AOM_101076,Intact presentation,approved,confirmed-no-change,presentation-form,retain-presentation-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Current value can remain useful when relation scope is explicit and independent.
AOM_101050,Lick form,held,held-no-semantic-change,presentation-form,remove-from-presentation-hold-replacement,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;FAO-BLOCKS;FEEDIPEDIA-MINERAL-BLOCK,"Animals may lick a coherent block, but licking describes consumption or delivery while block describes physical presentation."
AOM_101075,Mixed presentation,approved,confirmed-no-change,presentation-form,retain-presentation-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Current value can remain useful when relation scope is explicit and independent.
AOM_101108,Pellet form,approved,confirmed-no-change,presentation-form,retain-presentation-value,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Current value can remain useful when relation scope is explicit and independent.
AOM_101126,Meal form,approved,confirmed-no-change,presentation-form,retain-under-comminuted-form,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FEEDIPEDIA-GLOSSARY,Meal and powder are useful presentation labels but do not establish one universal particle threshold or moisture condition.
AOM_101051,Powder form,approved,confirmed-no-change,presentation-form,retain-under-comminuted-form,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FEEDIPEDIA-GLOSSARY,Meal and powder are useful presentation labels but do not establish one universal particle threshold or moisture condition.
AOM_001938,Chicken Offal Dried Ground,approved,implemented,specific-material,retain-and-add-product-role,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FEEDIPEDIA-POULTRY-OFFAL;FEEDIPEDIA-POULTRY-BYPRODUCT,"Mapped Feedipedia material is poultry offal meal within animal by-products; economic role is independent of source, process, form, and moisture."
AOM_000764,Mineral Block,approved,implemented,specific-material,retain-distinct-formulation,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FAO-BLOCKS;FEEDIPEDIA-MINERAL-BLOCK,Block is coherent physical presentation; formulation remains distinct from consumption mode.
AOM_000766,Mineral Lick,approved,implemented,specific-material,retain-distinct-formulation,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FAO-BLOCKS;FEEDIPEDIA-MINERAL-BLOCK,Mineral lick may be block or another presentation; current lack of form assertion is safer than treating lick as shape.
