concept_id,preferred_label,remediation_track,prior_blocker,decision,status,governed_source_identity,component_scope,process_scope,reviewer,review_date,evidence,blocker_code,rationale
AOM_001105,Lake Shells,local_term,local_identity_evidence,approve_bounded_workbook_material_scope,approved,Lake Shells,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook preserves named local operational identity; biological source, component, process, composition, and synonymy remain explicitly unspecified."
AOM_001145,Faidherbia albida,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,synonym_replacement_review,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001149,Gliricidia sepium,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,synonym_replacement_review,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001151,Gmelina arborea,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Gmelina arborea,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001208,Centrosema pubescens,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,synonym_replacement_review,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001309,Canola,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,Canola,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001333,Oil,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,Oil,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001383,Andropogon guianensis,identity_repair,contradictory_species_mapping,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,contradictory_species_mapping,Shared page identifies different species; prior assertion-level review excludes contradictory Feedipedia mapping.
AOM_001465,Cynodon nlemfuensis,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Cynodon nlemfuensis,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001475,Lolium,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Lolium,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001497,Megalac,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Megalac,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_001500,ACTIPAL HP 1,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,ACTIPAL HP 1,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_001501,AquaNutro Abalone Grower,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,AquaNutro Abalone Grower,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_001508,Lactobacillus plantarum,semantic_model,hierarchy_correction_required,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,hierarchy_correction_required,"Lactobacillus plantarum is a microbial taxon, not a prebiotic; approve taxon identity and probiotic role before definition."
AOM_001526,Lotus corniculatus,authority_repair,retrieval_failure,approve_bounded_workbook_material_scope,approved,Lotus corniculatus,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001527,Centrosema molle,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,synonym_replacement_review,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001536,Chromolaena odorata,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Chromolaena odorata,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001579,Elancoban,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Elancoban,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_001760,Acacia etbaica,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,Acacia etbaica,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001766,Acacia polyacantha,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,Acacia polyacantha,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001771,Leucaena pallida,authority_repair,public_authority_mismatch,approve_bounded_workbook_material_scope,approved,Leucaena pallida,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001797,Gliciridia sepium,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,synonym_replacement_review,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001821,Terminalia brownii,authority_repair,retrieval_failure,approve_bounded_workbook_material_scope,approved,Terminalia brownii,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_001831,Vitalite,local_term,local_identity_evidence,approve_bounded_workbook_material_scope,approved,Vitalite,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook preserves named local operational identity; biological source, component, process, composition, and synonymy remain explicitly unspecified."
AOM_001868,Toxynil,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Toxynil,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_001870,Prime Gluten 60,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Prime Gluten 60,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_001921,Vitalyte,local_term,local_identity_evidence,approve_bounded_workbook_material_scope,approved,Vitalyte,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook preserves named local operational identity; biological source, component, process, composition, and synonymy remain explicitly unspecified."
AOM_002206,Acacia Albida,identity_consolidation,synonym_replacement_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,synonym_replacement_review,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_003064,Aspilia africana,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Aspilia africana,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_003172,Food Waste,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Food Waste,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_003359,Onion Veins,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_003747,Axtra XAP,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Axtra XAP,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_003749,Natuzyme,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Natuzyme,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_003858,Groundnut Veins,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_003899,Spondias mombin,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Spondias mombin,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_003910,Legume Mixtures Weeds,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,Available authority does not establish complete public material identity; retain explicit hold.
AOM_003929,Lima Bean Vein,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,"Larva, vein/vine, or shaft descriptor cannot be approximated to existing organism or anatomical facets."
AOM_003930,Soybean Cheese Waste,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,Available authority does not establish complete public material identity; retain explicit hold.
AOM_003977,Tridax procumbens,authority_repair,source_warning,approve_bounded_workbook_material_scope,approved,Tridax procumbens,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes bounded operational identity independently of warned, unreachable, broad, or mismatched external mapping; mapping is not definition evidence."
AOM_004002,Maize Yellow,identity_repair,contradictory_mapping_removed,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,contradictory_mapping_removed,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.
AOM_006006,Tata,local_term,local_identity_evidence,approve_bounded_workbook_material_scope,approved,Tata,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook preserves named local operational identity; biological source, component, process, composition, and synonymy remain explicitly unspecified."
AOM_006160,Brewers By-Product,identity_consolidation,category_or_duplicate_review,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,category_or_duplicate_review,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.
AOM_006331,Agrivate,commercial_product,external_product_evidence,approve_bounded_workbook_material_scope,approved,Agrivate,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,,"Canonical workbook establishes named operational product identity; manufacturer, formulation, composition, and efficacy remain explicitly unspecified."
AOM_006410,Occicum gatissimum,semantic_model,unmodelled_derived_material_descriptor,hold_integrity_evidence_required,held,,unspecified,unspecified,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,unmodelled_derived_material_descriptor,Available authority does not establish complete public material identity; retain explicit hold.
