rule_id,dimension,source_pattern,normalized_value,matched_concept_count,ingredient_family_count,sample_concepts,risk,recommendation,required_guard,rationale,approval_status,reviewer,review_date
PROCESS-EXTRUDED,process,extruded,Extrusion,3,2,AOM_002122: Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground | AOM_000570: Maize Extruded,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-FERMENTED,process,fermented,Fermentation,31,4,AOM_001611: Atella Fermented | AOM_002034: Cassava Tuber Dried Grated Fermented Peeled | AOM_006019: Adansonia digitata Seed Dried Fermented Ground | AOM_006240: Untreated Organic Waste Dried Fermented Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-GROUND,process,ground,Grinding,342,9,AOM_001605: African Palm Larvae Dried Ground | AOM_000539: Bone Ground | AOM_001940: Chicken Manure Dried Ground | AOM_006320: African Yam Bean Dried Ground | AOM_001613: Barley Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-HEATED,process,heated,Heating,10,4,AOM_000537: Blood Dried Ground Heated | AOM_002122: Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground | AOM_002031: Maize Dried Ground Heated | AOM_001994: Carboxymethyl Cellulose Dried Ground Heated,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-HYDROLYSED,process,hydrolysed,Hydrolysis,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
PROCESS-MOLASSES_TREATED,process,molasses treated,Molasses treatment,3,1,AOM_006397: Maize Straw Molasses Treated Urea Treated,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-DEHULLED,process,dehulled,Dehulling,11,3,AOM_006073: Cotton Seed Cake Decorticated | AOM_002129: Soybean Dehulled Ground | AOM_006196: Adansonia digitata Seed Cake Decorticated Ground,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-PELLETED,process,pelleted,Pelleting,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
PROCESS-PRESSED,process,pressed,Pressing,3,1,AOM_006057: Cassava Peel Grated Pressed,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-ROASTED,process,roasted,Roasting,13,4,AOM_001100: Fish Ground Roasted | AOM_001279: Sesame Seed Cake Ground Roasted | AOM_001906: Blue Lupin Grain Roasted | AOM_006083: Delonix regia Seed Dried Ground Roasted,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-SOAKED,process,soaked,Soaking,5,3,AOM_002128: Sesame Seed Dried Ground Soaked | AOM_002125: White Lupin Grain Dehulled Dried Soaked | AOM_002051: Faidherbia albida Pods Dried Ground Soaked,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-SPROUTED,process,sprouted,Sprouting,2,2,AOM_006285: Date Leaves Ensiled Sprouted Wilted | AOM_006034: Barley Sprouted Grain,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-UREA_TREATED,process,urea treated,Urea treatment,31,2,AOM_006353: Cassava Peel Crushed Urea Treated | AOM_006213: Bamboo Leaves Dried Ensiled Molasse Treated Urea Treated,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
PROCESS-WILTED,process,wilted,Wilting,50,3,AOM_001843: Baby Corn Stalk Dried Wilted | AOM_001959: Oat Grain Dried Wilted | AOM_006036: Acacia senegal Leaves Wilted,low,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,Explicit process participle maps to established processing dimension.,proposed-for-bulk-review,,
COMPONENT-BLOOD,component,blood,Blood,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
COMPONENT-BRAN,component,bran,Bran,21,2,AOM_001806: Barley Bran | AOM_002039: Megathyrsus maximus Bran,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-COB,component,cob,Cob,5,1,AOM_000569: Maize Cob,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-EAR,component,ear,Ear,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
COMPONENT-GRAIN,component,grain,Grain,35,2,AOM_001884: Brewers Grain | AOM_006033: Barley Grain,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-HEAD,component,head,Head,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
COMPONENT-HUSK,component,husk,Husk,19,1,AOM_001183: Cocoa Pods Husk,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-KERNEL,component,kernel,Kernel,15,2,AOM_001625: Mango Seed Kernel | AOM_001154: Jatropha curcas Kernel,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-LEAF,component,leaf,Leaf,219,4,AOM_000595: Banana Leaves | AOM_001819: Ensete ventricosum Leaves | AOM_002207: Acacia Albida Leaves | AOM_003997: Clove Basil Leaves Extract,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-PEEL,component,peel,Peel,22,3,AOM_001176: Banana Peel | AOM_001259: Lemon Peel Essential Oil | AOM_006203: Opuntia ficus indica Peel,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-POD,component,pod,Pod,35,2,AOM_001183: Cocoa Pods Husk | AOM_001758: Acacia brevispica Pods,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-ROOT,component,root,Root,3,2,AOM_003266: Taro Root | AOM_001978: Moringa oleifera Root Bark Dried Ground,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-SEED,component,seed,Seed,81,3,AOM_003890: Argan Seed Cake | AOM_001357: Black Cumin Seed | AOM_001790: Adansonia digitata Seed,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-SHELL,component,shell,Shell,9,2,AOM_002225: Cashew Shell | AOM_002191: Fossil Shell Ground,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-STEM,component,stem,Stem,1,1,AOM_001177: Banana Pseudo-stem,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-STOVER,component,stover,Stover,4,2,AOM_006001: Maize Stover | AOM_001219: Lablab purpureus Stover,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-STRAW,component,straw,Straw,62,2,AOM_000584: Barley Straw | AOM_001408: Panicum maximum Straw,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-TUBER,component,tuber,Tuber,8,2,AOM_006059: Cassava Tuber Dried Ground | AOM_000679: Cassava Tuber,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
COMPONENT-VINE,component,vine,Vine,12,1,AOM_003960: Common bean vine,medium,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,Component terms generalize across families but may also be standalone material identities.,proposed-for-bulk-review,,
FORM-BLOCK,form,block,Block,3,2,AOM_000783: Molasses & Urea Block | AOM_000764: Mineral Block,medium,approve-with-guard,Apply only as presentation/form when source context confirms; preserve original material identity.,Term can describe physical presentation but requires a retained source identity.,proposed-for-bulk-review,,
FORM-CAKE,form,cake,Cake,52,3,AOM_003890: Argan Seed Cake | AOM_002215: Black Cumin Seed Cake | AOM_001568: Adansonia digitata Seed Cake,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
FORM-FLAKE,form,flake,Flake,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
FORM-FLOUR,form,flour,Flour,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
FORM-HAY,form,hay,Hay,1,1,AOM_000687: Desho Grass Hay,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
FORM-LIQUID,form,liquid,Liquid,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
FORM-MEAL,form,meal,Meal,4,1,AOM_000798: Beef Survival Meal,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
FORM-OIL,form,oil,Oil,24,4,AOM_001880: Cod Liver Oil | AOM_001255: Flaxseed Oil | AOM_001308: Canola Oil | AOM_006341: Moringa oleifera Seed Oil,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
FORM-PASTE,form,paste,Paste,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
FORM-PELLET,form,pellet,Pellet,2,1,AOM_003995: Lamb and Ewe Pellet,medium,approve-with-guard,Apply only as presentation/form when source context confirms; preserve original material identity.,Term can describe physical presentation but requires a retained source identity.,proposed-for-bulk-review,,
FORM-POWDER,form,powder,Powder,1,1,AOM_002077: Skimmed Milk Powder,medium,approve-with-guard,Apply only as presentation/form when source context confirms; preserve original material identity.,Term can describe physical presentation but requires a retained source identity.,proposed-for-bulk-review,,
FORM-PULP,form,pulp,Pulp,13,2,AOM_003892: Argan Pulp | AOM_001778: Soybean Pulp,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
QUALITY-BROWN,quality,brown,Brown,1,1,AOM_002240: Brown Fish Ground,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
QUALITY-GREEN,quality,green,Green,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
QUALITY-LOW_QUALITY,quality,low quality,Low quality,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
QUALITY-RED,quality,red,Red,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
QUALITY-RIPE,quality,ripe,Ripe,1,1,AOM_000664: Ripe Avocado,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
QUALITY-UNRIPE,quality,unripe,Unripe,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
QUALITY-WHITE,quality,white,White,5,1,AOM_002115: White Lupin,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
QUALITY-YELLOW,quality,yellow,Yellow,2,1,AOM_004002: Maize Yellow,high,hold-model-gap,"Do not promote until dedicated product-state, maturity, colour, or material-role model is approved.","Term can encode identity, product role, state, maturity, or quality rather than proposed dimension.",proposed-for-bulk-review,,
AMBIGUOUS-WHOLE,ambiguous,whole,,7,2,AOM_000555: Whole Milk | AOM_001324: Ground whole-grain maize,high,hold-ambiguous,"whole may mean whole crop, whole grain, whole organism, or physical presentation",Existing ambiguity rule correctly prevents automatic decomposition.,proposed-for-bulk-review,,
AMBIGUOUS-MEAL,ambiguous,meal,,4,1,AOM_000798: Beef Survival Meal,high,hold-ambiguous,"meal may identify product, physical form, or grinding result",Existing ambiguity rule correctly prevents automatic decomposition.,proposed-for-bulk-review,,
AMBIGUOUS-HAY,ambiguous,hay,,1,1,AOM_000687: Desho Grass Hay,high,hold-ambiguous,hay may identify conserved material or physical/product form,Existing ambiguity rule correctly prevents automatic decomposition.,proposed-for-bulk-review,,
AMBIGUOUS-PULP,ambiguous,pulp,,13,2,AOM_003892: Argan Pulp | AOM_001778: Soybean Pulp,high,hold-ambiguous,"pulp may identify anatomical residue, by-product, or physical form",Existing ambiguity rule correctly prevents automatic decomposition.,proposed-for-bulk-review,,
AMBIGUOUS-GREEN,ambiguous,green,,0,0,,unknown,defer-no-occurrences,Require observed source cases before approval.,Rule has no current governed ingredient occurrence.,proposed-for-bulk-review,,
