concept_id,preferred_label,recommended_route,blocker_code
AOM_001524,Piliostigma thonningii,research_feedipedia,identity_or_alias_review
AOM_001526,Lotus corniculatus,research_feedipedia,retrieval_failure
AOM_001527,Centrosema molle,research_feedipedia,shared_page
AOM_001536,Chromolaena odorata,research_feedipedia,source_warning
AOM_001563,Ulva rigida,research_feedipedia,identity_or_alias_review
AOM_001582,Soybean,research_feedipedia,shared_page
AOM_001603,Acacia tortilis Fruits,research_public_ontology,public_authority_mismatch
AOM_001618,Oat Fodder,research_feedipedia,identity_or_alias_review
AOM_001675,Baby Corn Stalk,research_public_ontology,public_authority_mismatch
AOM_001760,Acacia etbaica,research_public_ontology,public_authority_mismatch
AOM_001761,Acacia etbaica Fruits,research_public_ontology,public_authority_mismatch
AOM_001766,Acacia polyacantha,research_public_ontology,public_authority_mismatch
AOM_001771,Leucaena pallida,research_public_ontology,public_authority_mismatch
AOM_001785,Elionurus muticus,research_feedipedia,identity_or_alias_review
AOM_001797,Gliciridia sepium,research_feedipedia,shared_page
AOM_001811,Rumen Contents,research_feedipedia,identity_or_alias_review
AOM_001817,Legume Residue,research_public_ontology,public_authority_mismatch
AOM_001818,Ensete ventricosum Corm,research_feedipedia,shared_page
AOM_001821,Terminalia brownii,research_feedipedia,retrieval_failure
AOM_001837,Palm Oil Sludge,research_feedipedia,shared_page
AOM_001842,Cabbage Discards,research_public_ontology,public_authority_mismatch
AOM_001845,Malt Sprout,research_feedipedia,identity_or_alias_review
AOM_001892,Sorghum Threshed Top,research_feedipedia,identity_or_alias_review
AOM_001914,Opuntia ficus indica Cladode,research_feedipedia,shared_page
AOM_001967,Grewia spp.,research_feedipedia,identity_or_alias_review
AOM_002106,Cocoa Bean Cake,research_feedipedia,shared_page
AOM_002107,Cocoa Bean,research_feedipedia,shared_page
AOM_002132,Rottboellia cochinchinensis,research_feedipedia,identity_or_alias_review
AOM_002136,Linseed Cake,research_feedipedia,shared_page
AOM_002166,Sugarcane Bagasse,research_feedipedia,identity_or_alias_review
AOM_002206,Acacia Albida,research_feedipedia,shared_page
AOM_002218,Mung Bean Haulm,research_feedipedia,identity_or_alias_review
AOM_003064,Aspilia africana,research_feedipedia,source_warning
AOM_003072,Groundnut,research_feedipedia,identity_or_alias_review
AOM_003075,Balanites aegyptiaca,research_feedipedia,identity_or_alias_review
AOM_003172,Food Waste,research_feedipedia,source_warning
AOM_003206,Poultry byproduct,research_feedipedia,identity_or_alias_review
AOM_003482,Sugar Beet,research_feedipedia,identity_or_alias_review
AOM_003677,Panicum,research_feedipedia,shared_page
AOM_003893,Bambusa balcooa,research_feedipedia,identity_or_alias_review
AOM_003899,Spondias mombin,research_feedipedia,source_warning
AOM_003911,Cassava Sieviate,research_feedipedia,identity_or_alias_review
AOM_003977,Tridax procumbens,research_feedipedia,source_warning
AOM_004002,Maize Yellow,research_feedipedia,identity_or_alias_review
AOM_004255,Flaxseed,research_feedipedia,shared_page
AOM_006008,Chicken Manure,research_feedipedia,identity_or_alias_review
AOM_006031,Bambusa vulgaris,research_feedipedia,shared_page
AOM_006119,Hyparrhenia hirta,research_feedipedia,shared_page
AOM_006160,Brewers By-Product,research_feedipedia,identity_or_alias_review
AOM_006169,Groundnut Residue,research_public_ontology,public_authority_mismatch
AOM_006350,Bambusa bambos,research_feedipedia,shared_page
AOM_006369,Hyparrhenia,research_feedipedia,shared_page
