concept_id,preferred_label,review_status,implementation_status,semantic_class,target_parent_id,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_001866,Glycerol,approved,implemented,aom:FeedMaterial,AOM_101162,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2022-1104;EU-2011-25,Catalogue evidence supports feed-material status but exact scope and durable source branch need confirmation; temporary unclassified placement is safer than a permanent direct child.
AOM_000531,Ingredient name,held,implemented-cohort-b,,,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,LOCAL-GRAPH,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000532,Ingredient part,held,implemented-cohort-b,,,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,LOCAL-GRAPH,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000534,Ingredient proportion,held,implemented-cohort-b,,,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,LOCAL-GRAPH,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000535,Ingredient source,held,implemented-cohort-b,,,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,LOCAL-GRAPH,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_000533,Ingredient species,held,implemented-cohort-b,,,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,LOCAL-GRAPH,This is a schema-property issue assigned to #53 and must not be treated as a feed material.
AOM_100989,Microalgal feed materials,approved,implemented,aom:FeedMaterial,AOM_101161,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;LOCAL-GRAPH,Retain material status and move under explicit biological-source navigation rather than leaving an isolated direct child.
AOM_101139,Mineral feed materials,approved,implemented,aom:FeedMaterial,AOM_101160,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;FEEDIPEDIA-CATEGORIES,Mineral materials are valid feed materials and low inclusion rate does not make them additives.
AOM_006349,Pleurotus ostreatus,held,hold,,AOM_101142,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,FEEDIPEDIA-CATEGORIES;SOURCE-WORKBOOK,Source context establishes an ingredient-list occurrence but species label alone cannot justify FeedMaterial status a durable fungal-material class or exact feed identity.
AOM_100987,Processed food by-products,approved,implemented,aom:FeedMaterial,AOM_101160,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;FEEDIPEDIA-CATEGORIES,Processing origin may support a collection but by-product or waste status must remain explicit per material.
AOM_006334,Rumen-protected fat feed materials,approved,implemented,aom:FeedMaterial,AOM_101160,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;LOCAL-GRAPH,Rumen protection describes processing or state and should not create an isolated top-level product kind.
AOM_001832,Starch feed material,approved,implemented,aom:FeedMaterial,AOM_101159,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;EU-2011-25,A starch product may be a feed material while starch chemical identity and constituent use remain separate.
AOM_006241,Unspecified Yeast,approved,implemented,aom:FeedMaterial,AOM_101161,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;LOCAL-GRAPH,Retain broad material status but group microbial materials and preserve unresolved taxon as an explicit limitation.
AOM_001922,Water,held,hold,,AOM_101142,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-767-2009;LOCAL-GRAPH,Regulation 767/2009 excludes water from its scope; current FeedMaterial typing needs explicit domain rationale rather than inheritance.
AOM_000746,Chromium Oxide,approved,implemented,,AOM_101147,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH,Chemical identity and marker role do not establish feed-material or additive product status.
AOM_002072,Chromium Oxide Ground,held,hold,,AOM_101142,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH,Ground is a product/process/form assertion and should not be a narrower chemical substance; Composition/Form review must resolve representation.
AOM_000809,Essential Fatty Acid,approved,implemented,,AOM_101023,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH,This is a chemical/nutritional category rather than one feed-material or additive product.
AOM_001865,Free Gossypol,approved,implemented,,AOM_101023,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH,This denotes a constituent or measurement target rather than one feed product.
AOM_006389,Organic Acid,approved,implemented,,AOM_101147,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;EU-2021-758,Organic acid is a chemical class; exact products may be materials or additives only after case-specific evidence.
AOM_000808,Fumaric Acid,approved,implemented,,AOM_006389,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;EU-2021-758,Chemical identity alone cannot decide feed-material versus additive product status.
AOM_001068,Pseudovitamin,held,hold,,AOM_101142,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;LOCAL-GRAPH,Placement under chemical substances is plausible but definition and member scope need evidence.
AOM_001069,Inositol,approved,implemented,,AOM_101147,docs/decisions/0045-feed-product-kind-and-source-navigation.md,docs/methods/feed-taxonomy-governance.md,Pete Steward,2026-08-16,EU-2011-25;EU-2021-758,Retain chemical identity independently; classify any material or additive product case by case.
